,word,rankt,ranko
0,ich,0,0
1,sie,1,1
2,das,2,2
3,ist,3,3
4,du,4,5
5,nicht,5,6
6,die,6,4
7,und,7,7
8,es,8,9
9,der,9,8
10,wir,10,11
11,was,11,10
12,zu,12,16
13,er,13,15
14,ein,14,13
15,in,15,14
16,ja,16,12
17,mir,17,20
18,mit,18,17
19,den,19,18
20,wie,20,22
21,mich,21,24
22,auf,22,21
23,dass,23,37
24,aber,24,23
25,eine,25,29
26,so,26,19
27,hat,27,28
28,hier,28,25
29,haben,29,31
30,sind,30,26
31,für,31,32
32,von,32,30
33,dich,33,39
34,war,34,35
35,wenn,35,38
36,ihr,36,34
37,nein,37,46
38,an,38,40
39,habe,39,57
40,noch,40,33
41,da,41,27
42,bin,42,47
43,nur,43,45
44,dir,44,49
45,einen,45,53
46,sich,46,43
47,uns,47,48
48,hast,48,58
49,dem,49,51
50,kann,50,55
51,gut,51,59
52,auch,52,42
53,ihn,53,68
54,schon,54,54
55,sein,55,64
56,als,56,67
57,jetzt,57,44
58,mal,58,41
59,aus,59,56
60,dann,60,50
61,meine,61,60
62,um,62,72
63,im,63,52
64,wird,64,69
65,mein,65,61
66,bist,66,70
67,doch,67,36
68,alles,68,66
69,weiß,69,84
70,keine,70,74
71,oder,71,77
72,nach,72,65
73,nichts,73,76
74,man,74,62
75,werden,75,86
76,will,76,83
77,wo,77,75
78,ihnen,78,81
79,muss,79,79
80,etwas,80,107
81,mehr,81,78
82,oh,82,119
83,bei,83,80
84,also,84,103
85,bitte,85,71
86,immer,86,85
87,warum,87,89
88,vor,88,91
89,los,89,87
90,wieder,90,82
91,können,91,105
92,hab,92,73
93,sagen,93,108
94,mann,94,93
95,alle,95,88
96,geht,96,96
97,machen,97,98
98,sehr,98,90
99,danke,99,94
100,denn,100,63
101,zum,101,95
102,ihm,102,110
103,tun,103,138
104,euch,104,101
105,sehen,105,115
106,gehen,106,111
107,wer,107,102
108,einem,108,126
109,diese,109,129
110,vielleicht,110,116
111,ihre,111,117
112,komm,112,92
113,einer,113,120
114,über,114,127
115,deine,115,132
116,wissen,116,131
117,müssen,117,124
118,soll,118,97
119,nie,119,123
120,werde,120,167
121,okay,121,203
122,wirklich,122,149
123,kein,123,113
124,weg,124,125
125,hey,125,200
126,viel,126,118
127,gibt,127,133
128,würde,128,168
129,des,129,121
130,tut,130,161
131,leben,131,134
132,einfach,132,157
133,am,133,112
134,hatte,134,145
135,willst,135,142
136,zeit,136,148
137,kommen,137,122
138,dein,138,144
139,weil,139,141
140,kommt,140,114
141,heute,141,128
142,wollen,142,130
143,ganz,143,109
144,damit,144,159
145,ok,145,255
146,wäre,146,175
147,weißt,147,179
148,frau,148,100
149,wollte,149,152
150,bis,150,137
151,gesagt,151,154
152,sicher,152,177
153,nun,153,176
154,wurde,154,189
155,leid,155,199
156,na,156,106
157,kannst,157,147
158,zurück,158,166
159,dieser,159,165
160,macht,160,143
161,lassen,161,156
162,gott,162,162
163,meinen,163,164
164,mr,164,223
165,hallo,165,136
166,seine,166,163
167,hätte,167,184
168,zwei,168,155
169,genau,169,180
170,waren,170,169
171,zur,171,160
172,lass,172,173
173,könnte,173,231
174,klar,174,185
175,morgen,175,135
176,leute,176,210
177,vater,177,146
178,ab,178,151
179,schön,179,140
180,glaube,180,216
181,tag,181,150
182,gesehen,182,207
183,gerade,183,234
184,wohl,184,172
185,reden,185,236
186,sir,186,215
187,geld,187,183
188,durch,188,182
189,liebe,189,174
190,sagte,190,274
191,raus,191,186
192,unsere,192,195
193,sollte,193,286
194,jemand,194,245
195,keinen,195,197
196,mutter,196,170
197,ob,197,201
198,paar,198,280
199,gemacht,199,211
200,besser,200,217
201,dieses,201,259
202,passiert,202,276
203,dachte,203,282
204,gehört,204,214
205,selbst,205,233
206,musst,206,218
207,wieso,207,222
208,ohne,208,194
209,her,209,187
210,mach,210,178
211,hör,211,262
212,möchte,212,205
213,anderen,213,221
214,meiner,214,225
215,nacht,215,198
216,diesen,216,268
217,wirst,217,298
218,helfen,218,261
219,gute,219,202
220,finden,220,306
221,lange,221,204
222,sag,222,193
223,meinem,223,237
224,natürlich,224,196
225,sei,225,232
226,gar,226,153
227,weiter,227,181
228,dort,228,226
229,ins,229,192
230,ach,230,139
231,geben,231,240
232,sagt,232,212
233,seit,233,244
234,ordnung,234,321
235,gleich,235,171
236,recht,236,247
237,hören,237,283
238,vom,238,190
239,ihren,239,263
240,richtig,240,253
241,geh,241,206
242,davon,242,300
243,dafür,243,258
244,diesem,244,293
245,hin,245,230
246,mädchen,246,273
247,sieht,247,275
248,hause,248,243
249,wegen,249,278
250,sollten,250,340
251,viele,251,249
252,sollen,252,264
253,freund,253,266
254,deinen,254,311
255,haus,255,290
256,drei,256,239
257,abend,257,209
258,guten,258,158
259,welt,259,241
260,denke,260,454
261,unser,261,227
262,menschen,262,271
263,tot,263,297
264,bleiben,264,224
265,angst,265,256
266,warte,266,308
267,habt,267,251
268,machst,268,260
269,essen,269,265
270,unter,270,242
271,schnell,271,229
272,zusammen,272,292
273,rein,273,284
274,andere,274,285
275,nehmen,275,246
276,scheiße,276,257
277,eines,277,315
278,geht's,278,305
279,getan,279,425
280,erst,280,208
281,darf,281,191
282,bringen,282,318
283,glauben,283,319
284,genug,284,323
285,kinder,285,219
286,junge,286,281
287,brauchen,287,309
288,ganze,288,287
289,gegen,289,288
290,moment,290,279
291,herr,291,104
292,seid,292,269
293,sonst,293,220
294,steht,294,270
295,musik,295,99
296,heißt,296,235
297,fragen,297,303
298,arbeit,298,334
299,warten,299,304
300,niemand,300,328
301,dabei,301,302
302,sofort,302,277
303,ihrer,303,320
304,jahre,304,313
305,familie,305,387
306,bevor,306,502
307,einmal,307,238
308,stimmt,308,341
309,verdammt,309,453
310,sohn,310,335
311,problem,311,384
312,brauche,312,417
313,wann,313,301
314,allein,314,272
315,sprechen,315,289
316,fertig,316,325
317,jeder,317,324
318,halten,318,338
319,hatten,319,365
320,beim,320,299
321,halt,321,228
322,hilfe,322,374
323,beide,323,348
324,sache,324,383
325,warst,325,382
326,bruder,326,386
327,gern,327,291
328,siehst,328,343
329,gefunden,329,434
330,konnte,330,361
331,jahren,331,337
332,seinen,332,371
333,kam,333,347
334,wahr,334,379
335,kind,335,267
336,darüber,336,475
337,dazu,337,355
338,verstehe,338,378
339,wusste,339,457
340,denken,340,376
341,daran,341,399
342,lieber,342,250
343,könnten,343,465
344,würden,344,445
345,männer,345,310
346,kennen,346,317
347,dank,347,360
348,deiner,348,405
349,egal,349,390
350,ihrem,350,358
351,sehe,351,412
352,deinem,352,398
353,sieh,353,549
354,'ne,354,213
355,fall,355,455
356,stadt,356,431
357,vergessen,357,336
358,frage,358,377
359,komme,359,326
360,gib,360,331
361,sage,361,443
362,mag,362,430
363,jeden,363,354
364,mache,364,429
365,uhr,365,314
366,kopf,366,380
367,namen,367,372
368,fahren,368,294
369,eigentlich,369,248
370,baby,370,636
371,töten,371,699
372,kleine,372,330
373,echt,373,388
374,all,374,491
375,gehe,375,411
