,word,rankt,ranko
0,que,0,0
1,de,1,1
2,no,2,2
3,a,3,3
4,la,4,4
5,el,5,5
6,es,6,7
7,y,7,6
8,en,8,8
9,lo,9,9
10,un,10,10
11,por,11,13
12,qué,12,11
13,me,13,12
14,una,14,15
15,te,15,14
16,los,16,17
17,se,17,16
18,con,18,18
19,para,19,19
20,está,20,20
21,mi,21,22
22,si,22,21
23,sí,23,23
24,pero,24,24
25,bien,25,26
26,eso,26,28
27,su,27,29
28,las,28,27
29,yo,29,25
30,tu,30,34
31,del,31,33
32,aquí,32,30
33,como,33,35
34,al,34,31
35,más,35,36
36,le,36,32
37,esto,37,40
38,todo,38,39
39,ya,39,37
40,estoy,40,50
41,ahora,41,44
42,vamos,42,38
43,muy,43,41
44,esta,44,43
45,algo,45,47
46,hay,46,42
47,así,47,52
48,ha,48,53
49,tengo,49,49
50,bueno,50,61
51,tú,51,45
52,estás,52,55
53,sé,53,54
54,cuando,54,57
55,él,55,62
56,nos,56,46
57,cómo,57,51
58,nada,58,48
59,este,59,56
60,o,60,60
61,puedo,61,65
62,tiene,62,59
63,ser,63,74
64,quiero,64,58
65,hacer,65,66
66,fue,66,73
67,gracias,67,64
68,he,68,75
69,soy,69,63
70,vez,70,76
71,ella,71,85
72,sólo,72,71
73,era,73,70
74,todos,74,69
75,tienes,75,72
76,son,76,68
77,eres,77,77
78,porque,78,79
79,creo,79,88
80,sabes,80,86
81,ese,81,78
82,voy,82,67
83,puede,83,87
84,estaba,84,109
85,hola,85,92
86,entonces,86,117
87,verdad,87,96
88,quién,88,82
89,solo,89,121
90,sus,90,106
91,casa,91,89
92,usted,92,81
93,tiempo,93,107
94,dónde,94,84
95,tan,95,110
96,esa,96,98
97,dos,97,83
98,nunca,98,100
99,favor,99,91
100,señor,100,90
101,quieres,101,94
102,va,102,80
103,mucho,103,97
104,mí,104,99
105,siento,105,124
106,dios,106,102
107,están,107,104
108,mejor,108,105
109,hace,109,103
110,tenemos,110,108
111,ti,111,116
112,puedes,112,125
113,hombre,113,95
114,sin,114,115
115,sobre,115,140
116,decir,116,134
117,has,117,122
118,también,118,114
119,oh,119,179
120,vida,120,112
121,ver,121,101
122,alguien,122,130
123,ahí,123,93
124,hasta,124,111
125,cosas,125,128
126,siempre,126,120
127,años,127,119
128,antes,128,145
129,ni,129,113
130,ir,130,132
131,uno,131,118
132,estar,132,150
133,día,133,126
134,estamos,134,138
135,mis,135,146
136,poco,136,144
137,noche,137,153
138,hecho,138,162
139,sr,139,123
140,otra,140,141
141,nosotros,141,147
142,sea,142,151
143,acuerdo,143,175
144,gente,144,133
145,parece,145,143
146,trabajo,146,149
147,nadie,147,139
148,mismo,148,148
149,padre,149,156
150,mira,150,142
151,dijo,151,159
152,quiere,152,136
153,vas,153,131
154,ellos,154,158
155,hablar,155,160
156,tal,156,161
157,podría,157,218
158,les,158,137
159,pasa,159,135
160,fuera,160,180
161,han,161,169
162,mundo,162,170
163,después,163,177
164,desde,164,168
165,claro,165,152
166,otro,166,155
167,dinero,167,129
168,momento,168,174
169,seguro,169,165
170,estado,170,211
171,donde,171,164
172,lugar,172,184
173,tus,173,182
174,hijo,174,154
175,podemos,175,195
176,tener,176,202
177,sabe,177,163
178,haciendo,178,217
179,espera,179,178
180,amigo,180,157
181,había,181,181
182,mañana,182,171
183,tenía,183,194
184,cosa,184,167
185,tipo,185,173
186,madre,186,200
187,nuevo,187,215
188,mierda,188,127
189,necesito,189,198
190,menos,190,191
191,sido,191,224
192,nuestro,192,209
193,allí,193,201
194,gran,194,207
195,papá,195,188
196,dice,196,166
197,dije,197,186
198,tres,198,176
199,luego,199,192
200,mamá,200,199
201,días,201,190
202,oye,202,203
203,buena,203,197
204,crees,204,208
205,mujer,205,187
206,vale,206,281
207,hoy,207,205
208,nombre,208,219
209,gusta,209,172
210,será,210,212
211,buen,211,204
212,conmigo,212,210
213,todas,213,220
214,parte,214,233
215,mío,215,196
216,haber,216,261
217,estas,217,216
218,nuestra,218,247
219,quería,219,235
220,mal,220,206
221,debe,221,229
222,aún,222,251
223,toda,223,213
224,hacerlo,224,248
225,tienen,225,193
226,cada,226,230
227,importa,227,225
228,visto,228,232
229,contigo,229,234
230,ven,230,189
231,saber,231,227
232,razón,232,265
233,realmente,233,344
234,alguna,234,270
235,serio,235,258
236,hizo,236,272
237,veces,237,231
238,tanto,238,240
239,problema,239,228
240,hemos,240,262
241,hora,241,223
242,idea,242,276
243,quien,243,244
244,cierto,244,269
245,tarde,245,245
246,ve,246,226
247,demasiado,247,282
248,ustedes,248,237
249,entre,249,252
250,policía,250,221
251,familia,251,280
252,haces,252,222
253,estos,253,243
254,esos,254,239
255,debería,255,386
256,dicho,256,249
257,amor,257,259
258,pasado,258,293
259,eh,259,185
260,hombres,260,242
261,veo,261,246
262,salir,262,255
263,unos,263,236
264,chica,264,311
265,cuenta,265,267
266,algún,266,291
267,amigos,267,257
268,hermano,268,253
269,van,269,214
270,vaya,270,250
271,cabeza,271,256
272,todavía,272,314
273,quizá,273,260
274,chicos,274,327
275,somos,275,273
276,lado,276,277
277,debo,277,294
278,digo,278,238
279,sabía,279,295
280,pensé,280,369
281,pueden,281,278
282,pasó,282,263
283,cariño,283,300
284,muerto,284,279
285,forma,285,377
286,buenas,286,254
287,mientras,287,343
288,cualquier,288,339
289,hice,289,349
290,sería,290,353
291,rápido,291,302
292,camino,292,320
293,chico,293,358
294,caso,294,338
295,puerta,295,268
296,esas,296,337
297,contra,297,318
298,primera,298,307
299,ayuda,299,363
300,cuál,300,325
301,volver,301,357
302,muchas,302,275
303,ves,303,264
304,hablando,304,330
305,dentro,305,309
306,ah,306,241
307,personas,307,400
308,supuesto,308,441
309,entiendo,309,346
310,adiós,310,288
311,pues,311,183
312,genial,312,440
313,casi,313,317
314,historia,314,321
315,nueva,315,304
316,minutos,316,285
317,hacia,317,335
318,supongo,318,425
319,durante,319,396
320,ciudad,320,340
321,manera,321,410
322,significa,322,401
323,primero,323,310
324,persona,324,418
325,iba,325,336
326,pasar,326,328
327,suerte,327,296
328,señora,328,322
329,niños,329,350
330,cuánto,330,286
331,pronto,331,359
332,quizás,332,467
333,espero,333,351
334,juntos,334,388
335,dijiste,335,372
336,año,336,371
337,semana,337,368
338,muerte,338,416
339,vi,339,347
340,siquiera,340,444
341,debes,341,385
342,deja,342,329
343,cuidado,343,283
344,venir,344,365
345,esposa,345,345
346,poder,346,390
347,manos,347,297
348,feliz,348,428
349,horas,349,333
350,dejar,350,399
351,hija,351,387
352,miedo,352,331
353,problemas,353,355
354,haré,354,413
355,corazón,355,393
356,importante,356,366
357,adelante,357,334
358,nuestros,358,409
359,allá,359,287
360,mano,360,315
361,gustaría,361,426
362,da,362,274
363,ojos,363,379
364,viejo,364,284
365,agua,365,303
366,bajo,366,406
367,justo,367,454
368,jefe,368,382
369,tío,369,398
370,hey,370,482
371,niño,371,354
372,cerca,372,392
373,cara,373,313
374,viene,374,292
375,cinco,375,342
376,único,376,373
377,otros,377,370
378,guerra,378,356
379,sigue,379,352
