,sentence,rankt,ranko
0,わかった,0,35
1,よし,1,22
2,どうも,2,43
3,そうね,3,55
4,そうだな,4,87
5,ごめんなさい,5,39
6,おい,6,16
7,さあ,7,105
8,いいわ,8,849
9,こんにちは,9,47
10,行くぞ,10,73
11,それで,11,82
12,待って,12,104
13,やあ,13,389
14,お願い,14,252
15,やめて,15,524
16,ほら,16,54
17,もしもし,17,32
18,ありがとうございます,18,36
19,やめろ,19,155
20,わからない,20,625
21,その通り,21,181
22,大丈夫よ,22,245
23,失礼,23,53
24,おはよう,24,93
25,ねえ,25,41
26,ごめん,26,38
27,わかりました,27,166
28,ー,28,96
29,くそ,29,10000
30,よかった,30,250
31,いいぞ,31,850
32,そうだね,32,203
33,まさか,33,145
34,待て,34,95
35,こっちだ,35,175
36,ちょっと待って,36,187
37,なるほど,37,205
38,ハイ,38,621
39,いいか,39,227
40,わかってる,40,510
41,ママ,41,10000
42,だから,42,184
43,名前は？,43,150
44,行け,44,10000
45,いいね,45,371
46,おやすみ,46,110
47,頼む,47,334
48,そう？,48,129
49,わかったわ,49,511
50,オーケー,50,463
51,何してるの？,51,240
52,えぇ,52,472
53,うーん,53,466
54,落ち着け,54,387
55,どうしたんだ？,55,452
56,愛してる,56,780
57,助けて,57,1156
58,どういう意味？,58,447
59,知らない,59,599
60,素晴らしい,60,10000
61,くそっ,61,102
62,おいで,62,449
63,そうだよ,63,152
64,何だ,64,1162
65,別に,65,404
66,早く,66,130
67,本当に,67,10000
68,良かった,68,385
69,ありがと,69,354
70,ちょっと,70,31
71,黙れ,71,1007
72,何があったの？,72,349
73,その通りだ,73,10000
74,ありがとう。,74,109
75,行きましょう,75,953
76,どういたしまして,76,688
77,いいだろう,77,10000
78,わかったよ,78,243
79,クソ,79,10000
80,ジョン,80,10000
81,陛下,81,10000
82,聞いてくれ,82,10000
83,ここだ,83,10000
84,急げ,84,115
85,私,85,69
86,じゃあ,86,132
87,だめだ,87,10000
88,どうした,88,159
89,まあ,89,212
90,信じられない,90,282
91,どういう意味だ？,91,446
92,おめでとう,92,1132
93,来い,93,637
94,ダメ,94,344
95,よくやった,95,433
96,待ってくれ,96,728
97,見て,97,641
98,大丈夫ですか？,98,372
99,あら,99,10000
100,ヘイ,100,10000
101,はい,101,0
102,違うわ,102,10000
103,静かに,103,336
104,いいんだ,104,10000
105,もういい,105,412
106,なんてこった,106,323
107,そうさ,107,10000
108,約束する,108,10000
109,動くな,109,1184
110,そうですね,110,232
111,ない,111,831
112,いえ,112,90
113,さて,113,10000
114,お願いだ,114,615
115,どこへ？,115,444
116,気をつけて,116,568
117,俺は,117,499
118,ちょっと待て,118,239
119,乾杯,119,283
120,私も,120,999
121,分かったわ,121,608
122,いいのよ,122,367
123,これを,123,10000
124,他には？,124,10000
125,いいえ。,125,10000
126,どうして,126,192
127,まったく,127,10000
128,そうじゃない,128,362
129,何だよ,129,10000
130,それじゃ,130,797
131,やめてくれ,131,1219
132,座って,132,762
133,そんな,133,214
134,父さん,134,158
135,どんな？,135,549
136,ああ,136,92
137,なあ,137,458
138,それは？,138,10000
139,来て,139,10000
140,まだだ,140,10000
141,頼むよ,141,10000
142,いいわよ,142,664
143,大丈夫だよ,143,691
144,おお,144,10000
145,もちろんだ,145,954
146,なぜ,146,10000
147,では,147,10000
148,大丈夫,148,42
149,そうだろ？,149,1050
150,よろしく,150,474
151,すいません,151,20
152,僕は,152,120
153,大丈夫か,153,1193
154,お願いします,154,67
155,私もよ,155,10000
156,どうだった？,156,702
157,ちょっと！,157,238
158,クソッ,158,10000
159,行って,159,10000
160,なんてこと,160,10000
161,俺もだ,161,10000
162,ダメよ,162,519
163,しかし,163,167
164,聞いて,164,10000
165,急いで,165,10000
166,よろしい,166,10000
167,アーメン,167,508
168,ジャック,168,10000
