sentence,count
No.,1511843
Yes.,849166
Come on.,783909
Hey.,519037
Oh.,511913
Hello?,353016
I don't know.,319404
Yeah?,316989
I'm sorry.,262475
Hi.,258062
Right.,253368
Why?,250843
Let's go.,233709
Good.,220596
Thanks.,214711
Please.,210977
Really?,206904
Go!,192291
I know.,189327
"Oh, my God.",184149
Shit.,178864
Excuse me.,175455
"Yes, sir.",175396
Wait.,173670
Sorry.,168128
OK.,163034
Huh?,149567
Sure.,147183
What are you doing?,146504
Here.,139067
Okay?,137984
Stop!,125633
Well...,121740
Hmm.,119202
Whoa!,118688
Nothing.,116582
Look.,116355
"Oh, yeah.",116337
Ah!,114976
Wow.,113924
That's right.,111508
"Oh, no.",110934
Fuck!,108730
Bye.,107506
"No, no.",107493
That's it.,105436
What is it?,102328
Shut up!,101231
"Oh, God.",98249
Now!,97975
Of course.,97865
All right?,97786
Come here.,96489
Great.,95941
You?,92662
It's okay.,87843
Fine.,86962
Aah!,85049
What happened?,83104
So?,81536
"No, no, no.",81213
Why not?,79683
Who?,78622
What do you mean?,76712
Help!,76531
Stop it!,73656
Jesus.,73549
Wait a minute.,72830
Dad!,72473
I love you.,72442
"Oh, shit.",72260
Uh...,72119
Sir.,71948
Go on.,71404
Good night.,71334
Mmm.,68865
What are you talking about?,64937
Where?,64901
How are you?,64899
I can't.,63657
You know what?,63490
Ow!,63474
What's going on?,63371
Move!,62032
Shh.,61284
What's that?,61069
Listen.,60543
Me?,60282
Hold on.,59606
Who are you?,59526
Mm-hmm.,57331
Ooh!,57318
Don't worry.,57191
Um...,55387
You know?,55094
Get out!,54942
Uh-huh.,53677
Mom!,52740
God!,52656
See?,52418
It's all right.,51340
Sit down.,51197
Go ahead.,50836
Whoo!,50600
Here we go.,50562
There.,50456
What's the matter?,49783
What do you want?,49482
What are you doing here?,49292
Fuck you!,48873
I do.,48319
Good morning.,48042
Are you okay?,47562
Don't.,46831
What do you think?,45680
Yep.,45479
There you go.,45343
Where are you going?,45036
"Oh, yes.",44949
Damn!,44930
What's wrong?,44047
Help me!,43485
I see.,43251
Run!,42510
Come in.,42138
Get up!,42120
How?,41447
Ready?,41268
Exactly.,41015
And...,41010
I got it.,40623
Hurry!,40211
Got it.,40002
You okay?,39909
Come.,39470
What's up?,38841
Maybe.,38251
Are you all right?,37989
Thank you very much.,37839
What is this?,37735
I'm fine.,37594
What is that?,37536
Listen to me.,37473
"No, sir.",37429
Ohh!,36838
No way.,36533
You're right.,36504
Jesus Christ.,36481
Goodbye.,36466
Where are you?,35660
Mm.,35452
Alright.,35342
But...,34959
You all right?,34945
That's good.,34613
Where is he?,34497
Congratulations.,34383
Look at me.,33995
"Yeah, yeah.",33836
Hurry up!,33074
I,33001
What...,32594
Are you sure?,32131
I'm so sorry.,32104
What's your name?,31970
Damn it!,31804
I don't think so.,31622
Amen.,31454
Fire!,31255
I am.,31197
Jack!,30911
What's this?,30835
Daddy!,30607
Holy shit.,30431
Do it.,30423
Get out of here!,30217
Get down!,30204
I will.,30184
Good luck.,30163
Here you go.,30140
Cool.,30058
Over.,29910
Absolutely.,29794
This way.,29793
Never.,29565
What the fuck?,29550
You got it.,29381
Hold it.,28852
I understand.,28694
"Thank you, sir.",28639
Nice.,28636
No problem.,28382
I just...,28366
My God.,28231
I did.,28119
What was that?,27760
Ok.,27749
You're welcome.,27684
Ha!,27583
Tell me.,27578
Whatever.,27529
"Oh, man.",27164
Forget it.,26964
How you doing?,26903
Thank you!,26761
Easy.,26758
I promise.,26756
Very good.,26729
Relax.,26676
How do you do?,26610
Don't move.,26584
Nope.,26493
When?,26332
Cheers.,26230
Move it!,26203
Look at this.,26180
Calm down.,26165
"Come on, come on.",25900
I don't understand.,25863
Hang on.,25386
Not yet.,25127
Who is it?,24866
Look out!,24828
That's great.,24668
Look at that.,24604
Nice to meet you.,24513
"Oh, come on.",24421
Mm-hm.,24281
YEAH.,24226
Sam!,24101
Ugh!,24084
Wake up.,24055
NO.,23916
Good evening.,23904
It's me.,23778
Me too.,23722
John.,23697
Take it easy.,23667
That's all.,23611
Two.,23440
"Come on, man.",23405
I'm...,23346
"Come on, let's go.",23270
Quiet!,23163
I don't care.,23077
Out!,22823
Perfect.,22787
Son of a bitch!,22739
For what?,22645
So what?,22620
"No, thank you.",22603
Bullshit.,22456
I mean...,22386
I'll be right back.,22355
Mmm-hmm.,22334
"Yeah, I know.",22311
"No, thanks.",22129
Let me go!,21973
Ahh!,21957
Enough!,21927
One.,21913
What the hell?,21852
Aye.,21612
There he is.,21558
"Yeah, sure.",21472
"Hey, hey.",21445
Over here.,21400
Honey?,21360
Morning.,21277
Of course not.,21227
I'm not.,21071
What for?,21065
Father!,20885
You see?,20871
There you are.,20769
"Okay, okay.",20748
Quick!,20728
"Yes, ma'am.",20714
What's happening?,20709
Come on in.,20551
Be careful.,20471
What did you say?,20446
Right here.,20434
Go away.,20308
And you?,20295
Do you?,20295
Three.,20293
You know that.,20265
Where is she?,20196
Bye-bye.,20067
Captain.,20021
Where is it?,19925
Do you understand?,19914
"Go, go, go!",19831
Get in.,19773
You understand?,19625
Not at all.,19619
"Oh, really?",19550
Trust me.,19455
Again.,19432
You sure?,19263
Very well.,19258
This is it.,19141
© P@rM!,19104
Frank.,19064
Get back!,19028
You do?,18987
It's over.,18902
Never mind.,18876
That's enough.,18722
It is.,18480
Follow me.,18455
I told you.,18428
How much?,18405
Come with me.,18371
"Yeah, right.",18225
I don't.,18181
Open the door!,18179
"Oh, fuck.",18158
Oh my God.,18117
Take it.,18105
"No, no, no, no.",18094
What does that mean?,18065
Goddamn it!,17991
Remember?,17833
I knew it.,17798
Mommy!,17703
Look at you.,17700
Watch out!,17645
David!,17641
How do you know?,17502
Guys!,17495
Excellent.,17467
It's OK.,17452
Are you crazy?,17368
Anything.,17304
He's dead.,17263
Uh-oh.,17248
Like what?,17236
Who's that?,17137
"Oh, boy.",17133
Get him!,17130
"Yes, of course.",17128
Mama!,17126
Not really.,17091
What about you?,17045
"Yes, yes.",17024
"One, two, three.",17006
Just...,17004
I gotta go.,16951
"Yes, I do.",16933
There it is.,16916
You did?,16913
Don't worry about it.,16857
Harry.,16831
Seriously.,16817
Right now.,16783
Charlie!,16704
Beautiful.,16677
Mother!,16594
Michael.,16562
"All right, all right.",16468
Merry Christmas.,16407
You know what I mean?,16367
"Oh, my.",16355
Thank you so much.,16302
It's fine.,16226
This.,16205
Understand?,16144
Yo!,16044
Careful.,15958
Let me see.,15954
"Oh, dear.",15941
Freeze!,15930
Welcome.,15928
I think so.,15927
You are.,15877
Let's get out of here.,15793
I'm here.,15769
Leave me alone.,15722
"Hey, hey, hey.",15693
Come back!,15691
See you later.,15682
I didn't.,15673
Right there.,15671
Everything.,15666
Heh.,15611
What the...,15447
"Oh, thank you.",15387
Can I help you?,15366
That's all right.,15263
I'm coming.,15153
It's true.,15140
I'm okay.,15102
George.,14916
Let go!,14912
Let's do it.,14897
"Yes, it is.",14831
Clear.,14672
See you.,14610
Tom.,14608
"Hey, guys.",14575
Get off!,14509
"No, I don't.",14491
Are you?,14458
That's okay.,14398
Where are we going?,14382
"No, I'm not.",14318
Eh?,14296
Turn around.,14269
"Oh, Jesus.",14211
Where you going?,14203
Roger.,14168
What's the matter with you?,14127
"Me, too.",14114
Baby.,14109
Let's see.,14043
What do you say?,13958
Are you serious?,13881
Give it to me.,13800
Police!,13800
Uhh!,13798
Good-bye.,13791
Good to see you.,13779
Well done.,13749
Mike.,13720
