sentence,count
Sí.,96973
No.,71181
Gracias.,39345
Vamos.,38864
¿Qué?,37228
Hola.,30695
Está bien.,24063
Bien.,22498
Si.,14501
Lo siento.,13725
¿Por qué?,13620
¡Mierda!,13478
Muy bien.,12472
De acuerdo.,12181
Bueno.,11292
Por favor.,10680
¡Dios mío!,9355
Claro.,9203
Espera.,9165
No lo sé.,8665
¿Qué pasa?,8614
Adiós.,8439
¿Estás bien?,8351
No sé.,7966
¿En serio?,7878
Nada.,7762
"Sí, señor.",7589
Lo sé.,6609
"No, no.",5980
Buenas noches.,5946
¿Yo?,5571
¿Eh?,5159
Adelante.,5154
Mira.,5120
¡Cállate!,5086
¿Qué haces?,5039
Vámonos.,4972
¿Cómo?,4890
Así es.,4756
¡Oye!,4628
Perdón.,4557
Eso es.,4551
¡Maldita sea!,4433
¡Papá!,4267
¡Dios!,4227
Seguro.,4224
¡Carajo!,4214
¿De veras?,4176
Por supuesto.,4148
¿Qué es eso?,4012
¡Cuidado!,3899
Muchas gracias.,3893
¡Maldición!,3893
Ahora.,3846
Buenos días.,3837
Estoy bien.,3800
¿Dónde está?,3798
Un momento.,3791
¿Quién?,3772
¿Y?,3761
Vale.,3741
¡Ah!,3730
No puedo.,3729
¡Mamá!,3700
Ven.,3671
¿Cómo estás?,3634
¿Por qué no?,3589
Toma.,3576
Aquí.,3474
¿Qué es esto?,3455
Genial.,3429
Señor.,3415
No te preocupes.,3337
Ven aquí.,3292
¿Que?,3263
¡Basta!,3185
¿De verdad?,3175
Disculpe.,3166
"No, no, no.",3134
¡Alto!,3080
¿Quién es?,3053
¿Qué pasó?,3024
"¿Ah, sí?",3019
Yo también.,3008
¡Oh!,2961
Entendido.,2917
¿Qué estás haciendo?,2879
Vaya.,2871
Eso es todo.,2867
"Sí, sí.",2866
¿Dónde?,2831
Ya.,2824
Vete.,2816
Venga.,2778
"No, gracias.",2738
"Sí, claro.",2710
Siéntate.,2699
¿Sabes qué?,2639
Exacto.,2546
¡Fuera!,2540
Ok.,2514
Tranquilo.,2497
"Vamos, vamos.",2481
Claro que sí.,2474
¿Estás loco?,2458
¿Qué es?,2456
Escucha.,2415
¿Sabes?,2403
¿Tú?,2365
¡Rápido!,2358
Ahí está.,2287
Listo.,2269
¿Adónde vas?,2256
¿Qué te pasa?,2252
De nada.,2250
¡Hijo de puta!,2228
¿Qué tal?,2221
¡Joder!,2196
Correcto.,2194
¿Y tú?,2150
¿Qué quieres decir?,2123
Por aquí.,2076
No importa.,2075
Esta bien.,2059
¿Qué quieres?,2033
¡Hey!,2010
Olvídalo.,1988
¿Para qué?,1981
Perfecto.,1958
Te amo.,1944
Pero...,1940
¡Muévanse!,1938
¿Ves?,1931
Es verdad.,1929
Entonces...,1927
Te quiero.,1927
¿Qué sucede?,1924
Ya está.,1846
¿De qué hablas?,1846
Espere.,1844
¡Levántate!,1818
No hay problema.,1813
¿Entiendes?,1808
Escúchame.,1807
Hasta luego.,1807
Entiendo.,1806
Cálmate.,1798
¿Qué dices?,1796
Tienes razón.,1796
¡Por Dios!,1794
¡Para!,1791
Qué bien.,1782
¿Y qué?,1765
¡Ay!,1712
¿Qué ocurre?,1709
Cielos.,1700
¿Qué haces aquí?,1666
¡Silencio!,1651
Ya lo sé.,1637
Nunca.,1626
Cierto.,1626
Diablos.,1621
Mira esto.,1620
¿Verdad?,1616
Es cierto.,1606
¡Fuego!,1601
"No, señor.",1579
No pasa nada.,1576
Mírame.,1571
¿Cómo te llamas?,1570
Se acabó.,1554
Buena suerte.,1545
Lo siento mucho.,1538
Disculpa.,1533
Soy yo.,1515
¿Cuándo?,1512
Claro que no.,1505
¿Qué te parece?,1499
Ven acá.,1495
Salud.,1491
¡Corre!,1480
Hazlo.,1472
¿Qué está pasando?,1471
Anda.,1470
Dos.,1462
¡Jesús!,1453
Nos vemos.,1448
Lo tengo.,1440
Ya veo.,1437
Cariño.,1437
¡Atrás!,1432
¿Dónde estás?,1430
¿Cómo está?,1422
¿Todo bien?,1409
No te muevas.,1408
A ver.,1369
Aquí está.,1357
Tranquila.,1355
¡Jake!,1354
¡Sam!,1352
¡Socorro!,1346
¡Demonios!,1345
¿Quién eres?,1311
Ahora mismo.,1305
Exactamente.,1295
¡Muévete!,1293
No me importa.,1285
Está muerto.,1280
¿Te gusta?,1280
Tres.,1278
"Oh, no.",1269
¡Vete a la mierda!,1268
No lo creo.,1265
No es cierto.,1265
Estupendo.,1260
"¡Oh, Dios mío!",1256
Ya basta.,1253
Dale.,1245
Eso.,1241
Lo haré.,1237
Ahí.,1236
¡Abajo!,1233
Buenas tardes.,1232
Amén.,1227
Todo está bien.,1224
¡Detente!,1220
Esperen.,1214
¡Suéltame!,1210
Fantástico.,1209
¡Policía!,1208
¿Estás seguro?,1205
UU.,1203
Me voy.,1201
"Oh, Dios.",1197
¿Cómo se llama?,1173
Dime.,1167
Así.,1163
Lo lamento.,1162
¿Diga?,1157
Todo.,1155
Increíble.,1152
Uno.,1149
¡Oiga!,1149
Yo no.,1149
Otra vez.,1147
"Ay, Dios mío.",1143
Ve.,1134
Ayúdame.,1133
¿Lo ves?,1125
No puedo creerlo.,1115
Entra.,1113
No puede ser.,1108
No entiendo.,1108
Ten cuidado.,1107
Ya voy.,1104
Nadie.,1101
No se preocupe.,1100
Es él.,1085
¿Cómo lo sabes?,1083
Es increíble.,1080
Excelente.,1076
Mucho gusto.,1076
"Oh, sí.",1063
Arriba.,1056
Tengo que irme.,1052
no?,1048
¿Qué dijiste?,1041
Yo tampoco.,1040
¿De qué?,1032
"Sí, lo sé.",1030
¿De qué estás hablando?,1028
"Gracias, señor.",1025
Caray.,1014
¿El qué?,1012
Señora.,1009
