sentence,count
Oui.,55392
Non.,49445
Merci.,27592
Quoi ?,22143
Pourquoi ?,13549
D'accord.,11479
Allez.,11296
Bonjour.,11178
Ah!,10430
Ça va ?,8959
Oh !,8708
Ouais.,8293
Pardon.,7864
Bien.,7203
Bien sûr.,7148
Bon.,6940
Voilà.,6377
Salut.,6320
Au revoir.,5977
Je ne sais pas.,5921
Vraiment ?,5905
Alors ?,5755
Très bien.,5697
C'est vrai.,5438
Rien.,5437
Merde !,5381
Je sais.,5253
Excusez-moi.,4989
Allô ?,4729
Attends.,4710
Hein ?,4683
Bonsoir.,4668
Viens.,4636
Arrête !,4412
Hé!,4324
Attendez.,4206
OK.,4177
Ah oui ?,3875
Je sais pas.,3840
Tiens.,3830
Si.,3824
Moi aussi.,3731
C'est ça.,3716
Et alors ?,3461
Moi ?,3458
Comment ?,3374
Maman !,3327
Ah bon ?,3312
Vas-y.,3204
Attention !,3133
C'est bon.,3130
Qu'est-ce que c'est ?,3099
Allons-y.,3079
Regarde.,3066
Papa !,3061
Qui ?,2988
Désolé.,2983
C'est quoi ?,2943
Ha!,2926
Vite !,2890
Comment ça ?,2851
"Non, non.",2848
Venez.,2756
On y va.,2742
Mon Dieu !,2740
Monsieur.,2661
Et toi ?,2642
Pas du tout.,2536
Arrêtez !,2527
Ca va ?,2511
Bonne nuit.,2481
C'est tout.,2466
Qu'y a-t-il ?,2437
Regardez.,2431
C'est moi.,2430
Bravo.,2420
Qu'est-ce qu'il y a ?,2403
Qu'est-ce qui se passe ?,2393
Parfait.,2381
Tout va bien.,2373
Je vous en prie.,2345
J'arrive.,2299
Je suis désolé.,2296
Je t'aime.,2296
Que se passe-t-il ?,2262
Entrez.,2253
Merci beaucoup.,2198
Asseyez-vous.,2182
Mais...,2180
Mais non.,2163
Pourquoi pas ?,2146
C'est bien.,2124
Allez-y.,2087
Super.,2063
Putain !,2054
Jamais.,2025
"Oui, monsieur.",1994
"Non, merci.",1986
Là.,1912
S'il vous plaît.,1896
Qui est-ce ?,1885
Je comprends.,1808
Peut-être.,1792
Je vois.,1769
Où ?,1713
Hum.,1701
Euh...,1651
Qu'est-ce que tu fais ?,1646
"Oui, oui.",1644
Chut!,1633
Compris ?,1619
Tu vois ?,1601
Qui êtes-vous ?,1593
C'est pas vrai !,1592
Tenez.,1592
J'y vais.,1578
Maintenant.,1576
Bonne chance.,1576
Eh bien...,1566
Doucement.,1557
Je ne peux pas.,1537
Et vous ?,1518
Par ici.,1478
Encore.,1462
Ok.,1459
Exactement.,1457
Excuse-moi.,1455
"Oh, mon Dieu !",1448
Tout de suite.,1439
Ça suffit.,1430
Je ne comprends pas.,1416
Rires,1414
Je...,1403
Où ça ?,1385
Félicitations.,1380
Ici.,1374
Un instant.,1368
Madame.,1361
Toi.,1351
Enchanté.,1350
Tais-toi.,1346
C'est fini.,1295
Assieds-toi.,1294
C'est lui.,1294
De quoi ?,1290
Au secours !,1288
Du calme.,1271
Je suis désolée.,1263
Moi non plus.,1261
J'en sais rien.,1259
Stop !,1234
Va-t'en.,1234
Où est-il ?,1225
Combien ?,1213
Calme-toi.,1213
Silence !,1212
Et voilà.,1209
Impossible.,1199
Pas encore.,1196
Ah non.,1193
"Allez, viens.",1193
Désolée.,1191
Oh non !,1190
Et...,1182
Le voilà.,1175
Génial.,1172
Je reviens.,1166
Tu comprends ?,1163
"Oui, bien sûr.",1158
Exact.,1154
Absolument.,1140
Pas de problème.,1136
Ça va aller.,1128
Vous...,1116
Ta gueule !,1100
Je t'en prie.,1098
Quand ?,1094
Peu importe.,1092
Mais si.,1092
"C'est quoi, ça ?",1089
Tant mieux.,1083
Debout !,1079
"Oh, non.",1079
Enfin...,1079
Allons.,1071
S'il te plaît.,1065
Lâche-moi !,1053
Comment ça va ?,1053
Vous voyez ?,1050
Ben...,1050
En effet.,1048
Comme ça.,1040
Que s'est-il passé ?,1038
C'est...,1035
Comment allez-vous ?,1034
N'est-ce pas ?,1015
C'est impossible.,994
"Non, non, non.",983
Que faites-vous ?,981
Suivez-moi.,973
C'est pas grave.,973
Il est mort.,966
La ferme !,952
Personne.,948
Incroyable.,944
Viens ici.,936
Aïe !,927
C'est parti.,921
C'est qui ?,918
Pas question.,916
Que fais-tu ?,893
Bon sang !,885
Deux.,880
Je m'en occupe.,867
Ecoute.,867
Lâchez-moi !,866
Nom de Dieu !,864
Je peux pas.,862
Je suis là.,859
Promis.,857
Où vas-tu ?,854
Regarde-moi.,854
Écoute.,846
Je le sais.,840
Dégage !,840
Ce n'est rien.,837
De rien.,833
Laisse tomber.,832
C'est rien.,824
Mademoiselle.,821
Ça y est.,821
Dépêche-toi.,819
Pour quoi faire ?,814
Messieurs.,813
Que voulez-vous ?,810
Assez !,808
Allo ?,805
C'est incroyable.,803
Tout.,801
Qui ça ?,796
Tu as raison.,796
Dehors !,795
C'est pas possible.,791
Pas mal.,783
C'est-à-dire ?,777
Ben oui.,769
Amen.,767
Il est là.,767
Vous comprenez ?,766
Je peux ?,764
Je ne crois pas.,763
Tu sais quoi ?,762
Continuez.,758
Toi aussi.,757
Sortez !,753
"Oui, je sais.",749
Bien sûr que non.,739
Magnifique.,735
Pas moi.,735
"Ah, oui.",733
Excellent.,732
Feu !,731
Où allez-vous ?,727
Enchantée.,725
Je dois y aller.,719
Mr.,719
Plus vite !,718
Pas vraiment.,717
Dépêchez-vous.,716
Tu vas bien ?,716
Tu m'entends ?,716
Avec plaisir.,716
Et maintenant ?,709
Qui c'est ?,705
Je m'en fous.,704
Continue.,695
Entendu.,691
Ne vous inquiétez pas.,691
C'est ridicule.,691
Sans blague ?,688
Un peu.,685
Entre.,681
Mais oui.,681
"Allez, allez !",681
Je n'en sais rien.,680
Demain.,679
Par là.,679
Qu'est-ce que tu veux ?,678
Téléphone.,678
Ah ouais ?,676
Eh !,676
Une seconde.,670
Vous avez raison.,668
Va te faire foutre !,667
Tu crois ?,664
Là-bas.,664
Où est-elle ?,660
"Merci, monsieur.",656
Je comprends pas.,653
Voyons.,651
Laisse-moi.,651
C'est toi ?,650
Je m'en vais.,650
Qu'est-ce que tu fais là ?,646
Je l'ai.,645
Justement.,644
Laissez-moi.,643
Bienvenue.,643
Où tu vas ?,642
"Oh, oui.",642
Tu fais quoi ?,639
Un.,639
Eh ben !,638
Terminé.,636
Brouhaha,633
Dis-moi.,633
N'importe quoi.,632
Et comment !,632
Qu'est-ce qui s'est passé ?,630
Ça va pas ?,629
Bon Dieu !,628
Dommage.,627
Où es-tu ?,626
Aucune idée.,624
C'est exact.,622
Je le savais.,622
Evidemment.,619
En avant !,617
Bonne idée.,614
Ne t'inquiète pas.,612
Et ça ?,612
Quoi donc ?,611
"Non, pas du tout.",608
Capitaine.,606
Bouge pas.,605
Une minute.,605
Taisez-vous.,604
Pas maintenant.,602
Formidable.,601
Hey!,599
Qu'est-ce que vous faites ?,599
Aidez-moi.,599
Salaud !,596
Seigneur !,593
A demain.,590
Qu'est-ce que ça veut dire ?,589
Calmez-vous.,589
C'est clair ?,587
J'ai peur.,585
Ecoutez.,583
Dégagez !,582
Qu'est-ce que tu racontes ?,578
Monte.,577
Écoutez.,575
Les voilà.,574
Et après ?,573
Mais pourquoi ?,570
Tu es fou.,568
Ne bougez pas.,567
C'est fait.,564
Okay.,564
J'ai compris.,563
"Oui, merci.",562
Musique douce,561
Tout à fait.,559
O.K.,556
Donne.,555
Police !,555
"Non, ça va.",555
Prêt ?,553
Je crois.,553
Tu parles !,550
Tu viens ?,546
Certainement.,543
Applaudissements,543
La voilà.,541
Oh là là !,540
C'est là.,540
C'est gentil.,539
Tu plaisantes ?,538
C'est faux.,538
Santé.,537
Pas vrai ?,537
Ça ira.,536
"Bonjour, monsieur.",534
Qu'est-ce qu'on fait ?,533
Que faites-vous ici ?,532
T'inquiète pas.,532
Et ensuite ?,532
Je peux vous aider ?,531
Lequel ?,531
C'est important.,528
C'est sûr.,526
Ce n'est pas vrai.,526
Ouvrez !,525
Qui est là ?,525
Connard !,524
Pardonnez-moi.,522
Eh oui.,522
Voila.,522
Vous permettez ?,520
Oh oui.,518
Quelle heure est-il ?,518
Ho!,517
Ouvre !,517
Qu'est-ce qui te prend ?,516
"Non, monsieur.",514
Montez.,512
C'est vous.,510
Reculez !,510
C'est génial.,510
De quoi tu parles ?,509
Qu'est-ce que tu as ?,508
C'est beau.,505
Ça ?,503
Paul !,503
Trois.,501
C'est possible.,500
C'est parfait.,499
Laquelle ?,497
"Oh, merde !",496
"Oui, c'est ça.",496
Ça alors !,495
Ciao.,493
Rien du tout.,492
Tu le sais.,492
Tu sais...,491
Qu'est-ce que c'est que ça ?,489
Il y a quelqu'un ?,488
Partez !,485
Vous m'entendez ?,485
Avance.,484
T'as raison.,483
Parfaitement.,482
Avancez !,481
Allez-vous-en !,480
Ecoute-moi.,478
Que voulez-vous dire ?,474
Ça marche.,473
Je vous remercie.,472
Ce soir.,471
Bonne journée.,470
Pierre.,469
Et merde !,469
Viens là.,468
Bon appétit.,466
Adieu.,466
Oh mon Dieu !,463
C'est magnifique.,462
Évidemment.,462
Parce que...,460
C'est comme ça.,459
C'est normal.,457
Ne bouge pas.,456
Aide-moi.,455
Fais voir.,455
Comment vas-tu ?,451
Plus tard.,451
Vous aussi.,451
Halte !,450
Qu'en pensez-vous ?,449
Elle rit.,449
Et puis...,448
Vous plaisantez ?,447
Pour moi ?,446
Réveille-toi.,446
Vous êtes fou ?,445
Où êtes-vous ?,444
Je vais bien.,444
Vous croyez ?,442
Lui.,441
"Bien, monsieur.",441
Qu'est-ce que t'as ?,440
A bientôt.,440
Tout ira bien.,440
Joyeux Noël.,439
Toujours.,437
J'ai une idée.,435
C'est quoi ça ?,435
J'ai faim.,435
Bye.,435
Je vous écoute.,433
Vous êtes sûr ?,433
Docteur !,433
Je m'excuse.,432
Chérie.,432
M.,431
"Non, rien.",430
Il rit.,430
Tant pis.,430
Et moi ?,429
Que veux-tu dire ?,428
Bien joué.,426
Presque.,426
"Oui, c'est moi.",425
C'est drôle.,425
"Oui, c'est vrai.",424
Merveilleux.,423
Yes.,423
Autre chose ?,421
Où étais-tu ?,420
Cool.,420
Hmm.,420
On frappe.,419
Beaucoup.,418
Non merci.,418
Salope !,417
Casse-toi !,417
Viens avec moi.,415
Lève-toi.,414
Il est parti.,414
J'adore.,414
On s'en va.,414
Reviens.,412
C.M.C.,411
Marie.,411
Regarde ça.,411
A l'aide !,411
Je reviens tout de suite.,410
Je l'ignore.,409
Tire !,408
Au contraire.,408
C'est merveilleux.,408
C'est mieux.,407
Dites-moi.,407
Déjà ?,407
À demain.,405
Ça veut dire quoi ?,405
Que veux-tu ?,405
Si tu veux.,404
"Si, si.",404
Fais gaffe.,404
Viens voir.,403
"Oui, ça va.",401
C'est pour toi.,400
Votre nom ?,400
Je vous demande pardon.,400
oui.,400
Jacques!,398
N'aie pas peur.,398
Mon père.,397
Je t'emmerde !,397
Trop tard.,397
Donc...,394
Regardez ça.,393
Comment tu t'appelles ?,392
Tous.,392
Sérieux ?,392
Elle est morte.,392
En route.,391
Tu rigoles ?,390
Frank.,389
Tu es sûr ?,389
"Oui, madame.",387
"Bonjour, madame.",386
Bien sûr que si.,386
Descends.,384
Coupez !,384
Richard !,383
Sûr ?,383
Qu'est-ce que tu fous ?,380
Qu'est-ce ?,379
Qui sait ?,379
C'est elle.,378
Qu'est-ce que vous voulez ?,378
Écoute-moi.,378
Ca suffit.,377
Ne t'en fais pas.,377
Paris,377
Les enfants !,377
Fais attention.,376
C'était quoi ?,375
Prêts ?,375
Vous désirez ?,375
Superbe.,375
C'est une blague ?,375
Qui es-tu ?,375
Suivant.,375
Parle.,375
J'en ai marre.,373
Très drôle.,372
Où sont-ils ?,370
Fantastique.,369
Hop !,368
Faites attention.,368
Tu te souviens ?,366
Quoi d'autre ?,365
Ne fais pas ça.,365
Je vous aime.,365
Tu es là ?,365
Mais bien sûr.,364
Harry.,363
Ferme-la.,362
Je t'écoute.,362
Cours !,362
A tout à l'heure.,362
Il le faut.,361
Naturellement.,360
On y est.,360
T'es sûr ?,360
Chéri !,359
Sonnette,358
Je dois partir.,358
Chef !,357
Jack.,357
Père.,357
Il arrive.,356
Mon amour.,355
C'est très bien.,355
Menteur !,355
Bonne soirée.,355
ça va ?,354
Ne tirez pas !,352
C'est terrible.,352
Vous savez quoi ?,352
Imbécile !,350
Klaxon,349
On verra.,349
C'est super.,349
C'est pour moi.,348
Robert.,347
Yeah.,346
"Oui, Monsieur.",345
Réponds.,345
Négatif.,344
On fait quoi ?,344
Bien reçu.,344
Coucou !,343
Bien sur.,342
"Oui, chef.",340
A vous.,340
Approche.,340
Qu'est-ce qu'il a ?,339
Qu'est-ce qui ne va pas ?,339
Alex!,339
Donne-moi ça.,339
"Allez, on y va.",338
Elle est là.,337
Fils de pute !,337
Bordel !,336
Pourquoi moi ?,335
Tiens bon !,335
Max !,335
Regarde-moi ça.,334
Cris,334
Ils arrivent.,334
C'est grave ?,334
Bon voyage.,334
Ecoutez-moi.,334
Louis.,333
Je ne veux pas.,333
Et pourquoi ?,332
J'en suis sûr.,332
"Un, deux, trois.",331
C'est pas moi.,331
Il a raison.,331
Vous le connaissez ?,330
Rire,330
Pardonne-moi.,330
Je veux dire...,330
Qu'est-il arrivé ?,330
C'est la vérité.,329
Pas toi ?,329
Venez avec moi.,329
Attendez-moi.,329
Hello.,328
T'en fais pas.,325
Va.,325
"Oh, pardon.",324
Raconte.,324
J'y crois pas.,323
A plus tard.,322
C'est absurde.,322
C'est dingue.,321
Je regrette.,321
Tu vas où ?,321
Tirez !,321
Ca va aller.,321
Bientôt.,320
Vous allez bien ?,320
Arrêtez-le !,319
Pour quoi ?,319
Je suis d'accord.,319
"Moi, si.",319
"Bon, d'accord.",318
Qu'est-ce qui t'arrive ?,318
Revenez !,318
Les deux.,317
Je l'ai vu.,316
Écoutez-moi.,316
Pourquoi tu dis ça ?,316
Ça ne va pas ?,316
David.,316
Dis-le.,314
Je vous laisse.,314
Je peux entrer ?,314
Qu'est-ce que tu dis ?,313
Possible.,313
Thème musical,313
À bientôt.,312
Attends un peu.,312
Intéressant.,311
Voyons voir.,311
Embrasse-moi.,311
Lâche-le !,310
Comme d'habitude.,309
C'est bizarre.,309
Nous ?,309
Un problème ?,308
T'inquiète.,306
Je plaisante.,306
Où allons-nous ?,306
Mmm.,305
C'est pas ça.,305
Vous ne comprenez pas.,304
"Oui, mais...",304
Tu mens.,303
Avec qui ?,303
Aujourd'hui.,303
Où il est ?,302
Volontiers.,301
"Allez, vas-y.",301
J'espère.,301
Ça va mieux ?,300
Vous entendez ?,299
Tu veux quoi ?,299
"Ouais, ouais.",299
A moi.,299
Que fais-tu ici ?,298
Sors.,298
Prends ça.,298
Comme tu veux.,298
Antoine !,298
Sors de là !,297
Bien entendu.,297
Très.,296
Je ne pense pas.,296
Envoye!,296
Jean.,295
Reste là.,295
Vous avez entendu ?,294
Plus maintenant.,294
Repos.,293
Fous le camp !,293
Pas la peine.,293
Qu'est-ce que tu veux dire ?,292
C'est terminé.,292
Absolument pas.,292
Charles.,292
Dr.,291
Que faire ?,291
Ben non.,291
C'est trop tard.,290
Sûrement pas.,290
Putain de merde !,289
Descendez.,289
Je le jure.,288
Ce n'est pas possible.,288
Dis donc !,287
C'est dangereux.,287
Plus fort !,287
AH!,287
T'as vu ?,286
Il y a un problème ?,286
Pitié !,286
Comment le savez-vous ?,286
Regarde-toi.,286
Je suis en retard.,285
Ma femme.,285
La vérité.,285
Il est où ?,284
Pour toi.,284
Ouah !,283
La vache !,283
Pas ici.,283
Venez voir.,283
C'est formidable.,283
Elle est partie.,283
Les gars !,282
Je l'espère.,282
Pas possible.,282
J'ai...,282
On s'en fout.,282
Vincent.,280
A terre !,280
Détends-toi.,280
Je ne savais pas.,280
C'est ici.,279
C'est ma faute.,279
Qu'est-ce qu'il dit ?,279
Qu'en penses-tu ?,279
J'écoute.,278
Regardez-moi ça.,278
Lieutenant.,277
Réponds-moi.,277
J'ai oublié.,277
Six.,277
Philippe.,276
François!,276
C'est horrible.,276
Le téléphone sonne.,276
Depuis quand ?,275
Idiot !,274
Assis !,274
Waouh !,274
À tout à l'heure.,274
"Bonsoir, monsieur.",273
Qu'est-ce que...,273
N'ayez pas peur.,272
Wow!,272
Si vous voulez.,272
Que fais-tu là ?,272
Ça te plaît ?,272
Peter.,270
Quoi encore ?,269
C'est simple.,269
Il va bien.,269
Mince !,269
"Oh, putain !",269
Surprise !,268
Il faut que j'y aille.,267
Tu es folle ?,266
Tu verras.,265
C'est pour vous.,265
T'as compris ?,264
Vous êtes là ?,264
Je n'en peux plus.,264
Belle.,264
"Allez, hop !",264
Je te jure.,264
Taxi !,264
Je te rappelle.,264
J'en doute.,263
Ça fait mal ?,263
Il soupire.,263
Partons.,263
Tu entends ?,263
Attends-moi.,262
Je vais le faire.,262
J'ai besoin de toi.,262
Musique !,262
John...,262
Tu te rends compte ?,261
C'est dommage.,261
Tu vas voir.,261
Y a quelqu'un ?,261
Aucun.,261
Je suis...,261
L'argent.,260
Je te tiens.,260
Il est tard.,260
C'est joli.,260
J'en peux plus.,259
Soupir,258
Ça dépend.,258
Sergent !,257
Je m'en fiche.,257
"Non, mais...",256
Mais quoi ?,256
J'ai rien fait.,256
C'est juste.,256
NON.,255
Ils sont là.,255
Certainement pas.,255
non.,254
La police ?,254
Pigé ?,254
Musique intrigante,254
De l'eau.,254
Tu le connais ?,254
Sans doute.,253
Bon anniversaire.,252
Quatre.,252
Ma chérie.,252
C'était bien.,252
Ouh!,251
Bougez pas.,251
Sérieusement.,251
Vous avez vu ?,251
Cinq.,250
Poussez-vous !,250
À plus tard.,250
Permettez.,250
Ne vous en faites pas.,249
Vous êtes...,249
Quelle surprise !,249
Tu m'aimes ?,249
Ce n'est pas grave.,248
Pousse-toi.,248
OUI.,247
Je m'en doutais.,247
Regardez-moi.,247
T'es fou ?,247
Quoi de neuf ?,247
Patron !,247
Coups de feu,246
Sophie!,246
C'est urgent.,246
Tout le monde.,246
Je vous en supplie.,245
Veuillez m'excuser.,245
Vous savez...,245
Fais-moi confiance.,245
Que faites-vous là ?,245
Qu'est-ce que tu vas faire ?,245
Sûrement.,245
Je t'en supplie.,245
Combien de temps ?,245
Quel dommage.,244
On arrive.,243
Benjamin !,243
Je t'embrasse.,243
Les mains en l'air !,242
Je veux !,242
Fais pas ça !,242
Pourquoi ça ?,242
"Ah, non.",241
Suis-moi.,241
Je suis navré.,241
Un café.,241
Qu'est-ce qu'il a dit ?,241
Hi!,241
Je suis sérieux.,241
Comme quoi ?,241
Je vais vous aider.,241
Inutile.,241
Bah...,240
S'il vous plait.,240
Ils rient.,240
Je descends.,240
Thomas.,239
Vous connaissez ?,239
Fais-le.,239
Franchement.,239
Tu m'écoutes ?,239
Sire!,238
Amusez-vous bien.,238
Mange.,238
Je suis prêt.,238
"Oh, merci.",238
Go!,238
Laissez-moi faire.,238
Je viens.,238
Arrêtez-vous !,237
Sonnerie,237
Pas vous ?,237
Tu sais pourquoi ?,237
Laisse.,236
Approchez.,236
Pas un geste !,236
Coup de feu,235
Je vais te tuer !,235
Merci bien.,235
Enfoiré !,234
Bob.,234
Victor !,234
Des questions ?,234
Dites.,233
Musique inquiétante,233
Aucune.,233
Elle va bien.,233
Elle a raison.,233
Ne me touchez pas !,233
Certes.,233
Qu'est-ce qu'elle a ?,232
Heu...,232
Sarah.,232
Pas si vite.,232
"Attends, attends.",231
Ne quittez pas.,231
Je reviendrai.,231
De quoi s'agit-il ?,230
Réfléchis.,230
J'en étais sûr.,230
J'en ai assez.,230
