sentence,count
Sì.,23347
No.,22300
Grazie.,12744
Ciao.,7986
Va bene.,5333
Ah!,5114
Andiamo.,4918
Cosa?,4839
Eh?,4761
Bene.,4647
Perché?,4545
Certo.,4311
Si.,4085
Buongiorno.,4067
Pronto?,3263
Prego.,2886
Come?,2884
Non lo so.,2740
Oh!,2728
Niente.,2501
Bravo!,2402
Davvero?,2381
Ecco.,2244
Allora?,2222
Ehi!,2198
Arrivederci.,2160
Buonasera.,2121
Vieni.,2077
Che c'è?,2034
Chi è?,1973
Aspetta.,1972
Basta!,1923
Vai!,1853
Dai!,1769
Si'.,1693
Buonanotte.,1689
Lo so.,1660
Avanti!,1643
D'accordo.,1631
Chi?,1588
Già.,1574
Io?,1555
Dove?,1465
Aiuto!,1461
Guarda.,1400
Via!,1380
Papà!,1380
"No, no.",1364
Che succede?,1362
Mamma!,1343
E allora?,1335
Forza!,1311
Mi dispiace.,1304
Ok.,1278
Scusi.,1205
Dove vai?,1159
Scusa.,1139
Un momento.,1134
Salve.,1128
"Ah, sì?",1124
Okay.,1108
Tieni.,1101
Piacere.,1052
Oddio!,1036
Come stai?,1006
Silenzio!,952
Ho capito.,939
Hai capito?,937
Che cosa?,935
Come va?,934
"No, grazie.",929
Mi scusi.,927
lo?,925
Scusate.,920
Beh?,918
"Sì, sì.",904
Giusto.,877
Esatto.,874
Permesso.,871
Capito?,869
Perchè?,866
Ma...,861
Che fai?,856
Fermo!,847
Ahi!,838
Brava!,832
Non è vero.,799
Che è successo?,798
Presto!,797
Dov'è?,780
Subito.,780
Eccolo!,774
Tu?,733
Vieni qui.,727
E tu?,724
Così.,708
Piano!,694
Non posso.,693
Cosa c'è?,675
E' vero.,674
Vattene!,665
Capisco.,654
Lasciami!,652
Benissimo.,648
Zitto!,646
Cazzo!,645
Smettila!,643
Ma no!,627
Merda!,622
Vieni qua.,617
Anch'io.,610
Cos'è?,609
Su!,604
Addio.,597
Ancora?,594
Stai bene?,593
Vaffanculo!,588
Signore?,579
Fuori!,579
Ti piace?,572
Ma come?,566
Qui.,564
Amore!,563
Sono io.,563
Per favore.,560
Ti prego.,552
Ferma!,548
"Sì, signore.",543
Accidenti!,543
Fermi!,541
Mai!,537
È vero.,534
Perché no?,530
"No, no, no.",513
Siediti.,509
Ecco qua.,506
Ti amo.,505
Molto bene.,503
Mh?,499
Scusami.,495
Auguri!,494
Venite.,494
Hai ragione.,492
Non importa.,491
Si accomodi.,489
Come no?,486
Perfetto.,485
Come ti chiami?,484
Quando?,483
Tutto bene?,477
Fermati!,475
Signora!,474
"Oh, mio Dio!",471
Quale?,458
E poi?,457
Ma che dici?,452
Calma!,450
Ci penso io.,449
Appunto.,446
Che cos'è?,445
Adesso?,443
"Sì, certo.",442
A me?,441
Non capisco.,440
Eccola!,439
Come si chiama?,438
Senti...,437
Bella!,437
Signorina!,436
Che dici?,433
Che vuoi?,428
Che?,427
Dove sei?,427
Eccomi!,424
Attenzione!,420
Vai via!,420
Va tutto bene.,419
Ma che fai?,419
Non so.,418
Attento!,415
Sissignore.,413
Antonio!,410
Non ti preoccupare.,408
Forse.,408
Ecco fatto.,407
Coraggio.,402
Cioè?,402
Cos'è successo?,402
Bello!,401
Cosa fai?,401
Tutto.,401
Chi sei?,401
Venga.,400
Mamma mia!,398
Ah sì?,397
Cammina!,395
Ascolta.,394
Vedi?,394
Finalmente!,391
Hai visto?,389
Posso?,388
Salute.,387
"Sì, grazie.",382
Che è?,382
Pronti?,380
Mario!,380
Complimenti.,378
Amen.,378
