sentence,count
はい,395
ありがとう,245
うん,208
ええ,108
的,87
あ...,86
そうだ,83
そう,83
あっ,82
なに？,79
い,75
脱げ!,75
え?,73
すみません,66
いや,64
ン,64
おい,62
どうぞ,61
大丈夫か？,58
うん。,58
すいません,58
イ,56
よし,54
でも...,54
いいえ,53
た,52
の,52
大丈夫？,51
我,51
おい！,47
な,47
ちょっと,47
もしもし,46
どうして？,46
どうした？,46
わかった,44
ありがとうございます,44
萱,43
ごめん,41
ごめんなさい,41
はい！,39
ねえ,39
大丈夫,39
どうも,39
廉君!,39
ああ。,38
扇 〉,38
こんにちは,38
何が？,37
うん？,37
あぁ,37
はい？,36
キ,36
失礼,36
ほら,35
そうね,34
は,34
ラ,34
了解,33
はあ...,33
アガ!,33
ローガン,33
て,32
♬ 始,32
マラサン!,32
え？,32
えっ?,31
お願いします,31
想,31
私...,31
そうです,31
你,30
ん?,30
行くぞ,30
急げ！,30
分かりました,29
友子...,29
なぜ？,29
ローガン！,29
永遠君,29
分かった,29
それは...,29
それで...,29
いいよ,29
撃て！,28
シロ,27
助けて！,27
そうだな,27
どうしたの？,26
マ,26
いえ,26
永遠,26
ああ!,26
おはよう,26
なんだ？,26
待て,26
ー,26
そうか,26
ごめんね,25
ミ,24
♬ 終,24
アルビン,24
くそっ,24
（鈴の音）,23
待って,23
さあ,23
そうよ,23
は？,23
あ・・・,23
ありがとう。,23
おやすみ,23
どうだ？,23
もちろん,23
違う,22
ジャン,22
急げ,22
ウーのことを思っていました,22
だって...,22
で,22
あれ？,22
僕は,22
アーッ!,22
と,21
ただいま,21
安心安心,21
し,21
アアーッ!,21
あ？,21
どう？,21
そう？,21
早く!,21
ぎ,20
じゃあ,20
クリア！,20
カ,20
タ,20
シ,20
ありがとうございました,20
はあ？,20
ん・・・,20
あなた,20
行くぞ！,20
ああ・・・,20
れ,20
あぁ・・・,20
まさか,19
アッ!,19
何だって？,19
離して！,19
情,19
名前は？,19
天,19
そうだよ,19
マコ,19
待て！,19
やめろ,19
それで？,19
友子さん...,19
父さん,19
どうした,19
不,18
永遠・・・,18
これ,18
"♪ (""聖者の行進"")",18
みんな,18
走れ！,18
わかりました,18
しかし...,18
デイブ,18
♪空を歩こう...,18
ワン！,18
（鳥語）,18
ええ・・・,18
速く！,18
おはようございます,18
こっちだ,18
バイバイ,18
10番?,18
おとうさん！,18
早く！,18
なんで？,18
その通り,18
パパ,18
是,18
だから,18
鈴ちゃん!,17
本当に？,17
ちょっと待って,17
お兄ちゃん,17
もしもし？,17
返して,17
ハイッ,17
どうして?,17
何で？,17
私は,16
く〝〟ゝ,16
う,16
伏せろ！,16
行け！,16
合,16
ストップ,16
あの,16
そ,16
そうだね,16
アッ・・・,16
なるほど,16
そう。,16
そうなの？,16
ママ！,16
議長...,16
在,15
茂伯父!,15
まあ...,15
どういうこと？,15
そんな...,15
はーい,15
そして,15
シロ！,15
そうですか,15
初めまして,15
（笑い声）,15
"♪ (""星に願いを"")",15
何があった？,15
ピエール！,15
何?,15
マリコ？,15
いいや,15
いいか,15
ダメだ,15
ピエール,15
何なの？,15
あなたは？,14
そうですね,14
先生,14
田鶴様,14
ねぇ...,14
（カシャ）,14
あれ?,14
ちょっと！,14
ちょっと待て,14
何してるの？,14
クレア,14
ありす,14
わかったよ,14
黙れ！,14
大丈夫よ,14
おかあさん！,14
どうやって？,14
了,14
本当？,14
よかった,14
（携帯の着信音）,14
お願い,13
あれは？,13
ソフィー！,13
おいおい!,13
おいっ！,13
リ,13
無罪,13
大丈夫だ,13
渡れ　渡れ,13
マコ！,13
そっか...,13
そうそう,13
失礼します,13
