sentence,count
응?,459
네,453
예,409
어?,366
야!,289
그래,194
뭐?,180
왜?,146
아...,142
여보!,106
아니,104
여보세요?,92
자!,86
엄마,80
저...,77
아이고!,74
뭐야?,69
가자,69
놔!,59
오빠!,56
감사합니다,51
아버지,50
그럼,49
아저씨!,49
안녕하세요,48
음...,45
와?,44
타츠오!,44
어머니,43
죄송합니다,40
괜찮아?,40
아빠!,40
아이구!,39
왜요?,39
그래요?,38
왜 그래?,37
나...,34
아이!,34
잠깐만,34
언니!,34
저기...,33
그려,33
선생님,32
예이,32
빨리!,29
형!,29
형님,29
파이팅!,29
씨발!,29
하!,28
어이!,25
알았어,25
안 돼,25
충성!,24
괜찮아요,24
미화야!,23
이거...,23
돌격!,23
싫어,23
누구야?,22
옥희야,22
정말?,22
할머니,21
가!,21
야야!,21
글쎄...,21
성칠아!,21
동만아!,20
뭐라고?,20
에이!,20
어서!,19
아니요,19
어머,19
너...,19
진짜?,19
준식!,18
뭐요?,18
아니야,17
고맙습니다,17
안돼!,17
해순아!,17
뭐여?,17
어때?,17
글쎄요,16
저기요,16
수연아!,16
얘들아!,16
누구세요?,16
엄니,16
에?,16
이봐!,16
영차!,15
일어나!,15
뭐가?,15
춘향아!,15
어무이요!,15
뭘?,15
알았지?,15
미안해,15
야옹,14
보이소!,14
안녕히 가세요,14
할아버지!,14
몰라,14
뭔데?,14
라이터 사세요,14
그래서?,14
어서 오세요,13
됐어,13
뭐라구?,13
참...,13
♪ 언젠가 터질 거야,13
선상님!,13
아니에요,13
왜 이래?,12
미안해요,12
지수야,12
오케이,12
임마!,12
내가...,12
잠깐만요,12
오!,12
누구?,12
안협네,12
오냐,12
알겠습니다,12
근데...,11
난실아!,11
좋아,11
성님예,11
어서 오십시오,11
빨리 와!,11
하하!,11
동식이!,11
뭣이?,11
아니 왜?,11
어디?,11
안녕히 계세요,10
실례합니다,10
없어?,10
왔어?,10
씨...,10
이리 와,10
마담!,10
박상길!,10
그래 그래,10
고마워,10
무슨 소리야?,10
혜린아!,10
여기?,10
그치?,10
영희야!,9
맞어,9
임자,9
여기요,9
아닙니다,9
그...,9
그냥...,9
아리아리랑 쓰리쓰리랑 아라리가 났네,9
제발...,9
♪ 간다고 하지 마오 ♪,9
오이야,9
이...,9
오야,9
예예,9
나와!,9
앉아,9
기상!,9
이 새끼야!,9
활화산!,9
이보오!,9
이게 뭐야?,9
뭐라구요?,9
간다,9
수미야!,9
♪ 오!,8
좀!,8
안쪽!,8
누나!,8
"예, 알겠습니다",8
미안합니다,8
누구요?,8
종석아!,8
미쳤어?,8
초시 어른,8
그럼요,8
정신차려!,8
으잉?,8
그렇지,8
할배요!,8
끊어!,8
칠성아!,8
잠깐!,8
그지?,8
아 예,8
아뇨,8
카림!,8
그만해!,8
아가!,8
나이스 킵!,8
엉?,7
참말로...,7
호외!,7
에미야!,7
천황폐하 만세!,7
♪ 널 향한 나의 마음은,7
얘!,7
하지만...,7
갈게,7
어디 보자,7
어떻게 됐어?,7
어무이예,7
♪ 기막힌 어떤 행운도,7
비켜!,7
알았다,7
들어와!,7
이게...,7
서방님!,7
배야!,7
배가 온다!,7
스톱!,7
왜 그려?,7
뭐해?,7
뭐라고요?,7
뭐가요?,7
무슨 일이야?,7
"아, 네",7
아가씨!,7
아가야!,7
들어가!,7
아리랑 흠 흠 흠 아라리가 났네,7
난...,7
지금,7
오랜만이다,7
사람 살려!,7
아이 참,7
저는...,7
좋다,7
하이,6
온다!,6
지키겠습니다,6
영호야,6
해명!,6
철이야!,6
혜린 엄마,6
오메,6
웬일이세요?,6
웬일이야?,6
여봐라,6
확!,6
와예?,6
옛!,6
잠시만요,6
준식아!,6
♪ 가도,6
뛰어!,6
놔라!,6
만세!,6
건배!,6
무대감독님!,6
고마워요,6
"아, 그래요?",6
신스케!,6
수지 큐 ♪,6
수원댁!,6
공주야,6
성구야!,6
구룡아,6
상우 씨,6
사람 살려요!,6
미안하다,6
그리고...,6
가만있어!,6
아라리가 났네 헤에에,6
로라!,6
"야, 야!",6
언제?,6
돌격해라!,6
동무!,6
어딨어?,6
됐어요,6
도망 가!,6
야아!,6
그렇죠?,6
누구냐?,6
알았어요,6
아줌마!,6
누가?,6
대장 동무,5
정말이지?,5
노...,5
길동아!,5
넌?,5
천왕폐하 만세!,5
찰스,5
너 뭐야?,5
차돌아!,5
너는?,5
나가!,5
나는야...,5
놓이소!,5
대좌!,5
과장님!,5
그러세요,5
그러게,5
♪ 내 마음은 아프다오 ♪,5
♪ 내 마음의 창을 열고,5
♪ 두 팔을 벌려서 돌면,5
♪ 불 같은 나의 청춘도,5
♪ 불놀이야,5
♪ 비틀거릴 내가 안길 곳은 어디에,5
헬프 미!,5
헤이!,5
♪ 언젠간 터질 거야,5
♪ 저 들판 사이로 가면,5
가만,5
가세요,5
가요,5
거짓말!,5
하지 마,5
하아...,5
하나!,5
플리즈!,5
패스!,5
고맙다,5
"전달, 뒤로 돌아",5
괜찮으세요?,5
그게 무슨 소리야?,5
전쟁이 터졌어요!,5
에휴...,5
전...,5
수비!,5
움직여!,5
요안나!,5
왜 그러세요?,5
"아, 예",5
"아, 저...",5
아냐,5
아니여!,5
옳지,5
아버지도...,5
아아...,5
아유...,5
아이구야...,5
오셨어요?,5
아이씨!,5
안 그래?,5
애미야!,5
야 이 새끼야!,5
"어, 그래",5
"어, 왔어?",5
어디 가세요?,5
어디가?,5
어때요?,5
어떻게 된 거야?,5
수업아!,5
으이?,5
저두 그래요,5
새댁!,5
두수씨!,5
저 놈 잡아!,5
들어가자,5
들어와요,5
또?,5
"엄마, 엄마",5
잘 있었어?,5
"자, 어서",5
막아!,5
있어!,5
몰라요,5
일부러!,5
이창수 상병님!,5
뭔데요?,5
뭡니까?,5
이모!,5
이러지 마!,5
보고지고...,5
봤어?,5
부르셨습니까?,5
붙어!,5
이 놈아!,5
이 개새끼야!,5
아오...,5
