sentence,count
Ja.,5719
Nee.,3219
Wat?,2037
Oké.,1093
Hallo?,813
Goed.,785
Hier.,729
Sorry.,706
Bedankt.,696
Waarom?,675
Kom.,633
Wat is er?,614
Kom op.,595
Hé.,577
Vooruit.,569
Dank je.,476
Verdomme.,475
Natuurlijk.,464
Echt?,463
Het spijt me.,447
Dank u.,416
Wacht.,413
Alsjeblieft.,403
Wacht even.,402
En?,398
Ik...,380
Ik weet het niet.,379
Godverdomme.,375
Hoezo?,374
Waarom niet?,350
Wat is dat?,344
Nou...,338
Hee!,329
Wie?,324
Niks.,321
Zo.,311
Niets.,302
Kijk.,282
Wat doe je?,281
Dag.,278
Oke.,276
Stop.,269
Mooi.,268
Oh!,259
Ah.,255
Dank u wel.,253
Echt waar?,252
Hè?,251
Nu.,251
SPANNENDE MUZIEK,250
Hoi.,250
Gaat het?,245
Papa.,243
O.,239
Jawel.,233
Mama.,229
Begrepen?,225
Dank je wel.,223
Daar.,218
Alstublieft.,212
Wat is dit?,211
"Nee, nee.",211
Jezus.,209
Kom maar.,203
MUZIEK,202
Goed zo.,201
Luister.,199
Rustig.,197
Shit.,197
"Ja, ja.",190
Pardon?,188
Waar?,186
Meneer?,186
Ga zitten.,185
Ga weg.,184
Dat weet ik niet.,179
En jij?,178
Precies.,177
Tot ziens.,177
Help.,171
Wat dan?,169
Wat is er gebeurd?,167
Geweldig.,164
Jij?,162
Maar...,159
Schiet op.,158
Klootzak.,158
Mam?,157
Kom hier.,155
"Ja, natuurlijk.",155
Geen idee.,154
O ja?,152
Prima.,151
Goedemorgen.,151
He?,151
Klaar?,150
Niet doen.,149
Kom mee.,148
Tuurlijk.,146
Juist.,145
Inderdaad.,144
Ik ook.,143
Echt niet.,141
En dan?,140
We gaan.,137
Au!,137
Heel goed.,136
Hoe?,135
Hou op.,134
Dus...,133
Fuck.,132
Wie ben je?,131
Wie is dat?,131
Alles goed?,130
"O, nee.",128
Klote !,127
Wat ga je doen?,126
Dat kan niet.,123
Ik weet het.,123
Wat bedoel je?,123
Nou en?,122
Welterusten.,122
Wat doe jij hier?,120
Wie ben jij?,118
Haha.,117
Hahaha!,117
Maak je geen zorgen.,116
Dat weet ik.,115
Geen probleem.,115
Snel.,115
Voorzichtig.,114
GELACH,114
Hoe gaat het?,114
Eruit.,114
Wanneer?,112
Wegwezen.,111
Hoe heet je?,111
Wat zeg je?,111
Michel.,110
Fantastisch.,110
Kom binnen.,110
Hoe bedoel je?,109
Gefeliciteerd.,108
Eh...,108
Zeker.,104
Natuurlijk niet.,103
Het is goed.,102
APPLAUS,101
Waar is hij?,101
Leuk.,101
Toch?,101
Aangenaam.,100
Waar heb je het over?,100
Rijden.,99
Pap?,99
Alles.,99
Kijk eens.,99
Wat is er aan de hand?,99
Nooit.,98
Dat meen je niet.,98
Ik ook niet.,98
Niet?,98
Lekker.,97
Jason?,96
Dat is goed.,94
Julia?,94
Proost.,94
"O, ja?",94
Wat gebeurt er?,93
Weet ik niet.,93
Wat denk je?,92
Guido.,92
Ik weet 't niet.,92
Gaan !,92
Frankie.,91
Wat wil je?,91
Allemaal?,90
Morgen.,90
Wat doe je hier?,90
Euh...,90
TELEFOON,89
Helemaal niet.,89
Doei.,88
Tom.,88
Weet je wat?,87
Laat maar.,86
En nu?,86
