sentence,count
Ja.,8287
Nej.,6545
Hej.,4948
Tack.,2783
Okej.,2739
Va?,2267
Hallå?,1813
Bra.,1501
Jag vet inte.,1284
Jaha.,1194
Kom.,1052
Vad är det?,1051
Förlåt.,1037
Hej då.,1001
Vänta!,863
Mamma!,756
Du...,705
Jo.,669
Här.,642
Fan!,618
Kom igen!,614
Vad gör du?,562
Skål.,538
Vad då?,516
Sluta!,505
Ursäkta.,498
Jag vet.,467
Varsågod.,463
Så.,439
Pappa!,428
Varför det?,427
Varför?,427
Mm.,420
Aj!,405
"Ja, ja.",400
Visst.,382
Hur är det?,382
Tjena.,381
Jaså?,377
"Nej, nej.",372
Nu!,367
Vadå?,362
Herregud!,357
Javisst.,352
Hjälp!,348
Vad?,345
Kom nu.,332
Helvete!,331
Ingenting.,327
Stanna!,326
Titta!,322
Vad menar du?,318
Det är bra.,317
Vad fan?,317
Jag...,316
Snälla.,313
Eller hur?,300
Ta det lugnt.,300
God morgon.,300
Vem?,299
Vad sa du?,282
Just det.,281
Jag älskar dig.,276
Lägg av!,273
Absolut.,270
God natt.,265
Vad gör du här?,259
Vad är det här?,259
Oj!,256
Tack så mycket.,254
Släpp mig!,252
Vem är det?,246
Håll käften!,240
Där.,233
Vi ses.,229
Men...,225
Fy fan!,224
Självklart.,222
Precis.,221
Det är jag.,220
"Hej, hej.",218
Mmm...,215
Förstår du?,213
Vad håller du på med?,212
Kom in.,209
Jag förstår.,207
Varför inte?,207
Välkommen.,206
Vart ska du?,205
Nej tack.,203
Vad vill du?,202
"Nej, nej, nej.",201
Erik!,198
Fattar du?,193
Vad säger du?,193
Det är okej.,192
Tyst!,186
Är du okej?,185
Grattis.,185
Vänta lite.,183
Säkert?,182
Kom hit.,179
Varför då?,175
Ursäkta mig.,175
Vet inte.,174
Inget.,174
Aldrig.,173
Jag lovar.,172
Jävlar!,171
Hur mår du?,170
Jag kommer.,170
Verkligen.,167
Lycka till.,167
Vem är du?,166
Vad har hänt?,166
Öppna!,165
Hjälp mig!,165
Tja.,164
Stick!,163
Vad bra.,163
Vad heter du?,163
Och?,162
Lugn.,160
Det är lugnt.,160
Jag vill inte.,156
Hur så?,156
Sätt dig.,154
Vad hände?,151
Polis!,151
Kör!,150
Hur gick det?,148
Jag kan inte.,147
Hur då?,147
Uppfattat.,147
Nähä.,145
Det går inte.,145
Var har du varit?,143
Ut!,142
Jag är ledsen.,140
God dag.,140
Hur går det?,137
Kom igen nu.,137
Lasse?,135
Fint.,134
Jättebra.,132
Vad tror du?,132
Kolla!,132
Förlåt mig.,132
Sir.,131
Det är ingen fara.,130
Vad händer?,129
Är det sant?,129
Kanske.,129
"Ja, sir.",128
Vem då?,128
Så där.,127
Åh!,127
Lyssna!,126
Johan!,126
Var är du?,125
Ingen aning.,124
Vad är det där?,123
Gå!,123
Inte?,122
Vet du vad?,122
Försvinn!,121
Tack ska du ha.,121
Släpp!,120
Stopp!,119
Anna!,119
OK.,119
Fortsätt.,117
Vad är det som har hänt?,115
Är du säker?,115
Sluta nu.,114
Frank...,113
Skynda dig!,113
Shit!,111
Ja tack.,111
Maria?,111
God jul.,111
Ett ögonblick.,111
Perfekt.,110
Dra åt helvete!,110
Det vet jag inte.,110
Gör det.,110
Har det hänt nåt?,109
Vad är det med dig?,108
Polisen!,106
Vad fan gör du?,105
Hör du mig?,105
Jag förstår inte.,104
Eller?,104
Richard!,103
Hur vet du det?,103
Lucas!,102
Det stämmer.,101
Ingen fara.,101
Det är sant.,101
Är du inte klok?,100
"Ja, just det.",100
Hur är läget?,99
Det är inte sant.,99
Nå?,98
Vem var det?,98
Vad ska jag göra?,98
Var är han?,97
Var är hon?,97
Välkomna.,97
Vad i helvete?,96
Titta på mig.,96
Läget?,96
Vad pratar du om?,96
Karin?,95
"Nej, tack.",95
Det spelar ingen roll.,94
"Hej, älskling.",94
Fan också!,93
Inga problem.,92
Har du?,92
Wow!,92
Vad snackar du om?,91
Adjö.,90
Hejsan.,90
Är det okej?,89
När då?,89
Rör mig inte!,89
Inte jag heller.,89
Lena!,89
Sara!,89
Ner!,89
Hur mycket?,88
"Hej, mamma.",87
Kom då.,87
Lugna ner dig.,87
Vad fan håller du på med?,86
"Ja, visst.",86
Titta här.,86
Gud!,85
Älskling...,85
"Hej, pappa.",84
Vänta här.,84
"Du, då?",84
Det är klart.,83
Det räcker.,83
Vad har du gjort?,82
Vad tycker du?,81
Martin!,81
Tycker du?,81
Hurra!,81
Var?,81
Vad är det som händer?,81
Ah!,81
Jag måste gå.,80
Vad var det?,80
Din jävel!,80
God afton.,80
Du har rätt.,80
Tjenare.,79
Nu räcker det.,79
Såja.,78
Tackar.,78
Otroligt!,78
Jag med.,78
Nä.,77
Då så.,77
Kom tillbaka!,77
Nämen...,77
Berätta.,77
Patrik.,76
Svara!,76
Flytta på dig.,76
Vi hörs.,76
Vakna!,75
Satan!,75
Jag visste det.,75
Utmärkt.,75
Tyvärr.,75
Gå nu.,75
Var så god.,74
Och du?,74
Låt bli!,74
Inte nu.,74
Kanske det.,73
Eva!,72
Hallå där!,72
"Vänta, vänta!",72
Sch!,72
Vad är klockan?,72
Hur känns det?,71
Stick härifrån!,71
Tack för hjälpen.,71
Säg det.,71
Se på mig.,71
Han är död.,71
Amen.,71
Jag vet det.,71
Glöm det.,70
Den här vägen.,70
Thomas.,70
Få se.,70
Vill du det?,70
"Oj, oj, oj!",70
Hör du?,70
Usch!,70
Fantastiskt.,70
Skynda på!,70
Sov gott.,69
"Kom, kom.",69
Förstår du det?,69
Vad sa han?,69
Yes.,69
Vad heter han?,69
Kaffe?,68
Detsamma.,68
Simon!,68
Exakt.,68
"Ja, jag vet.",68
Försiktigt.,68
Spring!,67
Korben!,67
"Ja, det är jag.",67
Fattar du det?,67
Eh...,67
Ingen.,66
Jävla idiot!,66
Lisa!,66
Äh!,65
Naturligtvis.,65
Alltså...,65
Tore!,65
Maja!,65
Det vet du.,65
Nej då.,65
Får jag komma in?,65
Gode Gud!,65
