sentence,count
好,350
谢谢,266
什么？,201
不,192
对不起,188
什么?,167
对,159
是,155
是的,151
好的,146
没有,143
我,130
你好,128
嗯,125
爸爸,122
不！,116
好吧,113
走,109
喂,98
我知道,85
快点,83
我不知道,81
没错,81
不要,80
嗨,79
嘿,79
再见,78
很好,77
来,74
驾!,72
没事,70
走吧,69
为什么,68
妈妈,68
不是,68
怎么了,67
当然,66
你,63
不行,63
快,62
等等,62
真的,60
快走,57
不知道,57
为什么？,57
怎么了？,55
是啊,55
好了,55
来吧,53
妈,53
勇士,52
嗨！,51
抱歉,51
爸,50
等一下,50
真的？,49
啊,48
我很抱歉,48
嘉轩,48
你看,48
好啊,47
杀,47
谢谢你,46
哦,45
所以...,44
太好了,43
是吗,43
不好意思,42
多桑,42
嘿！,41
喂！,41
有,40
小狄,40
噢,39
你说什么？,38
韩先生,38
袁老师,38
这是什么,37
小心,37
该死,37
我没事,37
你没事吧,37
医生,36
过来,36
想成为我的新娘吗 噢 噢 噢,34
謝謝,34
七仔,34
开始,34
停,34
韩先生？,33
对啊,33
晦！,32
挂起来,32
女主人!,31
没关系,31
什麼？,31
你说什么,31
好！,31
子霖,30
ﻢﻌﻧ.,30
住手,30
闭嘴,30
二,30
噢 噢 噢,30
想成为我的新娘吗,30
起来,30
對不起,30
有西,30
走开,29
啊？,29
我爱你,29
你没事吧？,29
泰勒,29
哇,29
派！,28
妈！,28
谁,28
拿下来,28
哎,28
没什么,27
一,27
什么事？,27
三,27
但是,27
阿纯姐,27
你好吗,26
站住,26
怎么回事?,26
晚安,26
爹,26
明白,26
怎么回事？,26
救命,26
干嘛,26
我们走,26
大哥,25
你是谁,25
真的吗?,25
不会吧,24
爸！,24
穿上外套,24
阿蕊,24
干杯,24
陳陣,23
陈阵,23
太君,23
天啊,23
快跑!,23
阿强,23
ﺎﻨﺴﺣ.,23
是吗？,23
拜托,23
听着,23
我也是,23
知道了,22
耶!,22
我是...,22
苍蝇...,22
射,22
我告诉你,22
媽,22
小娥,22
现在,22
努拉!,21
放开我,21
喂？,21
朱教授,21
宗保,21
没事吧,21
出去,21
没问题,21
那...,21
太棒了,21
不错,20
别担心,20
好吗?,20
走了,20
住手！,20
其实,20
因为...,20
怎么样,20
这边,20
普拉提克,20
徐医生,20
那是什么？,19
没事的,19
鵬鵬,19
