word,count
ich,474505
sie,329548
das,271648
ist,260870
die,250820
du,235240
nicht,234606
und,207686
der,180671
es,160472
was,151142
wir,142763
ja,116884
ein,116634
in,115153
er,111073
zu,106847
mit,91805
den,90486
so,87801
mir,85891
auf,81810
wie,81103
aber,76194
mich,73660
hier,71535
sind,67365
da,66701
hat,65990
eine,64916
von,64665
haben,63750
für,62433
noch,60391
ihr,58379
war,57410
doch,56887
dass,56840
wenn,55748
dich,54332
an,52183
mal,51940
auch,51842
sich,51022
jetzt,50447
nur,47662
nein,47374
bin,46305
uns,46218
dir,46018
dann,45198
dem,43106
im,42337
einen,41821
schon,41464
kann,41303
aus,40873
habe,40119
hast,38104
gut,37434
meine,36103
mein,35927
man,34976
denn,33950
sein,33048
nach,32736
alles,32508
als,32407
ihn,32384
wird,31907
bist,31013
bitte,30725
um,29866
hab,29807
keine,29227
wo,29174
nichts,28900
oder,28896
mehr,27930
muss,27794
bei,27146
ihnen,27016
wieder,25648
will,25533
weiß,24858
immer,24380
werden,23353
los,23122
alle,22671
warum,22501
sehr,22450
vor,22303
komm,22301
Mann,22024
danke,21508
zum,21471
geht,21386
soll,21352
machen,21222
Musik,20518
Frau,20475
euch,20415
wer,20384
also,20135
Herr,19981
können,19782
Na,19645
etwas,19239
sagen,18971
ganz,18125
ihm,17865
gehen,17441
am,17336
kein,17207
kommt,17194
sehen,17039
vielleicht,16979
ihre,16855
viel,16642
Oh,16632
einer,16588
des,16549
kommen,16392
nie,16194
müssen,16186
weg,16128
einem,15503
über,15394
heute,15355
diese,15072
wollen,14997
wissen,14363
deine,14218
gibt,13976
leben,13906
morgen,13888
Hallo,13887
bis,13511
tun,13352
Ach,13258
schön,13111
weil,13018
willst,12961
macht,12708
dein,12690
hatte,12328
Vater,12265
kannst,12261
Zeit,12193
wirklich,12137
Tag,11973
ab,11681
wollte,11560
gar,11505
gesagt,11503
zwei,11253
lassen,11113
einfach,10748
guten,10741
damit,10699
zur,10602
tut,10563
Gott,10517
seine,10435
meinen,10390
dieser,10315
zurück,10276
werde,10226
würde,10188
waren,10161
Mutter,10136
gleich,10028
wohl,9988
lass,9985
liebe,9747
wäre,9707
nun,9643
sicher,9576
mach,9569
weißt,9529
genau,9462
weiter,9390
durch,9183
Geld,9170
hätte,9130
klar,9062
her,9043
raus,9043
'n,9017
wurde,8969
vom,8968
darf,8951
ins,8855
sag,8818
ohne,8805
unsere,8775
natürlich,8768
keinen,8718
Nacht,8489
leid,8242
Hey,8099
ob,8013
gute,7968
okay,7947
lange,7887
möchte,7853
geh,7844
gesehen,7827
erst,7817
Abend,7774
Leute,7763
gemacht,7733
sagt,7707
'ne,7672
gehört,7627
Sir,7583
glaube,7563
besser,7461
musst,7448
Kinder,7423
sonst,7364
anderen,7250
wieso,7217
bleiben,7192
