word,count
you,45377402
I,40952427
the,33639312
to,24352546
's,21851045
a,21732126
it,20682104
and,15357820
that,15264625
n't,14263309
do,13308761
of,13300836
in,11218094
is,11125859
what,10853216
we,10299332
me,10085134
this,8779728
he,8162492
on,8063867
for,7462759
my,7428084
your,7194837
no,7152617
have,7073011
'm,6750565
're,6455187
was,6445708
are,6392123
be,6263652
not,6249128
know,6097841
all,6029936
with,5358219
here,5151533
get,5065831
just,5054286
there,5036408
they,4817952
but,4784738
so,4582165
go,4475450
right,4468769
like,4427627
'll,4293211
up,4159947
out,4146683
got,4084227
come,3984108
can,3942614
did,3909271
Oh,3759245
him,3706923
now,3689864
if,3641525
about,3637367
she,3598666
one,3535274
yeah,3485062
at,3484186
how,3190525
well,3122948
good,2928914
've,2910457
want,2891327
think,2819350
see,2811549
will,2758204
her,2755867
let,2717557
as,2502791
who,2464738
man,2441197
from,2354798
would,2342642
yes,2335243
why,2334683
his,2325936
okay,2315504
back,2274477
going,2269253
na,2239466
gon,2219078
look,2189043
when,2172129
time,2166825
where,2152897
them,2106661
take,2087208
us,2069789
an,2016832
hey,2016026
could,1965015
were,1929755
been,1885665
or,1878887
ca,1864068
some,1826616
had,1820508
down,1816821
tell,1815466
say,1773861
'd,1720534
then,1690319
our,1663005
really,1589161
way,1577322
something,1571732
by,1516050
never,1504817
little,1504153
make,1488678
more,1470755
need,1464416
over,1451993
too,1447073
has,1425930
very,1418799
please,1383541
off,1364560
give,1314723
does,1296907
love,1284586
sorry,1283515
people,1276160
mean,1273926
thank,1257994
should,1250569
two,1223263
sir,1222589
only,1217381
said,1177058
God,1160447
any,1145687
because,1121444
doing,1118652
am,1116004
thing,1111214
much,1070531
these,1067643
sure,1053981
help,1016127
Mr.,992697
even,949007
into,938671
wait,933838
nothing,930734
life,929366
anything,922738
first,921340
day,919938
put,909061
find,908364
stop,898622
night,893728
call,892980
uh,889241
must,878798
again,873576
shit,858044
great,853319
still,851970
fuck,851896
before,849968
away,843318
maybe,841936
their,834929
home,833593
work,832419
than,828620
those,818638
better,818098
talk,814994
keep,814822
thought,803224
fucking,802693
other,793679
ever,789403
new,786304
around,781231
old,773542
long,773352
last,761700
name,752619
things,742171
always,738399
after,736415
everything,731974
told,719876
money,716194
guys,716009
guy,709753
big,708738
years,705810
wo,686857
hello,678113
leave,677538
place,666231
nice,666024
three,649288
believe,648482
feel,646783
stay,645852
listen,635139
world,631286
father,628020
every,626073
girl,625777
hear,622273
boy,618896
coming,618038
made,615998
through,613648
done,599920
kind,595468
remember,589142
lot,586767
fine,585967
thanks,584546
ta,579868
kill,574874
OK,574197
hell,571303
huh,569981
wanna,566227
left,565823
bad,565474
dead,562764
house,560522
may,556206
enough,555960
baby,554638
hi,552371
understand,551705
course,548163
move,545960
car,537995
wrong,537717
show,535913
which,535555
another,534226
own,529085
hold,528304
might,524784
talking,519328
wanted,516373
happened,515503
son,509966
mother,509511
mind,509379
dad,506604
ai,502543
real,500542
came,497701
woman,497357
being,496907
try,493929
care,491125
ask,488626
men,488243
looking,486869
next,485583
yourself,483708
else,479460
getting,478462
miss,478448
friend,476947
morning,475766
someone,474231
today,468898
best,457967
same,454262
seen,446961
many,444953
trying,442862
ready,439234
door,437088
head,436154
room,434085
job,433434
most,428443
saw,424098
run,421277
live,420427
found,420241
went,418192
heard,413517
tonight,411855
together,409076
whole,408814
pretty,399478
knew,396326
without,392370
open,388524
matter,388218
guess,388194
bring,387229
once,386801
mom,384077
watch,379333
play,378909
meet,378721
family,377344
wife,373827
five,373330
both,370548
idea,370284
use,368715
everybody,367510
start,364611
gone,364287
excuse,363488
took,362562
turn,361755
used,360620
days,360578
called,360429
yet,358703
happy,356979
minute,356236
myself,355898
while,352107
hope,351614
tomorrow,351521
says,350276
face,349695
year,348287
die,348091
shut,346581
alone,345655
hard,345176
end,344406
such,343959
hand,343083
bit,342723
actually,341223
kid,338046
beautiful,337980
sit,336941
already,336570
phone,335481
killed,335386
friends,334257
brother,334238
damn,334074
somebody,331644
few,329500
lost,327981
looks,325219
business,325025
ah,322613
problem,322275
saying,320930
school,320458
four,319512
music,318874
until,313794
since,312849
bye,311666
ago,311276
second,311065
wants,311024
ass,309568
worry,305438
minutes,304146
easy,303299
crazy,303196
heart,300909
true,300561
everyone,299923
hit,299476
nobody,296396
um,294637
anyone,293017
stuff,292752
eyes,290969
later,290376
under,289409
kids,289186
fire,288907
soon,288642
each,288103
young,285253
water,285125
police,285075
hands,284812
late,284749
forget,283754
check,283448
Mr,279560
probably,278737
far,277259
mine,276955
drink,276564
pay,276026
thinking,275036
part,275002
eat,273763
fight,273451
boys,271231
Jesus,271114
shall,270479
ha,270339
number,268931
word,268910
stand,267548
knows,267051
gun,267050
whatever,266865
read,265684
having,265605
death,265252
close,265191
shot,265154
afraid,264981
cut,264794
'em,263296
war,263093
deal,263030
honey,262140
change,262116
'cause,261903
inside,261847
exactly,261257
dear,260874
set,260687
half,260475
point,258796
whoa,258773
happen,257703
working,256436
times,254815
captain,254247
case,253409
hurt,252726
comes,252659
wish,252496
story,252245
chance,251791
gave,251148
taking,250900
makes,250547
game,249403
sleep,249330
doctor,249194
John,248198
quite,248076
town,247282
rest,246024
