word,count
que,1664051
de,1620483
no,1547752
a,1188002
la,1100965
el,930036
y,850953
es,841995
en,793367
lo,707867
un,692832
qué,554145
me,532923
por,514795
te,442638
una,434690
se,410267
los,397043
con,360360
para,319044
está,298117
si,284518
mi,282847
sí,278862
pero,268267
yo,267287
bien,254872
las,244480
eso,233853
su,212116
aquí,206189
al,200259
le,198578
del,197743
tu,189170
como,186288
más,182366
ya,166848
vamos,154448
todo,153888
esto,153207
muy,140319
hay,135704
esta,126569
ahora,126130
tú,124960
nos,122315
algo,121221
nada,119190
tengo,118979
estoy,117871
cómo,112058
así,111174
ha,110705
sé,109336
estás,106909
este,105456
cuando,104800
quiero,104401
tiene,102044
o,100501
bueno,97306
él,95394
soy,94199
gracias,91605
puedo,90461
hacer,89318
voy,87221
son,87186
todos,85766
era,84613
sólo,83499
tienes,82932
fue,82305
ser,82023
he,80942
vez,80594
eres,79827
ese,79060
porque,78673
va,77341
usted,76987
quién,74461
dos,73449
dónde,71833
ella,71761
sabes,71734
puede,71030
creo,70091
casa,68844
señor,68592
favor,68527
Hola,68476
ahí,67390
quieres,67068
hombre,66421
verdad,65066
mucho,64700
esa,64196
mí,62810
nunca,62668
ver,62624
Dios,61909
hace,61897
están,61853
mejor,60579
sus,60505
tiempo,58907
tenemos,58867
estaba,56892
tan,56889
hasta,55317
vida,55272
ni,55044
también,54950
sin,53663
ti,53135
entonces,52835
uno,52143
años,51022
siempre,50685
solo,50026
has,49598
siento,49152
puedes,49143
día,49095
mierda,48830
cosas,48777
dinero,48530
alguien,48275
vas,48201
ir,47823
gente,47533
decir,47525
Sr.,47231
pasa,46974
quiere,46096
les,45511
estamos,45189
nadie,44994
sobre,44541
otra,44445
mira,44348
parece,44276
poco,44237
antes,43367
mis,43042
nosotros,42662
mismo,42598
trabajo,41543
estar,41148
sea,41083
claro,40967
noche,40615
hijo,40476
otro,40127
padre,39678
amigo,39373
ellos,38995
dijo,38251
hablar,38033
tal,37167
hecho,36746
sabe,35953
donde,35903
seguro,35603
dice,35521
cosa,35393
desde,34882
han,34834
mundo,34584
mañana,34431
gusta,33944
tipo,33814
momento,33743
acuerdo,33672
tres,33198
después,33036
espera,32297
Oh,32203
fuera,31805
había,31593
tus,31272
pues,31209
lugar,31149
eh,30710
dije,30663
mujer,30594
papá,30549
ven,30298
días,30217
menos,29989
luego,29529
tienen,29490
tenía,29364
podemos,29173
mío,29115
buena,29045
necesito,28903
mamá,28819
madre,28676
allí,28444
tener,28333
oye,28189
buen,27983
hoy,27937
mal,27897
gran,27593
crees,27296
nuestro,27062
conmigo,26885
estado,26814
será,26797
toda,26604
van,26602
nuevo,26589
estas,26420
haciendo,26392
podría,26190
nombre,26071
todas,25894
policía,25807
haces,25409
hora,25299
sido,25192
importa,24861
ve,24836
saber,24430
problema,24309
debe,24174
cada,24134
veces,23932
visto,23823
parte,23592
contigo,23344
quería,23338
unos,23163
ustedes,23137
digo,22942
esos,22792
tanto,22627
Ah,22571
hombres,22288
estos,22265
quien,22220
tarde,22025
veo,21980
nuestra,21451
hacerlo,21406
dicho,21292
vaya,21206
aún,20976
entre,20860
hermano,20847
buenas,20638
salir,20596
cabeza,20580
amigos,20462
serio,20371
amor,20344
quizá,20263
haber,20225
hemos,20215
pasó,20147
ves,20074
razón,19915
auto,19657
cuenta,19653
puerta,19353
cierto,19311
alguna,19282
puta,19204
hizo,19096
somos,18893
da,18875
muchas,18833
idea,18818
lado,18815
pueden,18721
muerto,18707
familia,18699
vale,18692
demasiado,18601
cuidado,18548
viejo,18421
minutos,18407
cuánto,18165
allá,17998
adiós,17850
carajo,17573
algún,17535
viene,17506
pasado,17251
debo,17222
sabía,17207
suerte,17159
manos,17045
acá,16979
loco,16945
cariño,16943
venga,16924
rápido,16838
agua,16787
nueva,16705
habla,16659
mas,16615
primera,16596
buenos,16477
dentro,16445
primero,16427
chica,16417
dame,16395
cara,16187
todavía,16129
mano,16095
toma,16074
casi,16053
contra,16033
vete,15969
camino,15934
historia,15884
señora,15860
quieren,15834
arriba,15822
cuál,15764
llama,15738
chicos,15687
pasar,15656
deja,15594
hablando,15588
miedo,15584
ay,15566
horas,15549
Ud.,15530
adelante,15526
hacia,15491
iba,15455
esas,15406
caso,15324
cualquier,15234
ciudad,15223
maldita,15060
cinco,14934
mientras,14918
realmente,14913
esposa,14877
entiendo,14872
vi,14871
maldito,14836
hice,14826
niños,14824
espero,14709
sigue,14669
sería,14657
niño,14630
problemas,14626
guerra,14591
volver,14579
pronto,14523
chico,14523
listo,14495
dices,14475
noches,14449
ayuda,14445
hago,14437
venir,14338
importante,14305
matar,14271
semana,14256
pensé,14222
otros,14213
año,14172
dijiste,14160
único,14139
dólares,14105
déjame,14047
os,14023
forma,14020
grande,14010
ojos,13965
igual,13948
cuándo,13922
jefe,13869
llegar,13841
cuatro,13666
debes,13595
debería,13572
hija,13545
juntos,13520
atrás,13448
poder,13428
dar,13384
cerca,13378
corazón,13352
equipo,13133
dicen,13128
durante,13073
diablos,13052
tío,12988
dejar,12978
personas,12951
significa,12929
ningún,12918
tomar,12917
cree,12889
muchos,12873
bajo,12871
abajo,12841
país,12815
nuestros,12792
manera,12689
teléfono,12675
conozco,12619
haré,12587
escucha,12533
fin,12519
muerte,12477
entrar,12442
persona,12426
pueblo,12403
música,12370
aunque,12174
hijos,12143
coche,12090
tierra,12048
supongo,12006
gustaría,11974
meses,11963
feliz,11962
trabajar,11958
armas,11927
número,11903
calle,11883
vos,11852
hiciste,11788
saben,11736
Io,11731
basta,11652
dime,11644
unas,11584
genial,11503
supuesto,11502
vuelta,11478
siquiera,11426
millones,11426
arma,11372
necesita,11361
hacen,11303
mujeres,11293
hubiera,11277
alto,11269
presidente,11209
hagas,11174
haga,11165
justo,11135
morir,11133
necesitamos,11124
comer,11110
haya,11086
ninguna,11069
aqui,11057
vivir,11020
vino,11019
éste,10997
tampoco,10982
sangre,10976
queda,10955
quizás,10948
medio,10913
pequeño,10911
difícil,10885
perdón,10875
segundo,10839
clase,10832
primer,10775
última,10736
adónde,10730
suficiente,10715
ok,10680
fui,10651
pregunta,10646
debemos,10604
hey,10538
capitán,10510
vivo,10486
mil,10482
falta,10439
eran,10423
fuerte,10409
pensar,10407
punto,10403
paso,10326
final,10306
misma,10296
algunos,10251
don,10250
trata,10236
malo,10156
diga,10133
creer,10133
luz,10132
cuarto,10119
juego,10106
cállate,10094
pueda,10075
e,10048
posible,10046
vámonos,10012
hermana,9956
seis,9954
fácil,9944
general,9922
podía,9844
anda,9838
además,9836
lleva,9812
doctor,9772
Jack,9766
necesitas,9741
comida,9698
café,9695
esperando,9663
palabra,9626
fiesta,9606
sola,9594
pasando,9578
seguridad,9575
preocupes,9558
dormir,9535
verte,9512
perro,9495
sabemos,9489
tranquilo,9485
tuve,9483
buscando,9472
paz,9470
afuera,9449
bastante,9445
dio,9438
lista,9430
par,9426
digas,9412
gusto,9403
mucha,9402
mayor,9357
encontrar,9350
cuerpo,9349
cuanto,9323
fuego,9281
realidad,9263
Ia,9253
culpa,9252
entiendes,9241
dale,9208
John,9169
estabas,9143
deberías,9106
fueron,9069
idiota,9044
hacemos,9035
tenga,9031
oportunidad,9009
vemos,9007
tenido,8996
recuerdo,8992
ésta,8975
boca,8948
seguir,8947
hablas,8897
negro,8883
amo,8844
esté,8759
estuvo,8752
cielo,8738
habrá,8678
lejos,8674
pensando,8667
York,8660
demonios,8650
di,8648
conoces,8605
dile,8602
jamás,8580
llamo,8564
esperar,8553
último,8535
llamar,8504
iré,8452
niña,8447
diez,8416
joven,8415
orden,8400
oído,8390
gobierno,8380
cambio,8342
barco,8326
murió,8322
bebé,8305
sentido,8280
encima,8274
cama,8273
estará,8264
diciendo,8209
increíble,8186
viaje,8178
exactamente,8155
plan,8149
muchachos,8133
agente,8092
buscar,8083
llevar,8062
escuela,8004
pienso,7961
diré,7952
minuto,7951
EI,7935
mía,7932
viste,7903
veras,7884
algunas,7876
dado,7876
trato,7855
ido,7850
venido,7840
avión,7840
Sra.,7828
mire,7823
mala,7820
ayudar,7813
quieras,7808
nuestras,7806
queremos,7798
caballeros,7790
Frank,7772
grandes,7770
libre,7737
chicas,7735
sitio,7718
Dr.,7710
especial,7708
peor,7705
pase,7702
padres,7682
estaban,7672
demás,7656
habitación,7649
detrás,7628
atención,7608
oficina,7598
semanas,7559
libro,7555
joder,7534
tuyo,7515
jugar,7493
seas,7484
blanco,7478
disculpe,7477
hospital,7473
llamado,7454
piensa,7450
vuelve,7449
única,7428
derecho,7424
hotel,7418
David,7390
señorita,7390
acaba,7374
película,7347
culo,7344
llevo,7342
frente,7322
quédate,7310
acabó,7280
poner,7254
pistola,7252
información,7237
negocio,7202
puesto,7150
sino,7148
perfecto,7143
ropa,7139
perder,7139
María,7126
cual,7104
perra,7088
asunto,7084
preguntas,7074
prueba,7070
cárcel,7069
muchacho,7065
recuerdas,7056
quisiera,7023
perdido,6992
tipos,6954
hará,6952
oficial,6950
Sam,6933
correcto,6926
incluso,6917
control,6912
baño,6886
pagar,6868
resto,6855
otras,6811
situación,6790
habría,6789
irme,6784
abre,6773
maldición,6767
sal,6756
acerca,6716
pequeña,6683
piensas,6677
oro,6673
podrías,6664
segura,6662
ocurre,6650
raro,6647
pena,6637
haz,6627
tuvo,6619
duro,6591
verlo,6590
das,6589
México,6576
palabras,6564
sueño,6561
placer,6557
deben,6536
sale,6533
río,6531
gustan,6520
doy,6512
conoce,6506
espere,6490
permiso,6486
aire,6486
querido,6484
ése,6475
largo,6456
llegó,6442
entendido,6434
muertos,6433
secreto,6406
extraño,6388
noticias,6382
vista,6382
vive,6380
siéntate,6375
Joe,6371
adentro,6370
bonito,6369
marido,6360
siendo,6360
sucede,6341
lamento,6308
pie,6308
sistema,6304
banco,6302
novia,6299
odio,6286
real,6279
anoche,6253
estuve,6241
haría,6234
piso,6210
trabajando,6195
tren,6195
quiera,6186
llamada,6179
San,6157
suena,6157
caballo,6145
creí,6143
encanta,6133
ayer,6111
fuerza,6104
futuro,6096
comprar,6090
hablo,6082
pobre,6080
decirte,6072
voz,6067
médico,6060
mensaje,6059
inglés,6054
modo,6039
siete,6038
siente,6017
asi,6015
usar,6013
compañía,5977
hambre,5971
tonto,5959
abogado,5957
empezar,5953
estaré,5947
cabrón,5946
izquierda,5936
cambiar,5936
dijeron,5933
hermosa,5930
ello,5929
estúpido,5914
sol,5901
miren,5900
haremos,5890
grupo,5876
deberíamos,5864
ganar,5861
caja,5856
mitad,5844
Charlie,5834
traje,5828
dan,5828
nena,5825
libertad,5818
línea,5796
hubo,5787
decirle,5782
vienen,5773
querida,5772
acabo,5757
segundos,5756
servicio,5754
baja,5746
error,5737
llega,5724
probablemente,5716
pelo,5712
funciona,5708
unidos,5708
mató,5699
entra,5691
darle,5684
vio,5660
derecha,5638
asesino,5638
the,5635
mes,5629
decía,5621
ley,5617
recuerda,5607
imposible,5606
mesa,5601
conseguir,5596
tras,5591
llamas,5591
centro,5568
busca,5567
enseguida,5554
juro,5539
diablo,5519
estados,5511
edad,5506
vine,5494
salió,5490
salud,5479
foto,5478
necesario,5475
llegado,5469
amiga,5467
abuelo,5459
daño,5453
dejó,5451
simplemente,5443
mejores,5442
Juan,5425
trae,5415
negocios,5399
cámara,5398
accidente,5397
siguiente,5395
hazlo,5391
calma,5381
basura,5370
ejército,5362
campo,5361
Jesús,5357
coronel,5337
Jake,5327
lindo,5323
Uds.,5311
tendrás,5295
santo,5287
hicieron,5285
norte,5275
normal,5263
iglesia,5262
sientes,5241
prisa,5238
media,5223
sur,5222
coño,5220
tratando,5217
cuántos,5215
listos,5214
silencio,5212
próxima,5212
podríamos,5208
suelo,5204
gracioso,5202
encontré,5201
vayas,5201
personal,5176
dirección,5136
ten,5135
mar,5129
fuiste,5127
regresar,5124
propia,5121
hacía,5109
tenías,5099
base,5096
eras,5076
tengas,5072
escúchame,5054
trabaja,5051
tendrá,5048
rey,5025
edificio,5024
oír,5023
imbécil,5019
daré,5014
trasero,5009
vuelto,5006
Srta.,5006
dolor,4997
decirme,4992
fotos,4991
loca,4989
i,4985
señal,4981
sacar,4976
drogas,4972
tuya,4960
partes,4959
estaría,4951
corre,4950
ocho,4947
radio,4929
peligro,4905
tranquila,4890
carta,4887
bonita,4884
tienda,4872
diferente,4870
salvo,4869
pies,4860
profesor,4858
sorpresa,4856
locura,4853
señores,4825
respuesta,4815
creen,4811
sexo,4801
Max,4798
zona,4796
órdenes,4795
verás,4793
rato,4787
cualquiera,4781
linda,4781
alma,4772
broma,4770
interesante,4752
deje,4749
oiga,4745
divertido,4741
llamó,4738
llaman,4737
hermoso,4730
estábamos,4727
alegro,4714
pone,4703
sean,4698
vayan,4683
rico,4681
hablamos,4672
junto,4665
pude,4662
compañero,4655
carrera,4638
dejado,4631
tendremos,4618
sargento,4611
español,4594
viendo,4594
mirando,4591
Tom,4590
cena,4579
propio,4562
fondo,4554
pensaba,4551
ganas,4545
viva,4544
vuelo,4539
mente,4539
carne,4530
prometo,4510
regalo,4502
irnos,4490
triste,4481
contacto,4476
tía,4475
disculpa,4471
según,4468
cierra,4454
Jimmy,4453
navidad,4448
teniente,4446
pudo,4446
iremos,4444
ventana,4440
diría,4426
ésa,4418
isla,4416
club,4412
vieja,4397
departamento,4388
toca,4385
novio,4368
verde,4366
conocido,4359
misión,4358
delante,4357
esposo,4354
sentir,4349
existe,4343
programa,4336
blanca,4331
frío,4329
James,4318
deseo,4318
papel,4311
ellas,4308
España,4307
policías,4306
verdadero,4304
encontrado,4296
Tony,4293
cita,4285
regreso,4273
vuelva,4272
vosotros,4271
quedar,4265
alrededor,4262
peligroso,4258
hermanos,4258
respeto,4257
ganado,4249
entiende,4248
harás,4247
ejemplo,4241
ataque,4239
vienes,4237
Paul,4237
asesinato,4231
bolsa,4229
principio,4226
ojo,4224
ante,4213
you,4213
estés,4209
segunda,4204
terminar,4192
papi,4192
ambos,4188
cargo,4181
bailar,4179
taxi,4178
muerta,4178
maravilloso,4175
Mike,4172
precio,4169
querías,4162
decisión,4152
aun,4145
infierno,4131
hicimos,4130
saberlo,4130
posición,4128
terminado,4106
encuentra,4105
vengan,4099
llave,4096
dieron,4091
Carlos,4090
leer,4089
llevas,4085
abuela,4070
santa,4069
oí,4056
sigues,4051
interesa,4051
trago,4046
tendré,4041
totalmente,4041
esperen,4038
empieza,4033
universidad,4033
quise,4030
salida,4029
vuelvo,4029
George,4026
sabías,4020
excelente,4020
temprano,4010
irse,4009
cerveza,4005
cumpleaños,3999
partido,3999
bienvenido,3993
veamos,3992
matado,3989
pruebas,3986
esperaba,3986
ocurrió,3985
supone,3985
metros,3982
reloj,3980
montón,3978
dejo,3973
cálmate,3972
camión,3970
Ben,3962
pido,3961
beber,3960
ninguno,3960
través,3957
cocina,3952
dulce,3950
puso,3946
Alex,3943
suyo,3943
amable,3942
público,3935
espacio,3933
pedir,3921
mentira,3920
vengo,3917
aeropuerto,3910
completamente,3908
canción,3907
conocer,3903
caballos,3898
fantástico,3895
contar,3894
hagan,3884
ojalá,3878
tiro,3867
vidas,3864
detective,3854
creía,3852
encuentro,3846
temo,3844
quedan,3841
prisión,3836
necesitan,3834
frontera,3820
sheriff,3814
mirar,3812
escribir,3811
mírame,3809
bar,3808
guardia,3808
vea,3802
entender,3798
llaves,3789
terrible,3788
juez,3785
cartas,3784
jodido,3778
cielos,3777
honor,3774
calor,3773
estación,3772
quiénes,3772
golpe,3768
caliente,3764
escuchar,3759
pudiera,3750
cenar,3749
cerebro,3748
déjalo,3743
humano,3742
duele,3741
volveré,3740
salga,3740
director,3738
sube,3732
relación,3729
debajo,3727
encontramos,3726
pensado,3723
bromeando,3718
crimen,3716
pista,3707
Bob,3704
operación,3695
equivocado,3689
paga,3685
azul,3681
empezó,3680
duda,3679
nota,3672
darme,3662
veré,3659
luna,3656
máquina,3649
puente,3648
irá,3645
ruido,3643
dejes,3641
oyes,3640
llevó,3640
simple,3639
obra,3634
tome,3630
investigación,3629
sala,3624
animales,3624
plata,3622
volar,3621
aquel,3620
dejé,3615
pelea,3615
sepa,3614
veremos,3611
nueve,3608
verme,3603
destino,3600
comandante,3593
acción,3580
fbi,3576
mayoría,3563
boda,3563
código,3554
vestido,3553
intento,3546
miles,3538
soldados,3533
Jim,3533
escena,3529
piernas,3521
mando,3521
Billy,3519
sirve,3517
habían,3514
abrir,3513
lleno,3505
capaz,3499
ayudarte,3499
llegue,3498
mataron,3494
fe,3490
perros,3489
darte,3485
exacto,3485
ponte,3484
reunión,3479
levántate,3475
tema,3470
libros,3468
juicio,3468
dejas,3464
reglas,3460
valor,3460
marcha,3457
perdona,3455
acabar,3455
nivel,3450
porqué,3450
millón,3449
tendría,3445
opinión,3441
preocupe,3441
enfermo,3437
causa,3434
planeta,3434
apuesto,3432
estan,3430
conocí,3428
Washington,3427
sucedió,3422
verla,3418
jugando,3417
pregunto,3416
cambiado,3413
Cuba,3412
puedas,3411
embargo,3409
autos,3408
ahi,3406
sigo,3405
molesta,3398
llegamos,3398
luces,3392
inteligente,3390
horrible,3389
nacional,3389
rojo,3389
estrella,3388
cine,3382
corte,3381
estarás,3381
tenían,3375
habéis,3373
sueños,3373
París,3370
usa,3369
pared,3365
correr,3364
pidió,3363
dude,3360
doble,3357
nuevos,3349
maestro,3344
Texas,3341
ayúdame,3340
objetivo,3335
Michael,3330
experiencia,3327
ocupado,3326
hablado,3319
llame,3318
parecía,3316
entrada,3313
apenas,3312
justicia,3308
Shaw,3305
estupendo,3305
color,3303
llamaré,3302
aprender,3301
beso,3297
hable,3293
copa,3285
seré,3282
nombres,3281
damas,3281
prefiero,3281
diferencia,3276
bala,3274
balas,3273
gato,3271
cuento,3264
movimiento,3263
alta,3262
Londres,3261
energía,3261
cuentas,3258
tardes,3258
árbol,3252
estilo,3251
tocar,3250
déjeme,3250
ángeles,3249
pon,3247
subir,3246
dando,3241
espalda,3238
parar,3238
militar,3230
soldado,3223
mantener,3222
pareces,3221
regresa,3221
bomba,3217
tratar,3214
tarjeta,3212
acuerdas,3211
acaso,3207
teníamos,3206
América,3203
red,3197
disparar,3197
Eddie,3196
escapar,3194
mapa,3187
leche,3185
olvídalo,3179
confiar,3177
gana,3176
tonterías,3172
puto,3171
especie,3170
depende,3169
hogar,3167
llevan,3165
ibas,3160
serán,3158
podrían,3157
enemigo,3156
podido,3152
esperanza,3140
nervioso,3140
papa,3139
CIA,3125
siga,3122
común,3119
borracho,3119
barrio,3116
noticia,3115
traer,3109
hacerte,3105
calles,3101
reina,3101
tengan,3098
Bond,3094
parecen,3092
lee,3088
Henry,3085
quieto,3084
tanta,3083
muévanse,3082
come,3081
zapatos,3079
hayas,3079
pelear,3078
muere,3077
americano,3074
alegra,3073
tuvimos,3069
estaremos,3063
malditos,3060
locos,3055
dígame,3052
despacio,3051
Danny,3047
Antonio,3046
tiempos,3043
dé,3036
perdí,3033
cayó,3033
robo,3032
puertas,3032
vender,3030
irte,3028
próximo,3025
oigan,3022
oeste,3020
tesoro,3020
probar,3017
uh,3015
preciosa,3002
televisión,2995
éxito,2995
pago,2994
desgraciado,2991
mato,2990
últimos,2990
visita,2989
playa,2985
hielo,2983
bajar,2981
Pablo,2978
tuviera,2978
muevas,2974
ángel,2971
cuestión,2970
caer,2969
principal,2968
estuviera,2967
mata,2967
droga,2966
total,2962
encontró,2962
baile,2961
salido,2960
gustó,2957
trampa,2956
unidad,2955
agradable,2953
llena,2951
quedó,2950
estuviste,2948
fuerzas,2948
prensa,2947
Charles,2946
cuesta,2944
vacaciones,2941
flores,2940
volvió,2940
serás,2935
Harry,2932
Robert,2931
limpio,2928
consejo,2921
despierta,2919
propósito,2917
verano,2910
papeles,2910
restaurante,2908
tenés,2907
quedarme,2905
estén,2905
cuántas,2901
pasará,2899
poquito,2898
caminar,2894
héroe,2894
podamos,2890
negros,2885
viejos,2883
completo,2883
pongo,2882
to,2881
inmediatamente,2877
salvar,2875
respecto,2869
Bobby,2868
brazo,2867
pan,2862
casado,2861
rayos,2856
necesitaba,2853
pierna,2851
defensa,2849
hablan,2845
caballero,2844
planes,2840
costa,2840
fuimos,2839
metido,2838
dueño,2836
preocupa,2835
viento,2833
malas,2832
vendrá,2823
política,2821
francés,2819
quedarse,2818
suya,2816
culpable,2811
sonido,2810
verá,2810
cliente,2809
animal,2804
cansado,2796
detente,2796
terminó,2795
debía,2795
ponga,2794
corriendo,2793
emergencia,2789
senador,2787
piel,2786
brazos,2786
km,2782
quedo,2781
llevaré,2777
nariz,2777
gordo,2776
California,2773
arte,2770
excepto,2769
carro,2769
escuche,2767
cerdo,2766
habías,2762
lástima,2761
formas,2759
cuello,2755
herido,2754
enorme,2741
podrá,2740
gloria,2737
dejaste,2736
clientes,2732
ja,2730
huevos,2730
toques,2727
solamente,2727
películas,2727
Miami,2724
dejaré,2721
lados,2717
solos,2716
varios,2715
malos,2715
hacerme,2714
casas,2713
larga,2712
partir,2710
arreglar,2709
hacerle,2708
pareja,2708
Dave,2708
belleza,2708
confianza,2707
volverá,2707
debido,2706
lengua,2705
muévete,2704
fuente,2704
Johnny,2703
rosa,2703
leo,2694
primo,2690
disparo,2689
traído,2683
agentes,2683
ex,2681
nave,2679
saca,2677
intenta,2676
imagen,2669
date,2669
parque,2669
hables,2665
puse,2662
espíritu,2661
finalmente,2659
sombrero,2659
