word,count
de,1033844
je,1015253
est,999084
vous,744751
pas,727974
le,708763
la,662048
c',567219
il,565164
que,550525
un,548882
à,520408
tu,519020
et,489320
a,463335
l',453180
les,418003
en,399342
on,376016
j',374178
ce,361264
ne,358322
ça,353236
une,329775
qu',310178
d',306106
ai,290868
pour,285988
des,255480
n',253739
moi,241330
qui,219317
mais,215980
me,198520
nous,198442
dans,194207
y,191935
elle,185600
du,183072
t',181646
non,175651
bien,172495
plus,170394
si,167221
tout,164585
au,155502
mon,155135
m',154930
suis,151980
oui,148741
avec,148503
va,142308
te,141303
s',130240
là,130097
fait,129993
ils,127755
toi,119034
as,115765
se,115679
comme,114424
faire,107248
était,106951
sur,104782
quoi,102153
lui,99053
ma,95681
rien,94196
votre,93388
sais,89069
ici,86951
veux,86919
es,84511
où,83793
dit,83313
avez,82523
être,82156
sont,77139
par,74699
quand,72872
pourquoi,72294
cette,71439
son,71372
alors,67782
très,66582
bon,66001
vais,64036
dire,63731
allez,63267
faut,62034
ou,61919
ton,61175
merci,61135
peux,61103
même,60730
êtes,60492
comment,60135
jamais,58871
ont,56851
peut,56158
aussi,54677
sa,52900
fais,52418
voir,52248
tous,52054
deux,49050
chose,45981
peu,45808
ces,45752
encore,45579
mes,45250
ta,44879
été,44774
autre,42513
temps,42083
avait,41994
Oh,41962
sans,41848
toujours,41616
avoir,41520
Ah,41407
M.,41027
dis,39431
notre,39426
vie,38479
vas,37916
monsieur,37822
monde,37775
maintenant,37475
trop,37396
ca,36817
vu,36436
fois,35982
aux,35546
viens,35067
femme,34967
vraiment,33599
chez,33090
leur,33085
aime,33072
vos,33020
crois,32844
sûr,32409
ans,32352
quelque,32066
aller,31966
avais,31935
homme,31760
étais,31704
voilà,31653
petit,31547
père,31419
avant,31351
ses,31176
après,30348
mal,29826
personne,29721
juste,29299
parce,28785
vrai,28729
dois,28580
Dieu,28346
puis,28334
mieux,27515
veut,27428
parler,27356
bonne,27350
donc,26901
bonjour,26895
besoin,26843
sera,26387
mort,26335
accord,26252
eu,26219
vois,26009
depuis,25675
déjà,25463
beaucoup,25405
quel,25162
jour,24586
fille,24447
soir,24287
tes,24007
t,23977
voulez,23766
faites,23651
autres,23377
toute,23031
nom,22858
gens,22556
quelqu',22555
doit,22318
hein,22253
nos,22122
mère,21985
peut-être,21966
vite,21796
regarde,21721
nuit,21449
passe,21115
seul,20562
arrive,20526
peur,20488
moins,19781
parle,19772
reste,19757
air,19686
quelle,19670
demain,19257
prendre,19012
avons,19006
ben,18934
maison,18809
pense,18800
argent,18799
appelle,18752
grand,18713
enfants,18677
maman,18617
papa,18592
laisse,18477
trois,18363
amour,18328
savez,18293
cet,18282
merde,18245
plaît,18187
savoir,18181
bas,18173
heure,18048
arrête,18035
tête,17880
cela,17878
petite,17874
jours,17811
I',17810
allons,17803
soit,17524
attends,17332
entre,17221
ouais,17158
passé,17086
connais,16913
elles,16643
aurais,16609
choses,16604
dites,16529
II,16522
revoir,16505
fils,16502
sommes,16372
tiens,16334
coup,16308
ami,16161
prends,16023
raison,16015
moment,16005
assez,15824
serait,15802
jusqu',15788
madame,15784
demande,15740
toutes,15699
sait,15628
Eh,15496
comprends,15361
porte,15347
tant,15323
donne,15164
salut,15075
pardon,15073
combien,15040
pris,15003
part,14904
pouvez,14869
hommes,14761
voulais,14755
ni,14659
désolé,14628
tard,14603
belle,14562
seule,14455
sous,14444
partir,14332
beau,14321
dû,14300
vient,14264
sens,14260
venez,14254
passer,14049
chance,14033
famille,13989
venir,13857
problème,13725
idée,13606
voiture,13603
Paris,13599
aurait,13550
histoire,13426
mois,13395
question,13342
pu,13314
attention,13298
place,13148
enfin,13103
travail,13067
aujourd'hui,13053
OK,12997
fini,12843
guerre,12758
aider,12596
amis,12541
chercher,12534
musique,12432
heures,12387
contre,12379
Hé,12361
pendant,12324
celui,12302
eau,12285
suite,12277
Mme,12252
vieux,12214
tuer,12157
trouve,12155
quelques,11993
yeux,11944
eux,11915
matin,11860
trouver,11826
laissez,11705
longtemps,11650
main,11593
vont,11583
rester,11523
trouvé,11460
pays,11416
chambre,11410
excusez,11380
mari,11228
putain,11213
compte,11188
regardez,11067
cas,11057
compris,11042
gars,10995
voici,10937
entendu,10914
devant,10907
prie,10838
attendez,10785
nouveau,10745
chaque,10720
mettre,10688
ensemble,10627
truc,10588
femmes,10572
pourrait,10538
loin,10503
enfant,10493
leurs,10439
car,10414
fin,10405
étaient,10384
droit,10370
train,10350
police,10326
côté,10289
seulement,10249
bonsoir,10179
frère,10162
jeune,10142
partie,10137
sortir,10118
premier,10115
écoute,10088
vers,10081
terre,9995
importe,9976
chef,9929
perdu,9879
mis,9842
capitaine,9795
fou,9769
type,9693
première,9672
plaisir,9638
aucun,9637
feu,9594
possible,9576
minutes,9554
français,9548
donné,9545
aura,9483
venu,9461
fort,9461
donner,9427
gros,9355
envie,9346
savais,9336
ville,9321
arrivé,9272
parlé,9212
aimerais,9176
près,9136
aide,9101
point,9057
messieurs,8993
sois,8985
dernière,8976
laisser,8945
hier,8944
nouvelle,8933
grande,8905
sang,8855
genre,8850
espère,8766
aucune,8757
vivre,8719
fous,8715
parti,8691
pouvoir,8661
ceux,8646
ll,8632
calme,8607
dont,8581
jouer,8459
mourir,8445
prenez,8402
voyez,8388
vue,8379
y.,8327
haut,8315
plein,8251
demandé,8240
voudrais,8215
cause,8210
pourrais,8202
font,8143
mot,8102
téléphone,8095
tué,8056
affaire,8034
chérie,8013
celle,7977
instant,7970
attend,7960
tour,7939
façon,7917
bientôt,7882
dessus,7879
plutôt,7875
film,7871
tellement,7848
cher,7843
général,7824
mains,7823
super,7802
affaires,7798
manger,7793
filles,7769
garçon,7734
peine,7723
pauvre,7722
demander,7632
dernier,7624
surtout,7596
marche,7577
prend,7576
heureux,7572
cinq,7563
prêt,7533
dehors,7464
anglais,7462
arrêtez,7454
mets,7441
semaine,7433
roi,7419
France,7374
numéro,7368
corps,7356
années,7315
ainsi,7298
croyez,7297
attendre,7295
Ie,7267
service,7251
derrière,7242
vérité,7232
docteur,7204
dirait,7190
mec,7127
lit,7110
abord,7093
quatre,7087
important,7083
croire,7070
voulait,7061
presque,7056
arriver,7053
coeur,7048
café,7048
con,7047
boulot,7021
devrait,6979
drôle,6975
confiance,6970
devrais,6954
voit,6951
h,6939
mariage,6811
pensez,6777
suffit,6777
Allô,6762
garde,6760
ferme,6757
hôtel,6723
bureau,6718
pensais,6711
meilleur,6689
gentil,6670
fera,6664
livre,6659
endroit,6653
arrêter,6632
serai,6630
partout,6628
dedans,6590
malade,6582
appeler,6572
écrit,6532
verre,6529
route,6524
tomber,6519
parfait,6508
impossible,6489
rentrer,6479
reviens,6464
jeu,6436
parents,6425
doute,6409
croyais,6407
étiez,6383
voulu,6382
Ia,6367
Mlle,6364
souvent,6356
adore,6354
millions,6296
souviens,6294
gueule,6283
grave,6261
cul,6232
connaissez,6223
ailleurs,6220
devez,6216
simple,6209
journée,6196
autant,6191
sinon,6163
rentre,6125
oublié,6080
âge,6065
entrer,6051
ait,6049
cours,6043
excuse,6025
entends,6023
euh,6018
changer,6016
soyez,6010
bateau,6001
voyons,5980
vaut,5948
essaie,5945
sors,5938
New,5927
facile,5919
penses,5912
dîner,5901
état,5897
lieu,5889
chien,5884
exactement,5868
boire,5840
prix,5836
parfois,5834
