word,count
の,33693
は,25374
て,24313
に,23342
た,20510
だ,19038
を,17391
が,16817
で,13160
か,11414
ん,11192
し,11189
ない,10220
よ,10074
と,9909
な,9829
も,9610
です,6486
から,5039
ね,4671
私,4568
何,4545
お,4311
ます,4066
てる,3823
って,3595
こと,3578
それ,3253
い,3250
そう,3086
いい,2906
じゃ,2753
する,2642
いる,2614
丶,2598
どう,2535
あなた,2501
さ,2441
これ,2421
俺,2360
君,2341
この,2256
さん,2176
人,2153
わ,2110
れ,2062
ある,2037
まし,1967
彼,1929
ら,1819
ここ,1792
もう,1770
一,1725
その,1707
ませ,1693
ぞ,1660
ば,1627
くれ,1605
僕,1572
お前,1550
見,1519
たら,1502
はい,1433
的,1394
あの,1386
たち,1366
よう,1353
今,1332
来,1317
言っ,1291
だっ,1275
あ,1262
事,1252
なっ,1248
けど,1238
あっ,1235
やっ,1229
なら,1209
たい,1208
カ,1158
なん,1155
ああ,1130
丿,1115
だけ,1112
誰,1109
ねえ,1104
き,1088
ま,1063
いう,1031
そんな,1011
中,1002
や,993
ちょっと,991
まで,991
へ,989
つ,985
なる,973
なかっ,947
なく,939
時,925
あり,900
せ,876
こ,862
ください,857
者,831
前,823
いや,822
行く,818
どこ,801
だろう,795
音,790
まだ,775
ちゃん,763
年,762
だろ,759
もの,757
彼女,754
我,746
でき,742
おい,735
力,732
男,729
え,727
様,725
でしょう,724
自分,723
ありがとう,715
出,715
思っ,711
大丈夫,695
日,695
言う,689
ため,687
ご,683
そして,678
う,676
ー,675
られ,672
うん,658
行っ,646
待っ,646
我々,640
こんな,636
気,634
あれ,620
っ,614
夢,604
家,601
そこ,599
日本,598
達,598
み,595
時間,591
知っ,590
一緒,581
みんな,581
なんて,570
目,561
声,560
方,554
後,551
１,549
好き,548
奴,541
また,539
子,531
子供,527
聞い,526
女,524
話,520
今日,518
本当,515
仕事,514
あんた,511
でしょ,507
なさい,507
れる,505
思う,505
持っ,499
早く,498
より,494
考え,490
やる,489
必要,488
願い,487
思い,481
手,467
他,463
でし,462
よく,461
違う,458
じゃあ,450
ござい,448
もん,447
ス,444
死ん,442
人間,439
知ら,431
しかし,431
神,428
乙,427
みたい,425
シロ,424
こっち,423
つい,422
世界,419
なぜ,419
さま,417
ず,414
ごめん,413
心,412
ぜ,408
上,408
しろ,406
なり,403
いつ,400
２,398
ダメ,394
できる,393
なあ,392
所,391
出し,387
さあ,384
すぐ,381
先生,379
こう,379
わかっ,378
いっ,374
ましょう,371
不,369
もし,364
分かっ,363
やめ,361
車,361
ええ,361
永遠,360
良い,360
結婚,359
３,358
言わ,357
分,357
ほら,355
しよう,354
街,350
ちゃっ,349
助け,348
ヾ,346
是,346
同じ,342
ン,340
もっと,339
ただ,338
生き,337
ぁ,335
話し,335
すべて,335
悪い,333
来る,333
無い,327
く,324
物,321
くる,320
る,320
信じ,317
くれる,315
ところ,315
パパ,314
わけ,314
ガ,310
いつも,309
下さい,308
語,306
金,304
連れ,303
入っ,303
す,303
電話,302
行き,295
なに,295
巨,294
なきゃ,293
顔,291
つけ,291
ソ,290
少し,289
二,289
皆,289
よし,288
うち,283
落ち,282
かけ,281
了,279
られる,277
言い,276
ど,274
しか,273
はず,272
次,272
じ,271
なけれ,271
たく,270
フ,270
えっ,269
静流,264
度,263
ずっと,263
バカ,262
ち,261
どんな,261
ねぇ,261
あいつ,260
すい,259
下,258
心配,257
せる,257
とき,257
こちら,256
間,256
最後,256
無理,255
鈴,254
食べ,254
誠人,253
まあ,253
出来,253
いく,252
まま,251
教え,251
死ぬ,249
あぁ,246
ぉ,246
ママ,246
しまっ,246
行か,246
なんか,245
クロ,244
先,244
入れ,243
