word,count
안,1806
이,1700
좀,1507
아,1437
그,1388
왜,1317
야,1240
내가,1127
네,1063
내,1038
저,1025
그래,1007
아니,973
거,969
너,955
뭐,925
우리,908
응,881
다,877
한,841
나,828
잘,817
어,782
거야,779
예,729
이거,693
자,665
그럼,654
난,649
게,610
무슨,601
수,599
못,553
어떻게,539
더,514
빨리,506
참,468
또,467
지금,457
그런,454
해,448
어서,421
이렇게,420
있어,407
아이고,404
어디,403
엄마,401
할,401
와,392
정말,388
있는,384
아이,383
그렇게,381
여기,371
하고,368
그냥,360
돼,352
봐,352
이제,344
이게,335
것,333
그리고,331
같이,330
하는,328
가,327
때,312
말이야,312
이런,310
같은,303
하나,302
오늘,301
건,298
제가,296
줄,294
많이,293
뭘,286
아이구,286
진짜,283
니,282
너무,279
근데,278
날,271
사람,268
말,268
뭐야,266
한번,261
다시,256
그게,255
그래서,246
오빠,245
여보,244
아주,241
말고,241
걸,240
꼭,240
누가,240
가자,239
없어,237
마,234
사람이,234
거예요,233
나도,233
아저씨,232
가서,219
넌,218
없는,218
아버지,218
저기,210
일,210
니가,208
돈,208
있어요,206
보고,203
씨,202
나는,202
아냐,201
아니야,200
좋은,198
그만,197
어머니,193
얘,188
제,188
네가,186
있습니다,182
이리,180
때문에,180
씨발,179
임마,178
하지,177
얼마나,176
집에,174
두,173
전,170
일이,170
글쎄,164
나가,163
형,162
하지만,161
아빠,159
될,159
몇,158
새끼,157
술,156
선생님,154
되는,154
형님,153
그건,152
갈,150
알아,150
바로,150
우리가,150
수가,149
것도,149
어떤,149
큰,148
먹고,145
된,145
가지고,144
새끼야,143
주세요,142
전에,142
말을,142
여기서,142
소리,141
그래요,141
아직,141
밥,141
할머니,140
언니,140
몰라,138
가는,137
놔,136
원,134
들어,134
당신,133
여보세요,132
이건,131
하면,130
그렇지,130
다른,129
집,128
그거,128
그려,128
먼저,127
것이,126
거지,125
알고,124
번,124
나와,124
그래도,124
우린,124
놈,123
좋아,123
이젠,123
벌써,122
오,121
내일,120
뭐가,120
있을,117
알았어,117
말이,117
언제,116
아니에요,116
모두,116
아유,116
모든,116
줘,115
왔어,115
없다,115
어디서,115
아니라,114
음,113
아무,113
괜찮아,113
해서,112
년,112
온,112
사는,111
없어요,110
됐어,109
나를,109
거기,109
에이,109
얘기,109
곧,107
나한테,107
그걸,106
해요,106
놈이,106
혼자,103
있다,102
자식,102
있지,101
뭔,101
있으면,101
거여,100
살,100
사람은,100
앞으로,99
돼요,99
봐요,99
그러니까,99
감사합니다,98
것은,98
어이,97
이래,96
것을,96
있는데,96
보면,95
가면,94
잠깐,93
제발,93
혹시,93
없습니다,93
먹어,92
여자,92
갔다,92
가요,91
잠깐만,91
말이여,91
둘,90
지,90
그때,90
않아,90
퍼뜩,90
엄마가,89
사람을,89
가지,89
아휴,89
그러면,89
겁니다,89
당신이,89
많은,88
죄송합니다,88
그럴,87
그런데,87
자꾸,86
밖에,85
자기,85
우리는,85
두고,85
있고,85
싫어,85
요즘,85
해도,85
갑자기,85
테니까,84
없이,84
들어가,84
어머,84
아니고,83
누구,83
물,82
오늘은,82
해야,82
안녕하세요,81
마라,81
다들,81
가고,81
야야,81
자네,80
가만,80
