word,count
ik,93807
je,82907
de,63524
het,60540
is,56974
dat,56790
niet,47487
een,46788
en,38342
van,28730
wat,28438
in,25907
we,23923
maar,23848
die,22486
hij,21594
op,21542
ze,21390
er,20605
zijn,19172
met,18570
heb,18130
voor,17725
te,17696
ja,17636
dan,14843
als,14617
ben,14377
u,13639
hier,13564
jij,13474
nog,12753
wel,12380
was,12057
me,11978
naar,11942
zo,11300
moet,11258
nee,11221
aan,11120
mijn,10734
kan,10276
ook,10193
geen,9949
weet,9902
heeft,9431
goed,9367
dit,9362
wil,9138
nu,8917
om,8838
kom,8604
waar,8457
toch,8308
hebben,8297
hoe,8064
daar,8054
ga,8015
hem,7851
gaan,7415
bij,7110
doen,6979
nou,6884
gaat,6796
al,6754
uit,6711
mij,6641
't,6574
meer,6567
of,6543
over,6213
bent,6120
jullie,5841
haar,5751
wie,5619
ons,5544
iets,5436
eens,5192
even,5096
had,5055
hebt,4992
doe,4882
echt,4872
zou,4834
m'n,4811
waarom,4806
jou,4632
alles,4596
zal,4581
weg,4451
laat,4379
moeten,4281
mee,4236
heel,4169
kunnen,4114
komt,4090
door,4085
dus,4019
alleen,3890
weer,3880
deze,3862
man,3828
niks,3754
zeg,3753
mag,3657
'n,3624
hé,3603
wij,3583
denk,3579
zit,3578
veel,3482
nooit,3477
zien,3384
komen,3283
twee,3273
terug,3261
gewoon,3224
dag,3176
uw,2943
oké,2921
altijd,2908
hè,2865
z'n,2855
misschien,2800
kijk,2778
tegen,2739
tot,2731
allemaal,2683
zeggen,2681
weten,2669
meneer,2647
onze,2642
iemand,2630
wordt,2623
vader,2622
niets,2617
laten,2604
mensen,2539
zei,2532
toen,2529
hou,2464
zeker,2453
keer,2450
wacht,2449
net,2411
zitten,2409
geld,2390
O,2380
dank,2355
worden,2351
moeder,2336
jaar,2314
tijd,2292
maken,2280
helemaal,2239
af,2237
zie,2221
anders,2216
muziek,2156
huis,2148
dood,2127
natuurlijk,2126
hoor,2106
leven,2076
gedaan,2065
doet,2059
mooi,2032
staat,2006
kunt,2002
vrouw,2001
vind,1992
sorry,1989
omdat,1953
iedereen,1924
dacht,1922
beter,1907
nodig,1881
jongen,1881
geef,1870
niemand,1858
binnen,1851
willen,1848
zich,1843
bedankt,1810
blijven,1763
beetje,1754
drie,1734
andere,1729
gezien,1701
één,1688
hele,1679
wilt,1674
uur,1665
zij,1661
zelf,1647
alle,1647
kinderen,1643
lang,1631
werk,1617
'm,1599
jongens,1583
Hallo,1583
na,1581
kijken,1576
zegt,1575
leuk,1571
want,1562
erg,1531
jouw,1521
zo'n,1508
morgen,1507
genoeg,1506
blijf,1496
lekker,1494
graag,1492
staan,1452
elkaar,1451
hun,1444
gek,1433
eerste,1430
eigenlijk,1422
neem,1416
snel,1414
me.,1408
toe,1387
zonder,1382
naam,1367
maak,1350
spijt,1345
vinden,1344
zoals,1326
helpen,1317
moest,1306
vriend,1304
zullen,1297
wilde,1295
vast,1288
eten,1287
's,1273
ziet,1270
rustig,1258
praten,1247
klaar,1240
grote,1240
waren,1235
kun,1235
wist,1232
ie,1229
politie,1225
eerst,1224
alsjeblieft,1222
vragen,1215
kon,1209
verdomme,1205
Michel,1195
heet,1191
gezegd,1186
ken,1183
geweest,1181
wachten,1176
beste,1167
vooruit,1165
luister,1161
maakt,1156
houden,1152
ging,1132
auto,1126
onder,1123
nieuwe,1122
vraag,1114
papa,1112
Oh,1112
achter,1095
he,1087
samen,1083
probleem,1081
thuis,1081
mama,1079
krijgen,1075
wanneer,1071
goede,1047
halen,1045
vandaag,1044
dagen,1043
werken,1042
mannen,1042
krijg,1034
geleden,1027
verder,1025
kwam,1024
eigen,1016
idee,1016
lk,1014
hadden,1012
buiten,1012
werd,999
bang,998
steeds,995
bedoel,985
eh,977
u.,969
dingen,969
vertellen,969
geven,968
paar,959
straks,952
Hee,947
laatste,934
mevrouw,927
gebeurd,927
meisje,927
godverdomme,921
Ah,919
zorgen,918
zat,918
denken,906
pas,903
gehad,895
open,894
zoek,887
enige,883
geloof,882
zet,880
pak,878
heen,876
elke,874
vijf,873
wou,871
bijna,869
god,861
alstublieft,838
hoeveel,837
zoon,837
zag,837
slapen,835
stop,835
precies,833
meteen,828
zelfs,828
kleine,826
krijgt,823
vier,813
water,812
vindt,808
denkt,804
kind,799
blijft,795
ligt,794
vrienden,794
eruit,789
boven,788
zoeken,788
blij,785
