word,count
det,136931
jag,128073
du,106771
är,106437
inte,69463
att,56455
har,52909
och,51811
vi,47945
en,46617
på,45691
i,45085
vad,34068
med,34024
så,32501
var,32170
han,31875
som,31501
här,31451
för,29630
om,28933
ska,26620
kan,26474
dig,25585
den,24516
mig,24312
till,24274
ja,22758
men,22107
nu,21006
de,20165
nej,18928
ni,18685
då,18553
hon,17952
vill,15933
ett,15223
där,14627
bara,14024
vet,13900
av,13643
man,13513
hur,13154
ju,11846
får,11844
ha,10613
måste,10589
kommer,10536
kom,10401
bra,10358
skulle,10029
hej,9905
när,9811
min,9574
gör,9401
ta,8903
honom,8896
vara,8522
ut,8319
din,8183
fan,7952
eller,7875
nåt,7652
hade,7620
lite,7562
varför,7136
sig,7091
tack,6996
göra,6901
går,6895
gå,6814
väl,6738
in,6702
nån,6668
er,6634
oss,6629
tror,6566
upp,6504
alla,6476
sa,6384
sen,6302
ingen,6212
henne,6125
från,6122
blir,6022
få,5959
dem,5687
okej,5678
mycket,5500
vem,5485
allt,5394
kanske,5239
se,5214
också,5150
igen,5114
aldrig,4846
ser,4820
säger,4617
finns,4506
va,4454
inget,4314
tar,4312
två,4267
mamma,4164
år,4133
bli,4129
efter,4120
jävla,4073
mer,3876
behöver,3704
mitt,3697
varit,3524
ner,3484
pappa,3459
säga,3377
än,3335
hela,3308
fick,3303
hem,3249
över,3219
tycker,3107
själv,3093
vänta,3087
hans,3064
blev,3007
Jo,3003
nog,2974
dag,2972
komma,2960
åt,2883
tillbaka,2826
ville,2826
känner,2824
ge,2810
gjort,2765
kunde,2752
gjorde,2750
prata,2710
andra,2645
mina,2577
hit,2570
några,2568
förstår,2545
ditt,2543
såg,2538
förlåt,2538
Hallå,2507
barn,2490
vid,2418
mot,2349
gång,2348
titta,2342
gick,2322
pengar,2263
inga,2246
utan,2229
helt,2219
tre,2178
menar,2177
hör,2172
god,2169
rätt,2147
alltid,2146
heter,2143
fått,2141
tog,2136
fel,2114
ingenting,2098
står,2083
håller,2060
sluta,2046
sätt,2026
sin,2009
morgon,1966
visst,1963
hjälp,1962
Jaha,1948
hos,1922
gud,1917
folk,1911
något,1910
helvete,1892
precis,1891
tänker,1889
liv,1887
veta,1868
många,1868
tid,1867
bort,1851
dina,1844
sett,1827
hjälpa,1813
tänkte,1806
vår,1802
länge,1792
håll,1781
just,1781
polisen,1779
kvar,1711
samma,1695
under,1684
trodde,1670
säg,1659
älskar,1649
bättre,1635
hennes,1631
berätta,1622
död,1616
snälla,1598
åka,1596
innan,1583
vilken,1582
borde,1582
fram,1577
snart,1575
sagt,1568
hemma,1559
klart,1558
någon,1557
sak,1555
annan,1552
ringer,1540
kör,1538
verkligen,1536
händer,1529
ihop,1525
visste,1519
hand,1511
dom,1505
stanna,1489
liten,1473
låt,1469
lilla,1467
fattar,1455
vart,1450
fast,1440
dit,1437
fall,1407
alltså,1398
fråga,1394
kväll,1387
först,1387
kolla,1378
nånting,1376
sitter,1351
ute,1346
livet,1330
längre,1327
ligger,1323
far,1322
tiden,1322
bor,1322
väldigt,1318
tänk,1304
lugnt,1302
ursäkta,1301
första,1297
borta,1290
bilen,1286
rädd,1283
skit,1281
sitt,1276
hänt,1270
visa,1269
redan,1266
annat,1258
detta,1251
slut,1245
blivit,1244
fru,1243
väg,1236
problem,1224
sånt,1221
haft,1214
pratar,1212
stor,1210
riktigt,1191
annars,1183
ses,1182
ens,1180
fem,1171
ur,1170
gott,1167
kunna,1161
tag,1160
åker,1155
ledsen,1154
enda,1153
gillar,1147
träffa,1147
ändå,1147
släpp,1143
fyra,1140
därför,1131
natt,1128
faktiskt,1127
hitta,1117
säkert,1115
lägg,1111
börjar,1103
hålla,1101
helst,1094
våra,1093
hittade,1078
sån,1070
sista,1069
pengarna,1067
mr,1065
hände,1063
namn,1061
döda,1057
ger,1056
tala,1054
låter,1049
saker,1049
fint,1041
vägen,1031
hörde,1027
härifrån,1027
känns,1026
kul,1014
jobb,1008
inne,1007
heller,997
lika,996
spelar,987
Erik,985
ensam,984
öppna,982
människor,981
minuter,978
bil,975
dra,975
lämna,973
gammal,973
Åh,971
jobbar,969
oj,968
hämta,967
tio,966
höra,964
nya,964
sant,962
varje,960
mår,960
vän,956
hoppas,947
ringa,945
verkar,944
lyssna,943
tro,934
bästa,933
skål,932
sina,929
runt,926
fin,914
klockan,904
vilka,898
ifrån,896
börja,896
dö,895
vadå,891
nästa,891
gärna,889
gått,887
kommit,886
Sverige,886
sex,880
dog,878
