word,count
我,47325
你,36536
的,36382
是,24482
了,23966
不,23493
一,16029
他,12768
有,12630
这,12628
在,12274
们,12134
么,11117
要,9868
人,9706
好,9503
来,9248
个,8651
就,8345
那,7593
什,7141
到,6979
去,6481
没,6464
会,6254
上,6075
说,5888
看,5613
能,5332
吗,5254
都,5098
子,4890
生,4709
想,4676
下,4655
大,4570
吧,4520
事,4512
啊,4407
可,4401
为,4360
得,4335
里,4290
以,4289
她,4285
道,4198
知,3882
很,3865
还,3850
天,3828
也,3776
对,3708
过,3704
小,3618
走,3455
家,3310
怎,3302
把,3282
出,3251
给,3198
起,3098
开,3024
儿,2930
时,2921
快,2921
多,2852
做,2829
点,2817
真,2805
样,2800
回,2652
爸,2638
跟,2556
心,2496
先,2489
着,2480
老,2443
只,2421
但,2398
现,2383
和,2378
死,2358
让,2350
别,2341
地,2331
呢,2317
妈,2291
打,2238
后,2226
再,2206
自,2173
行,2136
意,2121
這,2107
手,2104
所,2102
太,2099
定,2057
們,2037
谢,2031
女,1997
用,1987
如,1954
些,1906
然,1887
见,1833
中,1830
话,1801
等,1800
面,1797
哪,1791
年,1761
最,1757
個,1732
它,1731
前,1721
法,1701
西,1670
成,1670
明,1659
找,1646
放,1615
吃,1602
当,1596
被,1582
孩,1570
像,1547
听,1545
已,1542
干,1533
车,1494
叫,1469
之,1467
克,1466
果,1454
方,1451
经,1435
爱,1415
來,1408
理,1407
谁,1402
麼,1394
拿,1375
教,1366
告,1364
水,1349
发,1342
信,1340
己,1333
因,1330
分,1310
该,1308
钱,1295
而,1294
比,1292
学,1284
动,1273
头,1251
次,1248
正,1244
情,1240
安,1238
全,1228
问,1224
作,1219
住,1219
马,1215
电,1211
从,1203
才,1200
本,1199
两,1177
德,1177
候,1172
名,1172
拉,1162
三,1153
国,1138
进,1136
帮,1133
白,1131
公,1125
无,1123
ﺎ,1118
今,1116
十,1115
啦,1091
利,1090
保,1089
杀,1083
活,1079
物,1069
带,1068
间,1066
阿,1064
力,1055
直,1045
救,1045
斯,1044
喜,1044
亲,1040
请,1037
相,1033
晚,1024
机,1022
重,1014
美,1004
ﺍ,996
觉,995
日,988
感,988
主,987
关,987
命,982
欢,981
呀,980
沒,974
同,970
身,970
會,968
高,966
神,966
错,965
应,965
又,954
边,937
新,937
长,934
您,931
诉,929
工,921
东,911
友,906
查,902
ﻟ,894
字,894
将,893
路,890
特,889
說,881
為,878
何,876
加,864
接,857
需,850
位,839
受,837
哥,835
二,833
场,825
完,823
