sentence,count
Ja,558
Nee,329
Wat?,191
Dankie,173
Wat is dit?,103
Goed,89
Waarom?,72
Regtig?,68
Totsiens,60
Kom!,60
Natuurlik,58
Dag,49
Ek weet nie,44
O!,43
Hier,40
Waarom nie?,40
Wag!,39
Stop!,37
Asseblief,36
Wie?,35
Wat is verkeerd?,34
Ek?,34
So?,32
Wat bedoel jy?,31
Wel?,30
Hoekom?,29
Baie dankie,28
Verdomp!,28
Wat het gebeur?,27
Gaan!,27
"Nee, nee.",27
Wat gaan aan?,25
Daar!,24
En?,23
Kyk!,23
Kom hier,23
A!,23
Hallo.,23
Wat doen jy?,23
Waar?,23
Hoe?,22
Stil!,22
Kom nou!,22
Is jy gek?,22
Weg is jy!,21
Rie van die Buggy's,21
Help!,21
Kom in,20
Wat dink jy?,20
Niks,20
Ek ook,19
Johannes!,19
Dat weet ek nie.,19
Verskoon my,19
Goed so,19
Hoe gaan dit?,18
Is dit so?,18
Jy?,18
Hello.,18
Nou?,18
"Ja, natuurlik.",17
Goeie dag,17
Ek weet,17
Kom aan,17
Goeie nag,17
Kom ons gaan!,17
Komaan,17
Mnr.,17
Waarvoor?,16
Heidi!,16
Jammer,16
Vuur!,16
Gaan aan,16
Sien jy?,15
Wat sê jy?,15
Maak oop!,15
Ek kom!,15
Bly stil!,15
Waar is jy?,15
Wanneer?,15
Bravo!,15
Dis reg,15
Hou op!,14
Maak gou!,14
Mooi.,14
Wie is dit?,14
Uit!,14
Presies,14
Maar...,14
Amen,14
Ag!,13
Miskien.,13
Gaan weg!,13
Goeie môre,13
Mamma!,13
Gaan voort.,13
Waar is sy?,12
En jy?,12
Bly hier!,12
Wat doen jy hier?,12
Ek sien,12
Wat nou?,12
Versigtig,12
NCIS Seisoen 11,12
Dis goed,12
Ek is jammer.,12
Stilte!,12
Nooit!,12
Goeie naand,11
Is jy seker?,11
Stop dit!,11
Dink jy so?,11
Dat weet ek.,11
Vader!,11
Wat dan?,11
Gou!,11
Niks nie,11
Wat's verkeerd?,11
Wat wil jy hê?,11
Gesondheid!,11
Sissi!,10
Oupa!,10
Wonderlik!,10
Wie is jy?,10
Dit spyt my.,10
"Ja, ja",10
"Stop dit vir hom"".",10
Luister!,10
Is jy reg?,10
Ashitaka!,10
Hoekom nie?,10
Hou jy daarvan?,10
Verstaan jy?,10
Mammie!,9
Dit is goed.,9
Moeder!,9
Sekerlik,9
Ek kan nie,9
Mag ek?,9
Nie?,9
"Nee, dankie",9
Is alles reg?,9
Halt!,9
Hoe weet jy dit?,9
Wat beteken dit?,9
Waaroor?,9
Alles reg?,9
Genoeg!,9
"Vandag nog, liewe pa, sorg tog!",8
Dit is so.,8
Mnr Leopold!,8
Hoe so?,8
Hoe weet jy?,8
San!,8
Koffie?,8
Wat daarvan?,8
Ek weet dit.,8
Baas.,8
Sit asseblief,8
Waar is hy?,8
Ek sweer,8
Musiek!,8
Pardon?,8
Gaan nou!,8
Dit doen ek.,8
Waarvan?,8
Juis.,8
"Ja, U Majesteit",8
Abby.,8
Tony.,8
Gibbs.,8
Ek verstaan,8
Ga.,8
Reg,7
Wat het ons hier?,7
Renée.,7
Goeiedag,7
Wat moet ek doen?,7
Vir my?,7
Seker,7
Sjampanje die Eerste word hy genoem!,7
Skiet!,7
Sophie!,7
Wag bietjie!,7
Staan op!,7
Sy majesteit word erken dwarsdeur die land!,7
Direkteur.,7
Uitstekend!,7
Charles!,7
Waarnatoe?,7
Veels geluk,7
Vinniger!,7
Ongelooflik!,7
Ja meneer.,7
Haai!,7
Aandag!,7
Los my!,7
Leopold!,7
Lady Eboshi!,7
Ha!,7
Maar wat?,7
Goeienaand,7
Geluk!,6
Slaap lekker,6
Beslis.,6
"Ja,",6
Ek moet gaan,6
Maak gereed!,6
Borin.,6
Waar was jy?,6
Dis genoeg!,6
George!,6
Wat het jy gedoen?,6
Kom op.,6
Baie goed,6
In die paleis se mark,6
Wat gebeur?,6
Vera.,6
Het jy dit gesien?,6
Vergewe my,6
Klara!,6
Wat dink u?,6
Jy sal nie die rëels hier maak nie!,6
Vorentoe!,6
Danielle Benton.,6
Waar gaan jy?,6
Hoor jy my?,6
Ek weet dit nie.,6
Waar kom jy vandaan?,6
Ek gaan nou,6
"He, baas.",6
"O, ja?",6
Dit pas my goed!,6
Gryp jou dinge.,6
Wat's dit?,6
Peter!,6
Pragtig!,6
Werklik?,6
My Vader!,6
NCIS.,6
Wie is sy?,6
Mooi so!,6
Wat van jou?,6
Okkoto!,6
Onmoontlik!,6
"Nee, baas.",6
Moenie!,6
Mev.,6
Nie sleg nie,6
Martin!,6
Glimlag,6
Heil Hitler!,6
O ja?,6
Hoeveel?,5
Wat kan ek doen?,5
Aangenaam.,5
Graag,5
Wie's dit?,5
Begrepen.,5
Is dit goed?,5
Hoera!,5
Welkom,5
Geen geweld!,5
Anna!,5
Hoe gaan dit met hom?,5
Anders!,5
Wat is verkeerd met jou?,5
Wat gaan hier aan?,5
Ag 'n man!,5
Wauw.,5
Wat het jy gesê?,5
Wat is daar?,5
Wat was dit?,5
Wat is dat?,5
Alles is reg,5
Alweer?,5
Wat soek jy?,5
Wat is jou naam?,5
Ken jy haar?,5
Is iets verkeerd?,5
Pappa,5
Marie!,5
Dis wonderlik!,5
Meneer?,5
Moment!,5
Ek het niks gedoen nie.,5
Prost!,5
Prima.,5
Pasop!,5
My here!,5
Môre,5
Majesteit,5
Ouma!,5
Oor,5
Onthou jy?,5
"O, my Vader!",5
Ek glo dit nie!,5
Ek gee nie om nie,5
Nog nie,5
Nog iets?,5
Doktor!,5
Sit,5
Madame Sand!,5
Franz!,5
Die pes!,5
"Ja, u Majesteit",5
Ek's jammer,5
Chazes.,5
Waar is die geld?,5
Jy ook,5
Vlaandere die leeu!,5
Kalmeer!,5
"Nee, gladnie!",5
Verstaan?,5
Verkoop!,5
Dis jammer,5
Ek verstaan nie,5
Ek verstaan dit.,5
Kom jy?,5
Kom uit!,5
Uit is jy!,5
Ek ook nie,5
Ek moet nou gaan,5
Los my uit!,5
Dis goed so,5
Yakul!,5
