sentence,count
لا,393319
نعم,324592
أجل,276887
ماذا؟,267209
حسناً,264241
حسنا,155062
هيا,125950
كلا,104990
ماذا ؟,100240
مرحباً,99979
يا إلهي,88494
اللعنة,76374
لماذا؟,74958
شكراً,66661
حقاً؟,63998
مرحبا,56615
أنا...,52075
شكراً لك,51682
جيد,51122
بالطبع,48599
ما هذا؟,46296
رائع,44358
صحيح,42168
أنت,39735
بالتأكيد,38806
تباً,38604
توقف,37717
لا بأس,36337
أوه.,35927
شكرا,33554
لا أعرف,32631
هذا صحيح,30393
أبي,30358
لا أعلم,30264
شكرا لك,30199
آسف,30077
أنا آسف,29935
الآن,29670
لماذا ؟,28939
هيّا,27828
لا شيء,27273
حسنٌ,26969
نعم؟,26768
ماذا تفعل؟,26679
حسنًا,26504
و...,25617
هنا,25050
ماذا,24819
انتظر,24562
هل أنت بخير؟,24220
حقا؟,23944
أرجوك,23690
لكن...,23619
لنذهب,23492
أمي,23278
هيا بنا,23034
ماذا حدث؟,22914
ما الأمر؟,22247
اجل,22055
أنا بخير,21689
حقاً ؟,21455
عظيم,21133
أعلم,20637
مهلاً,20494
هذا...,20100
تعال,20005
ما هذا ؟,19467
صباح الخير,19390
كيف حالك؟,19292
ربما,19051
من؟,18000
سيدي,17965
أعرف,17922
أليس كذلك؟,17364
مرحباً؟,17229
كلاّ,16978
آسفة,16034
لا أدري,15995
بلى,15674
حسناً؟,15515
يا الهي,15364
هناك,15242
كيف؟,15228
أهلاً,15211
فهمت,14654
النجدة!,14498
أنا آسفة,14434
هذا رائع,14322
مرحبًا,14102
آه!,13870
شكراً لكِ,13826
بالضبط,13631
لا، لا,13456
لا أستطيع,13417
من أنت؟,12951
لذا...,12781
يا.,12588
صحيح؟,12418
اللعنه,12243
وداعاً,12214
تفضل,12140
يا للهول,12113
أين؟,12109
من فضلك,12070
مستحيل,12066
أين هو؟,11964
اوه,11937
تبا,11670
اذهب,11565
هذا جيد,11534
انظر,11410
إذاً...,11406
فقط...,11033
ولكن...,10888
المعذرة,10857
حقاً,10792
ماذا تفعل ؟,10740
ليس بعد,10692
تحرك,10672
إلى اللقاء,10672
إنتظر,10350
حسنا؟,10245
مرحبا؟,10203
ماذا تفعلين؟,10166
جميل,10073
بسرعة,10056
رباه!,10019
ماذا يحدث؟,9970
حقا ؟,9945
هل أنت بخير ؟,9791
ممتاز,9692
بخير,9684
ماذا تريد؟,9657
أحبك,9647
ـ,9478
انا,9423
أنا؟,9401
هذا هو,9262
تعال هنا,9242
من هنا,8984
ماذا تعني؟,8926
تحركوا,8877
توقفي,8876
لا تقلق,8788
انتظري,8653
إذن...,8497
أنا فقط...,8496
ما الخطب؟,8474
شكرًا لك,8454
ماذا تفعل هنا؟,8409
أسرع,8356
ماذا حدث ؟,8356
أعني...,8328
كلّا,8321
لا، لا، لا,8294
واحد,8227
معذرة,8063
د.,8061
ماذا يجري؟,8050
اخرس,7943
انت,7917
ما هو؟,7862
ـ أجل,7807
شكراً لكم.,7774
ياإلهي,7743
من ؟,7718
كيف حالك ؟,7700
حقًا؟,7671
لا يهم,7648
سأفعل,7648
مع السلامة,7646
جيّد,7639
نعم ؟,7626
إنه...,7553
تعالي,7450
هل أنتِ بخير؟,7439
بالطبع لا,7438
توقفوا,7402
إذهب,7395
أليس كذلك ؟,7387
اه,7333
أنظر,7325
مهلا.,7315
أنتِ,7304
ما رأيك؟,7280
اسمع,7275
ثلاثة,7232
من هذا؟,7221
أين هي؟,7197
أين أنت؟,7132
سحقاً,7097
أشكرك,7002
ما الأمر ؟,6986
واو,6951
عزيزتي,6931
لا؟,6866
أنا هنا,6860
رجاءً,6855
هراء,6822
ماذا هناك؟,6822
هل...,6782
حقا,6735
متى؟,6670
ساعدوني,6659
ماهذا؟,6657
لا تتحرك,6653
ها هو,6634
أبي؟,6564
ماذا تقصد؟,6554
أجل؟,6487
لا لا,6461
أأنت بخير؟,6458
ماذا فعلت؟,6455
اصمت,6427
أنا لا أعرف.,6418
مساء الخير,6405
يا إلهى,6401
اجلس,6355
ما الذي يجري؟,6315
شكرًا,6258
هكذا,6182
ساعدني,6132
حسناً ؟,6125
لا عليك,6116
أعدك,6095
يا رجل,6087
صحيح ؟,6041
ماذا قلت؟,6022
دعنا نذهب,6018
نعم سيدي,5999
لا اعلم,5984
تفضلي,5919
هذا جنون,5909
هذا يكفي,5843
آمين,5838
وداعا,5780
لا اعرف,5744
سيدتي,5703
نحن,5699
لماذا,5687
أعلم ذلك,5652
ما الذي تفعله؟,5650
مرحى!,5625
أحسنت,5610
تراجعوا,5604
لا أحد,5600
جاك,5561
هيّا بنا,5549
ما الذي يحدث؟,5535
ها نحن ذا,5533
طبعاً,5494
لا مشكلة,5479
انا اسف,5451
مذهل,5417
أعتقد ذلك,5408
حسن,5382
أنا أحبك,5378
تراجع,5337
أمي؟,5326
مرحباً ؟,5314
لم لا؟,5313
أبداً,5300
شكراً جزيلاً,5298
ما...,5253
هاي,5238
رقم,5231
نعم يا سيدي,5224
لقد...,5209
ما هذا بحق الجحيم؟,5193
هاه؟,5184
كفى,5170
لا أعتقد ذلك,5166
اخرج,5142
ليلة سعيدة,5080
يجب أن أذهب,5071
لا شئ,5023
ا,4985
عيد ميلاد سعيد,4979
كيف ؟,4972
هو,4972
مثل ماذا؟,4942
إنها...,4930
هذا مستحيل,4923
ماذا عنك؟,4923
تباً لك,4896
مفهوم,4887
بالفعل,4885
من أنت ؟,4872
أخبرني,4866
ماذا تقول؟,4858
انهض,4851
لا تقلقي,4844
هل انت بخير؟,4837
أتعلم؟,4813
لحظة,4782
عزيزي,4780
عذراً,4770
حقّاً؟,4762
هذا غريب,4748
أهلا,4748
أو...,4741
حسناً، حسناً,4740
وأنا أيضاً,4697
قف!,4683
هذه,4674
