sentence,count
না!,3309
কি?,1704
ঠিক আছে.,1685
হ্যাঁ.,1599
না।,1323
হ্যা.,1286
হ্যাঁ।,1183
ধন্যবাদ.,1022
কী?,996
ঠিক আছে।,903
আমি...,903
কেন?,849
হেই!,816
আচ্ছা.,767
ওহ!,747
যাও!,737
হ্যালো?,689
বাবা!,668
ধন্যবাদ।,611
চলো!,606
থামো!,506
স্যার?,483
মা!,448
আচ্ছা।,406
আহ!,396
হুম,369
দুঃখিত.,368
হ্যা।,366
মি.,346
আসো.,345
জলদি!,342
তুমি...,339
প্লিজ!,327
কি হয়েছে?,316
সত্যি?,312
অবশ্যই.,312
আমি দুঃখিত.,302
তো...,296
কে?,290
তাই?,290
দাঁড়াও!,287
জ্যাক!,286
এটা কি?,286
তাই নাকি?,278
আরে!,265
কিন্তু...,261
কোথায়?,260
মানে?,245
অবশ্যই।,241
এই!,241
তাই না?,239
দেখো!,237
এখন...,235
ওকে.,231
এখানে.,221
ঠিক.,218
ভাল.,202
চল!,200
এটা...,189
হাই,187
থাম!,184
আমি দুঃখিত।,184
দুঃখিত।,180
আর...,176
আমি জানি.,174
হুম।,170
ইয়াহ!,169
"না, না.",167
ভালো.,165
হ্যালো।,164
দাড়াও!,164
যাও।,161
চলো।,157
এসো!,156
দৌড়াও!,155
এক মিনিট.,153
কিভাবে?,152
আমি জানি।,147
হাহ?,146
আমি জানি না।,146
এক্সকিউজ মি.,144
ওকে।,143
কী হয়েছে?,143
না ।,142
তাড়াতাড়ি!,140
ওয়াও!,140
বাহুবালি!,139
হেই।,139
তাহলে...,138
তুমি ঠিক আছো?,136
ইয়া!,136
চমৎকার!,135
ধেত্তেরি!,135
ও...,134
"না, না, না.",132
বিদায়!,131
স্যার।,131
আসলে...,130
দেখ!,126
আমি জানি না.,126
হ্যাঁ ।,124
তুমি ঠিক আছ?,120
শান্ত হও.,118
সরে যাও!,118
হ্যারি!,118
তুমি কে?,118
আয়!,116
ভাই!,115
সাবধান!,115
ঠিক আছে ।,114
তারপর?,114
আ...,114
হাই।,113
এটা কী?,112
বাঁচাও!,112
প্লিজ।,111
ধুর!,109
ওহ।,107
উম...,107
পেয়েছি!,106
এই যে!,106
আসো।,106
বলো?,106
বাল!,105
খুব ভাল.,102
তাইনা?,101
বস!,100
ড.,100
চুপ কর!,100
জানি.,99
