sentence,count
Da.,344546
Ne.,245898
Dobro.,113647
Hvala.,106229
U redu.,105557
Šta?,83308
Hajde.,77510
Ne znam.,60693
Hej.,57953
Idemo.,53511
Zašto?,53003
Zdravo.,51157
Naravno.,47436
Stvarno?,45542
Znam.,40031
Što?,38446
Sranje!,37497
Žao mi je.,35121
Ok.,31085
Molim?,30791
Tako je.,30369
U redu je.,28777
Halo?,27999
Oh.,22752
Ništa.,22296
Pa...,21974
Hvala ti.,21726
Jesam.,21687
Molim te.,21317
Izvini.,20786
Ja...,20765
OK.,19979
Čekaj.,19866
Stani!,19802
Mama!,18764
"Ne, ne.",18578
Bože!,18239
Jesi li dobro?,18090
Tata!,17853
Ćao.,16992
Aha.,16036
Hvala vam.,15498
Oprostite.,15012
Nisam.,14742
Oprosti.,14695
Ne mogu.,14537
Šta je to?,14300
Izvinite.,14193
Bok.,14026
"Da, gospodine.",13975
Nije.,13588
Šta je?,13524
Odlično.,13418
Kako si?,13188
Jeste.,13170
Volim te.,13031
Super.,12849
Kako?,12682
To je to.,12375
Evo.,12356
Ti?,12173
Prestani!,11969
Dobro sam.,11767
Idi.,11723
Molim vas.,11294
Dođi.,11251
Šta to radiš?,11134
I?,10883
Isuse!,10647
"Ne, ne, ne.",10576
Odmah!,10429
"O, Bože.",10410
Sjajno.,10192
Šta se dešava?,10174
Laku noć.,10172
Dobro je.,9933
Dobro jutro.,9689
Prokletstvo!,9598
Možda.,9490
a?,9324
Šta je bilo?,9295
Gospodine.,9159
Nemoj.,9138
Kako to misliš?,9132
To!,8863
Što je?,8820
Zaista?,8700
Šta je ovo?,8613
Vidiš?,8473
Drago mi je.,8451
Vidimo se.,8382
Sta?,8365
Ne brini.,8332
Smiri se.,7965
Slušaj.,7941
Ja sam.,7920
Znaš šta?,7880
Jebi se!,7835
Polako.,7825
Šta se desilo?,7819
Dobro si?,7794
"Da, da.",7705
Evo ga.,7659
U pravu si.,7624
"Ne, hvala.",7619
Ali...,7608
Ozbiljno?,7586
Što je to?,7577
Sve je u redu.,7525
Dođi ovamo.,7517
Tačno.,7447
Ko?,7301
A ti?,7294
Brzo!,7272
Važi.,7270
Može.,7081
"Da, naravno.",6923
"O, da.",6790
To je sve.,6786
Razumijem.,6782
e?,6780
Pusti me!,6708
Nema problema.,6673
Dosta!,6649
Sada?,6623
Upomoć!,6593
Zašto ne?,6573
Nema šanse.,6494
