sentence,count
Sí.,7059
No.,5871
Què?,2384
D'acord.,2301
Gràcies.,2244
Hola.,1922
Bé.,1397
Per què?,1096
No ho sé.,1049
Molt bé.,1023
Vinga.,879
Està bé.,821
Ho sento.,706
Ei.,704
Què passa?,696
Si.,684
Merda.,658
Anem.,621
De debò?,577
Déu meu.,574
Si us plau.,526
Ho sé.,520
Estàs bé?,510
Jo...,457
Som-hi.,444
Espera.,434
És clar.,428
Adéu.,421
"Sí, senyor.",414
Què és això?,397
Em sap greu.,385
Res.,352
Com?,341
"No, no.",327
Què fas?,314
Endavant.,306
Bona nit.,292
No puc.,281
Bon dia.,279
Oh!,276
Prou!,271
Qui?,269
Escolta.,257
Ara!,257
Mira.,255
Senyor.,250
Aquí.,248
Per què no?,246
Què vols dir?,240
Què ha passat?,239
"No, no, no.",238
Calla!,237
Estic bé.,235
De veritat?,233
I?,229
Entesos.,227
Va!,226
Pare!,224
I tant.,223
Genial.,220
On és?,217
Un moment.,214
Tu.,213
Per descomptat.,207
Vine.,204
Té.,194
Tens raó.,190
Eh?,188
"Sí, sí.",182
Ja ho sé.,182
Fora!,181
"Oh, Déu meu.",180
Ah!,180
Perdona.,179
Qui és?,173
No passa res.,170
Saps?,169
Vine aquí.,169
T'estimo.,166
Moltes gràcies.,163
No ho entenc.,162
"No, gràcies.",161
Mare!,160
Exacte.,157
On?,154
Collons!,154
On vas?,154
I tu?,153
Jo també.,153
Para!,151
Perfecte.,150
"Ah, sí?",150
Qui ets?,150
Què és?,147
Però...,146
Déu.,145
Què vols?,144
Perdó.,141
Saps què?,141
Altesa.,139
Seu.,138
De res.,137
Com estàs?,134
Fes-ho.,132
Això és tot.,132
Salut.,130
Fantàstic.,130
Val.,127
Mama!,127
Hodor.,126
Ja.,126
Potser.,124
Per favor.,123
Per aquí.,120
Perdoni.,120
És veritat.,119
Ja està.,118
"Oh, no.",117
Atura't!,116
Mai.,116
Ho faré.,114
Això.,113
Papa!,113
"Sí, és clar.",112
El què?,112
Correcte.,109
John!,108
Segur?,108
Jesús.,107
Ho entenc.,106
Tranquil.,105
Encara no.,105
