sentence,count
Dobře.,620654
Co?,392816
Díky.,237397
Proč?,215650
Ano?,178042
Prosím.,164658
Děkuji.,159674
Jasně.,157698
No tak.,154098
Jo?,153996
Hej!,150982
Vážně?,139653
Nevím.,138386
Opravdu?,135137
Já vím.,127257
Haló?,121466
Promiň.,113944
Promiňte.,109594
Sakra.,103079
Jdeme.,101171
Omlouvám se.,92908
Já...,92455
"Ano, pane.",91885
Fajn.,90496
Počkej.,89382
Děkuju.,89073
Co je?,86783
Nic.,83619
Co se stalo?,83195
Tady.,79940
Dobrá.,77737
Bože.,77557
Ne?,77154
Pojď.,72536
Co je to?,71447
"Ne, ne.",68822
Mami!,67310
Tak jo.,67137
Tati!,65883
Samozřejmě.,64788
Kurva!,63465
Rychle!,60038
Co to je?,57615
No...,56883
Správně.,56497
Oh.,56047
Do prdele!,55900
Rozumím.,55321
Páni.,53115
Pane.,53077
Proč ne?,52935
Takže...,50983
OK.,50614
Pojď sem.,49879
Přestaň!,49666
Ok.,47886
Výborně.,46399
Dělej!,46102
Kde je?,45698
"Ne, ne, ne.",45433
Pomoc!,44737
Panebože.,44182
Dobrý den.,43879
Aha.,43595
Počkat.,42302
V pořádku.,42202
To je v pořádku.,41958
Možná.,41800
To je ono.,41741
Počkejte.,41641
Čau.,41523
Kdo je to?,40686
A?,39670
Běž!,39519
Ty?,39390
Pojďme.,39364
Dobrou noc.,39239
O čem to mluvíš?,38575
Proboha.,38379
Ahoj!,37373
Ale...,37094
Jak?,36865
Dobrý.,35912
Vidíš?,35372
Fakt?,35227
Teď!,34623
Nemůžu.,34103
Podívej.,33652
Chápu.,33524
Hned!,33408
Tak.,33316
Já taky.,33242
Přesně.,33214
Pozor!,32816
Zdravím.,32531
Určitě?,31805
Jasný?,31726
Víš co?,31546
Super.,31523
Ale ne.,31507
Kde?,31275
Máš pravdu.,31025
Dobré ráno.,30691
Pohyb!,30313
Pojďte.,30082
Tak dobře.,29660
To ne.,29432
To je pravda.,28724
Skvělé.,28290
Nech toho.,28212
Co tím myslíš?,27921
Miluju tě.,27543
Je mi to líto.,27402
Nikdy.,27350
Jak se máš?,27220
Tudy.,27190
Hele.,27106
Hmm.,26508
Kam jdeš?,26260
Jdeme na to.,25691
Musím jít.,25453
Zatraceně!,25451
Co tady děláš?,25244
Poslouchej.,25125
To je dobrý.,25021
Ticho!,24996
Okay.,24726
Jste v pořádku?,24426
Děkuji vám.,24177
Mám to.,24118
To jsem já.,23832
Co to bylo?,23752
Hodně štěstí.,23648
Rozumíš?,23635
Vypadni!,23610
To nevím.,23587
Pardon.,23494
Co to děláte?,23432
Uklidni se.,23351
Drž hubu!,22903
Kdo jste?,22574
Ježíši.,22418
Skvěle.,22371
Tak pojď.,22216
Do toho.,22045
Skvělý.,21891
Neboj se.,21774
To nic.,21745
O co jde?,21679
To je...,21485
Ale no tak.,21256
Sbohem.,21219
"Jo, jasně.",21209
Je to pravda?,21123
Moment.,20903
Hm?,20417
Dobrá práce.,20373
Stůj!,20340
To je všechno.,20329
Co to znamená?,20320
V pohodě.,20214
Co děláš?,20060
Podívejte.,19970
Je to tak?,19936
A ty?,19707
Kde jsi?,19614
Co chceš?,19593
Ještě ne.,19575
"Dobře, dobře.",19448
Přestaňte!,19281
Klid.,19152
Omluvte mě.,19015
No jo.,19001
To je dobře.,18994
"Ne, pane.",18947
Dost!,18785
Běžte!,18768
Na zdraví.,18763
Jdi.,18758
Opatrně.,18560
Kdo jsi?,18484
"Ne, díky.",18412
Můj bože.,18288
Kdy?,18230
Tady je.,18104
Vím.,18064
Tak co?,17953
Kdo to je?,17946
Do hajzlu!,17768
Co to...,17729
Nedělej to.,17668
No a?,17653
Vydrž.,17551
To není pravda.,17533
Honem!,17422
Můj Bože.,17209
"Jo, jo.",17160
Je mi líto.,17087
Dobrý večer.,17046
Vstávej!,16949
Jak to?,16850
Bezva.,16728
Zlato.,16709
Kapitáne.,16673
Je v pořádku?,16522
Co myslíš?,16484
Jacku!,16280
Sklapni!,16241
Paráda.,16195
Pokračuj.,16174
Bože můj.,16079
A co?,16056
Děláš si srandu?,15991
Dík.,15948
Jak se jmenuješ?,15937
To stačí.,15919
Jsem v pořádku.,15862
A je to.,15837
To je on.,15737
To jo.,15716
Wow.,15705
Vidíte?,15640
Poslouchejte.,15601
Au!,15568
Jak to myslíš?,15551
Jsem v pohodě.,15422
Slibuju.,15394
Já ne.,15394
Těší mě.,15365
Věř mi.,15307
Hotovo.,15193
Už jdu.,15145
Jak to víš?,15125
Kam?,15106
A co ty?,15105
Amen.,15046
To není možné.,15009
Víte co?,14971
Yeah.,14812
To je jedno.,14798
Sedni si.,14613
Co budeme dělat?,14563
Dělejte!,14487
Poslouchej mě.,14420
Kruci.,14350
Podívej se na mě.,14293
Jak se vede?,14230
Otče!,14225
Tady to je.,14191
Slyšíš mě?,14173
Nazdar.,14057
Zpátky!,14016
Na co?,13955
Kolik?,13931
Johne!,13902
Policie!,13876
Pokračujte.,13873
Co chcete?,13867
No jasně.,13756
Měj se.,13756
Jsi v pohodě?,13671
Ven!,13604
Zapomeň na to.,13520
Co je tohle?,13483
Nashle.,13428
Myslíš?,13392
Jedeme.,13309
Všechno.,13251
Nikdo.,13249
Stát!,13215
Jeď!,13214
Má pravdu.,13212
Co tu děláš?,13203
Rozumíte?,13173
Ani ne.,13172
Jděte.,13167
Co to má znamenat?,13149
Jasné?,12979
Musíme jít.,12929
Ani hnout!,12921
Jak se máte?,12888
Není zač.,12874
K zemi!,12814
Přísahám.,12770
Chápeš?,12750
Myslím to vážně.,12687
Tohle.,12673
Jak to jde?,12506
Pomozte mi!,12499
Další.,12488
Víš...,12483
Ah!,12392
