sentence,count
Ja.,308423
Nej.,244699
Okay.,138302
Hvad?,120501
Tak.,112722
Hej.,80501
Undskyld.,63932
Godt.,50507
Kom nu.,50412
Kom så.,42272
Hallo?,41965
Hvorfor?,41107
Vent.,33700
Hvad er det?,31747
Hvad laver du?,27901
Det ved jeg ikke.,27536
Kom.,27346
Fint.,25670
Stop!,23521
Er du okay?,23271
Sådan.,21961
Selvfølgelig.,21530
Far!,21319
Virkelig?,20244
Jo.,20006
Pis.,19345
Nu!,19069
Hvad mener du?,18895
Farvel.,18108
Hvad sker der?,18105
Mor!,18078
Her.,17277
Undskyld mig.,16640
Jeg ved det ikke.,16164
Af sted!,15727
Kom her.,15649
Det er okay.,15300
Værsgo.,15138
Hvad er der?,15113
Hvordan går det?,14964
Mange tak.,14506
"Nej, nej.",13710
Hey!,13698
Hvem?,13490
Det ved jeg.,13377
Hvorfor ikke?,13263
Jeg elsker dig.,13059
Se.,12899
Jeg...,12780
Hvem er det?,12741
Du godeste.,12399
Hvad skete der?,12301
Hjælp!,11337
Hvad laver du her?,11215
Hvem er du?,10976
Forstået.,10849
Hvor skal du hen?,10509
Hør her.,10356
Pas på!,10337
Nå?,10321
Ved du hvad?,10214
Måske.,10159
Hvordan?,10045
Bare rolig.,9954
Jeg ved det.,9924
Hold kæft!,9894
Åh gud.,9824
Er du sikker?,9654
Glem det.,9571
Hvad så?,9204
Og?,9092
Løb!,9052
Javel.,9050
Godmorgen.,8938
Hvad er der galt?,8903
Ingenting.,8866
Lort.,8840
Vi ses.,8617
Godnat.,8379
Du har ret.,8251
Vent lidt.,8248
Mig?,8208
Hvordan har du det?,8165
Nemlig.,8030
Hvor?,8009
Slap af.,7984
Beklager.,7977
Hold op.,7969
Jeg har det fint.,7932
Hvad fanden?,7829
Jeg kan ikke.,7810
Hjælp mig!,7748
Det er i orden.,7641
Åh nej.,7552
Jeg er ked af det.,7517
Kom ind.,7504
Skynd dig.,7364
"Nej, nej, nej.",7354
Fedt.,7352
Fandens!,7349
"Ja, sir.",7302
"Åh, Gud.",7287
Goddag.,7283
Det er mig.,7144
Så...,7124
Hvad er der sket?,7116
"Ja, ja.",7098
Hvor er du?,6934
Hvor er han?,6878
Hvad snakker du om?,6859
Hvad vil du?,6814
"Åh, nej.",6793
Tillykke.,6757
Det skal nok gå.,6728
Gør det.,6721
Dig.,6677
Klar?,6670
Tag det roligt.,6639
Åh.,6621
Hvad foregår der?,6594
Ikke noget.,6513
Lad være.,6478
Det kan jeg ikke.,6447
Se her.,6414
Held og lykke.,6404
Ok.,6358
Det ved jeg godt.,6356
Jeg forstår.,6195
Fortsæt.,6181
Rolig.,6155
Ikke?,6138
Hvad var det?,6053
I lige måde.,6027
Hvad nu?,6021
Hvad med dig?,5954
Men...,5880
Aner det ikke.,5794
Wow.,5793
Sid ned.,5783
Denne vej.,5736
Og hvad så?,5676
Er du klar?,5642
Naturligvis.,5620
Hold nu op.,5584
Det er godt.,5500
Ikke endnu.,5474
Skat?,5460
Hvad hedder du?,5420
Hvabehar?,5391
Det gør jeg.,5388
Se på mig.,5375
Sir?,5363
Nej tak.,5351
Aldrig.,5346
Det er rigtigt.,5338
Gå.,5299
Hold da op.,5294
OK.,5291
Helt ærligt.,5237
Det tror jeg ikke.,5219
Hør.,5206
Hurtigt!,5198
"Åh, gud.",5153
Slip mig!,5141
Yeah.,5117
Fantastisk.,5111
Hvad betyder det?,5108
Øjeblik.,5063
Det lover jeg.,5031
Lad os gå.,5026
Ned!,5000
Du...,4998
Pokkers.,4933
Hvorfor det?,4921
Præcis.,4890
Perfekt.,4886
Det var så lidt.,4882
"Ja, selvfølgelig.",4851
Er alt i orden?,4839
Jaså?,4816
Mener du det?,4756
Hvad sagde du?,4741
Jack!,4740
Afsted!,4732
Ud!,4719
Hvad siger du?,4696
Intet.,4692
Seriøst?,4676
Har du det godt?,4660
Det er jeg ked af.,4658
Hvornår?,4612
Forsvind!,4604
Er det rigtigt?,4587
Tilbage!,4519
Netop.,4501
Det er fint.,4500
Flot.,4490
Er du med?,4481
"Hej, skat.",4461
Jeg er ligeglad.,4430
Stille!,4421
Jeg ved ikke.,4387
Udmærket.,4299
Det er...,4253
Jeg mener det.,4250
For helvede!,4247
Væk!,4241
Skål.,4217
Hvad taler du om?,4212
Hvor er hun?,4201
Fint nok.,4186
Hold da kæft.,4181
Jeg beklager.,4174
Gud.,4145
Hejsa.,4129
Utroligt.,4099
Sam.,4090
Bliv her.,4089
Jep.,4070
Hvad skal jeg gøre?,4060
Hold fast!,4059
Et øjeblik.,4056
Vågn op.,4045
Satans!,4037
John.,3984
Det er sandt.,3973
Hvad er det her?,3972
Det gør mig ondt.,3959
Fuck!,3940
Kør!,3937
Der.,3937
Rend mig.,3896
Oh.,3869
Jøsses.,3857
Hvad synes du?,3856
Lige et øjeblik.,3853
Klart.,3827
Lad mig se.,3824
Rolig nu.,3792
Jeg kommer.,3761
Tja...,3753
Hvordan ved du det?,3752
Han er død.,3748
Hvor har du været?,3723
