sentence,count
Ja.,482381
Nein.,342582
Was?,169787
Danke.,147832
Hallo.,93414
Okay.,91693
Gut.,82166
Hey.,74557
Ok.,58936
Bitte.,49638
Oh.,44081
Wirklich?,44055
Warum?,42951
Los!,42193
Ich weiß.,37654
Ich...,34264
Komm schon.,34133
Scheiße!,32820
Hier.,32656
Was ist los?,32028
Was ist das?,31044
Hi.,30208
Natürlich.,30030
Ich weiß nicht.,28696
Genau.,26217
Tut mir leid.,25946
Komm.,25628
Und?,25393
Nichts.,25123
Alles klar.,24070
Klar.,23681
Wieso?,23595
In Ordnung.,23156
Warte.,22739
Vielen Dank.,22396
"Ja, Sir.",22189
Verdammt!,21959
Entschuldigung.,21501
Keine Ahnung.,21166
OK.,20591
Ich weiß es nicht.,19127
Was ist passiert?,19110
Es tut mir leid.,18789
"Nein, nein.",18474
Was ist?,18300
Verstanden.,18144
"Oh, mein Gott.",18057
Ah!,17845
Hilfe!,17733
Sicher.,17624
Also...,17300
Wie bitte?,16822
Richtig.,16409
Wow.,16333
Gute Nacht.,15776
Doch.,15720
Komm her.,15305
Hm?,15072
Ach ja?,14296
Hör auf!,14054
Warum nicht?,14006
Schon gut.,13970
Wer?,13917
Alles in Ordnung?,13880
Gehen wir.,13602
Halt!,13577
Oh Gott.,13262
He!,13082
Was denn?,12973
Kommen Sie.,12771
Ich liebe dich.,12720
Moment.,12691
So.,12678
Guten Tag.,12461
Was soll das?,12406
Tut mir Leid.,12301
Wie?,12245
Na los.,11996
Guten Morgen.,11809
Du?,11702
Schnell!,11520
Stimmt.,11518
Sehr gut.,11278
Aber...,11159
Keine Sorge.,11146
Ich auch.,11102
Jetzt!,11093
Mein Gott.,10810
Oh mein Gott.,10796
Na gut.,10730
Verzeihung.,10724
Vielleicht.,10583
Ich verstehe.,10572
"Ja, ja.",10383
"Nein, danke.",10281
Wo?,10279
Musik,10160
"Oh, Gott.",10152
Sir?,10100
Sofort.,10056
Ich kann nicht.,9975
"Nein, nein, nein.",9798
Nicht!,9631
Oh nein.,9597
Was meinst du?,9576
Tschüss.,9561
Wer ist das?,9521
Toll.,9381
Weißt du was?,9216
Da.,8975
"Oh, ja.",8929
Kein Problem.,8922
Wo ist er?,8871
Schön.,8850
Auf Wiedersehen.,8834
Dad!,8821
Siehst du?,8768
Mama!,8744
"Oh, nein.",8693
Wie geht's?,8510
Oh ja.,8442
Wer sind Sie?,8149
Nun...,8118
Warten Sie.,8098
Guten Abend.,8057
Sie...,8027
Entschuldige.,7931
Also gut.,7830
Bis dann.,7806
Noch nicht.,7764
Aha.,7727
Wiedersehen.,7658
Hör zu.,7632
Mom!,7569
Morgen.,7540
Stopp!,7529
Das stimmt.,7447
Wer ist da?,7411
Was machst du?,7338
Verstehe.,7318
Mist.,7253
Ganz ruhig.,7237
Niemals.,7153
Raus!,7134
Vorsicht!,7070
Was ist denn?,6988
Natürlich nicht.,6965
Und du?,6955
Na schön.,6906
Was willst du?,6815
Viel Glück.,6792
Großartig.,6778
"Ja, natürlich.",6770
Geh.,6641
Na und?,6537
Was machst du da?,6531
Moment mal.,6473
Entschuldigen Sie.,6468
Super.,6437
Papa!,6436
Echt?,6427
Das ist gut.,6410
"Ja, ich weiß.",6400
Ruhe!,6322
Das ist alles.,6231
Vergiss es.,6177
Fertig?,6177
Was machst du hier?,6175
Setz dich.,6159
Gott!,6151
Ach!,6133
Mach schon.,6046
Achtung!,6038
Wieso nicht?,6005
Komm mit.,5952
Au!,5921
Es tut mir Leid.,5908
Äh...,5858
Jawohl.,5842
Wann?,5824
Wo bist du?,5796
Wo ist sie?,5782
Oder?,5781
Yeah.,5778
Na ja...,5768
Was war das?,5759
Weiter.,5688
Was soll das heißen?,5653
Aufhören!,5652
Kommt.,5640
Tatsächlich?,5505
Wer bist du?,5501
Zurück!,5483
Keine Bewegung!,5474
Jack!,5473
Unglaublich.,5442
Cool.,5418
Amen.,5409
Verschwinde!,5355
"Ja, klar.",5308
Wohin?,5290
Was wollen Sie?,5281
Runter!,5246
Feuer!,5235
Pass auf!,5194
Sehen Sie?,5176
Gern geschehen.,5143
Kommt schon.,5127
Das ist es.,5126
Steh auf!,5118
Ha!,5112
Ich auch nicht.,5097
Vater!,5084
Was ist hier los?,5063
Los geht's.,5062
Alles okay?,5050
Setzen Sie sich.,5049
"Nein, Sir.",5033
Verstehst du?,4974
Wartet!,4935
Bitte sehr.,4932
Was ist denn los?,4885
Ich komme.,4882
Ach so.,4870
Ich muss los.,4773
Bist du sicher?,4766
Er ist tot.,4748
Einen Moment.,4747
"Ja, genau.",4713
Ehrlich?,4696
Na?,4661
Das reicht.,4654
Wunderbar.,4645
Im Ernst?,4644
Bis später.,4643
Versprochen.,4639
Gar nichts.,4621
Alles.,4598
Wie geht es dir?,4588
Perfekt.,4581
Geht es dir gut?,4574
Tja...,4573
Hören Sie.,4546
Mir geht's gut.,4542
Halt die Klappe.,4509
Vorwärts!,4484
Prost.,4479
Ist schon gut.,4455
Ähm...,4454
Das geht nicht.,4433
John.,4430
Du hast recht.,4424
"Oh, Scheiße.",4383
Gut gemacht.,4366
"Oh, Mann.",4353
Da ist er.,4352
Woher weißt du das?,4352
Aus dem Weg!,4333
Sam.,4329
Komm rein.,4314
Es ist vorbei.,4305
Mhm.,4302
Wo willst du hin?,4298
Fuck!,4281
Beeil dich.,4268
Warte mal.,4265
Polizei!,4251
Egal.,4248
Hau ab!,4190
Wovon redest du?,4180
Bravo!,4179
Gott sei Dank.,4163
Raus hier!,4158
Lass mich los!,4129
Es tut mir so leid.,4129
Und dann?,4118
Na klar.,4114
Auf keinen Fall.,4078
Danke schön.,4064
Einverstanden.,4057
Bereit?,4052
Wofür?,4031
Sei still!,4021
Mutter!,4018
Was meinen Sie?,4009
Das...,3983
Lauf!,3959
Herein.,3955
Wozu?,3951
Darf ich?,3940
Meine Güte.,3939
Ich muss gehen.,3896
Ist gut.,3892
Danke sehr.,3874
Zwei.,3857
Ist alles in Ordnung?,3857
Schneller!,3851
Bewegung!,3816
Ich verstehe nicht.,3814
Und jetzt?,3796
Unmöglich.,3782
Tschüs.,3735
Das weiß ich.,3712
Daddy!,3701
Das ist...,3697
Wo warst du?,3689
Hilf mir!,3688
Sieh dir das an.,3670
Das war's.,3643
Beruhige dich.,3642
Was gibt's?,3639
Wie geht's dir?,3618
Was zum Teufel?,3616
Willkommen.,3613
Alles ok?,3612
Hä?,3594
Sieh mich an.,3588
"Ja, sicher.",3581
Weiß nicht.,3577
Beeilung!,3577
Wir?,3557
Sehr schön.,3553
Klasse.,3518
Keine Angst.,3507
Sorry.,3478
Mann!,3458
Ganz genau.,3447
Ich wusste es.,3439
Entschuldigen Sie mich.,3419
Das ist er.,3403
"Danke, Sir.",3370
Wie geht es Ihnen?,3369
Das bin ich.,3367
Wen?,3360
Gute Idee.,3346
Kann ich Ihnen helfen?,3344
Ich bin hier.,3317
Was meinst du damit?,3314
Ich meine...,3310
Nicht wahr?,3307
Absolut.,3303
Wie heißt du?,3293
Ich nicht.,3291
Niemand.,3290
Und Sie?,3288
Ich gehe.,3285
Captain.,3276
"Ja, bitte.",3274
Schau.,3264
Bitte nicht.,3262
Drei.,3257
Auf geht's.,3238
Hier entlang.,3238
Du hast Recht.,3237
Bist du verrückt?,3234
Allerdings.,3230
Du auch.,3189
Wer war das?,3171
Unsinn.,3146
Das glaube ich nicht.,3144
Hmm.,3142
Schatz?,3132
Selbstverständlich.,3126
Lass das.,3113
"Ja, danke.",3110
Was heißt das?,3104
Sieh mal.,3101
Wie viel?,3092
Alles wird gut.,3091
Mal sehen.,3088
Nicht wirklich.,3087
Nicht schlecht.,3085
Fick dich!,3082
Sind Sie sicher?,3064
Das ist unmöglich.,3061
Langsam.,3054
Was hast du gesagt?,3038
Ich glaube nicht.,3038
Gut so.,3022
Deutsche Untertitel für THE SHIELD gibts auf board.tv4user.de,3013
Was hast du vor?,3009
Wo gehst du hin?,3002
Hör mir zu.,3001
Was soll ich tun?,2984
Ich weiß es.,2976
Arschloch!,2967
Bist du okay?,2955
Geht's dir gut?,2930
Lass mich in Ruhe.,2930
Ist ja gut.,2927
Das ist nicht wahr.,2922
Mach dir keine Sorgen.,2921
Was ist los mit dir?,2914
Fantastisch.,2913
Herzlichen Glückwunsch.,2909
Glückwunsch.,2905
Was hast du?,2898
Ruhig.,2892
Prima.,2891
Ernsthaft?,2889
Gehen Sie.,2880
Nur zu.,2879
Kommen Sie rein.,2868
Genug!,2867
Wach auf!,2832
Hört auf!,2824
So ist es.,2819
Oh Mann.,2817
Wie meinst du das?,2816
Ausgezeichnet.,2812
Gern.,2805
Ich bin's.,2785
Was ist mit dir?,2785
Weiß ich nicht.,2775
Nicht schießen!,2772
Hör auf damit.,2767
Verdammte Scheiße!,2758
Es reicht.,2758
Weg!,2751
Abgemacht.,2748
Charlie.,2744
Was hat er gesagt?,2736
Mir geht es gut.,2718
Halt's Maul!,2716
Gerne.,2698
Das stimmt nicht.,2696
Eins.,2693
Nee.,2690
Woher wissen Sie das?,2689
Er...,2681
Was ist es?,2681
Kapiert?,2672
Freut mich.,2671
Stehen bleiben!,2666
Entspann dich.,2660
Ciao.,2644
David!,2642
Idiot!,2636
Vorsichtig.,2633
Wissen Sie was?,2618
Frank.,2613
Na komm.,2608
Das ist toll.,2599
Das weiß ich nicht.,2591
Und wie?,2588
Lass mich!,2585
Wohin gehst du?,2574
Alex!,2573
Es ist nur...,2569
Was bedeutet das?,2560
Michael.,2546
Nicht jetzt.,2543
Ich denke schon.,2542
Interessant.,2539
"Hey, hey.",2539
Hier lang.,2536
Hände hoch!,2536
Hör mal.,2524
Was machst du denn hier?,2523
Was denkst du?,2522
Gute Arbeit.,2521
Was tust du?,2506
"Ja, gut.",2505
Quatsch.,2490
Alles gut.,2483
"Ja, das stimmt.",2479
Weg da!,2471
Max!,2470
Was hast du getan?,2469
Was sagst du?,2468
Leute!,2467
"Eins, zwei, drei.",2460
Mike.,2458
Das tut mir leid.,2454
Bitte schön.,2447
Ende.,2435
Was machen wir jetzt?,2434
"Los, los!",2431
"Ja, Ma'am.",2431
Komm zurück!,2428
Machst du Witze?,2428
Mm.,2411
Sei vorsichtig.,2408
Harry!,2399
Alle.,2390
Mach's gut.,2385
Lass uns gehen.,2383
Stimmt's?,2383
Es ist okay.,2381
"Jawohl, Sir.",2376
Over.,2375
Ich verspreche es.,2374
Doktor.,2364
Wie denn?,2355
Bye.,2353
Geh weg!,2341
Es ist...,2340
Bis bald.,2339
