sentence,count
Εντάξει.,594870
Τι;,424565
Ευχαριστώ.,343813
Δεν ξέρω.,228713
Όχι!,228331
Γιατί;,199700
Ωραία.,183673
Πάμε.,183581
Γεια.,178568
Έλα.,177160
Θεέ μου!,174837
Αλήθεια;,173138
Ναι!,168813
Συγγνώμη.,125989
Το ξέρω.,121803
Ναι;,118621
Περίμενε.,111838
Φυσικά.,111311
Τι συμβαίνει;,108821
Σωστά.,107388
Είσαι καλά;,105242
Γαμώτο!,103921
Τι κάνεις;,103658
Λυπάμαι.,95944
Σταμάτα!,94015
Τι είναι αυτό;,91496
Τίποτα.,87995
Εντάξει;,84611
Καλά.,81124
Ορίστε.,80503
Συγνώμη.,79419
Σε παρακαλώ.,77549
Μάλιστα.,73618
Ακριβώς.,70562
Τέλεια.,68421
Σκατά.,67481
"Όχι, όχι.",62004
Δεν πειράζει.,59012
Κοίτα.,58183
Τι εννοείς;,57648
Με συγχωρείτε.,54886
Τώρα!,54344
Χριστέ μου!,52583
Παρακαλώ.,52506
Λοιπόν...,52096
Σ' ευχαριστώ.,50645
Αντίο.,49986
Φύγε!,48662
Γρήγορα!,48405
Τι είναι;,47917
Τι έγινε;,47784
Καλημέρα.,47766
Μην ανησυχείς.,46125
Γεια σου.,46074
Βοήθεια!,46006
Μπαμπά!,45449
Έλα τώρα.,45371
Δεν μπορώ.,44261
"Μάλιστα, κύριε.",43933
'Οχι.,43631
Αυτό είναι.,43455
Γεια σας.,43421
Οχι.,43107
Γιατί όχι;,42328
Σκάσε!,42154
Σας ευχαριστώ.,41430
Σοβαρά;,41351
Μαμά!,40994
Εγώ...,40710
Ελάτε.,40701
Καληνύχτα.,39998
Ηρέμησε.,39623
Πού είναι;,39584
Έλα εδώ.,38765
Τι τρέχει;,37513
Να πάρει!,36472
Τι συνέβη;,35020
Εμπρός.,34747
Ξέρεις κάτι;,33875
Υπέροχα.,33454
Πήγαινε.,33440
"Ω, Θεέ μου.",32897
Εδώ.,32744
Τι?,32739
Παρακαλώ;,32562
Κατάλαβα.,31807
Πρέπει να φύγω.,31268
Εσύ;,31244
Ορίστε;,31228
Εμπρός;,31212
Δεν καταλαβαίνω.,31152
Εσύ!,30411
Τι κάνεις εδώ;,30231
Πρόσεχε!,30160
Πώς;,30150
Πολύ καλά.,30073
Σταματήστε!,30049
Είναι...,30011
Κι εγώ.,29867
Σίγουρα.,29751
Αρκετά.,29523
Ποιος είναι;,29012
Βλέπεις;,28495
Καταλαβαίνω.,28451
Έχεις δίκιο.,28301
Ίσως.,28135
Με συγχωρείς.,28038
Αλήθεια.,27442
Είναι εντάξει.,27404
Κύριε.,27339
Συγχαρητήρια.,27110
Βέβαια.,27038
Περιμένετε.,26824
Ξέρω.,26367
Μπράβο.,26329
"Όχι, όχι, όχι.",26060
Λοιπόν;,25758
Πού;,25682
Σωστά;,25608
Γειά.,25595
Τι λες;,25495
"Ναι, ναι.",25045
Έγινε.,24985
Τι θέλεις;,24875
Καλώς.,24673
Σε ευχαριστώ.,24467
Ω!,24404
Ποιος;,23867
Κατάλαβες;,23364
Έι!,23255
Είσαι εντάξει;,23180
Κανένα πρόβλημα.,22847
Πού πας;,22818
Μια χαρά.,22765
Εγώ είμαι.,22713
Τα λέμε.,22620
Εγώ;,22288
Και;,22254
Ποτέ.,22067
Πες μου.,21992
Καλή τύχη.,21769
"Όχι, ευχαριστώ.",21684
Δεν το πιστεύω.,21516
Τί;,21332
Όχι;,21290
Μισό λεπτό.,20828
Είσαι σίγουρος;,20792
Σας παρακαλώ.,20634
Σ' αγαπώ.,20620
Λυπάμαι πολύ.,20555
Συνέχισε.,20351
Μη!,20290
Βεβαίως.,20274
Τι σημαίνει αυτό;,20263
Ελήφθη.,19596
Τι ήταν αυτό;,19389
Ναί.,19008
Πώς είσαι;,18790
Τι είπες;,18693
Έρχομαι.,18461
Μια στιγμή.,18420
Ευχαριστώ πολύ.,18406
Αποκλείεται.,18396
Όλα θα πάνε καλά.,18338
Εκεί.,18285
Πρέπει να φύγουμε.,18034
Καλησπέρα.,18021
Όχι ακόμα.,17798
"Ναι, φυσικά.",17728
Δεν έχει σημασία.,17691
Κουνηθείτε!,17617
Απίστευτο.,17570
Κουνήσου!,17417
"Εντάξει, εντάξει.",17377
Πότε;,17367
Ξέχνα το.,17253
Ποιος είσαι;,16702
Κάθισε.,16624
Ευχαριστούμε.,16611
Τι πράγμα;,16525
Παιδιά!,16506
Δεν έχω ιδέα.,16372
"Ναι, κύριε.",16121
Σήκω.,15822
Πού είσαι;,15784
Στάσου.,15745
Πολύ ωραία.,15745
Βγες έξω!,15690
Τι έκανες;,15612
Είμαι καλά.,15611
Και λοιπόν;,15281
Ξέρεις...,15252
Κοιτάξτε.,15183
Αυτό ήταν.,15174
Απλά...,15118
Περάστε.,15003
Εδώ είναι.,14801
Α!,14658
Που είναι;,14651
"Ναι, το ξέρω.",14563
Με τίποτα.,14538
Ποιος είναι αυτός;,14440
Θα το κάνω.,14423
Ελα.,14337
Μπαμπά;,14280
Μάλιστα κύριε.,14109
Αυτός είναι.,14083
Ησυχία!,14037
Εδώ είμαστε.,14003
Αυτό.,13983
Προχώρα.,13966
Καθόλου.,13964
Όλα καλά.,13920
Καλά είμαι.,13920
Προσοχή!,13849
Και...,13623
Τελείωσε.,13504
Καταλαβαίνεις;,13455
Πυρ!,13439
Αλλά...,13407
Φύγετε!,13346
Αμήν.,13314
Μπες μέσα.,13306
Τι κάνετε;,13206
Μαμά;,13204
Τι είναι αυτά που λες;,13198
Χαλάρωσε.,13147
Άκου.,13089
Πώς σε λένε;,12887
Φεύγω.,12797
Εδώ είμαι.,12730
Αστυνομία!,12700
Δεν νομίζω.,12606
Να προσέχεις.,12595
"Όχι, κύριε.",12572
Το υπόσχομαι.,12473
Είμαι.,12385
Τι θα κάνεις;,12367
Αμέσως.,12332
Ήρεμα.,12317
Ε!,12280
Ποιο;,12265
Έτσι.,12221
Έξω!,12202
Για ποιο λόγο;,12180
Έλα μαζί μου.,12074
Κρίμα.,12074
Πρέπει.,12052
Κύριε;,12030
Τέλος πάντων.,11993
Χαίρομαι που σε βλέπω.,11993
Ένα λεπτό.,11982
Είσαι σίγουρη;,11965
Ακίνητος!,11948
Ξύπνα!,11868
Το ήξερα.,11833
Γιατί?,11740
Πατέρα!,11707
Πάμε να φύγουμε.,11585
Πώς πάει;,11511
Συμφωνώ.,11472
Πράγματι.,11469
Τι γίνεται;,11426
Ε;,11419
Τι θα κάνουμε;,11349
Άντε!,11311
Κρατήσου.,11308
Πως;,11295
Δε νομίζω.,11289
Δεν είναι.,11248
Για ποιο πράγμα;,11204
Τι είπε;,11183
Έτσι μπράβο.,11140
Είναι νεκρός.,11106
Θαυμάσια.,11056
Κάτσε κάτω.,11032
Που;,11016
"Ναι, είναι.",11013
Πώς είναι;,11008
Έτσι δεν είναι;,11007
'Ελα.,10997
"Ω, ναι.",10978
Όλα καλά;,10970
Πώς το ξέρεις;,10926
Ας το κάνουμε.,10795
Δύο.,10772
Κάτω!,10761
Σ'ευχαριστώ.,10715
Δεν...,10713
Μαλακίες.,10605
Τι στο διάολο;,10602
"Ναι, εντάξει.",10592
Κάθαρμα!,10583
Έφυγε.,10576
Ει!,10567
Πού ήσουν;,10554
Έρχεται.,10518
Από εδώ.,10514
Για να δούμε.,10509
Βοήθησέ με.,10508
Έχει δίκιο.,10495
Ακούστε.,10494
"Α, ναι.",10325
Βιάσου!,10215
Δεν με νοιάζει.,10188
Τώρα;,10163
Αυτό είναι όλο.,10113
Σύμφωνοι.,10087
Είναι αλήθεια.,10081
Κάνε πίσω.,10029
"Ναι, σωστά.",9984
Είμαι εντάξει.,9975
Φύγαμε.,9952
Άκουσέ με.,9933
Μπορεί.,9931
Το βρήκα.,9882
Όντως.,9880
Πάρε.,9799
Κοίτα με.,9771
Οκ.,9756
"Ναι, καλά.",9697
Εκεί είναι.,9680
Ουάου!,9546
Ωχ!,9539
Πίσω!,9529
Συγγνώμη;,9513
Επιστρέφω αμέσως.,9503
Όχι ακριβώς.,9487
Περίμενε ένα λεπτό.,9407
Πλάκα μου κάνεις;,9349
Σίγουρα;,9346
Δεν χρειάζεται.,9296
Καλό.,9295
Είναι καλά;,9270
Αυτό είναι καλό.,9239
Μην το κάνεις.,9212
Τζακ!,9189
Δεν είναι εδώ.,9157
Καλή δουλειά.,9145
Σαμ!,9104
Κι εγώ το ίδιο.,9061
Το ελπίζω.,9055
Ηλίθιε!,9045
Τρελάθηκες;,9040
Με ακούς;,9016
