sentence,count
Hey.,1189077
Oh.,1146885
No!,932602
Hello?,410134
Sorry.,385434
Yeah?,380240
Excuse me.,374450
Go!,372293
"Oh, my God.",366536
Huh?,325174
"Yes, sir.",305004
Hmm.,294647
Okay?,289917
Here.,284121
Ah!,279005
Wow.,273260
Stop!,269522
Well...,262792
Yes?,260080
What is it?,245166
Bye.,232165
Whoa!,227489
"Oh, yeah.",224975
"No, no.",212202
What happened?,205502
Look.,205352
"Oh, no.",204461
That's it.,197848
Now!,195605
Come here.,185672
It's okay.,184416
All right?,172441
"Oh, God.",171201
Uh...,170634
Mm-hmm.,167866
Please!,167096
Aah!,165902
Fuck!,163192
You?,161081
Sir.,158824
You know what?,158031
"No, no, no.",157952
Wait!,156000
Dad!,153003
Shit.,146529
Me?,143586
Mmm.,143223
Um...,142022
Who are you?,141587
Help!,139088
I love you.,138843
Mm.,136177
Go on.,131935
Mom!,126045
Ow!,125355
How are you?,124642
Right?,124478
Ooh!,122667
Wait a minute.,122334
Good night.,122136
What's wrong?,119334
So...,118126
See?,118099
Listen.,116808
Hold on.,114973
I see.,114754
Shh.,114742
Yep.,113294
How?,109630
Move!,109520
Uh-huh.,108924
Jesus.,108005
There.,106520
Are you okay?,105761
But...,105051
You're right.,103993
Go ahead.,102567
Good morning.,100734
Got it.,99076
"Oh, shit.",98955
What do you think?,96537
Sit down.,95213
Come.,95018
Don't.,94964
Here we go.,93070
Whoo!,91237
God!,91189
You okay?,90114
Ok.,89202
What's the matter?,88066
It's all right.,87825
Damn!,87689
What is this?,86682
There you go.,85784
Damn it!,82860
Hurry!,81570
Help me!,79986
Congratulations.,79833
"Oh, yes.",78542
Alright.,78535
Ready?,78368
You know?,78122
Get up!,77807
I got it.,77585
Where are you?,76812
Run!,76523
I'm so sorry.,76160
What's this?,75913
Goodbye.,74961
What is that?,74736
I understand.,73627
What...,73621
Ugh!,72929
I just...,72806
Ohh!,72408
Listen to me.,72340
Nope.,71874
I did.,71762
Where is he?,71498
Thank you!,71022
Thank you very much.,70928
Are you all right?,70645
Absolutely.,70548
Hurry up!,69177
I,68399
"Yeah, yeah.",67932
I will.,67318
I don't understand.,67256
OK?,67093
That's good.,66580
Look at me.,65658
Not yet.,65156
"No, sir.",63985
Cheers.,63932
Nice.,63804
No problem.,63285
Here you go.,62592
Really.,62201
Hi!,61647
Good luck.,61402
Ha!,61346
You all right?,61333
You're welcome.,61306
What's your name?,61210
Never.,60920
I promise.,60902
Forget it.,59690
Don't move.,59625
This way.,58216
Who is it?,57934
When?,57891
What the hell?,57444
"Oh, come on.",56434
It's me.,56266
Daddy!,56016
You got it.,55692
What was that?,55492
Enough!,55490
And...,55247
Seriously?,55103
Relax.,54315
Get out of here.,53817
Amen.,53119
Of course not.,53075
Jack.,52903
Fire!,52853
Father!,52594
I'm sorry?,52403
Very good.,52267
That's great.,52184
My God.,52168
Get down!,52165
Hang on.,51587
Let me go!,51552
And you?,51371
Jesus Christ.,50920
Look at this.,50619
Nice to meet you.,50533
I'm not.,50100
I don't know!,49883
Not at all.,49592
That's all.,49414
"Thank you, sir.",49366
Good evening.,49237
Go away!,49017
Perfect.,48848
Morning.,48783
"Oh, man.",48717
Easy.,48455
What did you say?,47467
Ahh!,46987
Again.,46734
Over.,46682
Be careful.,46669
What for?,46485
"Yeah, I know.",46215
How you doing?,45728
I'll be right back.,45567
I mean...,45506
Trust me.,45490
Hold it.,45377
Get out.,44982
Mother!,44919
Where is she?,44804
Holy shit.,44606
Two.,44596
Look at that.,44307
Quiet!,44307
I don't care.,44305
Sam.,44280
That's enough.,44208
YEAH.,44204
Wake up!,44190
"Okay, okay.",44165
What's happening?,44047
Not really.,44012
Never mind.,43922
"No, thanks.",43815
Do you understand?,43666
"Hey, hey.",43616
NO.,43453
What does that mean?,43336
Come with me.,43062
I don't.,42662
Son of a bitch!,42574
Welcome.,42450
Mm-hm.,42218
You see?,42200
"Oh, really?",42132
"Yes, ma'am.",41712
It's fine.,41440
"Yeah, sure.",41419
One.,41367
John.,41358
Excellent.,41343
Honey.,40966
Come on in.,40882
Move it!,40840
Mmm-hmm.,40735
"No, thank you.",40733
Are you crazy?,40723
"No, no, no, no.",40657
"Come on, come on.",40565
It's over.,40302
Do you?,40232
What about you?,39878
Eh?,39759
I told you.,39734
This...,39661
You know that.,39544
Nothing!,39419
Take it easy.,39376
There you are.,39374
I knew it.,39262
I get it.,39089
Where is it?,39047
"Come on, let's go.",38769
Over here.,38756
Three.,38658
Just...,38582
There he is.,38543
Thank you so much.,38456
I know!,38401
Quick!,38255
How much?,38036
Take it.,38009
How do you know?,37818
What are you saying?,37682
Great!,37675
You do?,37607
Like what?,37524
Anything.,37244
"Yes, of course.",37217
Clear.,37211
I didn't.,37148
"Come on, man.",36974
Get in.,36730
Follow me.,36650
"Yes, yes.",36209
Who's that?,36208
I'm here.,35990
"Yeah, right.",35953
Let go!,35891
Bullshit.,35754
Aye.,35718
How do you do?,35717
Look out!,35664
Uh-oh.,35589
Guys!,35556
