sentence,count
Jes.,713
Ne.,589
Dankon.,259
Bone.,258
Kio?,244
Saluton.,181
Kial?,142
Atendu!,121
Mi ne scias.,119
Kion?,115
Ek!,114
Venu.,108
Ho!,101
Nu?,98
Pardonu.,96
Ĉesu!,92
Haltu!,92
Jen.,90
Rigardu!,89
Kio okazas?,86
Bonvolu.,85
Ku!,80
Ni iru.,78
Bonan tagon.,78
Paĉjo!,77
Bonege.,76
Ĉu?,74
Kio estas tio?,73
Certe.,72
Ĉu vere?,70
Kion vi faras?,68
Kio okazis?,68
Ashitaka!,65
Mi?,63
Ha lo?,61
Ha!,60
Billy Turf.,60
Panjo!,59
Do?,59
Mi bedaŭras.,55
He!,54
Ĝis.,52
Iru!,51
Silentu!,50
Helpu!,49
Kompreneble.,49
Kiu?,49
Foriru!,47
Atentu!,43
Sidiĝu.,43
Damne!,43
Kaj vi?,41
Ĝuste.,40
Vere.,40
Rapide!,40
Sankta!,40
Kiu vi estas?,39
"Ne, ne.",38
Kiel?,38
Momenton!,38
Hej!,38
Mi scias.,38
Ne zorgu.,36
Kie?,36
Bonan nokton.,35
Okkoto!,35
Helpu min!,35
Aŭskultu.,35
Eniru.,34
Ĉu vi komprenas?,34
Adiaŭ.,33
Kien?,33
Patro!,32
Vi!,32
Por kio?,31
Venu ĉi tien.,31
Kuru!,31
Rapidu!,30
Tute ne.,30
Milady!,30
Sir!,30
Kiel vi fartas?,30
Sed...,29
Eliru!,29
Kie vi estas?,29
Aj!,28
Tie!,27
For!,27
Sufiĉas!,27
Kaj?,27
Kio estas?,27
Ĉi tie.,27
Kion vi diras?,26
Kiu estas?,26
Bonan matenon.,26
Massarakŝ!,26
Bonan vesperon.,26
Mi petas!,25
Ĝis revido.,25
Ankaŭ mi.,25
Hey!,25
Quick!,25
Brave!,25
Yakul!,25
Mi ne komprenas.,24
Nun!,24
Neniam!,24
Prenu.,24
Mej!,24
Mi-young!,23
Halo?,23
ĉu?,23
Tre bone.,23
Vi pravas.,23
Mak!,23
Pardonu min.,23
Kial ne?,23
Ĉi tien!,23
Mi estas ĉi tie.,22
Kion vi volas?,22
Vidu.,22
Ĉu vi freneziĝis?,22
Ĉu mi?,22
Trankviliĝu.,21
Kien vi iras?,21
Ne gravas.,21
Idioto!,21
Nenio.,21
"Jes, sinjoro.",21
Pardonon.,21
Dio mia!,21
Diable!,20
Ĉu ne?,20
Jiko!,20
Malliberulo 2904!,20
Sinjoro!,20
Iŝan!,20
"Ho, ne!",19
Mi amas vin.,19
Mi pardonpetas.,19
Mi ne povas.,19
Manĝu!,19
Vekiĝu!,19
Jes ja.,19
Lasu min!,19
Kju!,19
Tuj!,18
Kio ĝi estas?,18
Mi komprenas.,18
"Ho, jes.",18
Ĉu vi?,18
Hm?,18
Prave.,18
Kie vi estis?,18
Bona!,17
Ah!,17
Tiel?,17
Kaĉjo!,17
Kion vi celas?,17
Nenion.,17
Paŭleta!,17
Ĉu bone?,17
Ne moviĝu!,17
"Jes, jes.",17
Silenton!,16
Mi vidas.,16
Kiu estas vi?,16
Sufiĉe.,16
Atenton!,16
Sofi!,16
Mi dankas vin.,16
Ĝis morgaŭ.,16
Ĉu vi vidis?,16
Restu reen!,15
Kie ŝi estas?,15
Ne eblas.,15
Ne timu.,15
Eboshi!,15
Move!,15
"Ne, ne, ne!",15
Nekredeble!,15
Lasu!,15
Tie li estas!,15
La Cervo Dio?,15
Konsentite.,15
Ili venas!,15
Kapitano!,15
Toki!,15
Aŭskultu min.,15
Ni manĝu viro.,15
Jen ĝi.,15
Kie ĝi estas?,14
Estas mi!,14
Kiu li estas?,14
Kie li estas?,14
Kiam?,14
Fiulo!,14
"Jes, certe.",14
Kion vi faras ĉi tie?,14
Mi ne timas!,14
Venu kun mi.,14
Ne maltrankviliĝu.,14
Amen.,14
Ĉu vi certas?,14
Diru al mi.,14
Bonvenon!,14
Brendano!,13
diras la reĝino.,13
Ĉu vi aŭdas?,13
Kiun?,13
Kio estas ĉi tio?,13
Aŭ!,13
Homoj!,13
Kaj kio?,13
Tommy.,13
Helpon!,13
"Ne, dankon.",13
Izzi.,13
Halt!,13
Haku!,13
Avinjo!,12
Sekvu min!,12
Fajro!,12
Pafu!,12
Antaŭen!,12
Merdon!,12
Korvaks!,12
"Bone, bone.",12
— Jes.,12
Kiom?,12
Kiki!,12
Kiel vi nomiĝas?,12
Ho ve!,12
Ĉu vi vidas?,12
Eble.,12
Frato!,11
Jen ili!,11
Kiu iras tien?,11
Kion mi faru?,11
Ĉu vi komprenis?,11
Kio okazis al vi?,11
Kaj do?,11
Estas li!,11
Strange.,11
Ĉu vi mortis?,11
Ĉiuj.,11
Fek!,11
jes.,11
Ni reiru!,11
diras la reĝo.,11
En ordo.,11
S-ro?,11
