sentence,count
Gracias.,883279
Hola.,745193
Vamos.,735384
Bien.,549361
Está bien.,501711
¿Sí?,466771
Lo siento.,385483
De acuerdo.,339301
¿Por qué?,326610
Si.,315758
Muy bien.,253669
No lo sé.,247621
Por favor.,229364
¿En serio?,225962
Lo sé.,205071
Claro.,196888
Mierda.,187640
¿No?,186488
Dios mío.,186478
Espera.,182876
Adiós.,178379
¿Estás bien?,177404
Vale.,176983
¿Qué pasa?,158986
Nada.,147926
Yo...,145461
"Sí, señor.",137836
Oye.,136432
Oh.,128116
Por supuesto.,121465
No sé.,115863
"No, no.",113644
Buenas noches.,109927
Genial.,106605
¿Cómo?,102211
Dios.,99855
Adelante.,99434
¿De verdad?,97874
¡Papá!,96642
Mira.,96286
¡Mamá!,93487
Ahora.,92385
Estoy bien.,89994
Perdón.,88581
Así es.,88190
¿Qué es eso?,87154
¡Cállate!,86964
Qué?,86829
Eso es.,86781
Bueno...,83931
No puedo.,83756
¿Eh?,83258
¿Y?,81282
Buenos días.,79588
¿Por qué no?,79141
¿Qué es esto?,79024
¿Qué estás haciendo?,76917
Señor.,76720
No te preocupes.,74979
Vaya.,72833
¿Quién?,72077
¿Qué haces?,71854
Seguro.,71137
Ven aquí.,70870
Muchas gracias.,69271
¿Dónde está?,67824
"No, no, no.",67338
Aquí.,66622
¿Sabes?,65858
Yo también.,64164
¿Sabes qué?,63009
¿Quién es?,62815
Entendido.,62662
¡Maldición!,62567
¡Maldita sea!,62459
Disculpe.,61983
Vámonos.,61938
Ok.,60656
Ven.,59731
¡Basta!,59549
¿De veras?,58985
¡Cuidado!,58508
Vete.,58316
¿Qué quieres decir?,57941
Tú.,57874
Eso es todo.,57502
Toma.,55914
¿Qué pasó?,54997
¡Alto!,54878
Un momento.,54700
Venga.,54083
¿Cómo estás?,54005
"No, gracias.",53726
¿Dónde?,53415
¿Que?,52261
Tienes razón.,51918
¡Rápido!,51909
Cierto.,51054
Pero...,50666
Hey.,50577
No importa.,50430
¿Qué es?,50185
"Sí, sí.",49375
Correcto.,49033
¿Qué sucede?,48973
"Sí, claro.",48824
Siéntate.,48536
Claro que sí.,48015
Exacto.,47265
"¿Ah, sí?",47073
Escucha.,46952
¡Fuera!,46739
¡Para!,45785
De nada.,45748
Entonces...,45192
Por aquí.,44594
Entiendo.,44096
"Oh, no.",42375
¿Ves?,42324
Ya veo.,41736
"Oh, Dios mío.",41463
Disculpa.,41051
Lo siento mucho.,40981
Perfecto.,40586
¡Ah!,40573
Te quiero.,39459
¿Qué está pasando?,39425
Te amo.,39366
Es verdad.,39210
¡Carajo!,38934
"Vamos, vamos.",38670
Lo tengo.,37914
Listo.,37799
Esta bien.,37714
¿Para qué?,37591
¿Qué quieres?,37590
Ahí está.,37531
Lo haré.,36253
Es cierto.,36074
Soy yo.,36029
¿Y tú?,35905
Ya.,35643
"Oh, Dios.",35443
¿Estás loco?,35399
¿Qué ocurre?,35372
No lo creo.,35194
No hay problema.,34914
¡Silencio!,34841
¡Detente!,34579
Olvídalo.,34445
¿Qué haces aquí?,34194
Espere.,33835
Buena suerte.,33616
¿De qué estás hablando?,33591
Cielos.,33537
Mira esto.,33081
Claro que no.,32580
Tranquilo.,32463
Nunca.,32449
¿Y qué?,32390
Cariño.,32180
Ve.,32111
"Oh, sí.",32107
¿Quién eres?,31995
"No, señor.",31865
Salud.,31645
Hazlo.,31554
Escúchame.,31496
¿De qué hablas?,31441
Por Dios.,31157
¿Qué te pasa?,31075
Exactamente.,30719
¡Joder!,30717
¿Dónde estás?,30665
Nos vemos.,30536
Ya está.,29806
No pasa nada.,29682
¿Verdad?,29508
Yo no.,29306
¿Adónde vas?,29265
Mírame.,29189
Excelente.,28991
"Sí, lo sé.",28634
No me importa.,28223
Cálmate.,28217
Aquí está.,27943
¿Cuándo?,27509
¡Hijo de puta!,27377
Tengo que irme.,27321
¡Ayuda!,27042
Esperen.,26927
Se acabó.,26822
¿Qué ha pasado?,26462
¡Corre!,26341
Increíble.,26302
¿Estás seguro?,26276
Qué bien.,26261
¿Cómo está?,26079
¿Qué dices?,25903
¿Entiendes?,25898
Hasta luego.,25775
No te muevas.,25699
Levántate.,25559
¿Qué tal?,25440
Entra.,25227
Lo entiendo.,25185
Aquí tienes.,25166
¡Muévanse!,25095
No lo entiendo.,25075
¡Fuego!,24934
¡Atrás!,24866
Jesús.,24746
Aquí vamos.,24706
Ya lo sé.,24507
¿Todo bien?,24459
Perdona.,24349
Jack.,24159
No entiendo.,23961
Todo está bien.,23953
Así que...,23894
Es...,23835
¡Muévete!,23767
No puede ser.,23740
Dime.,23660
Estupendo.,23627
"Gracias, señor.",23625
¡Padre!,23570
Está muerto.,23380
Lo es.,23286
Tal vez.,23220
Fantástico.,23191
Lo lamento.,23126
Me voy.,23116
Amén.,22942
¡Socorro!,22927
¿Cómo lo sabes?,22892
¡Suéltame!,22567
¿Qué estás haciendo aquí?,22339
Tiene razón.,22139
Demonios.,22127
Ten cuidado.,22063
Dos.,22031
Buen trabajo.,22027
Otra vez.,21988
John.,21941
Lo prometo.,21837
Lo sabía.,21813
¿Cómo te llamas?,21797
¿Diga?,21743
Capitán.,21742
Sam.,21727
¿Qué te parece?,21675
Gracias a Dios.,21586
Ayúdame.,21584
Así.,21580
No lo hagas.,21578
Diablos.,21379
¿Lo ves?,21259
Ya basta.,21207
Señora.,21049
Todo.,21015
No puedo creerlo.,21009
¡Idiota!,20971
¿Qué fue eso?,20923
OK.,20893
"Sí, señora.",20861
Ya voy.,20837
Yo tampoco.,20833
¿Y bien?,20754
Eso.,20740
¿Qué significa eso?,20663
Bien hecho.,20425
¿A dónde vas?,20369
Me gusta.,20281
Cambio.,20180
No es cierto.,19792
Es él.,19597
Arriba.,19566
Disculpen.,19406
¿El qué?,19318
Ahí.,19003
Tres.,18993
Nadie.,18976
Anda.,18882
¿A qué te refieres?,18863
¡Abajo!,18854
¿Estás bromeando?,18814
¿Qué demonios?,18771
No es nada.,18747
Felicidades.,18722
¿Te gusta?,18678
¿Cómo se llama?,18592
Espera un minuto.,18559
Ven conmigo.,18361
Es increíble.,18314
Felicitaciones.,18271
Despierta.,18067
"No, está bien.",17966
Creo que sí.,17939
Estoy aquí.,17902
Wow.,17788
Por supuesto que no.,17761
¡Doctor!,17712
Ahora mismo.,17616
"Sí, por supuesto.",17568
Buenas tardes.,17518
Me encanta.,17495
¡Oigan!,17481
Todavía no.,17382
¡Oiga!,17369
¿De qué?,17321
¿Está todo bien?,17221
¡Chicos!,17165
No se preocupe.,17112
De ninguna manera.,17028
Espera un momento.,16974
¡Auxilio!,16974
Esto.,16972
¿Qué vas a hacer?,16962
Siéntese.,16865
¿Qué está haciendo?,16854
Lo hice.,16824
"Sí, así es.",16793
Lo que sea.,16783
"Hola, cariño.",16772
"No, no, no, no.",16722
Relájate.,16684
¡Policía!,16665
Aún no.,16637
¿No es así?,16481
Uno.,16392
Tranquila.,16283
Mira eso.,16266
¿Bromeas?,16219
¿Estás segura?,16195
¡Déjame!,16171
¿Puedo?,16164
Me tengo que ir.,16098
¿Cuál es el problema?,16091
¡Bravo!,16073
Hecho.,16065
¡Ay!,16031
Gracias por venir.,16003
Miren.,15995
Hmm.,15912
Está aquí.,15884
"Espera, espera.",15866
No lo haré.,15716
Te lo dije.,15688
¡Madre!,15651
Déjame ver.,15627
Suficiente.,15540
¿Eres tú?,15536
Imposible.,15523
¿no?,15508
No lo se.,15388
Michael.,15286
"Oh, mierda.",15256
Charlie.,15251
"Sí, gracias.",15088
¿Qué cosa?,15069
¿Cuánto?,15062
Espera un segundo.,15054
Vete a la mierda.,15050
Te lo prometo.,15041
Un poco.,15030
Nos vamos.,15029
David.,14932
Déjalo.,14896
Veamos.,14873
Es genial.,14854
¿A quién?,14804
¿Quién es usted?,14785
Lo sabes.,14782
"Bien, bien.",14750
Quizás.,14726
Absolutamente.,14695
Perdóname.,14683
Jefe.,14679
Buen día.,14661
¿Cuál?,14648
¿Qué quiere decir?,14641
Ven acá.,14629
Mucho.,14596
¡Atención!,14581
Debo irme.,14515
"Está bien, está bien.",14504
Mire.,14436
Pasa.,14400
¿Qué dijiste?,14370
Tenemos que irnos.,14365
Eso espero.,14350
Okay.,14291
Perdone.,14253
Tonterías.,14134
Tú también.,14088
Supongo.,14081
Maravilloso.,14075
¡Deprisa!,13995
Abre la puerta.,13958
Con permiso.,13920
Estoy de acuerdo.,13899
"Ay, Dios.",13897
No lo es.,13868
Quizá.,13858
"Ay, Dios mío.",13856
¿Qué hace?,13839
Mírate.,13830
Mañana.,13816
Es todo.,13768
Lo juro.,13700
Andando.,13628
¿Qué dijo?,13614
Confía en mí.,13593
¡Ayúdenme!,13589
Discúlpeme.,13586
¿Me oyes?,13544
Para nada.,13542
Frank.,13540
Eso creo.,13528
Hagámoslo.,13395
¡Apúrate!,13367
¡Quieto!,13341
¿Cómo te sientes?,13292
¿Dónde están?,13291
Porque...,13239
¿Qué diablos?,13215
Desde luego.,13193
Peter.,13164
"Si, señor.",13141
¡Papi!,13140
Cuídate.,13137
Guau.,13029
Date prisa.,12916
"Sí, estoy bien.",12910
"Uno, dos, tres.",12892
¿Nosotros?,12888
¿Qué sucedió?,12859
Calma.,12849
Dame eso.,12841
¿Qué hacemos?,12737
"No, por favor.",12729
Solo...,12688
¿Estás loca?,12662
Eso es bueno.,12637
No puedes.,12614
No es verdad.,12610
Quédate aquí.,12536
Tom.,12517
¿Sobre qué?,12476
No mucho.,12473
Te tengo.,12440
¿Listos?,12437
Yo sí.,12436
¿Quién eres tú?,12394
¿Estas bien?,12394
¿Qué hora es?,12390
Mike.,12353
Bienvenido.,12353
¿Qué hiciste?,12333
Harry.,12321
Déjame en paz.,12306
No me digas.,12282
Dámelo.,12252
Buena idea.,12240
"Sí, está bien.",12236
Todos.,12228
No quiero.,12209
Lárgate.,12177
Ahora no.,12171
¿Qué dice?,12147
Es imposible.,12134
"¡Vamos, vamos, vamos!",12130
¡Mami!,12125
¡Corran!,12124
¡Al suelo!,12123
Mucho gusto.,12108
¿Qué quiere?,12079
Feliz Navidad.,12049
No puedo hacerlo.,12018
¡Fuera de aquí!,12015
"No, estoy bien.",11979
No estoy seguro.,11948
"Sí, lo es.",11907
Mr.,11905
Grandioso.,11889
Es una locura.,11865
Rayos.,11858
Estamos bien.,11808
Se ha ido.,11807
No está mal.,11718
Aquí tiene.,11639
Caray.,11630
Ya no.,11564
Sigue.,11518
Mmm.,11513
¿Qué tienes?,11402
Un segundo.,11395
¿Y ahora qué?,11375
¿Dónde has estado?,11370
Ben.,11367
Allí.,11362
Siempre.,11361
Usted.,11352
Esta noche.,11341
Él...,11340
Es suficiente.,11301
¿Dónde estabas?,11292
Allá vamos.,11269
Mentira.,11261
¿Algo más?,11254
¿Me entiendes?,11244
Ya sé.,11235
"No, no lo es.",11222
Yo me encargo.,11201
No tengo idea.,11183
¿Adónde?,11132
Ella...,11123
Lo se.,11122
¿Qué le pasa?,11064
No me toques.,11056
Despacio.,11053
Encantado.,11051
Tengo una idea.,10994
Caballeros.,10987
¿Quién sabe?,10973
Alex.,10959
Quiero decir...,10894
¿Lo tienes?,10881
Aquí estoy.,10844
Y yo.,10843
Adios.,10831
Con cuidado.,10784
Igualmente.,10761
Continúa.,10759
No lo sabía.,10723
Se fue.,10705
Discúlpame.,10700
Pase.,10682
Dilo.,10658
"Hola, chicos.",10656
Es posible.,10656
Ya sabes.,10651
¿A mí?,10645
Sarah.,10635
Uh...,10630
Sal.,10623
¿Qué estás diciendo?,10610
Mejor.,10594
Algo así.,10591
Créeme.,10570
Cuatro.,10565
Eso está bien.,10501
Por supuesto que sí.,10469
No tiene sentido.,10465
¿Qué vamos a hacer?,10444
Supongo que sí.,10435
