sentence,count
Jah.,299804
Ei.,222500
Mida?,116830
Olgu.,70334
Tere.,59258
Tänan.,57063
Hästi.,50735
Ma ei tea.,46818
Vabandust.,41980
Miks?,36700
Hei.,36323
Tõesti?,33692
Aitäh.,33626
Hea küll.,32647
Palun.,32639
Muidugi.,31684
Lähme.,30545
Ma tean.,28426
Mis see on?,27752
Oota.,26946
Tule.,25895
Mida sa teed?,24932
Kurat!,22607
Tore.,22065
Selge.,20289
Halloo?,20161
Kõik on korras.,20153
Mis toimub?,18266
Mis juhtus?,17816
Mine!,17076
Jumal küll.,17064
Isa!,16902
Mis on?,16643
Okei.,16324
Tule siia.,15385
"Ei, ei.",15344
Väga hea.,14966
Ema!,13330
Just nii.,13134
Vaata.,12957
Mul on kahju.,12903
Just.,12730
Suurepärane.,12730
Kuidas läheb?,12640
Lõpeta!,12534
Kohe!,11660
Kuule.,11223
Ei ole.,10979
Persse!,10881
Ma...,10682
Lase käia.,10622
Ole nüüd.,10581
Anna andeks.,10553
Tänan teid.,10481
Pole midagi.,10469
Kuidas?,10260
Mis?,10244
Oh.,10032
Millest sa räägid?,9903
Miks mitte?,9658
Tänan sind.,9639
Kus ta on?,9615
Ära muretse.,9346
Ma armastan sind.,9171
Kes?,9095
Nägemist.,9063
"Jah, söör.",8985
Mina?,8951
Kuhu sa lähed?,8845
Õigus.,8829
Ei midagi.,8796
Noh...,8784
Appi!,8668
Vabandage.,8609
Ma ei saa.,8589
Sina.,8553
Valmis?,8530
Issand.,8521
"Ei, ei, ei.",8462
Neetud!,8404
Oodake.,8127
Vaata seda.,7959
Võta.,7846
Hallo?,7815
Täpselt.,7654
Tule nüüd.,7583
Kas tõesti?,7560
Siin.,7518
Head ööd.,7454
Sul on õigus.,7179
Tõsiselt?,7135
Kes see on?,7133
Ja siis?,7130
Ei tea.,7032
Kes sa oled?,7019
Nii.,6996
Olgu peale.,6875
Loomulikult.,6843
Ole vait!,6827
Raisk!,6655
Kiiresti!,6396
Näed?,6394
"Jah, muidugi.",6375
Kus?,6315
Tulge.,6304
Mida kuradit?,6281
Ja...,6244
On sinuga kõik korras?,6238
Lahe.,6209
Jumal!,6200
Mis mõttes?,6137
Mitte midagi.,6091
Kas kõik on korras?,6069
Vabandage mind.,6018
Minge!,5949
Mida sa siin teed?,5946
Mis viga?,5930
Kus sa oled?,5919
Aitab!,5904
Seis!,5901
On kõik korras?,5867
Mida sa tahad?,5863
Kuula mind.,5822
Ma pean minema.,5814
Kõik saab korda.,5781
Mida see tähendab?,5765
Kuidas palun?,5685
"Jah, sir.",5581
Kõik on hästi.,5554
Vau.,5533
Õige.,5492
Ettevaatust!,5424
Nüüd!,5396
Rahune.,5396
