sentence,count
Bai.,14495
Ez.,9504
Zer?,4917
Kaixo.,3289
Eskerrik asko.,2628
Goazen.,2515
Barkatu.,2504
Ez dakit.,1943
Ados.,1856
Benetan?,1714
Mila esker.,1669
Ongi.,1657
Zergatik?,1558
Tira.,1283
Kaka!,1265
Itxaron.,1209
Ederki.,1173
Mesedez.,1162
Agur.,1157
Badakit.,1142
Ondo da.,1124
Sentitzen dut.,1098
Zer gertatzen da?,1033
Begira.,969
Ondo.,933
Hori da.,927
Aita!,912
Jakina.,904
Lasai.,883
Geldi!,876
"Bai, jauna.",811
Aurrera.,789
Noski.,776
Ama!,764
Ongi da.,759
Aizu!,704
"Ez, ez.",701
Zer moduz?,692
Azkar!,683
Oso ondo.,664
Hara!,590
Entzun.,580
Primeran.,578
Gabon.,577
Ixo!,538
Zer da hori?,536
Tori.,531
Kaka zaharra!,528
Mugi!,528
Banoa.,528
Ezer ez.,523
Bai horixe.,512
Eta?,508
Ene!,508
Lagundu!,505
Egun on.,503
Zergatik ez?,500
Orain!,489
Kontuz!,479
Ezin dut.,475
Zatoz.,472
Milesker.,460
Arraioa!,459
Nola?,455
Ondo zaude?,439
Zer da?,435
Zer gertatu da?,431
Zer esan nahi duzu?,431
Ikusten?,429
Zer diozu?,423
Nor da?,416
Jauna.,413
Egia da.,411
Zer nahi duzu?,407
Maite zaitut.,407
Nora zoaz?,404
Nahikoa da.,402
Ez kezkatu.,399
Zer da hau?,396
Hemen.,392
Zertan ari zara?,378
Non dago?,368
"Bai, noski.",360
Sartu.,355
Nor?,347
Oso ongi.,344
Nik...,343
Prest?,337
Eusko Jaurlaritzaren laguntzarekin egindako azpitituluak,335
Zatoz hona.,332
Esan.,331
Konforme.,329
Badakizu?,329
Zoaz.,327
Ai ene!,325
Ulertzen dut.,323
Non?,323
Ederto.,318
Gelditu!,317
Ongi zaude?,315
Eseri.,311
Ez dut ulertzen.,310
Baina...,308
Zertarako?,298
"Ez, ez, ez.",292
Hemendik.,289
Jainkoarren!,288
Zorionak.,287
Jainkoa.,284
"Bai, bai.",283
Ni?,276
Aski da!,273
Ospa!,267
Gero arte.,264
Oh!,260
Ez dut uste.,260
Zu!,252
Segi.,249
Eta zu?,249
Hala da.,248
Bale.,245
Ondo dago.,245
Atzera!,243
Ondo nago.,242
Zer ari zara?,238
Bai zera!,233
Ez horregatik.,232
Bagoaz.,231
Demontre!,231
Itxoin.,228
Eta zer?,228
Ulertzen?,225
Kanpora!,218
Arrazoi duzu.,218
