sentence,count
نه,84932
آره,76327
باشه,37179
چي؟,26570
بله,25677
سلام,24832
ممنون,21376
خوبه,15822
هي,15631
اوه,14307
لعنتي,13305
من...,12866
چرا؟,12622
درسته,12436
برو,11386
خب...,11232
ببخشيد,9052
خيلي خب,8905
متاسفم,8520
چيه؟,8268
نميدونم,8142
چی؟,7817
بيا,7808
يالا,7797
خداي من,7418
آه,7390
صبر کن,7184
البته,7107
چي شده؟,6968
واقعا؟,6939
عاليه,6722
تو...,6064
اره,5951
ميدونم,5728
حالت خوبه؟,5678
هی,5538
باشه؟,5521
ممنونم,5343
بريم,5280
چي ؟,5201
مامان,4963
بله؟,4759
خواهش ميکنم,4634
هيچي,4520
خوب,4493
زود باش,4476
اون...,4458
بابا,4309
خداحافظ,4274
ببين,4076
و...,4056
زودباش,3971
حالا,3903
خب؟,3813
خفه شو,3801
متشکرم,3764
کمک,3743
الو؟,3719
واقعاً؟,3713
بيا اينجا,3705
اين چيه؟,3632
لعنت,3536
نمي دونم,3524
لعنتی,3519
وايسا,3404
منظورت چيه؟,3393
فقط...,3353
پس...,3337
آره؟,3314
بس کن,3272
مرسي,3229
بسيار خب,3216
گوش کن,3197
بله قربان,3159
آروم باش,3149
چيزي نيست,3131
نه، نه.,3078
خودشه,3048
درسته؟,3043
خیلی خب,3007
اين...,2971
خيلي خوب,2961
بجنب,2940
واي,2921
قربان,2905
نه؟,2878
حتما,2847
ها؟,2842
پدر,2840
کي؟,2777
اه,2745
نمیدونم,2736
اما...,2719
نگران نباش,2656
متأسفم.,2595
واو,2573
نه، نه، نه.,2513
خوبم,2501
جدي؟,2455
خدايا,2443
مطمئني؟,2423
بفرما,2417
ببخشید,2410
چطوري؟,2401
شايد,2375
منم همينطور,2330
کجا؟,2300
چیه؟,2254
من خوبم,2239
عزيزم,2232
اوه خداي من,2221
چرا ؟,2215
تو کي هستي؟,2182
هان؟,2111
ببخشيد؟,2100
سلام؟,2099
بشين,2098
خواهش مي کنم.,2076
اون چيه؟,2065
بیا,2042
مراقب باش,2039
کجاست؟,2000
اينجا,1985
چی شده؟,1977
من؟,1976
مشکلي نيست,1966
دوستت دارم,1950
لطفا,1945
چطور؟,1896
چه خبره؟,1871
اوه، خداي من,1854
ادامه بده,1851
بسه,1846
یالا,1840
صبح بخير,1818
شب بخير,1813
مي دونم,1808
حتماً,1803
بگيرش,1796
برگرد,1794
فهميدم,1791
بلند شو,1787
خوبي؟,1777
شرمنده,1768
بيا بريم,1768
معذرت ميخوام,1756
چي شد؟,1756
بگو,1748
ميدوني چيه؟,1744
چرا,1744
منم,1736
میدونم,1729
خدای من,1699
بله، قربان,1692
عالیه,1681
ولش کن,1670
خيلي خوبه,1662
چي...,1654
بزن بريم,1639
مواظب باش,1635
آروم,1624
ولي...,1620
حالت چطوره؟,1605
اونجا,1592
ميدوني,1592
اون کجاست؟,1589
اوهوم,1589
عجله کن,1589
ولم کن,1575
حرومزاده,1572
فهميدي؟,1552
دو,1544
امکان نداره,1534
من فقط...,1533
چيه ؟,1498
کافيه,1469
بيخيال,1468
نميتونم,1468
مهم نيست,1458
بسيار خوب,1458
خواهش میکنم,1453
مگه نه؟,1452
تکون نخور,1451
چي شده ؟,1449
براي چي؟,1434
مامان؟,1428
ما...,1423
بفرماييد,1412
الو,1411
بریم,1401
سرورم,1390
تو خوبي؟,1387
بدو,1370
نگاه کن,1367
خيلي‌خب,1362
فکر کنم,1361
چی ؟,1360
خيلي ممنون,1346
آخ,1337
دريافت شد,1333
آفرين,1323
برين!,1321
چيکار ميکني؟,1320
بريد!,1308
آتش,1306
جان,1300
نه نه,1297
ها,1294
واقعا ؟,1292
سه,1283
دقيقا,1283
قول ميدم,1281
جالبه,1267
تموم شد,1253
ساکت,1225
اوه، نه.,1222
احمق,1220
جدا؟,1210
برو بيرون,1209
بابا؟,1209
ا,1198
تمومش کن,1195
اسمت چيه؟,1185
هنوز نه,1180
اون کيه؟,1160
همينه,1150
هیچی,1143
چیزی نیست,1134
صبرکن,1130
جک,1124
آره، آره,1124
چي ميخواي؟,1118
واي خدا,1118
ببین,1117
بيا تو,1111
بايد برم,1108
خدا,1107
باشه ؟,1106
ديدي؟,1102
متشكرم,1098
مادر,1093
از اين طرف,1089
ايول,1089
کمکم کن,1075
چي گفتي؟,1073
خيله خب,1072
يک,1068
