sentence,count
Ei.,246665
Mitä?,211768
Kiitos.,205116
Hei.,151400
Kyllä.,141796
Niin.,138577
Selvä.,136130
Anteeksi.,117954
En.,115240
Hyvä on.,101092
En tiedä.,95353
Hyvä.,72781
Miksi?,68891
Olen pahoillani.,59556
Tiedän.,56656
Niinkö?,54739
Aivan.,53943
Oletko kunnossa?,50621
Mennään.,44324
Odota.,43654
Joo.,42569
Hienoa.,41712
Haloo?,39686
Voi luoja.,38325
Mitä nyt?,36732
Tule.,36560
On.,35622
Olen.,34579
Lopeta!,31357
Okei.,30363
Äiti!,29005
Mitä tapahtui?,28452
Isä!,28207
No niin.,28059
Mitä sinä teet?,27790
Mitä tarkoitat?,27779
Hetkinen.,27537
Ei mitään.,23175
Totta kai.,22825
Ei se mitään.,22212
Minä...,22170
Ymmärrän.,22039
Vauhtia!,21877
Hitto.,21854
Tässä.,21476
Tule tänne.,20902
Toki.,20516
Älä viitsi.,20383
Voi ei.,20315
Miten niin?,19827
Rauhoitu.,19800
Mene.,19739
Ei hätää.,19458
Mikä hätänä?,19230
Älä.,18280
Rakastan sinua.,18188
Katso.,17775
Miten menee?,17663
Missä hän on?,17327
Hyvää yötä.,16521
"Ei, ei.",16433
Oletko varma?,16162
No?,16145
Tietenkin.,16099
Apua!,16066
En voi.,15925
Totta.,15715
Ymmärrätkö?,15676
Luoja.,15577
Mikä se on?,15424
Mahtavaa.,15279
Kuuntele.,15244
Seis!,15042
Ehkä.,15018
Ole hyvä.,14839
Olet oikeassa.,14821
Huomenta.,14817
Kuka?,14738
Nähdään.,14696
Voi paska.,14687
Mikä?,14647
Miten?,14603
Nyt!,14549
Kaikki hyvin.,14542
Helvetti!,14363
Mitä kuuluu?,14136
Tietysti.,14071
Ei ole.,13880
Lähdetään.,13872
Onko kaikki hyvin?,13857
Terve.,13282
Ole kiltti.,13140
Uskomatonta.,12836
Kaikki on hyvin.,12817
Hiljaa!,12659
Liikettä!,12478
Odottakaa.,12476
Mitä teet?,12406
Juuri niin.,12384
Ei kiitos.,12370
Tulkaa.,12317
Niinpä.,12311
Onko selvä?,12233
En ymmärrä.,12206
Missä?,12040
Paska.,11963
Hyvin.,11870
Niin on.,11671
Sinä.,11652
