sentence,count
Quoi ?,463860
Pourquoi ?,214442
Non !,191098
Allez.,184775
Vraiment ?,161456
Oui ?,132344
Je ne sais pas.,122994
Merde.,97710
C'est vrai.,95669
Pardon.,92472
Oh.,91668
Ça va ?,77774
Ok.,76887
OK.,67977
Hé !,66802
Allons-y.,66470
Excusez-moi.,64636
Alors ?,61368
Mon Dieu.,60322
Je suis désolé.,60228
Voilà.,52509
Bon.,52143
Vas-y.,52035
Au revoir.,51786
Tout va bien.,51534
Maman !,50083
Papa !,49920
D'accord ?,48129
Qu'est-ce que c'est ?,47665
Comment ?,46461
Moi ?,45739
Ah!,45204
C'est quoi ?,44197
"Oh, mon Dieu.",44024
Qui ?,42639
Ouais !,42193
On y va.,41830
Allô ?,41322
Je suis désolée.,40567
Et alors ?,39945
Que se passe-t-il ?,39909
Je...,39378
Désolée.,38777
Je t'aime.,38539
Compris.,37214
Parfait.,37182
Maintenant.,36690
Qu'y a-t-il ?,36477
Regarde.,36088
C'est tout.,35490
Arrêtez !,35222
Vite !,34784
Ah oui ?,34783
Qu'est-ce qui se passe ?,33759
Attention !,33701
Et toi ?,33638
Je vois.,33462
Qu'est-ce que tu fais ?,33313
"Non, non.",33071
Arrête !,32827
Tu sais quoi ?,32240
Putain !,32227
Tiens.,31933
Bonsoir.,31889
Hey.,31416
Génial.,31154
Je ne peux pas.,31067
C'est moi.,30901
Venez.,30821
Qu'est-ce qu'il y a ?,30425
Merci beaucoup.,30394
Pourquoi pas ?,30267
Allez-y.,30263
Bonne nuit.,30259
Hein ?,29990
Ah bon ?,29980
Je comprends.,29911
Mais...,29855
C'est bien.,29221
Que s'est-il passé ?,28713
Attendez !,28468
Qui est-ce ?,28109
Attends !,28023
Bon sang.,27862
Et ?,27551
"Oui, monsieur.",26881
Qui êtes-vous ?,26829
S'il vous plaît.,26654
Tu vois ?,26587
Regardez.,26124
Ca va ?,25784
J'arrive.,25449
Monsieur.,25318
Je ne comprends pas.,25223
Par ici.,24972
Ça va aller.,24903
Je vous en prie.,24825
Entrez.,24645
Merci !,24151
Exact.,24028
Jamais.,24020
Salut !,23655
Eh bien...,23450
Où ?,23177
Tu vas bien ?,22998
Ici.,22941
En effet.,22879
"Oh, non.",22708
Je vais bien.,22468
"Non, merci.",22402
S'il te plaît.,22374
Peu importe.,22317
Asseyez-vous.,22278
Pas encore.,22251
Félicitations.,22138
La ferme !,21932
J'y vais.,21899
C'est parti.,21777
Ça suffit.,21776
Je dois y aller.,21564
Bonne chance.,21510
C'est...,21150
Comment ça va ?,20907
Où est-il ?,20717
Okay.,20559
Du calme.,20266
Bien...,20189
Bonjour !,20182
Doucement.,20055
Tu as raison.,19834
C'est pas vrai.,19303
C'est fini.,19285
Et voilà.,19181
Pas de problème.,18920
Bravo.,18851
Impossible.,18775
Je t'en prie.,18730
De rien.,18525
C'est ça ?,18470
De quoi tu parles ?,18272
Assieds-toi.,18195
Écoute.,17822
Excuse-moi.,17808
Stop !,17713
Pas vraiment.,17642
Tout de suite.,17575
Et vous ?,17550
Tais-toi.,17078
Oh mon Dieu.,16956
Là.,16766
Je m'en occupe.,16721
C'est impossible.,16582
Encore.,16471
Quand ?,16427
C'est lui.,16350
Il est mort.,16060
Seigneur.,16052
De quoi ?,15956
"Oui, bien sûr.",15833
Bien sûr que non.,15796
Debout !,15756
"Non, non, non.",15616
Au secours !,15573
Que faites-vous ?,15560
Le voilà.,15557
Que fais-tu ?,15529
Vous...,15527
Je le sais.,15417
Euh...,15410
Combien ?,15344
Incroyable.,15337
Viens ici.,15313
Toi ?,15277
Enchanté.,15079
Je suis là.,15003
Où ça ?,14985
Pas question.,14848
Entendu.,14727
Silence !,14680
Je l'ai.,14619
Laisse tomber.,14525
Viens !,14485
Va-t'en.,14455
C'est génial.,14412
Allons.,14330
C'est bon ?,14316
Un instant.,14259
Tenez.,14246
Je reviens.,14174
N'est-ce pas ?,14112
Allo ?,13877
Tant mieux.,13806
Super !,13767
Où vas-tu ?,13623
Vous voyez ?,13382
Regarde ça.,13362
Dehors !,13276
Où est-elle ?,13269
Aucune idée.,13243
Ha!,13198
Bien sûr !,13175
Regarde-moi.,13058
Dégage !,12965
Tu fais quoi ?,12958
Ecoute.,12943
"Oh, oui.",12904
Tu comprends ?,12898
Et maintenant ?,12595
Ne t'inquiète pas.,12552
Que voulez-vous ?,12520
Vous savez quoi ?,12426
Aidez-moi !,12411
Tout à fait.,12331
Promis.,12328
Reculez !,12286
Prêt ?,12241
Lâche-moi !,12173
Entre.,12171
C'est exact.,12171
Mr.,12144
Enfin...,12120
J'ai compris.,12102
Viens là.,12083
Comment allez-vous ?,12032
Où es-tu ?,12030
Wow.,12018
Écoutez.,11988
"C'est quoi, ça ?",11957
Hum...,11901
Tu plaisantes ?,11891
Sérieusement ?,11860
Je sais !,11812
Comme ça.,11683
Lâchez-moi !,11680
Ce n'est rien.,11589
C'est pas grave.,11571
Donc...,11562
Quoi de neuf ?,11535
Je le savais.,11509
Va te faire foutre.,11495
Sérieux ?,11480
Je peux vous aider ?,11412
Qu'est-ce qui s'est passé ?,11401
Excellent.,11339
Mais si.,11334
Qu'est-ce que vous faites ?,11214
"Oui, je sais.",11204
Pas vrai ?,11194
C'est ridicule.,11148
C'est qui ?,11063
"Oui, oui.",11014
Pas mal.,10901
Continue.,10887
Tu sais...,10876
Bien joué.,10870
Ça marche.,10838
Rien !,10774
Deux.,10743
Une minute.,10705
C'est quoi ça ?,10704
Bonne idée.,10696
Dr.,10599
Oh non !,10559
Bienvenue.,10534
Continuez.,10516
C'est super.,10479
Tu m'entends ?,10477
Madame.,10457
"Oh, merde.",10452
C'est toi.,10301
Il est là.,10276
Une seconde.,10240
Bon Dieu !,10190
C'est incroyable.,10183
Ta gueule !,10139
Dépêche-toi.,10129
Tout.,10117
Où tu vas ?,10112
Ça ira.,10087
Sortez !,10077
Qui c'est ?,10058
Santé.,9870
Chut !,9848
Partez.,9829
Suivez-moi.,9821
Amen.,9748
"Non, pas du tout.",9744
Nom de Dieu !,9737
Qu'est-ce que ça veut dire ?,9733
Si !,9716
Assez !,9620
Qu'est-ce que tu veux ?,9572
Je peux ?,9516
Terminé.,9443
Qu'est-ce qui ne va pas ?,9390
Dis-moi.,9385
"Oh, mon dieu.",9384
Quoi donc ?,9382
Ne bougez pas.,9361
Je n'en sais rien.,9355
Dégagez !,9345
Que fais-tu ici ?,9311
Vous allez bien ?,9163
Vous avez raison.,9154
Comment vas-tu ?,9146
Qui ça ?,9137
Par là.,9123
Qu'est-ce que tu racontes ?,9117
Pour quoi ?,9109
Qui es-tu ?,9069
Ne vous inquiétez pas.,9068
Qu'est-ce que tu fais là ?,9048
Où allez-vous ?,9035
Tu crois ?,8995
Ecoutez.,8974
C'est fait.,8974
Jack.,8944
C'est-à-dire ?,8935
Il va bien.,8931
À l'aide !,8928
Police !,8916
Il y a quelqu'un ?,8916
Pas maintenant.,8893
Je crois.,8891
Bien reçu.,8838
N'importe quoi.,8834
Feu !,8828
Ne fais pas ça.,8827
"Non, ça va.",8785
Chérie.,8777
Dépêchez-vous !,8775
Précédemment...,8756
Très bien !,8681
Trois.,8660
Autre chose ?,8631
Écoute-moi.,8617
Qui est là ?,8560
Bye.,8552
Avec plaisir.,8544
Ferme-la.,8537
Sans blague.,8524
Tout ira bien.,8519
Voyons.,8508
Mince.,8470
Regardez ça.,8419
Ça y est.,8404
"Allez, allez.",8398
Oh mon dieu.,8369
Comment ça?,8363
C'est possible.,8356
Elle va bien.,8352
Bordel !,8316
Que veux-tu dire ?,8312
Monte.,8302
Je m'en vais.,8242
Que voulez-vous dire ?,8241
Pour quoi faire ?,8236
Sam.,8192
C'est parfait.,8182
Ce n'est pas vrai.,8171
La voilà.,8169
Vous comprenez ?,8126
"Ah, oui.",8112
Rien du tout.,8102
Plus maintenant.,8093
Magnifique.,8091
Que faites-vous ici ?,8070
Ne bouge pas.,7976
Ouah !,7956
Tu le sais.,7955
Je l'ignore.,7954
Aide-moi.,7953
"Oui, c'est vrai.",7924
Docteur.,7912
C'est juste...,7907
"Allez, viens.",7855
Père !,7823
Plus vite !,7815
Enchantée.,7775
Et merde !,7762
C'est bizarre.,7709
Calmez-vous.,7673
Dieu merci.,7654
Qu'est-ce que...,7623
Cours !,7551
Il a raison.,7529
Ne t'en fais pas.,7529
Je suis d'accord.,7527
J'ai une idée.,7523
À plus tard.,7517
C'est clair.,7449
Ça.,7440
Quel est le problème ?,7425
Bonne journée.,7410
Eh !,7350
T'as raison.,7345
Je ne pense pas.,7341
Réveille-toi.,7330
Fais-le.,7288
Un.,7263
Elle est morte.,7213
Mon dieu.,7213
A l'aide !,7207
Fils de pute !,7197
Dommage.,7184
"Non, monsieur.",7168
C'est important.,7166
Lequel ?,7162
Comme quoi ?,7140
Je m'en fiche.,7133
Chéri.,7105
Les gars !,7101
Ça veut dire quoi ?,7095
Je veux dire...,7093
Demain.,7083
Je suis...,7069
J'ai peur.,7069
C'était quoi ?,7044
John.,7036
Putain de merde !,7025
Tu rigoles ?,7005
Et comment !,6981
"Oui, merci.",6980
Non merci.,6932
C'est sûr.,6860
Il est parti.,6853
Très drôle.,6834
Parce que...,6823
En avant !,6811
Quoi d'autre ?,6798
Lève-toi.,6795
"Oui, Monsieur.",6776
Messieurs.,6743
Ah ouais ?,6736
Qu'est-ce que tu veux dire ?,6732
Où étais-tu ?,6703
J'y crois pas.,6703
Désolé !,6684
Intéressant.,6661
"Oui, c'est ça.",6655
Bien sur.,6648
Laquelle ?,6642
Formidable.,6614
Nous ?,6595
Vous plaisantez ?,6594
Connard !,6587
Pitié !,6584
Je le ferai.,6567
On y est.,6564
À plus.,6556
Yeah.,6547
Je vais le faire.,6538
Viens avec moi.,6522
Vous m'entendez ?,6522
Je suis vraiment désolé.,6484
A plus tard.,6481
Un problème ?,6470
Prêts ?,6440
J'adore.,6428
Elle...,6425
C'est une blague ?,6418
S'il te plait.,6410
C'est elle.,6408
Là-bas.,6405
Reviens !,6399
Attends un peu.,6384
"Un, deux, trois.",6377
Qu'est-ce que c'est que ça ?,6367
Qu'est-ce que tu fous ?,6365
Qui sait ?,6353
Ben...,6323
Les voilà.,6295
Certainement.,6284
Que veux-tu ?,6254
"Oui, madame.",6250
Et après ?,6242
C'est magnifique.,6235
Tu es sûr ?,6222
S'il vous plait.,6214
Laissez-moi !,6189
Voyons voir.,6135
C'est dingue.,6134
Qu'est-ce que tu as ?,6133
Trop tard.,6123
Qu'est-ce que tu fais ici ?,6121
Ça alors !,6102
Ce soir.,6093
Je le jure.,6085
Charlie.,6046
Ouvrez !,6042
Bouge pas.,6033
Mm-hmm.,6026
Oh oui.,6022
"Merci, monsieur.",5992
Aah!,5978
Presque.,5971
Fais attention.,5950
Est-ce que ça va ?,5943
Ne tirez pas !,5918
Ca va aller.,5914
Et ça ?,5912
Tu parles !,5905
Whoa.,5889
Avancez.,5880
Laisse-moi.,5873
Je reviens tout de suite.,5865
Chef.,5862
Aïe !,5861
Pas toi.,5861
Taisez-vous.,5858
Mais pourquoi ?,5857
Donne-moi ça.,5821
Écoutez-moi.,5812
Qu'en penses-tu ?,5805
