sentence,count
Si.,2489
Non.,1869
Grazas.,697
Ola.,586
Ben.,571
Que?,539
Por que?,479
Veña.,419
Está ben.,377
Vale.,301
Non sei.,296
Moi ben.,280
Adeus.,276
Claro.,262
Nada.,262
Vamos.,248
Por favor.,204
Síntoo.,204
Imos.,204
"Si, señor.",200
O que?,196
De acordo.,193
Merda!,189
Que pasa?,174
Eu?,173
Non o sei.,161
En serio?,157
Oh!,136
Por que non?,134
Adiante.,127
Seino.,126
Eh?,125
Como?,124
"Non, non.",121
Por suposto.,119
Quen é?,117
Para!,116
Boas noites.,114
Quen?,112
Bo día.,108
Mira.,104
Onde?,104
Cala!,101
Agarda.,100
Iso é.,99
De verdade?,98
Estás ben?,97
Que fas?,96
Mamá!,92
Cineclube de Compostela,92
Que é isto?,90
Silencio!,90
¡Ei!,86
Que foi?,85
Así é.,83
Aquí.,82
Xa.,81
Fóra!,81
Que é iso?,79
Bos días.,79
Non podo.,77
E?,76
Meu Deus!,75
Iso é todo.,74
Deus!,74
Señor?,74
Que pasou?,74
E ti?,73
Boa noite.,73
Toma.,73
Agora!,72
Sabes?,72
Perdón.,71
Papá!,71
Ves?,70
Que queres dicir?,69
Escoita.,69
Moitas grazas.,68
Entendo.,68
Vaia.,66
Onde vas?,66
Onde está?,66
Vaite!,65
Como estás?,65
É certo.,65
Desculpe.,65
Ven aquí.,64
Non te preocupes.,63
Que tal?,63
Certo.,62
Ti.,62
"Non, grazas.",62
Claro que si.,61
Que che pasa?,60
Seguro.,60
"Si, si.",59
É verdade.,59
Que queres?,59
É.,59
Eu tamén.,58
Exacto.,58
Nunca.,58
Estou ben.,57
Coidado!,56
Ah!,55
Que dis?,54
Para que?,53
Perdoa.,53
Estás tolo?,53
Abonda!,53
"Ah, si?",53
Entendes?,53
Gracias.,53
Non pasa nada.,52
Verdade?,52
Rápido!,52
Un momento.,51
Que é?,51
Entendido?,51
"Si, claro.",51
Senta.,50
Tony!,48
Axiña!,48
Non importa.,48
Como está?,47
NON Á SGAE!,47
Todo ben?,47
Espera.,46
Claro que non.,46
Pero...,46
Perfecto.,46
Como te chamas?,46
Alteza.,45
Xenial.,44
Aí está.,43
Vai.,43
"Non, señor.",43
Alto!,43
Saúde.,42
Son eu.,42
Déixao.,42
Xa vexo.,42
E que?,42
Amén.,41
Así.,41
Tes razón.,41
¡Fillo de puta!,40
Dime.,40
Non quero.,40
Ven.,40
Xa está.,40
Quen es?,39
Arriba!,39
Todo.,38
Hodor.,38
Déixame!,37
COMPARTIR NON É DELITO.,37
Sra.,37
Atención!,37
Correcto.,37
"Oh, si.",37
Que estás a facer?,37
Como se chama?,36
Canto?,36
Eu non.,36
Gústache?,35
"Non, non, non.",35
Fóra de aquí!,35
E vostede?,35
Entra.,35
Outra vez.,35
Que che parece?,35
Espere.,34
Por aquí.,34
Entón...,34
Excelente.,33
Síntoo moito.,33
Aínda non.,33
Que fas aquí?,33
Ok.,32
Cabrón.,32
Ata logo.,32
Parabéns.,32
De nada.,31
Estupendo.,31
Aquí está.,31
Que dixeches?,31
Pois...,31
Exactamente.,31
E logo?,31
De que?,31
Un camiño infernal,31
Que ocorre?,31
Sente.,30
Que ben!,30
Sí.,30
Vou.,30
Que dixo?,30
"Grazas, señor.",30
Onde estás?,30
Xa o sei.,30
Non é certo.,29
Cando?,29
E agora?,29
Diga?,29
E ben?,28
Non moito.,28
Estás seguro?,28
A Sra.,28
En absoluto.,28
"Si, señora.",28
Déixame ver.,28
Esperta!,28
Meu deus!,27
"Oh, non.",27
Obrigado.,27
Sabes que?,27
Non se preocupe.,27
Cala a boca!,27
Para nada.,27
Xa vou.,27
Teño que marchar.,27
Atopei aos rapaces na fronte da batalla,27
Subtítulos ao galego.,26
Dálle.,26
Axuda!,26
"Veña, veña!",26
Non entendo.,26
Boa sorte.,26
Érguete.,26
Porque...,26
Non te movas.,25
Que hora é?,25
Entende?,25
A quen?,25
Que fai?,25
Non o entendo.,25
Acabouse.,25
Marcho.,25
Paren!,25
Iso.,25
Imos aló.,24
Agora mesmo.,24
Chao.,24
Está tolo.,24
Ámote.,24
Estou preocupado,24
Xa sei.,24
Faino.,23
Srta.,23
Está claro.,23
Gústame.,23
Quérote.,23
Como vai?,23
Tranquilo.,23
Marcha.,23
Estou.,23
Eu tampouco.,23
Miña señora.,23
Boa tarde.,23
Non é nada.,23
Xa veremos.,23
Anda.,23
Cal?,23
Continúa!,22
Ven comigo.,22
Cólleo.,22
Estou aquí.,22
Abofé.,22
Non está mal.,22
Onde estabas?,22
Oes!,22
Está morto.,22
Non hai problema.,21
# Non pode evitalo A rapaza non pode evitalo #,21
Ai!,21
Imposible.,21
Ten razón.,21
Quen é vostede?,21
Fogo!,21
Acouga.,21
A ver.,21
Richie!,21
Encantado.,21
Fantástico.,21
Non pode ser.,21
Vén.,21
Incríbel.,20
O Rei no Norte!,20
Déixame en paz.,20
Dámo!,20
Non o fagas!,20
Non o creo.,20
Pode ser.,20
Non me importa.,20
Lembras?,20
Marabilloso.,20
Parade!,20
Non é así?,20
Oe!,20
Acto,20
Esquéceo.,20
Tranquila.,20
Onde estiveches?,20
Talvez.,19
Lisca!,19
Móvete!,19
Onde imos?,19
Maldita sexa!,19
Bo...,19
Fareino.,19
"Veña, imos.",19
Estás tola?,19
Óesme?,19
Que lle pasa?,19
Ben feito.,19
Hmm.,19
Que vas facer?,19
Vén aquí.,19
Aquí tes.,19
Voume.,19
Non creo.,19
Que significa iso?,19
Parvadas!,19
Cantos?,19
Iso espero.,18
De veras?,18
Non tal.,18
Ten.,18
Que sucede?,18
Non teñas medo.,18
Xesús!,18
Fala!,18
Viva!,18
Socorro!,18
Abre a porta.,18
Dimo.,18
Isto?,18
"Ben, ben.",18
Que quere?,18
Entre.,18
Onde vai?,18
Deica logo.,18
Que pensas?,18
Mira isto.,18
Manuela!,18
Mirade!,18
Como o sabes?,18
Nin idea.,18
Por aí.,18
Daquela?,18
CINECLUBE DE COMPOSTELA,18
Mírame.,18
Cambio.,18
Basta!,17
Pasa.,17
Tres.,17
Marchou.,17
Non é?,17
Solta.,17
Quen sabe?,17
Si señor.,17
Que quere dicir?,17
"Ben, grazas.",17
Alí.,17
Quen es ti?,17
Achégate.,17
"Si, por favor.",17
Que bonito.,17
Algo máis?,17
"Si, seino.",17
Un pouco.,17
Mire!,17
Ten coidado.,17
Seguro que si.,17
Teño fame.,17
Moito.,17
Como che vai?,17
É todo.,17
Desculpa.,17
Maldición.,17
É incríbel.,17
Sóltao!,17
Máis ou menos.,17
Bravo!,17
Onde están?,17
Que estás facendo?,17
Camaradas!,16
O quê?,16
"Si, son eu.",16
Ed!,16
Pai.,16
Como queiras.,16
El...,16
Eu si.,16
É meu.,16
Martin.,16
Se cadra.,16
Agarde.,16
Este non son eu!,16
Sempre estou namorado,16
Sen dúbida.,16
Quero.,16
Son.,16
De quen?,16
Bo traballo.,16
Que imos facer?,16
"Veña, vamos.",16
Podo?,16
Benvido.,16
Creo que si.,16
Despois.,16
Boas tardes.,16
Bruce!,16
Que fixeches?,16
Non me gusta.,16
Aí.,16
Feito.,15
Con quen?,15
Dacordo.,15
Teño frío.,15
Sóltame!,15
Idiota!,15
Non teño tempo.,15
Xa chega.,15
Arya!,15
Por que o fixeches?,15
É marabilloso.,15
A onde vas?,15
FIN,15
Iso está ben.,15
Quen foi?,15
Cálmate.,15
Sesta.,15
Nome?,15
Joffrey!,15
Calade!,15
Movédevos!,15
Non o sabía.,15
Vémonos.,15
Teño.,15
Boudu!,15
Achtung!,15
Ti tamén.,15
De que falas?,15
John.,15
Cal é o problema?,15
Perdoe.,15
Deica.,15
Jaraaf!,14
Teño medo.,14
É incrible.,14
Como é?,14
Quizais.,14
Acción!,14
Entendiches?,14
Téñoo!,14
Agarden.,14
Non é verdade.,14
Mmm.,14
É así?,14
Xa verás.,14
Pois si.,14
Toleaches?,14
Tome.,14
Colle.,14
Vamos pés!,14
Calma.,14
Mellor.,14
Mentes!,14
Que queres que faga?,14
É que...,14
E despois?,14
"Oh, Deus!",14
A modo.,14
Pare!,14
Canto custa?,14
Ninguén.,14
Tommy.,14
Que di?,14
Vaite de aquí!,14
Boa idea.,14
Algún problema?,14
Confía en min.,14
De onde es?,14
Rematou.,14
Porque non?,13
Segue.,13
Bueno...,13
Chamando a Barranca.,13
"Non, por favor.",13
Esquerda.,13
Quero dicir...,13
Detente!,13
A serio?,13
Que facedes?,13
"Non, nada.",13
"Non, está ben.",13
"Un, dous, tres.",13
Onde estou?,13
Viches?,13
Veña comigo.,13
Para xa!,13
Encantada.,13
Meu señor.,13
¿Que miras?,13
Que foi iso?,13
Que mágoa.,13
Mais...,13
