sentence,count
Da.,1116392
Ne.,797803
Dobro.,407055
Hvala.,344016
Što?,343246
U redu.,312505
Hajde.,220415
Ne znam.,202059
Zašto?,192907
Hej.,180283
Idemo.,171957
Naravno.,150139
Znam.,135195
Žao mi je.,125718
Stvarno?,123123
Sranje!,114831
Molim?,114296
Bok.,108544
Zdravo.,99474
Tako je.,96785
U redu je.,88901
Oprosti.,85337
Što je?,83451
Jesam.,80848
Halo?,77948
Ništa.,76796
Oprostite.,76606
Čekaj.,75584
Što je to?,72114
Ok.,68502
Pa...,66074
Ja...,65778
Molim te.,64766
Oh.,64635
Bože!,63944
OK.,63610
"Ne, ne.",59296
Hvala ti.,58922
Jesi li dobro?,58307
Šta?,58044
Tata!,56947
Nisam.,56367
Stani!,55533
Što se događa?,53804
Nije.,52884
Mama!,51243
"Da, gospodine.",50479
Točno.,50170
Dođi.,49533
Hvala vam.,48602
Aha.,48450
Ne mogu.,47896
Što se dogodilo?,45936
DA.,45319
Kako?,44328
Odlično.,43831
Super.,41545
Što to radiš?,41182
Kako si?,38722
Volim te.,38547
To je to.,38434
Isuse!,38387
Prestani!,38119
I?,37844
Ti?,37522
Dobro sam.,37087
Možda.,36745
"O, Bože.",36467
Odmah!,36298
Idi.,36262
Evo.,36096
Može.,35404
Molim vas.,35113
Što je ovo?,35018
NE.,34802
Kako to misliš?,34473
Razumijem.,34441
Gospodine?,33079
Što radiš?,32909
Tko?,32048
Sjajno.,31991
Zašto ne?,31156
Nemoj.,30749
Znaš što?,30146
To!,30051
"Ne, ne, ne.",29845
Gdje?,29463
Dobro je.,28311
Dobro jutro.,28287
Vidiš?,28071
Gdje je?,27670
Jest.,27273
Vidimo se.,27125
Evo ga.,26344
Drago mi je.,26189
Ovdje.,26111
Sve je u redu.,26042
Moram ići.,26036
Što je bilo?,25795
Tko je to?,25401
Slušaj.,25398
Jasno?,25238
Prokletstvo!,25153
Ozbiljno?,24986
Dobro si?,24872
"Ne, hvala.",24557
Polako.,24534
Ja sam.,24454
"O, da.",24420
Ali...,24379
Smiri se.,24225
Ma daj.,24055
Hoću.,23863
Neću.,23533
A ti?,23390
Čekaj malo.,23332
Ispričavam se.,23302
Tko si ti?,23218
To je sve.,23140
Brzo!,22842
Nema na čemu.,22679
"Da, da.",22651
"O, ne.",22444
Dosta!,22374
Svakako.,22250
Čekajte!,22247
Sada!,21973
Samo malo.,21885
Upomoć!,21867
Zar ne?,21620
U pravu si.,21497
Jebi se!,21241
Zbilja?,21120
Dođi ovamo.,20965
Ne razumijem.,20945
Nema problema.,20932
Je li?,20930
Shvaćam.,20886
Nema šanse.,20742
"O, moj Bože.",20704
Ne brini.,20568
"Da, naravno.",20361
Ha?,20329
Izvoli.,19949
Zaista?,19443
Šališ se?,19299
I ja.,19253
Pusti me!,19167
Pogledaj.,19105
Kvragu!,18976
Pazi!,18894
Samo...,18754
Izvolite.,18630
Sretno.,18444
Stanite!,18271
Što to znači?,18186
Sjedni.,18118
Znaš?,18088
Kako ste?,18045
Kreni!,18037
Jeste.,18022
Čestitam.,17874
Ah!,17861
Tako.,17601
Požuri!,17556
Nemam pojma.,17537
DOBRO.,17053
Nevjerojatno.,16872
Slušaj me.,16836
Gotovo je.,16554
Bravo!,16504
Hajdemo.,16375
Dakle...,16342
Gdje si?,16157
Ovuda.,16098
Lijepo.,16072
"Da, znam.",15985
Moj Bože.,15950
Jesi.,15908
Zbogom.,15856
Dobar dan.,15827
Doista?,15688
Uđi.,15682
Izvini.,15674
Brže!,15520
Nema veze.,15381
Sigurno?,15373
Daj!,15371
Ne baš.,15359
To je...,15200
To je dobro.,15155
Dušo.,15077
Odlazi!,14896
Hmm.,14738
Istina.,14709
Tamo.,14674
Koliko?,14652
Mislim...,14643
Ovamo!,14559
"Oh, Bože.",14507
Ne mogu vjerovati.,14459
Što misliš?,14349
Pogledaj me.,14256
Dovraga!,14185
Što je to bilo?,14165
Ja ću.,14069
Zaboravi.,14054
"Oh, da.",13999
Gledaj.,13791
Sve.,13727
Jack!,13681
Ćao.,13650
U REDU.,13647
Kada?,13602
Van!,13585
Začepi!,13558
Nije važno.,13478
Što radiš ovdje?,13344
Savršeno.,13303
"Oh, moj Bože.",13288
Opa!,13253
Uđite.,13238
Slažem se.,13191
Uh...,13040
Policija!,13005
Vidi.,12991
Dogovoreno.,12975
Redu.,12934
Sam.,12897
Kako se zoveš?,12888
"Ne, nije.",12848
Pozdrav.,12797
Dolje!,12774
Amen.,12757
Vjeruj mi.,12724
Reci mi.,12692
Nastavi.,12685
ŠTO?,12669
Naprijed!,12609
Sad!,12603
Ajde.,12496
Tko ste vi?,12477
Kapetane.,12473
Opusti se.,12387
"Oh, ne.",12382
Tišina!,12375
Drži se.,12362
Spreman?,12362
HVALA.,12324
Jesi dobro?,12294
Što to?,12235
Obećavam.,12162
Nemoguće.,12137
Divno.,12115
G.,12111
Razumiješ?,11997
Reci.,11981
Nešto nije u redu?,11913
Fino.,11892
Izvinite.,11811
Imam ga.,11811
Nisi.,11747
Gosp.,11716
Izvrsno.,11704
"Dobro, dobro.",11665
Pokret!,11620
Apsolutno.,11587
Odmah se vraćam.,11527
Pomozi mi.,11499
Što nije u redu?,11407
Umukni!,11372
Sve će biti u redu.,11335
Čovječe.,11301
Sviđa mi se.,11287
Oče!,11271
O čemu pričaš?,11259
Doviđenja.,11219
Dođite.,11177
Ne još.,11146
Pogledaj ovo.,11075
Mrtav je.,11075
Što ima?,11071
Misliš?,11002
Onda?,10959
Pogledajte.,10879
"Hajde, idemo.",10835
Koga?,10785
Šta je to?,10761
Kako znaš?,10753
Vidim.,10695
Nikada.,10682
Ustani.,10598
Hvala Bogu.,10571
Spremni?,10565
Bježi!,10501
To je on.,10500
Za što?,10486
Što želiš?,10463
Jeste li dobro?,10418
Idem.,10353
"Ne, gospodine.",10352
Pa što?,10351
Vrlo dobro.,10347
Prestanite!,10274
I meni.,10209
Je li sve u redu?,10205
Bog.,10158
Šuti!,10099
Samo trenutak.,10059
Kako je?,10025
Sjednite.,9999
Slušajte.,9983
Primljeno.,9965
Tako mi je žao.,9956
Važi.,9917
Gdje je on?,9896
Dolazim.,9894
Nikad.,9811
Da vidimo.,9807
Šteta.,9795
Jebem ti!,9755
Daj mi to.,9670
Ovdje sam.,9669
"Ne, nisam.",9661
Gotovo.,9569
Jesmo.,9564
Naravno da ne.,9562
