sentence,count
Igen.,1013170
Nem.,569965
Köszönöm.,312041
Rendben.,311992
Oké.,305228
Mi?,200754
Gyerünk!,197448
Szia.,182328
Miért?,180671
Nem tudom.,169656
Ne!,167473
Mr.,156384
Tessék?,153529
Tényleg?,149481
Sajnálom.,144763
Jól van.,144006
Hé!,136153
Jó.,127668
Tudom.,123764
Mi van?,86373
Elnézést.,84904
Istenem!,83879
Micsoda?,83700
Jól vagy?,82139
Mi történt?,78712
Értem.,76477
Én...,71059
Várj!,70768
Ja.,69335
Aha.,68856
Helló.,67671
Gyere!,66585
Halló?,62564
Ez az!,61458
Menjünk.,57976
Remek.,56507
Kérlek!,55116
Mit csinálsz?,55035
"Igen, uram.",53845
Mit?,51493
Minden rendben?,51355
Komolyan?,50887
Mi ez?,49225
Kösz.,47788
Semmi.,47054
Mi a baj?,46980
Apa!,46096
De...,45559
Uram!,45464
Semmi baj.,45442
Köszi.,45405
Kérem!,44693
És?,44592
Pontosan.,44393
"Nem, nem.",43641
Most!,42619
Anya!,42578
Állj!,42520
Így van.,40462
Mrs.,39485
Viszlát.,39022
Igaz.,38703
Szeretlek.,38557
A francba!,37580
Segítség!,36885
Valóban?,36592
Bocsánat.,36141
Ó!,35587
Hol van?,34904
Én is.,34450
Nagyszerű.,34415
Mi folyik itt?,34246
Jézusom!,33857
Nos...,33703
Hello.,33242
Te...,33210
Francba!,32872
Nincs.,32565
Elég!,32490
Gyere ide!,32149
Mozgás!,32086
Megvan.,31792
Menj!,31545
Nézd!,31442
Jól vagyok.,31130
Jó reggelt!,31071
Oh.,31005
Üdv!,31002
Miről beszélsz?,30786
De igen.,30616
Természetesen.,30572
Hogy vagy?,30037
Látod?,30011
Figyelj!,28368
Ennyi.,28359
Mennem kell.,28328
Szóval...,27426
Tudod mit?,27373
Helyes.,27204
Hát persze.,27080
Igazán?,26650
Biztos?,26418
Semmit.,26373
Miért nem?,26247
lgen.,26245
Ugyan már!,25977
Itt van.,25537
Igazad van.,25444
Talán.,25058
Egy pillanat.,24997
Jól.,24531
Várjon!,24356
Érted?,23817
Nyugi.,23801
Ne aggódj.,23750
Úristen!,23559
Nem is tudom.,23542
Rajta!,23520
"Ó, Istenem!",23504
"Nem, nem, nem.",23465
Jó napot!,23428
Ez...,23371
Ki az?,23193
Gyorsan!,23123
Kifelé!,22854
Hagyd abba!,22701
Nem értem.,22394
A fenébe!,22389
Köszönjük.,22011
Sziasztok!,21761
Bocsi.,21608
Hogy?,21598
Hát...,21576
Jó éjt.,21417
Rendben van.,21229
Hol?,21112
Bassza meg!,20885
Gratulálok.,20865
Ne már!,20739
Semmi gond.,20625
Ki?,20040
Hogy van?,19437
Dehogynem.,19372
Hmm.,19222
Vettem.,19208
"Ó, igen.",19072
Erre!,19028
Te jó ég!,18780
Vissza!,18727
Hogyne.,18713
Szívesen.,18585
Soha.,18479
Csak...,18479
Bocs.,18429
Nem lehet.,18117
Itt vagyok.,17897
Minden rendben lesz.,17771
Vége.,17597
"Igen, tudom.",17356
Hahó!,17110
Nagyon sajnálom.,17084
Vigyázz!,16951
Ugye?,16905
Dehogy.,16844
Még nem.,16792
"Igen, igen.",16640
És te?,16603
Meghalt.,16585
Értettem.,16568
Mit akarsz?,16455
Fogd be!,16445
Mit csinál?,16277
Indulás!,16092
Igaza van.,16076
Ez igaz.,15972
Hogy érted?,15941
Picsába!,15895
Ott van.,15894
Nyomás!,15769
Mikor?,15736
Nyugalom!,15677
Basszus!,15608
Nagyon jó.,15598
Pofa be!,15535
Az.,15264
Nem érdekel.,15249
Azt hiszem.,15208
Tökéletes.,15103
Én nem.,14988
Fogalmam sincs.,14957
Király.,14820
Nem igaz?,14814
"Igen, persze.",14777
"Jaj, ne!",14772
Én csak...,14730
Tudod...,14671
Mi a helyzet?,14544
Igenis.,14306
Na jó.,14296
Siess!,14244
Segíthetek?,14189
Bizony.,14153
Ülj le!,14039
Nem igazán.,14011
Mit mondott?,14002
Hol vagy?,14001
Jack!,13804
Jó estét!,13792
Ms.,13748
