sentence,count
Ya.,201690
Tidak.,153238
Apa?,115703
Ayo.,73232
Terima kasih.,72480
Baiklah.,65496
Oke.,50211
Hei.,45940
Baik.,42728
Oh.,37309
Maaf.,36461
Yeah.,35212
Sial.,35118
Tunggu.,32954
Bagus.,32769
Halo?,30074
Benar.,28656
Ayolah.,27600
Cepat!,26175
Apa itu?,25122
Hey!,24719
Benarkah?,24580
Kenapa?,24198
Apa yang terjadi?,23609
Astaga.,23294
Aku tahu.,21983
Ada apa?,20127
Ayah!,19447
Maafkan aku.,18640
Apa yang kau lakukan?,18455
Aku...,18331
Tentu saja.,16901
Hai.,16846
Tn.,16544
Sekarang!,15319
Tentu.,15281
Hentikan!,14584
Apa ini?,14378
Berhenti!,14158
Permisi.,13834
Wow.,13526
Aku tidak tahu.,13209
Tolong!,13154
Jangan!,13077
Pergi!,13050
Ini.,13044
Lihat.,12493
Diam!,12473
Sialan!,12239
Apa maksudmu?,12199
Mengapa?,12183
Ibu!,12176
Ah!,11791
"Oh, Tuhan.",11317
Ini dia.,11309
Iya.,11093
Sungguh?,10973
Kumohon.,10916
Kau...,10714
Tidak apa-apa.,10378
Siapa?,10205
Pergilah.,10108
"Tidak, tidak.",10028
Hmm.,9909
Jadi...,9723
Tunggu sebentar.,9439
Ya Tuhan.,9396
Entahlah.,9287
Bagaimana?,9276
Tidak ada.,9222
Itu dia.,9160
Yah.,9119
Bukan.,8879
Kau baik-baik saja?,8558
Siapa kau?,8549
Whoa!,8497
Tenang.,8465
Dengar.,8373
Aku tak tahu.,8126
Okay.,8091
Pak.,8082
Ayo pergi.,8051
Aku mengerti.,7861
"Oh, tidak.",7770
Mundur!,7722
Keluar!,7513
Jangan khawatir.,7497
Huh?,7427
Ok.,7406
Hah?,7378
Aku juga.,7376
Kau tahu?,7316
Mengerti?,7247
Lari!,7181
Siap?,6902
Jangan bergerak!,6756
Tak apa.,6581
Tapi...,6554
Itu benar.,6531
Hello.,6527
Bangun!,6421
"Oh, ya.",6378
Kemarilah.,6187
OK.,6138
Kau benar.,6034
Mungkin.,5991
Siapa itu?,5903
Cukup!,5891
Sampai jumpa.,5882
"Ya, Pak.",5854
Awas!,5824
Minggir!,5811
Selamat malam.,5745
No,5705
Hati-hati.,5652
"Oh, sial.",5594
Apa kabar?,5584
Lepaskan aku!,5540
Sayang.,5531
"Tidak, tidak, tidak.",5483
Aku harus pergi.,5458
Aku minta maaf.,5425
Aah!,5421
Tembak!,5202
Hi.,5175
Terima kasih banyak.,5171
Di sini.,5169
Aku mencintaimu.,5169
Itu saja.,5162
Tolong aku!,5050
Apa yang kamu lakukan?,5030
Aku baik-baik saja.,5024
Dan...,5024
Bagus sekali.,5015
Uh...,4975
Itu...,4966
Tenanglah.,4875
Mari kita pergi.,4803
Itu bagus.,4770
Belum.,4751
Semuanya.,4746
Brengsek!,4672
Untuk apa?,4640
Tidak mungkin.,4623
"Ya, benar.",4570
Dimana dia?,4550
Selamat.,4533
Kemari.,4460
Luar biasa.,4380
Silakan.,4361
Silahkan.,4346
tidak.,4344
Dengarkan aku.,4296
Dia...,4291
Siapa dia?,4281
Tuan.,4278
Dimana?,4277
Kita harus pergi.,4273
Jalan!,4244
Lihat ini.,4239
Mmm.,4205
Ya ampun.,4042
Lakukan.,4027
Um...,3964
Masuklah.,3961
Lepaskan!,3959
Selamat pagi.,3950
Paham?,3945
Apa yang kau bicarakan?,3933
Cepatlah.,3918
Senang bertemu denganmu.,3878
Siapa namamu?,3870
Hebat.,3856
Yang Mulia.,3853
Duduklah.,3829
Bagaimana kabarmu?,3829
Sebentar.,3788
Bagaimana menurutmu?,3758
Sam!,3752
Kenapa tidak?,3720
Masuk.,3708
Selamat tinggal.,3703
Kau yakin?,3686
Aku tidak bisa.,3672
Tahan.,3659
Tak ada.,3615
Tuhan!,3615
Lewat sini.,3592
Lihatlah.,3540
Ow!,3461
Jack!,3448
Oh Tuhan.,3440
Ooh!,3431
Apa-apaan ini?,3423
Omong kosong.,3402
Duduk.,3322
Aku tak bisa.,3285
Shh.,3269
Ny.,3259
Kau mengerti?,3257
Sempurna.,3202
Lalu?,3190
Kembali!,3187
Apa yang kau lakukan di sini?,3185
Lagi.,3184
Terimakasih.,3180
Tak apa-apa.,3177
Mm-hmm.,3155
John.,3153
Sudah.,3103
Diamlah.,3103
Tepat.,3098
Keren.,3089
Kau tak apa?,3080
Aku tahu itu.,3055
Lihat aku.,3036
Oh ya?,3010
apa?,2996
Kapten.,2989
Kau baik saja?,2981
"Ya, pak.",2957
Bajingan!,2925
Aku tidak.,2918
Dua.,2914
Tunggu dulu.,2912
Serius?,2910
Satu.,2907
Yang benar saja.,2906
Mm.,2905
Tentu saja tidak.,2881
Ada apa ini?,2851
"Ya, ya.",2843
Dah.,2838
ya.,2836
Sama-sama.,2786
Bye.,2772
Aku janji.,2772
Bagaimana denganmu?,2771
Saya tidak tahu.,2763
Di mana dia?,2752
"Tidak, terima kasih.",2750
Kau bercanda?,2740
Aku hanya...,2735
Buka pintunya!,2728
Di sana.,2722
Siapa ini?,2719
Berikan padaku.,2707
Tidak masalah.,2692
Disini.,2685
Apa-apaan?,2675
Ada apa denganmu?,2641
Lepaskan dia.,2633
Ikuti aku.,2631
Ini aku.,2626
Eh?,2620
Aman.,2620
Bu.,2618
"Ya, Tuhan.",2612
Katakan.,2598
Tiga.,2572
Stop!,2564
Bodoh.,2560
Mengapa tidak?,2557
Selamat datang.,2532
Percayalah.,2524
