sentence,count
Já.,21767
Nei.,15871
Allt í lagi.,9067
Hvađ?,5668
Takk.,4275
Fyrirgefđu.,3204
Komdu.,2952
Hallķ?,2606
Ūakka ūér fyrir.,2488
Ég veit ūađ ekki.,2475
Gott.,2300
Fjandinn.,2216
Einmitt.,2203
Guđ minn gķđur.,2185
Hæ.,2170
Bíddu.,2104
Hvađ ertu ađ gera?,1927
Hvađ er ūetta?,1786
Hr.,1733
Frábært.,1644
Í alvöru?,1633
Af hverju?,1633
Áfram!,1599
Er ūađ?,1595
Ég veit.,1583
Jæja?,1560
Auđvitađ.,1540
Hvađ ūá?,1487
Hérna.,1441
"Já, herra.",1409
Pabbi!,1370
Er allt í lagi?,1355
Ha?,1340
Gerđu ūađ.,1335
Jú.,1266
Hvađ er ađ?,1256
Bless.,1255
Takk fyrir.,1246
Ekkert.,1245
Svona.,1204
Mamma!,1174
Ég...,1036
Afsakiđ.,1011
Svona nú.,1000
Heyrđu.,999
Ég skil.,998
Förum.,996
Hvađ áttu viđ?,981
Ég veit ūađ.,977
Gott og vel.,962
Fjárinn.,918
Ķkei.,917
Ūađ er rétt.,916
Hættu!,906
Ekki.,903
Farđu.,898
"Nei, nei.",896
Af stađ!,891
Almáttugur.,890
Núna.,882
Komdu hingađ.,878
Ūegiđu.,864
Andskotinn.,840
Afsakađu.,831
Ég veit ekki.,826
Hjálp!,812
Fínt.,800
Hvađ gerđist?,791
Hvað?,760
Vá.,758
Gķđa nķtt.,756
Sjáđu.,723
Ekkert mál.,721
Flott.,715
Ég elska ūig.,698
Hver er ūetta?,695
Virkilega?,693
Hættu ūessu.,692
Ég get ūađ ekki.,672
Sæll.,662
Ertu viss?,662
Hvers vegna?,659
Veistu hvađ?,658
Hvađ segirđu?,649
Láttu ekki svona.,624
Ūađ er allt í lagi.,610
Žice!,606
Af hverju ekki?,600
Hver?,595
Bíddu ađeins.,591
Dr.,589
Kannski.,577
Til hamingju.,563
Ég líka.,561
"Ķ, nei.",560
Herra?,548
Ūú.,543
Sjáđu ūetta.,542
Er allt í lagi međ ūig?,541
Sæl.,541
Gjörđu svo vel.,533
Engar áhyggjur.,531
Hey.,528
Hvernig?,502
Hvar?,496
Og?,495
Hvar er hann?,494
Hvert ertu ađ fara?,493
Mér ūykir ūađ leitt.,478
Nú?,475
Haltu áfram.,473
Ég geri ūađ.,472
Hvernig hefurđu ūađ?,469
Jesús minn.,469
"Ķ, já.",462
Ég verđ ađ fara.,458
Hvađ viltu?,458
Hlustađu á mig.,457
Skilurđu?,457
Hvar ertu?,456
Ertu ađ grínast?,452
"Nei, takk.",448
Fjandinn hafi ūađ.,443
Augnablik.,439
Ūetta er allt í lagi.,439
Elskan.,438
Jesús.,435
Sestu.,434
Ūarna.,430
Hvađ sagđirđu?,429
Hvađ er ūađ?,428
