sentence,count
No.,947428
Si'.,527540
Sì.,450723
Ok.,436274
Grazie.,404325
Cosa?,384295
Ehi.,284058
Va bene.,240287
Ciao.,225410
Bene.,210947
Davvero?,202190
Andiamo.,173045
Certo.,160471
Non lo so.,148635
Gia'.,140166
Lo so.,129176
Mi dispiace.,111006
"Oh, mio Dio.",103395
Okay.,97988
Già.,91674
Perche'?,91303
Aspetta.,88205
Pronto?,85118
D'accordo.,80393
Perché?,79267
Io...,75606
Esatto.,75165
Forza.,75116
Stai bene?,74360
Salve.,73153
Giusto.,72189
Oh!,70709
Che succede?,67900
Come?,65660
Va tutto bene.,65053
"No, no.",64077
Niente.,62009
Scusa.,60690
Si.,60304
Mamma!,58011
Merda.,53372
Cazzo!,53074
Oddio.,50567
Allora...,48041
Che c'e'?,47292
Beh...,47176
Vai.,46015
"No, no, no.",45872
"Oh, no.",45439
Wow.,43784
Dai.,43300
Ecco.,41839
Per favore.,41748
Chi?,41450
Buongiorno.,38614
Che c'è?,38423
Mi scusi.,38250
Sto bene.,37676
Fantastico.,37575
Ti prego.,37352
Basta!,37127
Che cosa?,36768
Tu?,35686
Vieni qui.,35455
Sul serio?,34651
Capisco.,34231
Avanti.,34120
Aiuto!,33741
Ah!,33573
Non posso.,33395
Ma...,33152
Signore.,33040
E...,32839
Perfetto.,32557
Eh?,32196
Quindi...,32099
Tutto bene?,31593
Dove?,30185
Hai ragione.,30180
Ottimo.,30073
Scusami.,29661
Capito?,29230
Forse.,29222
Guarda.,28816
E' vero.,28750
Vieni.,28706
Prego.,28418
Papa'!,28043
Come va?,27656
Che stai facendo?,27392
Devo andare.,27219
Ma certo.,26052
"Oh, Dio.",26004
Smettila.,25864
Papà!,25796
Ricevuto.,25406
Vero?,24632
Non capisco.,24404
Ora!,24348
Ti amo.,23969
Scusate.,23695
Subito.,23463
Fermo!,23380
Sta bene?,22848
Certamente.,22602
Non importa.,22468
Come stai?,22380
E tu?,21896
Anch'io.,21747
"Oh, si'.",21664
E allora?,21460
Molto bene.,21232
"No, grazie.",21217
Tieni.,20879
Non preoccuparti.,20772
Buonanotte.,20548
Dannazione!,20536
Ascolta.,20350
E'...,20241
Grazie mille.,20091
Non ancora.,19768
Vedi?,19386
Sono io.,19309
Via!,19291
Vattene.,19196
Ci penso io.,19041
Cosa stai facendo?,19009
Non...,18979
Dio!,18664
Tutto qui.,18518
Adesso.,18276
"Si', certo.",18076
Perche' no?,17979
Arrivederci.,17868
Che ci fai qui?,17831
Non farlo.,17717
Congratulazioni.,17675
Ho capito.,17582
Sai una cosa?,17529
Sissignore.,17511
Tesoro.,17330
Cavolo.,17319
Siediti.,17294
Cos'e' successo?,17272
Visto?,17156
Qui.,17141
Per cosa?,17096
Cristo!,17085
Non e' vero.,16971
Ci siamo.,16788
Senti...,16702
"Sì, signore.",16600
Esattamente.,16573
Fermati!,16572
Aspettate.,16507
Non so.,16507
Mi spiace.,16498
Mai.,16345
Che?,16213
Aspetta un attimo.,16151
Maledizione!,16133
Scusi.,16103
Chi è?,16033
"Oh, merda.",15978
Perché no?,15947
Certo che no.,15858
Dove sei?,15828
Dove vai?,15550
Non è vero.,15483
Non saprei.,15420
"Sì, certo.",15405
Quando?,15360
Nessuno.,15212
Cosa c'è?,15176
Cos'è successo?,15079
Buona fortuna.,15040
Dov'e'?,14928
Accidenti!,14902
Torno subito.,14899
Ragazzi!,14891
Da questa parte.,14867
Dov'è?,14854
Sono qui.,14758
Che vuoi dire?,14736
Nessun problema.,14664
Assolutamente.,14647
"No, no, no, no.",14627
Cos'e'?,14464
Non ne ho idea.,14417
Cos'è?,14367
Sai cosa?,14218
Mio Dio!,14124
Fuori!,14109
Guardami.,13965
Fermi!,13897
