sentence,count
わかった,2044
よし,1874
どうも,1703
そうね,1464
そうだな,1408
ごめんなさい,1165
おい,1123
さあ,1041
いいわ,1003
こんにちは,1002
行くぞ,983
それで...,902
待って,895
やあ,844
お願い,783
やめて,721
ほら,669
ありがとうございます,667
もしもし,667
やめろ,660
わからない,656
その通り,624
大丈夫よ,611
失礼,608
おはよう,604
ねえ,604
ごめん,602
わかりました,565
ー,561
くそ,556
よかった,552
いいぞ,549
そうだね,537
まさか,528
待て,526
こっちだ,496
ちょっと待って,491
なるほど,484
いいか,482
ハイ,482
わかってる,469
ママ,468
だから...,466
名前は？,466
行け,460
いいね,454
おやすみ,450
頼む,439
そう？,435
わかったわ,432
オーケー,431
何してるの？,426
えぇ,421
うーん,412
落ち着け,403
どうしたんだ？,399
愛してる,397
助けて,393
どういう意味？,390
知らない,382
素晴らしい,381
おいで,377
くそっ,377
そうだよ,370
何だ,368
早く,365
別に,365
本当に,363
良かった,362
ありがと,361
ちょっと,360
黙れ,358
何があったの？,355
その通りだ,350
ありがとう。,347
どういたしまして,343
行きましょう,343
いいだろう,341
わかったよ,339
クソ,338
ジョン,334
聞いてくれ,331
陛下,331
ここだ,329
急げ,326
私...,322
じゃあ,319
だめだ,317
どうした?,315
どういう意味だ？,311
まあ...,311
信じられない,311
おめでとう,310
来い,302
ダメ,297
よくやった,292
待ってくれ,291
見て,290
あら,290
大丈夫ですか？,290
ヘイ,289
はい...,286
違うわ,284
静かに,283
いいんだ,281
もういい,280
なんてこった,278
そうさ,278
約束する,278
そうですね,276
動くな,276
ない,274
いえ,272
さて...,272
どこへ？,268
お願いだ,268
気をつけて,266
俺は...,266
ちょっと待て,265
乾杯,263
私も,263
分かったわ,263
いいのよ,259
これを,258
他には？,258
いいえ。,257
どうして?,256
まったく,256
そうじゃない,255
何だよ,253
それじゃ,253
やめてくれ,250
座って,248
そんな,246
父さん,243
どんな？,241
ああ!,240
なあ,236
それは？,235
来て,235
まだだ,234
頼むよ,233
いいわよ,232
大丈夫だよ,232
もちろんだ,231
では,231
なぜ?,231
おお,231
大丈夫?,230
そうだろ？,227
よろしく,224
僕は...,223
すいません,223
お願いします,220
私もよ,220
大丈夫か?,220
ちょっと！,219
どうだった？,219
クソッ,219
なんてこと,218
行って,218
俺もだ,217
しかし...,214
ダメよ,214
聞いて,213
急いで,213
よろしい,213
アーメン,212
ジャック,212
じゃあね,211
そうですか,210
どうかな,210
なに?,210
