sentence,count
ეა.,2900
ნვ.,2008
ეჲბპვ.,1227
კაკგჲ?,809
ბლადჲეაპწ.,615
ჳაიევ.,373
ნვ ჱნამ.,367
ეჲბპჲ.,320
ჱაღჲ?,312
პაჱბთპა ჟვ.,282
ჟყზალწგამ.,275
ჱნამ.,234
ქრჲ?,229
ჱეპაგვი.,223
ეჲბპვ ლთ ჟთ?,214
კაკგჲ ჟრაგა?,180
ოჲ ეწგჲლთრვ!,174
ჱეპაჟრთ.,172
რაკა ლთ?,166
ალჲ?,165
მამკა მს!,162
კაკგჲ ვ რჲგა?,158
კაკგჲ ოპაგთქ?,157
ა£ევ.,155
დჲჟოჲეთ!,152
მჲლწ?,150
რჲფნჲ რაკა.,150
რარკჲ!,149
ჱეპაგვირვ.,149
თჱგთნვრვ.,143
მამჲ!,141
კაკგჲ თმა?,141
"ნვ, ნვ.",138
რაკა ვ.,129
გჲ პვე.,128
ფაჲ.,124
აჱ...,118
ფსევჟნჲ.,116
გჟთფკჲ ვ ნაპვე.,116
ნათჟრთნა?,115
ჟსოვპ.,109
მჲლწ რვ.,105
ეა გყპგთმ.,104
ეაგაი!,104
ბჲზვ!,104
ნაგთჟრთნა?,103
ჱეპაგჲ.,102
ბლადჲეაპწ რთ.,99
ნთღჲ.,99
წჟნჲ.,98
"ჲ, ეა.",97
თჱგთნთ.,94
დ,93
რთ...,91
ნათჟრთნა ლთ?,90
ბლადჲეაპწ გთ.,88
ჟვდა.,86
ფაკაი.,84
"ეა, ჟყპ.",83
ტალა.,83
ლვკა ნჲღ.,82
"ნვ, ნვ, ნვ.",82
ბპაგჲ.,79
თ...,78
ვ?,78
რჲგა ვ.,77
ჟვპთჲჱნჲ?,76
ეჲბპჲ სრპჲ.,75
ვ£.,74
ნვრ.,74
ჳვი!,73
ჲეთმვ.,73
ვლა რსკ.,71
ეა რპყდგამვ.,70
კაკგჲ ოპაგთქ რსკ?,70
ვრჲ.,69
პაჱბთპამ.,69
"ჲ, ნვ.",68
"ჲ, ბჲზვ!",68
ჟვკაკჲ.,67
ჲბთფამ რვ.,67
აჱ ჟყღჲ.,66
ბლადჲეაპამ.,66
კაკგჲ ჟრანა?,66
კაკ?,64
ჟოაპრაკ!,64
კყევ?,63
თჱგთნწგაი.,62
"ეა, ეა.",62
ოჲფაკაი.,62
რაკა.,61
კჲი?,61
კყევ ჲრთგაქ?,61
კაკ ჟთ?,61
ნწმა ოპჲბლვმ.,60
გთზ.,60
ოპვჟრანთ!,60
ა?,60
ვლა.,60
ჟოპთ!,59
