sentence,count
네,10507
그래,8886
응,4328
뭐?,4000
좋아,3720
아니,3081
괜찮아,2777
왜?,2776
알았어,2536
안녕하세요,2503
고마워요,2480
그래요,2398
안녕,2363
젠장,2210
좋아요,2096
안돼!,2062
어...,1990
아뇨,1897
고마워,1869
안 돼!,1868
음...,1830
괜찮아요,1733
아!,1732
엄마!,1655
예,1619
오!,1586
알았어요,1487
아빠!,1482
감사합니다,1456
왜요?,1451
가자,1443
맞아,1440
맙소사,1349
그렇지,1347
제발,1325
여보세요?,1313
뭐라고?,1307
어서!,1285
알겠습니다,1275
세상에,1200
그럼,1179
이봐!,1148
정말?,1113
뭐야?,1092
맞아요,1052
미안해,1011
이런,1001
알겠어요,998
그래서?,979
아니야,962
아니요,961
그리고...,953
아냐,922
죄송해요,897
미안해요,896
뭐라고요?,840
야!,830
잠깐만,810
알아,796
그렇죠,792
무슨 일이야?,788
난...,786
잠깐,755
하지만...,750
고맙습니다,734
그러니까...,717
알겠어,711
저기...,709
그게...,699
그냥...,673
아니에요,665
정말요?,664
죄송합니다,645
이봐요,627
됐어,611
싫어,611
뭐요?,592
가!,589
저기요,586
자,574
왜 그래?,572
빨리!,567
그만해,552
미안,552
여보,539
잠깐만요,537
알아요,511
여기,511
그럼요,509
뭔데?,495
그만!,494
모르겠어,482
좋았어!,475
진짜?,473
사랑해,473
잠시만요,470
나?,470
어떻게?,469
여기요,454
모르겠어요,453
내가?,448
멈춰!,447
전..,445
물론이죠,444
조심해!,431
저...,424
그건...,422
알았지?,421
당연하지,419
그렇군요,417
일어나,413
아버지,413
닥쳐!,409
됐어요,405
기다려!,402
서둘러!,401
와우,401
뭐라구요?,398
이리 와,396
뭐가?,394
잘했어,387
몰라,385
진정해,381
너...,381
나도 몰라,379
실례합니다,376
무슨 소리야?,374
안돼요,369
안 돼요,369
제발요,367
글쎄...,367
흠,366
나도 알아,360
나도,355
선생님,349
와!,348
누구?,343
그..,340
뭘?,339
알렉스,339
헤이,338
이게 뭐야?,331
물론이지,326
어때?,322
빌어먹을,321
그러죠,320
당장!,320
메러디스,320
나가!,315
이건...,310
지금?,305
누구야?,304
그렇습니다,303
닥터!,292
아닙니다,291
무슨 일이에요?,286
싫어요,284
뭐하는 거야?,282
정말이야?,280
왜죠?,278
건배,277
도와줘요!,277
크리스티나,276
오케이.,276
당연하죠,275
알겠지?,275
도와줘!,274
어서요,270
나는...,270
뭐 하는 거야?,265
없어,265
몰라요,264
이지,262
글쎄요,260
이리와,260
무슨 일이죠?,258
없어요,255
가요,255
진심이야?,253
쉿!,250
괜찮으세요?,241
"오, 이런",241
얘들아,240
존!,239
저는...,239
그러게,239
아마도,238
어떻게요?,237
조지,236
그런데...,236
자기야,236
확실해?,235
근데...,234
이거,233
난 괜찮아,233
저도요,232
그거 알아?,231
