sentence,count
Taip.,25301
Ne.,19818
Gerai.,18184
Ką?,9084
Ačiū.,7601
Tikrai?,5334
Nagi.,4523
Viskas gerai.,3918
Labas.,3894
Nežinau.,3764
Ei!,3458
Žinoma.,3316
Atsiprašau.,3086
Puiku.,3040
Eime.,3027
Kodėl?,2903
Kas?,2638
Šūdas.,2591
Palauk.,2550
Prašau.,2529
Greičiau!,2438
Aišku.,2385
Sveiki.,2360
Žinau.,2026
Atleisk.,1970
Aš...,1931
Velnias.,1869
Nieko.,1765
Supratau.,1699
Štai.,1597
Kas tai?,1593
Pirmyn!,1588
Tėti!,1563
Viskas.,1454
"O, Dieve.",1419
Kas čia?,1408
Liaukis.,1348
Iki.,1307
Alio.,1304
"Ne, ne.",1290
O Dieve.,1275
Nuostabu.,1269
Na...,1220
Mama!,1220
Aha.,1196
Ką tu darai?,1189
Teisingai.,1186
Kas nutiko?,1171
Dieve.,1130
Oho.,1080
Taigi.,1053
Kur?,1035
Atleiskit.,1026
Dabar!,951
"Ne, ne, ne.",949
Jo.,937
Klausau.,937
Kas yra?,925
Eik.,925
Čia.,889
Kas atsitiko?,884
Kaip?,881
Dieve mano.,865
Sveikas.,836
Tu.,824
Nereikia.,813
Viskas bus gerai.,807
Užsičiaupk.,807
Palaukit.,803
Negaliu.,782
Rimtai?,780
Tiesa.,777
Žiūrėk.,773
Matai?,771
Suprantu.,763
Štai taip.,759
Labas rytas.,746
"Taip, pone.",733
Supratai?,729
Supranti?,711
Stok!,696
Klausyk.,685
Jėzau.,677
Tau viskas gerai?,676
Atsargiai.,676
"O, ne.",676
Einam.,670
Prakeikimas!,660
O!,636
Kam?,634
Prašom.,634
Nesijaudink.,633
Ką darai?,632
Po velnių!,628
Atleiskite.,624
Ateik čia.,620
Būtent.,619
Pone?,602
Tai...,601
"O, taip.",572
"Gerai, gerai.",568
Dėkoju.,567
Šaunuolis.,565
Kur jis?,565
"Taip, taip.",563
Eikš.,557
Ramiai.,553
Bėk!,548
Imk.,545
Padėkit!,529
Kas ten?,527
Šaunu.,505
Kaip tu?,502
Myliu tave.,499
Nesvarbu.,498
Mėšlas!,497
Dėkui.,497
Kaip sekasi?,493
Sveikinu.,491
Baik.,491
Nieko tokio.,490
"Taip, žinoma.",478
Geras.,476
Sveika.,469
Žinai ką?,466
O ką?,466
Nusiramink.,464
Ką tai reiškia?,464
Laikykis.,460
Kas vyksta?,459
Sėkmės.,456
Nieko sau.,456
Ko?,454
O tu?,453
Nesupratau.,449
Labai gerai.,442
Čionai.,440
Važiuojam.,439
Kelkis.,431
Kas tu?,430
Ateik.,430
Nesuprantu.,428
Nesąmonė.,427
Paklausyk.,426
Ir?,423
Kur tu?,422
Kas čia vyksta?,421
Oi!,414
Bėgam!,410
Labai ačiū.,409
Galbūt.,396
Negali būti.,388
Gana.,384
Ugnis!,384
Ar viskas gerai?,382
A?,382
Paskubėk!,382
Nurimk.,379
Bet...,377
Neįtikėtina.,376
Pažiūrėk.,375
Nejaugi?,373
Labanakt.,373
"Taip, sere.",371
Po galais!,367
Man viskas gerai.,364
Malonu susipažinti.,364
Niekada.,361
Kas per velnias?,359
Aš tave myliu.,358
Ką gi.,357
Tai tiesa.,357
Džekai!,351
Stop.,350
Liaukitės.,348
Ten.,347
Atgal!,346
Į sveikatą.,344
Aš irgi.,344
"O, šūdas.",338
Ar ne?,337
Laba diena.,336
Pasitrauk!,331
Štai čia.,331
Aš negaliu.,330
Pasiruošęs?,328
Minutėlę.,325
Gražu.,324
Tuoj.,324
Šakės.,323
Štai jis.,321
Kodėl ne?,321
Aš čia.,316
Viso.,312
Keista.,312
Neblogai.,307
Nejudėk.,304
Kada?,304
Judam!,304
Ką manai?,302
Puikiai.,301
Koks skirtumas?,299
Na štai.,297
Užeik.,295
Sustok!,295
Sutinku.,294
Nėra už ką.,293
Sėskis.,290
Kiek?,290
Varom.,290
Labas vakaras.,290
"Ne, ačiū.",290
Pažadu.,290
Baigiau.,287
Pala.,285
Kur ji?,285
Tiek to.,284
Atleisk man.,280
Valio!,280
Apgailestauju.,279
Kur eini?,279
Apie ką tu kalbi?,279
Palaukite.,278
Aš nežinau.,278
Ačiū Dievui.,277
Dar ne.,277
Tai neįmanoma.,276
Jis...,276
Kaip tai?,275
Saša...,274
Kaip laikaisi?,272
"Na, taip.",270
Kapitone.,269
Tu teisus.,269
Jėzau Kristau.,268
Ir viskas?,267
Labai.,265
Maiklai.,264
Viskas baigta.,259
Nutilk!,259
Sėsk.,257
Padėk man.,256
Amen.,255
Dėmesio!,255
Aš žinau.,254
Džonai!,254
Du.,252
Aš taip pat.,251
Hmm.,251
O taip.,251
Judinkis!,249
Tomai!,248
Kuo tu vardu?,247
Niekas.,246
Pažiūrėk į mane.,246
Man patinka.,245
Už ką?,245
Sutarta.,244
Vienas.,242
Lauk!,242
Jėga.,241
Paklausyk manęs.,240
Kas jis?,240
Pakaks.,240
Tania...,238
Matau.,238
Semai!,237
Viešpatie.,237
Žiūrėkit.,237
Aš tik...,237
Deividai!,237
Sakyk.,236
Nemanau.,234
Dievulėliau.,233
Šaunuolė.,232
"Nagi, nagi.",230
Tai bent.,230
Ką čia veiki?,229
Tiesiog...,228
Sudie.,227
Aš rimtai.,226
Kas per...,225
Ka?,225
Ar tau viskas gerai?,224
Ką čia darai?,224
Žinai?,224
"Na, gerai.",223
Kas tau?,223
Sere.,223
Būtinai.,222
Visi.,221
Juokauji?,220
Padėkite!,220
Mes...,217
O ne.,214
Nebijok.,214
Man labai gaila.,214
Na ir kas?,214
Prisiekiu.,213
Trys.,213
Pradedam.,213
Pagaliau.,212
Negaliu patikėti.,212
Viso gero.,211
"Taip, gerai.",211
Turiu eiti.,211
Baigta.,210
"Taip, žinau.",209
Dar kartą.,209
Saugokis!,209
Tikrai ne.,208
Stokis.,208
Nedaryk to.,206
Juokauju.,205
Tai aš.,205
Paleisk!,205
Paskui mane.,205
Varyk!,204
Normaliai.,204
Labai atsiprašau.,204
Kalės vaikas!,203
Baikit.,203
Įdomu.,202
"Ne, pone.",201
Stokit!,199
Jokiu būdu.,199
Bėkit!,199
Tu rimtai?,199
Netiesa.,197
Taip ir maniau.,197
Paleisk mane!,196
Ir aš.,196
Ir ką?,196
Užeikit.,195
Girdi?,195
"Greičiau, greičiau!",195
Važiuok!,193
Užteks.,192
"Žinai, ką?",192
Tylos!,191
Atsipalaiduok.,191
Tuoj pat!,190
Mano!,190
Tai jis.,189
Gerai jau.,189
Lipk.,189
Tai gerai.,188
Visai ne.,188
Atsargiau.,187
Maldauju.,186
Eik velniop!,186
UNIVERAS,186
Kaip jautiesi?,186
Iki pasimatymo.,186
Labai juokinga.,185
Benai!,185
Kas čia buvo?,184
Kur tu buvai?,184
Ačiū tau.,183
Man?,183
Traukis!,183
Ant žemės!,182
Girdi mane?,182
Eikit.,181
"Ne, viskas gerai.",181
Kas tu toks?,180
Laikykitės!,180
Aš ne...,180
Tai nuostabu.,180
Jis čia.,180
Aš atsiprašau.,179
"Taip, tikrai.",178
Einu.,177
Greitai.,177
Kas tai buvo?,177
Ramiau.,176
Tyliau.,176
Eina šikt!,176
Ką tu čia darai?,175
Mmm.,175
Ji...,175
Judinkitės!,174
Gaila.,173
"Na, štai.",172
Hari!,171
"Ei, ei!",171
Ne dabar.,171
Mamyte!,171
Tuoj grįšiu.,171
Tu sveikas?,170
Apie ką?,170
Kas čia dedasi?,169
Dink iš čia.,169
"Ne, ne, ne, ne.",169
Kaip miela.,169
Iš kur žinai?,168
Atidaryk duris!,168
Patinka?,168
Skauda.,168
Kur jie?,167
Atidaryk.,167
Švaru.,167
Tėve!,166
Dėl ko?,166
Ak.,166
Oh.,166
"Vienas, du, trys.",165
Koks tavo vardas?,165
Ko tu nori?,165
Tik pažiūrėk.,165
Kas dar?,164
"Palauk, palauk.",164
Nešdinkis!,164
Čia aš.,163
Tikrai taip.,163
Lukai!,163
Tylėk.,162
Visiškai.,160
Kur tu eini?,160
Tai viskas.,160
Turiu.,159
Labos nakties.,158
Juokinga.,157
Parodyk.,157
Nenoriu.,156
Maksai!,156
Tęsk.,156
Nikai!,156
Policija!,156
Ką jis daro?,155
Tu teisi.,155
Šventas šūde!,155
Eik šikt!,155
Čarli?,155
Nėr už ką.,155
Viską.,155
Tikriausiai.,154
Kas dedasi?,154
Štai ten.,153
"O, varge.",153
Išeik.,153
Kas dabar?,153
Gelbėkit!,153
Pasiruošę?,152
Geros dienos.,152
Nesijaudinkit.,150
Paskubėkit!,149
Pamiršk.,148
Ko nori?,148
Nori?,148
Šok!,147
Ką tu čia veiki?,147
Daktare!,146
Gal.,146
Ar girdi mane?,146
Nieko baisaus.,146
Ką pasakei?,146
Bobi!,146
Kas jūs?,145
Ar tikrai?,145
Eina sau.,145
Kuzia.,145
Jūs...,144
Galima?,144
Kalbėk.,144
Aš tuoj.,143
Nelabai.,143
Paimk.,143
Ateinu.,142
Sara!,142
Padėk!,142
Ką tu padarei?,141
Apsisuk.,140
Negerai.,140
Kuo galiu padėti?,140
Kitas.,139
Kas čia dabar?,139
Kaip suprasti?,139
Girdėjai?,138
Pasitraukit!,138
Na gerai.,138
Malonu.,137
Ate.,137
Pasilenk!,136
Atsiknisk.,136
Tikiuosi.,134
Kas negerai?,134
Kvėpuok.,134
Pasakyk.,133
Ne visai.,133
Mieloji.,133
Beveik.,133
Na gi.,133
Aš suprantu.,132
Jau?,132
Atstok.,132
Ko tau reikia?,132
Ką pasakysi?,131
Bravo!,131
Užjaučiu.,131
Tu sveika?,131
Klausykit.,131
Išprotėjai?,130
Ką man daryti?,130
Būk atsargus.,130
Šauk!,130
Pakartok.,130
Ša.,129
Pamatysi.,129
Jokių problemų.,129
Jis teisus.,129
Mums pavyko.,129
O dieve!,129
Pabusk.,129
Lik čia.,128
Aleksai!,127
"O, velnias.",127
Sustokit!,127
Bobai!,126
Negali būt.,126
Frenkai!,125
Turbūt.,125
Aš myliu tave.,125
Atsitraukit!,125
Kietai.,125
Tau pavyko.,125
Tinka.,125
Neliesk manęs.,124
Labai gražu.,124
Maikai!,124
Krisai!,124
Viskas aišku.,123
Meri!,123
"Taip, ponia.",123
Truputį.,123
"Na, kaip?",123
Atiduok.,123
Laikyk.,122
Velniop.,122
Kur buvai?,122
Ką jūs darote?,122
Grįžk!,121
Jis gyvas.,121
Tik tiek.,121
"Ne, palauk.",121
Atsitrauk!,121
Labai malonu.,120
Ką nori pasakyti?,120
Štai kur tu.,120
Mielai.,120
Man taip pat.,120
