sentence,count
Jā.,8908
Nē.,5928
Labi.,5694
Paldies.,2538
Ko?,2420
Aiziet!,1323
Tiešām?,1206
Lūdzu.,933
Protams.,894
Lieliski.,797
Ejam.,731
Es nezinu.,724
Velns!,720
Pagaidi.,706
Piedod.,692
Kāpēc?,673
Atvainojiet.,667
Viss kārtībā.,646
Skaidrs.,614
Kas?,605
Sveiki.,594
Sveiks.,593
Ko tu dari?,572
Ei!,570
Es zinu.,560
Kas ir?,514
Tieši tā.,513
Nāc.,497
Nezinu.,478
"Nē, nē.",446
Es...,439
Kas tas ir?,433
Ātrāk!,420
Sveika.,417
Oho.,387
Kas notiek?,374
Hallo?,366
Ak dievs.,363
Nu...,355
Kas noticis?,353
Nekas.,349
Ak kungs.,346
Atvaino.,340
Pareizi.,340
"Nē, nē, nē.",340
Atā.,336
Nolādēts!,331
Sasodīts!,327
Ak Dievs!,307
Sapratu.,286
Tā.,282
Izbeidz!,270
Pagaidiet.,267
Hei!,262
Beidz.,257
"Jā, ser.",252
Kas tas?,251
Kas notika?,251
Zinu.,243
Palīgā!,242
Aizveries!,240
Piedodiet.,235
Ej.,235
Jēziņ.,234
"Ak, Dievs.",230
Jauki.,229
Viss ir labi.,228
Nevajag.,225
Skaties.,224
Uz priekšu!,224
Tēti!,221
Tu.,219
Kā?,211
Nu taču!,204
Nāc šurp.,204
Čau.,201
Ja?,200
Tagad!,198
Labrīt.,196
Redzi?,194
"Ak, mans Dievs.",194
Par ko tu runā?,190
Liels paldies.,189
Gatavs?,189
Tēt!,189
"Labi, labi.",188
Es nevaru.,187
Harij!,182
Nomierinies.,182
Ko tas nozīmē?,181
Un?,179
Kādēļ?,176
Vai ne?,176
Ātri!,176
Tā ir.,173
"Jā, protams.",169
Šeit.,168
Kas tu esi?,166
Uzmanīgi.,165
Paskaties.,164
Ser.,164
Neko.,162
Man žēl.,162
Kur?,162
Varbūt.,160
"Jā, jā.",160
Ļoti labi.,158
Es tevi mīlu.,156
Nīl!,155
Nopietni?,151
Forši.,148
"Ak, nē.",145
Mamma!,145
Atpakaļ!,142
Neuztraucies.,142
Džek!,141
Viss būs labi.,140
Ak!,140
Nav par ko.,140
Es arī.,140
Tev taisnība.,139
Apsveicu.,138
Ak tā?,138
Saproti?,138
Šurp!,137
Tas nekas.,136
Kas tur ir?,135
Man jāiet.,134
Neticami.,133
Ņem.,132
Pīter.,131
Turies!,131
Kur tu esi?,130
Nevar būt.,129
Paklausies.,129
Pietiek!,128
Stāt!,127
"Nē, paldies.",127
Ko tu te dari?,126
Sarunāts.,126
Malacis.,124
Es mīlu tevi.,123
Es nesaprotu.,123
Kā iet?,123
Klausies.,120
Es saprotu.,119
Labdien.,117
Ak vai.,116
Uzmanies!,116
Skatieties.,115
Par ko?,113
Pie velna!,113
Patiešām?,113
Man ļoti žēl.,113
Tur.,111
Viss.,110
Nekusties.,110
Nekad.,110
Ej prom.,109
Kas tas bija?,109
Paga.,108
Ak nē.,108
Un tu?,108
Kā tevi sauc?,108
Celies!,107
Klausos.,106
Tu joko?,106
Tev viss kārtībā?,106
Kā klājas?,106
"Aiziet, aiziet!",105
Kāpēc ne?,104
Uguni!,104
Noteikti.,103
Viss labi?,103
Braucam.,103
Klusu!,102
Jēzus.,102
"Ak, jā.",102
Ejiet!,101
Zini ko?,100
Tātad...,100
Iesim.,99
