sentence,count
Да.,95221
Не.,63722
Добро.,43942
Што?,37599
Ајде.,28125
Во ред.,19279
Здраво.,17424
Благодарам.,13809
Не знам.,13808
Зошто?,12403
Навистина?,12080
Еј!,11766
Фала.,11738
Секако.,9052
Знам.,8991
Извини.,8522
Срање!,8111
Што правиш?,7841
Одиме.,7500
Чекај.,7183
Во ред е.,7026
Ало?,6674
Жал ми е.,6444
Што се случува?,6404
Што е?,6012
Те молам.,5989
Што е тоа?,5987
Извинете.,5804
Боже.,5774
Така е.,5715
Ништо.,5494
Оди!,5304
Супер.,5007
Јас...,4978
Тато!,4812
"Не, не.",4791
Да одиме.,4664
Па...,4603
Што е ова?,4326
Одлично.,4265
ОК.,4036
Г.,3976
Добро си?,3922
Молам?,3823
Проклетство!,3679
Мамо!,3676
Чао.,3568
По ѓаволите!,3549
Не можам.,3538
Престани!,3480
Помош!,3405
Веднаш!,3321
Што се случи?,3296
Кој?,3272
Како?,3271
Дојди.,3256
Ти?,3242
Каде?,3227
Разбирам.,3195
Сега!,3151
Застани!,3144
Како си?,3110
Знаеш што?,3075
Точно.,3005
Ок.,2967
Исусе.,2922
Замолчи!,2920
Така.,2911
Ве молам.,2857
Те сакам.,2843
Каде е?,2809
"Не, не, не.",2802
Добро сум.,2766
Се разбира.,2760
И?,2748
Еве.,2658
Ти благодарам.,2646
Добро е.,2613
Ох!,2583
"Да, господине.",2471
Немој.,2428
Чекај малку.,2417
Господе!,2399
Полека.,2388
Кој си ти?,2349
Слушај.,2345
Добро ли си?,2306
Можеби.,2300
"Да, да.",2292
Добро утро.,2204
Брзо!,2198
Нема проблем.,2192
Смири се.,2190
Што зборуваш?,2163
Каде одиш?,2161
Ви благодарам.,2129
Гледаш?,2119
Жалам.,2068
Се е во ред.,2057
Што сакаш?,2057
Нема.,2009
За што?,1969
Тоа е тоа.,1964
Во право си.,1947
Почекај.,1912
Не разбирам.,1870
Добра ноќ.,1854
Што се случило?,1845
Господине?,1832
Види.,1832
Внимавај!,1822
Еби се!,1820
Нема шанси.,1814
А?,1804
Леле.,1801
Јас сум.,1793
Не грижи се.,1787
Побрзај!,1786
Џек!,1769
Каде си?,1754
Да ти ебам.,1754
Стој!,1730
Овде.,1703
Само...,1682
А ти?,1674
Знаеш?,1658
Морам да одам.,1646
Што беше тоа?,1638
Што мислиш?,1616
Не мрдај!,1614
"О, Боже.",1606
Се извинувам.,1599
Аха.,1586
Што рече?,1555
Никогаш.,1547
Чекајте!,1540
Што значи тоа?,1536
Прекрасно.,1525
Кој е тоа?,1522
Седни.,1518
Така ли?,1487
"О, не.",1486
Еве го.,1470
Тргни се!,1455
Пушти ме!,1446
Џон!,1445
Браво.,1441
Не е важно.,1440
И јас.,1432
Бегај!,1431
Неверојатно.,1427
"О, да.",1424
Јасно?,1414
Сериозно?,1412
"Добро, добро.",1410
Нели?,1397
Како се викаш?,1392
Стварно?,1388
Наваму.,1383
Дали си добро?,1373
Тоа е...,1373
За што зборуваш?,1372
Важи.,1372
Сем!,1370
Арсов Томи,1348
Разбираш?,1343
Одете!,1340
Побрзо!,1338
Готово е.,1333
Гледај.,1331
Сигурно.,1326
Дојди ваму.,1326
Верувај ми.,1324
Се гледаме.,1311
Доста!,1301
Тука.,1287
Не е.,1285
"Ајде, ајде.",1270
Како мислиш?,1268
"Да, знам.",1254
Што сакаш да кажеш?,1252
Кажи ми.,1250
Тоа е се.,1245
Назад!,1245
Многу добро.,1243
"Да, секако.",1240
Влези.,1235
Др.,1228
Ветувам.,1227
Мило ми е.,1224
Таму.,1223
Што правиш тука?,1223
Погледни.,1204
Како е?,1194
Не баш.,1193
Погледни ме.,1190
Продолжи.,1187
Фала ти.,1185
Убаво.,1181
Многу ми е жал.,1179
Мислам...,1175
Што има?,1175
Но...,1163
Држи се!,1152
Зошто не?,1148
Види го ова.,1142
Повели.,1138
Доаѓам.,1125
Што не е во ред?,1125
Договорено.,1108
Престанете!,1107
Излегувај!,1103
Зашто?,1088
Може.,1083
Боже мој!,1078
Душо?,1074
Слушај ме.,1074
Како сте?,1069
Кога?,1068
Станувај!,1059
Тоа е добро.,1059
Надвор!,1054
Примено.,1048
"Ох, Боже.",1045
Што правите?,1044
Тишина!,1043
Сигурен си?,1040
Помогни ми.,1020
Кој е?,1016
Полиција!,1011
Извинете ме.,1010
Го имам.,1003
Господи!,1001
Повелете.,993
Добар ден.,989
Каде беше?,989
Татко!,972
Ми се допаѓа.,968
Амин.,963
Знаев.,963
Сите.,962
Мајкл!,959
Застанете!,958
Готово.,952
Стани.,949
Се ќе биде во ред.,948
Колку?,944
"Чекај, чекај.",941
Напред!,937
ОКИ ОКИ,933
Зошто да не?,920
Совршено.,919
Нешто не е во ред?,917
Не сум.,911
Помогнете ми!,906
Ах!,906
Се шегуваш?,901
Апсолутно.,899
Нема на што.,897
Заборави.,896
Хари!,892
Глупости.,892
Што правиш овде?,879
Што ќе правиме?,868
Опушти се.,864
Оди си.,863
Точно така.,855
Влегувај.,851
Чарли.,844
Тука сум.,833
Токму така.,833
Каде одиме?,832
Кучкин син!,832
Капетане.,831
Тоа!,830
О.,828
"Ох, не.",828
Кој е тој?,826
Збогум.,825
Со среќа.,822
Каде е тој?,816
Многу.,811
Оган!,806
Тргнете се!,802
Дин.,802
Мртов е.,801
Не ми се верува.,796
Долу!,787
На здравје.,786
"Не, благодарам.",785
"Да, г-дине.",784
Разбрав.,781
Пукај!,781
Мислиш?,778
"Ох, да.",776
Внимателно.,775
Никој.,774
"Да, така е.",770
Питер.,770
Не сакам.,759
Ене го.,755
Што ти е?,754
Ова?,754
Еден.,748
Влезете.,748
Добар си?,744
Разбуди се!,744
Почекај малку.,743
Дојди со мене.,740
Кажи.,739
Врати се!,736
Трчај!,735
Па што?,732
Побрзајте!,723
Слушајте.,716
Дојди овде.,716
Не ми е гајле.,713
Немам поим.,713
Мораме да одиме.,712
Дали?,710
Што направи?,709
"Да, г-не.",707
Се колнам.,706
Вистина е.,703
Алекс!,698
Момци!,696
Три.,692
Бегајте!,691
И мене.,691
"Не, фала.",689
Се.,688
Што по ѓаволите?,685
Што сега?,684
Пушти го.,681
Веднаш се враќам.,675
Што тоа?,675
Што е проблемот?,664
Френк!,661
Не сега.,660
Волтер.,660
Ете.,659
Фино.,657
Сара!,656
Како и да е.,656
Дај ми го тоа.,655
Само малку.,655
Повторно.,652
Само момент.,650
Од каде знаеш?,649
Копиле!,647
Во право е.,641
Пази!,641
Сфаќам.,640
Успеавме!,639
Успеа.,636
Отвори ја вратата!,635
Се надевам.,634
Каде ќе одиш?,634
Седнете.,633
Не се грижи.,633
Док!,632
Штета.,632
Седи.,632
"Ајде, одиме.",630
Дојди тука.,628
Ние?,627
Тој...,626
Два.,626
Ме слушаш ли?,624
Ајде да одиме.,623
Клер!,618
Вистина.,618
Чисто.,616
Ана.,614
Среќно.,614
Џејк!,613
Тој е.,613
Нема врска.,606
Ме разбираш?,605
Да видиме.,602
Што да правам?,602
Тука е.,596
Ќе те убијам!,594
Хеј!,593
Чувај се.,591
Сеедно.,591
Пуштете ме!,591
Макс!,590
Се сеќаваш?,589
Ќе биде во ред.,588
Ајде бе.,588
Каде се?,588
Заќути!,587
Почекајте.,583
Како се вика?,581
Кејт!,581
Невозможно.,579
"Не, не е.",578
Каде е таа?,577
Ќе бидеш добро.,576
Тргни се од мене!,576
Отвори.,575
Интересно.,575
Боби?,572
Господа.,571
Дојдете.,570
Тргнувај!,570
Не е лошо.,570
Незнам.,570
Што гледаш?,568
Убиј го!,563
Сврти се.,562
Чудно.,560
Не пукајте!,559
"Не, во ред е.",559
Го знаеш тоа.,557
Еве ти.,556
Господару!,555
Како се чувствуваш?,549
Малку.,548
"О, боже.",546
Мајк!,545
Ти се допаѓа?,543
Ме слушаш?,542
Може ли?,541
Пушти ја.,541
Гледам.,538
Смирете се.,535
Спремен?,533
Среќен Божиќ.,532
Каде сме?,530
Значи...,530
Лажеш.,528
Што се случува овде?,528
Се согласувам.,527
Дејвид.,527
Остави го.,526
Мрднете!,526
Доаѓа.,526
Продолжете.,526
Кул.,521
Сеуште не.,521
Време е.,520
Честитам.,520
Погледнете.,520
Погледни го ова.,519
Што сакате?,519
Доаѓаат.,517
"Не, господине.",516
Мило ми е што те гледам.,512
Држете се!,512
Тука си.,509
Не е можно.,508
Ти реков.,507
Внимание!,504
Нема потреба.,504
Што прави?,504
"Еј, еј!",503
Што е со тебе?,503
Добро момче.,502
Не можеш.,501
Мрдај!,500
Направи го тоа.,500
Не сум сигурен.,497
Ама...,497
"Да, добро.",495
Земи го.,494
Знаете што?,494
"Не, нема.",494
Ќе се вратам.,493
Да го ебам!,492
Шефе!,490
Џо!,487
Како тоа?,487
Која си ти?,487
Бен!,486
Што е работата?,485
Тоа е супер.,484
"О, Господе.",484
Вода.,484
Ти си.,481
Марти!,481
Ха!,480
Тоа е тој.,479
ДА.,478
Дај ми го.,477
"Знам, знам.",475
Можеш.,475
Никако.,475
Јас не.,473
Океј.,473
Претседателе.,471
Крај.,470
Ти ветувам.,469
Кој е таму?,466
Мери!,463
Ќе се видиме.,463
Хм.,463
Исусе Христе!,461
Овде сум.,459
Тоа сум јас.,459
Прекини!,459
Ќе видиме.,459
Пријатно.,456
Вози!,456
Слободно.,456
Конечно.,456
Среќен роденден.,455
Што ќе правиме сега?,454
И што?,453
"Ајде, да одиме.",453
Не разбираш.,453
Г-дине?,452
Следете ме.,452
"Оди, оди!",450
Не може.,450
Доле!,449
Ова е лудо.,449
Доволно.,449
Тони!,449
Разбра?,448
Тоа е смешно.,448
И ти.,447
Што ќе направиш?,446
Добра работа.,446
Одам.,444
"Еден, два, три.",444
Диши.,444
Не знаев.,444
Секако дека не.,443
Претпоставувам.,442
Сигурна си?,442
Дефинитивно.,441
Внимавајте!,441
Еве ја.,440
"О, срање.",438
Сигурен ли си?,437
Губи се.,436
"Во ред, во ред.",435
Кевин!,435
Томи!,435
Мора да одам.,433
Еди!,432
Подготвени?,431
Ова е...,431
Г-не.,430
Подготвен?,430
Ама ајде.,429
