sentence,count
അതെ.,2530
ഇല്ല.,1921
ശരി.,1767
നന്ദി.,1298
എന്ത്?,1076
ഹലോ.,987
എന്താ?,898
അല്ല.,764
വേണ്ട.,753
ഹേയ്!,730
ഓ.,721
വരൂ.,707
എനിക്കറിയില്ല.,559
വാ.,501
നാശം!,492
വേഗം!,479
അതേ.,457
ഓക്കേ.,402
കൊള്ളാം.,394
മി.,381
പോ!,377
എനിക്കറിയാം.,364
എന്തിന്?,364
ആ..,348
ക്ഷമിക്കണം.,341
തീര്‍ച്ചയായും.,334
ദൈവമേ!,332
ഉം.,327
നോക്ക്.,325
ഉവ്വ്.,300
ഇതാ.,294
ഓഹ്..,293
ഒന്നുമില്ല.,276
ശരിക്കും?,272
പിന്നെ...,258
എവിടെ?,256
പ്ലീസ്.,253
മനസ്സിലായോ?,253
ഹായ്.,251
അത്...,250
അല്ലേ?,238
ഉണ്ട്.,237
നമുക്ക് പോകാം.,230
അതെന്താ?,224
ഒരു നിമിഷം.,217
അമ്മേ!,208
ഞാന്‍...,206
ആണോ?,206
പോകാം.,204
തീർച്ചയായും.,199
ആഹ്!,194
നല്ലത്.,194
അച്ഛാ!,192
എന്ത് പറ്റി?,192
ഇവിടെ.,187
ബൈ.,174
നില്‍ക്ക്.,165
എങ്ങനെ?,163
ഇല്ലാ.,163
പറയൂ.,161
നിർത്ത്!,160
സോറി.,159
നിൽക്ക്!,155
അറിയില്ല.,152
ആര്?,152
അയ്യോ!,151
നിര്‍ത്ത്!,151
നോക്കൂ.,150
സര്‍.,146
ഞാൻ...,141
കുഴപ്പമില്ല.,140
ഇവിടെ വാ.,140
സാർ.,137
അതെയോ?,137
ഗോ..,135
പോകൂ.,133
എന്തു പറ്റി?,131
പക്ഷെ...,130
ശരിയാണ്.,130
മതി.,129
വളരെ നന്ദി.,129
പെട്ടെന്ന്!,126
നീ...,126
അരുത്.,125
സാരമില്ല.,125
ഇത്...,121
വേണ്ടാ!,119
എന്തേ?,118
ഇരിക്ക്.,116
എന്തുകൊണ്ട്?,116
ഓകെ.,115
നില്‍ക്കൂ!,115
എന്നോട് ക്ഷമിക്കൂ.,114
ഞാനോ?,114
അറിയാം.,113
