sentence,count
Ya.,38861
Tidak.,22485
Apa?,20303
Terima kasih.,13893
Baiklah.,12622
Hei.,7337
Cepat!,6892
Okey.,6828
Bagus.,6181
Maaf.,5594
Ayuh.,5447
Oh.,5421
Yeah.,5351
Kenapa?,5252
Tunggu.,5230
Okay.,5173
Baik.,5019
Pergi!,4773
Tak.,4470
Betul.,4453
Hello?,4183
Hey!,4014
Ayah!,3906
Maafkan saya.,3569
Mari.,3451
Berhenti!,3441
Tolong!,3423
Jangan!,3380
Tak guna!,2869
Sekarang!,2855
Hai.,2807
Apa yang berlaku?,2749
En.,2642
Saya tahu.,2526
Tolonglah.,2488
Apa itu?,2441
Sial!,2416
Mari pergi.,2415
Diam!,2342
Alamak.,2097
Jadi...,2038
Saya...,2037
Ok.,2006
Tuan.,1967
Faham?,1911
Wow.,1906
Hentikan!,1877
Lari!,1814
Bukan.,1809
"Oh, Tuhan.",1737
Ini dia.,1684
Apa ini?,1675
Huh?,1652
Saya tak tahu.,1645
Bangun!,1632
Itu dia.,1623
Jangan bergerak!,1615
Siapa?,1612
No.,1595
Saya minta maaf.,1579
"Ya, tuan.",1537
Dengar.,1512
Mak!,1509
Aku tahu.,1495
Ah!,1458
Keluar!,1439
Apa yang terjadi?,1390
Lihat.,1385
Ini.,1373
Tak mengapa.,1370
Mengapa?,1366
Sudah tentu.,1361
Hebat.,1352
"Oh, tidak.",1347
Bagaimana?,1328
Oh Tuhan.,1321
Tak apa.,1309
Hati-hati.,1297
Whoa!,1294
Ada apa?,1292
Mari sini.,1279
Berundur!,1256
Hmm.,1250
Celaka!,1244
Pergilah.,1227
Bertenang.,1227
Apa khabar?,1220
Benar.,1211
Marilah.,1207
Teruskan.,1206
Di sini.,1200
"Tidak, tidak.",1188
Aku...,1179
Jangan risau.,1169
Maafkan aku.,1167
Ibu!,1167
Betul ke?,1163
Ayo.,1142
Cukup!,1141
Tembak!,1136
Entahlah.,1114
Mungkin.,1100
Yakah?,1074
Helo.,1059
Tengok.,1054
Tak mungkin.,1047
OK.,1033
"Oh, ya.",1029
Selamat tinggal.,1024
Mari kita pergi.,1023
Oke.,1019
Saya faham.,1014
Apa dia?,1000
Aku tak tahu.,958
Sayang.,947
Saya tidak tahu.,944
Sedia?,937
Benarkah?,924
Apa tu?,898
Tapi...,894
Tak boleh.,888
Apa yang awak buat?,887
Cepatlah.,886
Duduk.,885
Bodoh!,884
Selamat malam.,881
Sini.,880
Ayuhlah.,879
Dan?,878
Tolong saya!,867
Jom.,861
Jack!,859
Awak?,855
Apa maksud awak?,850
Sama-sama.,848
Halo?,844
Jumpa lagi.,843
Lekas!,832
Jalan!,826
Selamat pagi.,817
Masuk.,816
Datang pada.,814
Bergerak!,807
Kau.,804
Untuk apa?,801
Tentu.,793
Tenang.,783
Di mana?,772
Uh...,767
Bye.,766
Apa ni?,765
Dia...,765
Biar betul.,765
Awak tak apa-apa?,750
"Tidak, tidak, tidak.",747
Hi.,738
Betulkah?,734
Silakan.,728
Apa yang kau lakukan?,725
Ya Tuhan.,721
Tahniah.,720
Itu saja.,705
Tunduk!,692
Tunggu sebentar.,686
Dengar sini.,677
Ke tepi!,665
Itu...,662
Di mana dia?,662
Sekejap.,661
Jangan bimbang.,660
Siapa dia?,656
Diamlah.,656
Hah?,656
Awak okey?,655
Tuhan.,655
"Ya, betul.",643
Tn.,642
Nah.,637
Bertahan!,636
Boleh.,635
Ikut saya.,633
Aah!,627
Tunggu sekejap.,626
Tentulah.,623
Satu.,618
Terima kasih banyak.,617
Di sana.,613
Dua.,613
Siapa itu?,612
Semoga berjaya.,608
Tepat sekali.,606
Lepaskan saya!,604
Pergi dari sini!,604
Lepaskan dia!,592
Serius?,587
Sam!,586
John.,585
Lepaskan aku!,583
Ow!,582
Selamat datang.,578
Nick.,576
Bunuh dia!,574
Tentu saja.,573
Siapa kau?,573
Oh tuhan.,570
Baguslah.,569
Aku minta maaf.,566
Mana dia?,561
Lepaskan!,560
Kapten.,558
Siapa awak?,550
Tiada.,550
Masuklah.,543
Betul tu.,540
Tolong aku!,523
Pasti.,507
tidak.,506
Mmm.,505
"Ya, ya.",504
Saya juga.,504
Sila.,503
Setuju.,503
Kenapa tidak?,497
Oh tidak.,497
Awas!,496
Jaga-jaga!,493
Tiga.,492
Um...,491
Shit.,491
Tangkap dia!,490
Sungguh?,487
Subtitle by 100Malay,486
Malaysia Subbers Crew,485
Tunggu dulu.,480
