sentence,count
Wat?,370995
Oké.,243806
Goed.,201143
Kom op.,183052
Bedankt.,152670
Waarom?,143031
Hallo.,140279
Het spijt me.,131782
Dank je.,126599
Ja?,111172
Sorry.,109344
Natuurlijk.,107375
Wat is er?,105885
Nee!,101230
Ik weet het niet.,98864
Echt?,94306
Wacht.,89581
Alsjeblieft.,85448
Verdomme.,71979
Ik weet het.,67122
Wacht even.,63384
Hier.,62820
Begrepen.,62497
Wat is dat?,62378
Dank u.,61702
Ik...,60962
Wat doe je?,60053
Echt waar?,58958
Mooi.,55023
Stop.,54477
Nu.,54313
Geen idee.,53988
Geweldig.,53852
Waarom niet?,53541
Wat is er gebeurd?,52844
Niets.,52552
Pardon?,51057
Prima.,50056
Wat is er aan de hand?,49550
Hé.,49065
Hoi.,45995
Wat is dit?,45253
Hoezo?,44601
Inderdaad.,44314
Wie?,44283
Gaat het?,44091
Vooruit.,42686
Juist.,42247
Luister.,41939
Precies.,40842
Kom hier.,40204
En?,39037
Dat weet ik.,38855
Wat bedoel je?,38812
Dat klopt.,38596
Ik ook.,38308
Kom mee.,37667
Kom.,36835
Kijk.,36300
Ga zitten.,35994
Hoe gaat het?,35804
Oh.,34942
Ik hou van je.,34617
Schiet op.,34605
Waar heb je het over?,34460
Ga.,33279
Misschien.,31951
Jij.,31634
Hou op.,31601
Klaar?,31574
Weet je wat?,31178
Ga weg.,30400
Dank je wel.,30331
Jawel.,30057
Je hebt gelijk.,29266
Waar?,28979
Nou...,28928
Laten we gaan.,28794
Is dat zo?,28789
Alles goed?,28766
Tot ziens.,28660
We gaan.,28577
Goed zo.,28502
Goed dan.,27066
Niet doen.,26968
Zeker.,26149
"Ja, meneer.",25968
Dag.,25668
"Nee, nee.",25374
Kom binnen.,25181
Ik moet gaan.,25176
Het is goed.,25064
Shit.,25041
Wat wil je?,25021
Geen probleem.,24966
Help.,24863
Rustig.,24721
Nog niet.,24600
Waar ga je heen?,24568
Dus...,24512
Wie ben jij?,24499
En jij?,24474
Wat gebeurt er?,24307
Graag gedaan.,24095
Hoe?,24088
Mijn God.,23773
Tuurlijk.,23566
Daar.,23522
Wat doe jij hier?,23306
Zeker weten.,23053
Oke.,22937
Goedemorgen.,22934
Jezus.,22887
Wegwezen.,22772
Ik begrijp het.,22723
Maak je geen zorgen.,22708
Wie is dat?,22486
Niks.,22315
Alstublieft.,22271
Waar is hij?,22227
Gefeliciteerd.,22061
Snel.,22039
Echt niet.,21724
Dat weet ik niet.,21678
Weet ik.,21585
O ja?,21421
Hoe bedoel je?,21313
Wat dan?,20658
Papa.,20658
Weet ik niet.,20475
Hey.,20247
Wat was dat?,19947
Help me.,19651
Absoluut.,19626
Wat doe je hier?,19593
"Ja, natuurlijk.",19417
Maar...,19196
Klopt.,19017
Waar ben je?,18981
Klootzak.,18888
Mam.,18766
Wat is het?,18616
Ik ben zo terug.,18586
Niet echt.,18487
Laat maar.,18454
Ga je gang.,18439
Rustig maar.,18080
Natuurlijk niet.,18046
Heel goed.,18044
Waarvoor?,17931
Weet je het zeker?,17836
Hoe weet je dat?,17459
Wat ben je aan het doen?,17429
Dat is het.,17397
"Oh, mijn God.",16882
Nooit.,16853
Rustig aan.,16696
Genoeg.,16689
Zie je?,16598
Sta op.,16111
Excuseer me.,15892
Dat kan niet.,15705
Daar gaan we.,15700
Goed gedaan.,15664
Wanneer?,15527
Ik ook niet.,15456
Mama.,15434
Neem me niet kwalijk.,15343
Kijk uit.,15265
Ik begrijp het niet.,15263
Dat is goed.,15215
Komaan.,15213
Jij ook.,15157
Voorzichtig.,15104
Helemaal niet.,15060
Ik snap het.,14911
Meneer?,14886
Wat denk je?,14874
Pap.,14727
Laat me los.,14701
Waar is ze?,14673
Niet waar.,14561
Alles.,14516
Wat heb je gedaan?,14496
Dank u wel.,14301
Perfect.,14246
Nou en?,14148
Achteruit.,14115
Serieus?,14115
Deze kant op.,14052
Fantastisch.,13983
Ben je gek?,13980
Welterusten.,13880
Toch?,13716
"O, ja.",13714
Aangenaam.,13628
Rennen.,13576
We moeten gaan.,13559
Doe het.,13545
Wat ga je doen?,13488
Ga door.,13423
Alles in orde?,13409
Het is al goed.,13344
Hou je mond.,13281
Prachtig.,13113
Verdorie.,13039
Wacht eens even.,13036
Ik kan het niet.,13036
Jazeker.,13036
Het spijt me zo.,12998
Niemand.,12970
Dat meen je niet.,12957
Niet?,12916
Luister naar me.,12829
Eruit.,12684
Mijn god.,12679
Dat kan ik niet.,12613
Wie is daar?,12569
Ok.,12531
Hij is dood.,12459
Leuk.,12402
Hoeveel?,12382
Politie.,12335
Goedenavond.,12286
Wat betekent dat?,12262
Hou je kop.,12243
Ga maar.,12237
Ben je in orde?,12209
Meen je dat?,12172
Dat is alles.,12167
Ik meen het.,12109
Stil.,12066
Ik niet.,12053
Hoor je me?,12036
Ik kom eraan.,12011
Opschieten.,11970
"Nee, dank je.",11969
"Oh, ja.",11902
Het is in orde.,11883
Hoe heet je?,11877
Onzin.,11830
Weet je?,11734
Kijk me aan.,11720
God.,11688
Ik ben het.,11662
Ik wel.,11613
"Nee, nee, nee.",11454
Jongens.,11449
Wat nu?,11435
Zo.,11424
Proost.,11413
Succes.,11382
Wat zei je?,11354
Het is voorbij.,11310
"Ja, hoor.",11283
Niet te geloven.,11274
Vuur.,11250
Het komt wel goed.,11174
Het is oké.,11154
Mooi zo.,11153
Dat is niet waar.,11127
Dat is geweldig.,10969
Kom terug.,10917
Wat moet ik doen?,10905
Ongelooflijk.,10826
Kop dicht.,10817
Dat is waar.,10666
Rot op.,10643
Zie je wel?,10563
Kom maar.,10424
Toe maar.,10404
Dat ben ik.,10382
Amen.,10361
Blijf hier.,10346
Twee.,10335
Graag.,10330
En dan?,10274
Hebbes.,10235
Wat zeg je?,10222
"Ja, sir.",10167
Wees voorzichtig.,10057
"Ja, ja.",10045
Mrs.,10037
Lopen.,10010
"Oh, nee.",9973
Ik ben hier.,9945
Morgen.,9911
Ik weet 't niet.,9907
Laat me met rust.,9888
Daar is hij.,9870
"Nee, bedankt.",9851
Waarover?,9834
Niet bewegen.,9826
Kan ik u helpen?,9818
Blijf staan.,9768
Doe ik.,9766
Hoe dan?,9765
