sentence,count
Dziękuję.,611964
Dobrze.,606596
Przepraszam.,583928
Nie!,564881
Tak?,531044
W porządku.,444714
Nie wiem.,400430
Dobra.,357592
Cześć.,327914
Dzięki.,309838
Proszę.,307107
Naprawdę?,304032
Dlaczego?,283221
Hej.,273043
Wiem.,270182
Jasne.,259653
Cholera.,248317
Oczywiście.,222741
Co się stało?,201337
Halo?,173246
Chodź.,170246
Świetnie.,168349
Wszystko w porządku?,160374
Co się dzieje?,155201
Przestań.,153949
Rozumiem.,153130
Ok.,147591
Nic.,145688
Słucham?,138904
Ja...,135157
Tak jest.,133121
Co to jest?,128379
O mój Boże.,126734
Przykro mi.,123911
Co robisz?,121170
Czekaj.,115088
Idziemy.,109575
"Nie, nie.",108863
Kurwa!,105896
Zgadza się.,104028
Zamknij się!,103363
Dalej!,102112
Boże.,101589
Chodźmy.,101459
Tato!,100767
Nie mogę.,100036
O co chodzi?,99271
Tutaj.,98769
Spokojnie.,98710
O Boże.,97604
Mamo!,96990
Serio?,95391
Co to?,94533
Co jest?,92917
Wiesz co?,89830
Szybko!,89485
Dokładnie.,88629
Pewnie.,88489
To prawda.,86795
Kocham cię.,86676
Daj spokój.,84262
Teraz.,83105
Ja też.,79929
Więc...,79136
No dalej.,78754
Racja.,78617
Zaczekaj.,77715
Czemu?,75953
To dobrze.,75780
Prawda?,75504
Widzisz?,75341
Gdzie?,74571
OK.,74417
Witam.,73820
O czym ty mówisz?,73692
Dobranoc.,73662
Właśnie.,73255
Super.,71207
Pomocy!,70496
Ty.,69918
Poważnie?,69406
A ty?,69037
Jezu.,68401
Rozumiesz?,68150
Masz rację.,66836
Jak?,65667
To wszystko.,64928
Nie rozumiem.,64593
Posłuchaj.,63621
Co masz na myśli?,62506
Idź.,61907
Po co?,60782
Na pewno?,60620
Nie martw się.,59668
Nic ci nie jest?,59573
Kim jesteś?,59168
Chwileczkę.,58978
No.,57820
Taa.,57727
Może.,57010
Co ty robisz?,56701
Już dobrze.,56280
Szybciej!,56120
Wspaniale.,55573
Nieważne.,55123
Co takiego?,54956
Już!,53720
Proszę bardzo.,53647
"Nie, nie, nie.",53567
Stój!,53296
Ale...,53291
Czego chcesz?,52188
Do zobaczenia.,52172
Powodzenia.,51383
To ja.,51366
No dobra.,51167
Pa.,51012
O nie.,50335
Oh.,49445
Gdzie jesteś?,48889
Jeszcze nie.,48317
Słuchaj.,48177
Wcale nie.,48176
Wybacz.,48110
O tak.,47587
Kto to?,47454
Mój Boże.,47336
Cóż...,47147
I?,46846
Nie ma sprawy.,46580
Nie ruszaj się.,46261
Jak to?,46182
Gdzie on jest?,45746
To...,45492
Poczekaj.,45100
Nigdy.,44792
Wstawaj.,44353
Uspokój się.,44072
Co to było?,43958
Tędy.,43943
Nic mi nie jest.,43933
Okay.,43702
