sentence,count
Não.,2112918
Certo.,862702
Vamos.,705920
Obrigado.,692259
Tudo bem.,605291
Sim?,389670
Está bem.,382242
Obrigada.,375801
Oi.,372158
É.,366283
Claro.,343014
Por quê?,327726
Olá.,324843
Meu Deus!,315254
Eu sei.,294830
Não sei.,284885
Desculpe.,279497
Por favor.,273338
Sério?,261745
Ótimo.,246023
Ei!,235567
Espere.,226508
Você está bem?,205570
O que é isso?,202754
Merda!,198246
Sinto muito.,193425
Ok.,191280
Bem...,185689
Eu...,180172
Nada.,178729
Pare!,175084
Está tudo bem.,174578
O que?,173644
Vamos lá.,172927
Eu não sei.,170861
Droga!,166762
O que foi?,165814
Alô?,163264
"Não, não.",157947
Isso.,151729
O que está fazendo?,149970
Muito bem.,145411
Como?,144437
Agora!,142979
Com licença.,140506
Aqui.,132496
Tchau.,127958
Bom.,126208
Então...,124462
Oh!,123634
Boa noite.,123185
O que aconteceu?,121072
Venha.,114981
Bom dia.,110286
Quem?,107542
Você.,105666
Não se preocupe.,102948
É mesmo?,101985
Pai!,101299
O que está acontecendo?,99951
Mãe!,99421
Eu também.,95880
Isso mesmo.,90388
Por que não?,88349
Quem é você?,85090
Senhor.,84440
Pronto.,84005
Vai!,83488
E você?,82098
Estou bem.,81581
Legal.,80413
Como assim?,80327
Socorro!,80209
Cuidado!,79527
Entre.,78822
Tem certeza?,75578
E?,75374
É verdade.,75192
Vá.,75184
Talvez.,74583
O que é?,74312
Sente-se.,73817
"Não, não, não.",73296
Deus!,70308
Onde?,70129
Rápido!,69422
Não posso.,68214
"Oh, meu Deus.",68189
É isso.,67732
Nossa!,67394
O que houve?,67267
Muito obrigado.,66711
Como vai?,66034
Quer saber?,65341
Adeus.,64787
Aqui está.,63663
Exatamente.,63016
Espera.,61528
Qual é?,61461
Ah!,61191
Entendeu?,60403
Mesmo?,60060
Papai!,59779
Eu te amo.,58867
Quem é?,58545
Desculpa.,58541
Estou.,58234
Do que está falando?,56992
O que quer dizer?,56974
Calma.,56891
"Sim, claro.",56843
Srta.,56602
Com certeza.,56474
Entendo.,56091
Por que?,55796
Parabéns.,55457
Verdade?,54742
Olhe.,54379
Porra!,54254
Venha aqui.,52613
