sentence,count
Sim.,1106346
Não.,1053464
Está bem.,469600
Obrigado.,345322
Olá.,319948
Vamos.,295219
Não sei.,202719
Meu Deus!,194216
Certo.,190687
A sério?,183332
Porquê?,179940
Obrigada.,161549
Claro.,157983
Muito bem.,150373
Desculpa.,149911
Eu sei.,142519
Por favor.,140390
Merda!,131743
Tudo bem.,121920
Estás bem?,107324
Espera.,104619
Óptimo.,104136
Desculpe.,101212
Está tudo bem.,97402
Vá lá.,89713
O que foi?,89099
Adeus.,84592
Nada.,84258
Eu...,84256
Bem...,82528
Pois.,82130
Estou?,80318
"Não, não.",74425
Ok.,73581
O que se passa?,72313
Então?,71886
"Sim, senhor.",66378
Pai!,64145
Como?,63627
Vai!,63488
Vamos lá.,60584
Agora!,60245
Pronto.,59463
Mãe!,54807
Anda.,54455
Pára!,52998
O que estás a fazer?,52690
Boa.,51738
O que é?,51082
Quem?,50917
Boa noite.,50679
Com licença.,48818
É.,48633
O que aconteceu?,48198
O que é isto?,47863
Bom dia.,47366
É verdade.,45694
Cala-te!,45652
O que é isso?,44081
Aqui.,43860
Lamento.,43307
Ei!,41731
Cuidado!,41179
Estou bem.,39998
Porra!,39720
Espere.,39474
Olha.,39026
Entendido.,38210
Socorro!,37761
"Não, não, não.",37761
Isso mesmo.,37234
Talvez.,36492
Não posso.,36076
Eu também.,35548
Bom.,35141
E?,34989
Oh!,34302
Não te preocupes.,34270
Calma.,33957
Raios!,33844
Onde?,33368
Senhor?,33311
Tu...,33186
Que se passa?,33109
Toma.,32842
Mr.,31255
"Sim, claro.",30431
"Oh, meu Deus.",30028
E tu?,29750
Foda-se!,29479
Sinto muito.,29362
Porque não?,29315
Depressa!,28946
Muito obrigado.,28779
Não faz mal.,28703
Exactamente.,27983
Como estás?,27473
Como assim?,27333
Vamos embora.,27157
Esperem.,27013
Parabéns.,26707
Ouve.,26682
Isso.,26273
Tens a certeza?,26121
Tens razão.,26009
Mas...,25998
Anda cá.,25866
Pare!,25826
Sou eu.,25608
Por aqui.,25281
É isso.,25200
Claro que não.,24993
Quem é?,24990
Bolas!,24866
E depois?,24813
Sabes que mais?,24797
Ainda não.,24308
O que?,24218
Com certeza.,24052
Rápido!,24022
Vá.,23969
De nada.,23828
Senta-te.,23817
Eu não sei.,23812
Tenho de ir.,23633
Entra.,23598
"Sim, sim.",23430
Amo-te.,23138
Parem!,22732
Desculpem.,22315
Boa sorte.,22179
Nunca.,22020
Acho que sim.,21928
Quem és tu?,21442
E então?,21179
Vês?,20964
Pois é.,20809
Caramba!,20588
Já!,20573
Ainda bem.,20442
Está?,20358
Fixe.,20336
Jesus!,20282
Deus!,20220
Ótimo.,20184
Vem cá.,20013
Para quê?,19939
Céus!,19686
Vão!,19670
Que estás a fazer?,19670
Nem pensar.,19435
Claro que sim.,19404
Que foi?,19386
Exacto.,19194
Eu não...,19189
Já chega.,18938
Até logo.,18867
Levanta-te.,18861
Aqui está.,18845
"Não, obrigado.",18812
Fantástico.,18698
Entre.,18531
Não é?,18458
Anda lá.,18448
Olha para mim.,18442
Não há problema.,18278
Como está?,18273
"Oh, não.",18234
Esquece.,18150
Para trás!,18131
Mexam-se!,17977
Querida.,17954
Perfeito.,17948
Prometo.,17871
E agora?,17439
Qual é o problema?,17415
Por quê?,17402
Onde estás?,17238
Quando?,17238
Excelente.,17225
Ali.,17220
Quem é você?,17113
Sai!,16944
Sabes?,16853
Peço desculpa.,16566
Não acredito.,16474
Estás a brincar?,16374
Força.,16321
"Sim, eu sei.",16255
Papá!,16237
Que bom.,16161
Bom trabalho.,16090
Estou aqui.,16075
Para!,16057
Credo!,15997
Fogo!,15850
Sente-se.,15818
Já está.,15625
OK.,15588
Sam!,15559
Jack!,15540
Graças a Deus.,15485
Acabou.,15460
Onde vais?,15430
O que queres dizer?,15336
Onde está?,15266
Estou a ver.,15111
Mamã!,14960
Não se preocupe.,14837
Continua.,14680
Chega!,14613
É ele.,14594
Espera aí.,14504
John.,14261
Não consigo.,14187
Olha para isto.,14161
Vem.,14076
Ah!,14049
Tudo.,13935
O que achas?,13908
Não faço ideia.,13811
Saúde.,13733
Acho que não.,13666
Venha.,13662
Ai sim?,13474
Perdão?,13466
Vai-te foder!,13448
Onde está ele?,13365
Verdade?,13356
"Não, senhor.",13209
Eu estou bem.,13174
O que está a fazer?,13108
Não importa.,12997
Acalma-te.,12946
Sai daqui!,12933
Só isso.,12768
Larga-me!,12747
"Vamos, vamos.",12582
Quê?,12567
Eu sabia.,12520
Tem calma.,12272
Pára com isso.,12227
Ninguém.,12212
Tenho.,12198
Que aconteceu?,12185
Do que estás a falar?,12183
Filho da mãe!,12175
Não faças isso.,12163
Posso?,12135
Silêncio!,12078
O que queres?,11976
Compreendo.,11970
Eu amo-te.,11962
Uau!,11961
Lamento muito.,11945
O que fazes aqui?,11929
Despacha-te.,11906
Outra vez.,11877
Meu!,11810
Sério?,11796
Afastem-se!,11789
Não me parece.,11776
Não te mexas.,11768
Capitão.,11716
Um.,11682
Nem por isso.,11638
Três.,11627
Temos de ir.,11619
Porreiro.,11598
PT-Subs Rips,11515
Ajuda-me.,11504
Idiota!,11499
Viva.,11431
Dois.,11409
Ajudem-me!,11327
Isso é bom.,11314
Vai correr tudo bem.,11304
Michael.,11218
Oi.,11211
Corre!,11187
Vai-te embora.,11180
"Olá, querida.",11103
É isso mesmo.,11065
Vai-te lixar!,11001
Não percebo.,10986
Acorda.,10965
Eu vou.,10933
