sentence,count
Da.,2497406
Nu.,1702768
Bine.,1255177
Ce?,707698
Mulţumesc.,513980
Haide.,472971
De ce?,332454
Bună.,327778
Îmi pare rău.,283046
Nu ştiu.,271470
Hei!,270941
Poftim?,236864
Serios?,216707
La naiba!,213003
Dumnezeule!,193507
Ce faci?,191741
Să mergem.,175773
Alo?,172816
Ştiu.,170450
Sigur.,169528
În regulă.,166915
Te rog.,166489
Doamne!,154082
Ce s-a întâmplat?,149257
Multumesc.,133130
Nimic.,132947
Stai.,131997
Scuze.,125435
Acum!,118101
Oh.,117910
Rahat!,116341
Eu...,115691
Hai!,113675
Desigur.,112770
Eşti bine?,108392
"Nu, nu.",106486
Bun.,100011
Ce e?,97923
Ok.,97574
Cum?,94688
Exact.,94307
Salut.,92893
Mersi.,91322
E în regulă.,90301
Uite.,89410
Ce se întâmplă?,88938
Du-te.,88761
Tu?,88571
"Da, domnule.",88564
Tată!,87372
Gata.,83034
Pa.,82514
Aşteaptă.,81931
Ce este?,81882
Aici.,80183
Mamă!,79825
Ajutor!,79034
Te iubesc.,78189
Nu pot.,77212
Dr.,76328
Corect.,76184
Foarte bine.,76013
Ba da.,72907
Ce vrei să spui?,71907
"Nu, nu, nu.",70270
Vino.,69448
Cine?,69287
La revedere.,69156
De ce nu?,68958
Minunat.,68860
Aşa.,67870
Unde?,67795
Am înţeles.,67560
Sunt bine.,67006
Grozav.,64907
Aşa e.,64884
Nu stiu.,64490
Vezi?,64085
Asta e.,63426
Vino aici.,63048
Ce mai faci?,63020
Haideţi!,62990
Ai dreptate.,62677
Scuză-mă.,62334
Şi?,61445
Înţeleg.,61359
Taci!,60678
Opreşte-te!,60394
E bine.,58576
Noapte bună.,57904
Deci...,57426
Domnule.,56935
OK.,53547
Ce-i asta?,53257
"Oh, Doamne.",52120
Repede!,51287
Poate.,50726
Ascultă.,48791
"Da, da.",48786
Stai puţin.,48006
Ei bine...,47804
Pleacă.,47233
Trebuie să plec.,46542
Iisuse!,46251
Ai grijă.,46186
Intră.,45933
Şi eu.,45795
Scuzaţi-mă.,45713
Vă rog.,45710
Unde te duci?,45679
Ce vrei?,45450
Unde e?,44979
Dar...,44310
Ce e asta?,43725
Bună ziua.,43486
Pe bune?,43094
Ce naiba?,42405
Pentru ce?,41888
Perfect.,41473
"Bine, bine.",41279
Stai jos.,41102
Nu se poate.,41003
Buna.,40743
Pe aici.,40612
Acolo.,40533
Ce faci aici?,40134
Glumeşti?,39844
Cu plăcere.,39529
Cine e?,39433
Înapoi!,39341
Dă-i drumul.,39031
Noroc.,38790
Nu contează.,38636
Bravo.,38371
Nu înţeleg.,38137
Ascultă-mă.,37338
Bună dimineaţa.,37253
Felicitări.,37016
Stiu.,36887
Ba nu.,36644
"Da, sigur.",36015
Ştii ceva?,35681
Fugi!,35552
Nu-i nimic.,35323
Super.,34975
Niciodată.,34833
"Da, dle.",34652
Ah!,34294
Cine eşti?,34175
Ai înţeles?,33855
Bineînţeles.,33540
Încetează!,33471
"Oh, da.",33458
Este...,33429
Ce anume?,33383
Mda.,33315
La dracu!,33018
Eu sunt.,32969
Despre ce vorbeşti?,32753
Te simţi bine?,32301
"O, Doamne!",32237
Spune-mi.,32178
Nu cred.,31980
Ridică-te.,31930
Ştii ce?,31199
Ajunge!,31194
Eşti sigur?,31031
Nu-i aşa?,30924
