sentence,count
Эй!,67866
Правда?,60247
Я...,51129
Я не знаю.,37379
Пожалуйста.,35138
Я знаю.,34640
Прости.,33698
Ничего.,33654
Что случилось?,31872
Точно.,30629
Хорошо?,27575
Пошли.,27564
А?,26944
Нет?,26297
Извините.,25705
Ясно.,25394
Ты в порядке?,23107
Так.,22828
Черт!,22734
Да...,22559
"Нет, нет.",21630
Извини.,21514
Верно.,21123
Привет!,20393
О!,20147
Вот.,19703
Вот так.,19199
Подожди.,19174
Мама!,18606
Давай!,18456
Ты...,18042
Это...,17794
Понятно.,17098
Боже мой.,16916
Папа!,16449
"Да, сэр.",16316
Стой!,16084
Все в порядке.,15508
Чёрт!,15071
Знаю.,14990
И?,14938
Хватит!,14897
Но...,14759
"Да, конечно.",14308
Заткнись!,14260
Что такое?,14103
"О, Боже.",13950
"Нет, нет, нет.",13655
Я тоже.,13523
Спасибо!,13232
Иди сюда.,13211
Как?,13146
Понял.,13098
Серьезно?,12816
Сюда.,12613
"О, нет.",12236
Кто это?,12159
Ладно?,12058
Я не могу.,11963
"О, да.",11786
Смотри.,11568
Прекрасно.,11352
Это правда.,11339
Помогите!,11319
Чего?,11263
А что?,11215
Не надо.,11168
Прошу прощения.,11163
Сейчас.,11120
Как дела?,11115
Все хорошо.,11056
"Да, да.",10850
Я люблю тебя.,10806
Подождите.,10742
Вперед!,10500
Спокойной ночи.,10495
Сэр.,10468
Именно.,10274
Ох.,10269
Простите?,10214
Возможно.,10179
Где?,10129
Видишь?,10124
Быстрее!,10101
И что?,10095
Поехали.,10072
Всё в порядке.,9992
До свидания.,9911
Боже!,9898
Иди.,9864
Есть.,9766
Знаешь что?,9728
Господи.,9588
Я в порядке.,9471
Да ладно.,9465
Мне жаль.,9383
Алло.,9326
Что ты здесь делаешь?,9320
Прекрати!,9315
Пойдем.,9248
Ну?,9234
Ну да.,9222
Ого.,9069
Отлично!,9042
А ты?,9028
Ой!,8995
Всё хорошо.,8980
Итак...,8793
"Нет, спасибо.",8783
В чем дело?,8762
Правильно.,8736
Идем.,8687
Ух ты.,8546
Ну же.,8500
Что это значит?,8476
Это я.,8437
Окей.,8420
Слушай.,8406
Погоди.,8049
Я понимаю.,7898
Послушай.,7857
Просто...,7856
Давайте.,7837
Никогда.,7810
Где он?,7768
— Да.,7745
Вау.,7692
Как ты?,7642
Успокойся.,7585
Круто.,7568
Серьёзно?,7566
Мне очень жаль.,7533
Внимание!,7517
Не волнуйся.,7413
Поздравляю.,7382
Здесь.,7374
Неужели?,7366
Я не понимаю.,7316
Хм.,7219
Молодец.,7167
Стойте!,7092
Все нормально.,7065
Мам!,7042
Почему нет?,6991
"О, боже.",6990
да?,6946
Идём.,6900
Угу.,6895
Большое спасибо.,6849
Стоп!,6842
Не может быть.,6834
Удачи.,6725
Понимаешь?,6703
Ага!,6554
Замечательно.,6548
Что...,6542
Тихо!,6535
Куда?,6515
Отец!,6510
Вперёд!,6496
Конечно!,6443
Когда?,6441
Прошу.,6439
Не могу.,6365
Ты прав.,6362
Осторожно!,6361
Очень хорошо.,6359
Всё нормально.,6336
В чём дело?,6309
Я просто...,6209
Увидимся.,6201
Понимаю.,6128
О боже.,6101
Вот как?,6097
Быстро!,6069
Он...,5969
Может быть.,5912
Все.,5891
Так и есть.,5850
Что вы делаете?,5818
Перестань.,5799
Уходи.,5786
Смотрите.,5758
Ну ладно.,5745
Благодарю.,5710
Назад!,5707
Вставай.,5706
Что это было?,5705
Невероятно.,5680
Что с тобой?,5644
Доктор!,5635
Ура!,5633
Это невозможно.,5565
Это он.,5565
Проклятье!,5536
Садись.,5478
Нормально.,5454
Прости меня.,5435
Да уж.,5381
Вы...,5377
Где она?,5370
Ах!,5298
Добрый вечер.,5276
Добрый день.,5256
Постой.,5238
Я здесь.,5221
Оу.,5214
О чем ты говоришь?,5165
Стоять!,5136
"О, Господи.",5135
Пока!,5120
Обещаю.,5119
Это хорошо.,5106
Пойдём.,5093
За что?,5079
Что ты имеешь в виду?,5069
Ни за что.,5063
"Да, я знаю.",4992
Что-то не так?,4975
Вот именно.,4969
О Боже.,4963
Сэм.,4942
Не за что.,4914
Я понял.,4827
Я не...,4788
Ммм.,4781
Беги!,4749
Кто ты?,4736
Добро пожаловать.,4717
Где ты?,4665
Что произошло?,4664
— Нет.,4661
Так что...,4649
Полиция!,4645
Аминь.,4605
Договорились.,4587
Всё.,4578
Дерьмо.,4547
Ха!,4544
Сколько?,4517
Что ж...,4465
Продолжай.,4457
Неплохо.,4430
Ты права.,4430
Ты шутишь?,4427
Не совсем.,4418
Э...,4398
Согласен.,4395
Неважно.,4373
Мы...,4368
"Хорошо, хорошо.",4334
"Нет, сэр.",4322
Сейчас же!,4312
В смысле?,4306
