sentence,count
ඔව්.,7250
හරි.,5095
නෑ.,3838
මොකක්?,2350
එන්න.,2061
එපා!,1767
යන්න!,1409
හොඳයි.,1379
හේයි.,1339
ඇයි?,1336
ස්තූතියි.,1269
සමාවෙන්න.,1137
නියමයි.,1130
නැහැ.,1072
මට සමාවෙන්න.,1059
ස්තුතියි.,957
මොකද?,935
හෙලෝ.,915
මම...,864
ඉන්න.,818
ඔහ්.,789
අපි යමු.,779
ආ...,764
ඒයි!,752
සර්.,749
හරිද?,723
තාත්තේ!,710
හොදයි.,646
හායි.,614
යමු.,612
බලන්න.,610
ඇත්තට?,605
කොහොමද?,531
ඉතින්...,524
හලෝ.,521
අනේ.,521
ඔයා...,507
මම දන්නවා.,505
ඉක්මනට!,497
ඇත්තටම?,483
ආහ්!,480
ඔයා හොඳින්ද?,461
දෙවියනේ!,450
කරුණාකරලා.,445
කියන්න.,410
ඉක්මන් කරන්න.,406
අහ්...,405
එහෙමද?,386
මොකද්ද?,373
දැන්...,370
කවුද?,367
තාත්තා!,366
ඔයා හොදින්ද?,364
ඒක...,354
ඒත්...,343
අම්මේ!,338
ඕහ්!,336
නැ.,327
මෙන්න.,327
ඒක හරි.,317
මොකද වුනේ?,313
අම්මා!,313
බෑ.,313
බායි.,304
අයියෝ.,303
වාව්.,302
හ්ම්...,300
දුවන්න!,298
ඒකට කමක් නෑ.,298
පොඩ්ඩක් ඉන්න.,292
නවතින්න!,290
හ්ම්ම්.,290
අපොයි!,288
ඔහොම ඉන්න.,284
හා...,282
මම දන්නෙ නෑ.,281
හහ්?,280
නවත්තන්න!,279
ඔවු.,277
ජැක්!,270
යනවා!,268
අරලිය ඩිවීඩි සෙන්ටර් ඉදිරිපත් කිරීමක්.,261
බලාගෙන!,260
ෂිට්!,256
හෙයි.,252
දැන්ම!,249
ඒ මොකක්ද?,246
නැගිටින්න.,243
අහන්න.,242
මොකටද?,240
මොකද උනේ?,240
මම දන්නේ නැහැ.,237
දෙයියනේ!,235
හේ,228
උදව් කරන්න!,225
මේ...,224
ඕ...,217
එච්චරයි.,213
ඔයා කවුද?,213
ජේක්!,212
මේ මොකක්ද?,209
මොකක්ද ඒ?,206
මගේ !,205
ඔව්∙,203
මට බෑ.,200
මට...,199
එනවා.,198
මේ බලන්න.,196
අන්න හරි.,194
නවත්වන්න!,187
කොහෙද?,184
ම්...,180
ඔයා හරි.,171
මම දන්නේ නෑ.,170
කවුද ඒ?,169
හරි හරි.,169
මෙහෙට එන්න.,168
ඒක හොඳයි.,168
ම්ම්.,167
අහ්හ්!,164
මම ඔයාට ආදරෙයි.,163
හරි එහෙනම්.,163
"ඔව්, සර්.",163
ඔව් සර්.,162
තේරුනාද?,161
තේරුණාද?,158
එහෙම නේද?,155
හරි∙,155
මම හොඳින්.,154
විනාඩියක් ඉන්න.,153
සන්සුන් වෙන්න.,152
ආව්!,151
අපි...,148
ඉතිං...,148
ඇති.,147
මුකුත් නෑ.,146
දැක්කද?,145
ඇත්තද?,144
මට කණගාටුයි.,143
මෝඩයා!,143
ඔයා දන්නවද?,142
ඔයාට කොහොමද?,142
මොකද වෙන්නේ?,142
මාව විශ්වාස කරන්න.,142
ඇත්තෙන්ම.,141
මං දන්නවා.,141
පෝල්...,141
මේක...,140
ඔහ්හ්.,140
ම්ම්ම්.,140
මෙහෙ එන්න.,139
"හරි, හරි.",138
සහෝදරයා.,137
ඒක නියමයි.,136
මේ පැත්තෙන්.,133
මයික්.,133
සෑම්.,133
මගුල.,133
නවතිනවා!,133
අනිවා.,132
හරි සර්.,132
ආයුබෝවන්.,132
"නෑ, නෑ.",131
මොනවද?,127
කට වහනවා!,127
