sentence,count
Ja.,504115
Ne.,498771
Kaj?,279058
Hvala.,242867
Prav.,184250
Dobro.,151866
V redu.,138085
Da.,128006
Ne vem.,114701
Seveda.,102770
Zakaj?,102431
Res?,98227
Gremo.,91636
Prosim?,89615
Hej.,80935
Sranje.,78050
Oprosti.,76379
Pridi.,67948
Vem.,67616
Kaj je to?,61555
Oprostite.,61403
Žal mi je.,59211
Živjo.,54703
Kaj je?,49114
Kaj se dogaja?,48565
Zdravo.,46955
Tako je.,46859
Halo?,46659
Razumem.,45589
Si v redu?,40244
Nič.,40182
Počakaj.,40023
Daj no.,39251
Prekleto!,37613
Nehaj!,35556
Adijo.,35547
Dajmo!,35363
"Ne, ne.",35348
V redu je.,34261
Kaj se je zgodilo?,33287
Jaz?,32735
Pojdi.,32560
Odlično.,31187
Super.,29106
Mojbog.,28535
Ne morem.,28277
Greva.,27322
Kako?,26803
Res je.,26655
Pridi sem.,26598
Utihni!,26021
Oh.,25860
In?,25385
Takoj!,25358
Kaj počneš?,25255
Sem.,25123
Čakaj.,24768
Kje je?,24587
Stoj!,24160
Kako si?,23647
Kaj je narobe?,23505
Tako.,23034
Hitro!,22946
Poglej.,22917
Kdo?,22377
Daj.,22152
Mama!,22149
Kaj delaš?,21831
Gospod.,21765
Torej...,21705
Ti?,21050
Lepo.,20941
Tukaj.,20852
"Da, gospod.",20777
Lahko noč.,20709
Resno?,20487
To!,20436
Zakaj ne?,20319
Na pomoč!,20308
Poslušaj.,20186
Ok.,19762
Ne skrbi.,19301
Pomiri se.,19281
Razumeš?,18986
Krasno.,18816
Oče!,18770
Jezus.,18429
Vidiš?,18275
Izvoli.,18090
Zdaj!,18088
Točno.,18059
Ne razumem.,17734
Kdo je to?,17478
Prav imaš.,17267
Ga.,17123
Dobro jutro.,16936
Kam greš?,16791
Očka!,16695
No...,16687
Živijo.,16647
Počasi.,16471
Ljubim te.,16187
Jebi se!,16028
Je že v redu.,15852
To je to.,15831
"Ne, ne, ne.",15799
Kako to misliš?,15739
"Ne, hvala.",15706
Jaz tudi.,15683
Kje?,15612
Pohiti!,15561
OK.,15216
Dovolj!,14852
Pazi!,14527
Tukaj je.,14403
Veš kaj?,14381
Sedi.,14131
Nisem.,14093
Mogoče.,14081
Vse je v redu.,13781
Neverjetno.,13672
Gdč.,13645
Ven!,13630
O čem govoriš?,13488
Me veseli.,13427
Jaz sem.,13297
Je vse v redu?,13241
Vstani.,13178
Bom.,13161
Počakajte.,12987
Pozdravljeni.,12796
"O, ne.",12766
Vse bo v redu.,12707
Jasno?,12576
Ne morem verjeti.,12244
Kje si?,11885
Poslušaj me.,11880
Nikoli.,11851
Pridite.,11798
V redu sem.,11768
Ne še.,11641
Čudovito.,11623
Takole.,11591
Kaj to pomeni?,11580
Pozabi.,11566
Pojdimo.,11563
To je vse.,11482
Samo trenutek.,11382
"O, bog.",11257
Lahko.,11186
Kdo je?,11015
Čestitam.,11010
Samo...,11001
Mami!,10962
Hvala ti.,10924
"Ja, gospod.",10922
Si dobro?,10910
Hvala vam.,10873
Najlepša hvala.,10841
Velja.,10820
Obljubim.,10776
Bog.,10728
Jack!,10727
Poglej me.,10521
"Ja, seveda.",10483
Kaj praviš?,10483
Nazaj!,10480
Naprej.,10367
Kako ti je ime?,10260
Pojdiva.,10259
Prosim te.,10202
Pusti me!,10069
Kaj misliš?,9973
Si prepričan?,9949
Ni za kaj.,9925
Kaj je bilo to?,9881
Kaj pa?,9854
Izvolite.,9797
Umaknite se!,9757
"Daj, no.",9737
Zelo dobro.,9697
"O, mojbog.",9585
Umakni se!,9523
Glej.,9444
Kdaj?,9417
Tiho!,9297
"Ja, ja.",9269
Ni problema.,9169
Jebenti!,9153
Sam.,9135
Se vidiva.,9076
Aha.,9076
Moram iti.,9066
Dober dan.,9061
Moj bog.,8972
Kam?,8879
Nemogoče.,8834
Na zdravje.,8722
Srečno.,8693
Kajne?,8677
Je.,8551
Tam je.,8538
Konec je.,8504
Pa ti?,8501
Kako gre?,8407
Kaj pa je?,8400
Pizda!,8391
Počakaj malo.,8365
Koliko?,8363
Pomagaj mi.,8355
Kristus.,8319
Drži se.,8286
Ni res.,8259
Seveda ne.,8229
Nikar.,8229
Vse.,8224
"Oh, ne.",8214
Poglej to.,8211
Bravo.,8165
"O, ja.",8092
Kaj res?,8054
Kaj hočeš?,8019
Kako ste?,7968
Všeč mi je.,7945
Tukaj sem.,7920
Samo malo.,7916
To je...,7894
Me slišiš?,7866
Ne bom.,7859
Poglejte.,7802
Amen.,7777
Poslušajte.,7764
Povej.,7704
Policija!,7688
Iti moram.,7657
"O, moj bog.",7654
Kdo si?,7611
Dobro je.,7592
"Ne, gospod.",7520
Hudiča!,7455
Hitreje!,7432
Ampak...,7424
Tam.,7399
Ni.,7353
Točno tako.,7344
Drek.,7328
Tišina!,7322
"Veš, kaj?",7319
Zakaj pa ne?,7317
Ogenj!,7304
Kako veš?,7291
