sentence,count
Po.,42796
Jo.,30322
Mirë.,14933
Çfarë?,13761
Në rregull.,12846
Faleminderit.,12143
Hej!,6287
Nuk e di.,5429
Eja.,5002
Shkojmë.,4427
Prit.,4369
E di.,4355
Më vjen keq.,4101
Dreq!,4059
Hajde.,3949
Më fal.,3942
Pse?,3939
Dreqin!,3594
Vërtet?,3565
Të lutem.,3305
Më falni.,3179
Sigurisht.,3014
Oh.,2930
Përshëndetje.,2787
Je mirë?,2653
Jepi!,2417
Babi!,2356
Tani!,2355
"Jo, jo.",2343
Alo?,2321
Çfarë po bën?,2271
"Oh, Zot.",2267
Dakord.,2122
Bukur.,2119
Ok.,2106
Shumë mirë.,2091
Shiko.,2089
Asgjë.,2029
Unë...,2013
Ashtu?,2005
O Zot!,1962
Shko!,1948
Mos!,1910
Ndalo!,1844
Ndihmë!,1834
Ç'kemi.,1767
Qetësohu.,1763
Si?,1696
Mjaft!,1681
"Po, zotëri.",1633
Këtu.,1609
Kujdes!,1586
Zotëri.,1547
Zot!,1545
Ti?,1540
Eja këtu.,1540
Vërtetë?,1529
"Jo, jo, jo.",1510
Tung.,1480
Mami!,1472
Çfarë po ndodh?,1450
Ju lutem.,1436
Shpejt!,1424
Mirupafshim.,1402
Ndal!,1358
Çfarë është kjo?,1345
Ku?,1314
Çka?,1300
Gati?,1295
S'ka gjë.,1292
Çfarë ndodhi?,1277
Baba!,1276
Kush?,1249
Të dua.,1249
Kush je ti?,1236
Ejani!,1162
Ulu.,1161
Urdhëro.,1099
Lëviz!,1065
Ku po shkon?,1054
Lëvizni!,1047
Ikim!,1046
Përse?,1016
E di çfarë?,1006
Dakort.,1005
Vazhdo.,1004
Ja ku është.,1001
Nuk mundem.,1000
"Oh, po.",990
Falemnderit.,985
Dëgjo.,984
Ne rregull.,983
Ku është?,974
Natën e mirë.,954
Çfarë dreqin?,945
Prisni!,942
Si je?,939
Jam mirë.,922
Cfare?,921
Patjetër.,918
Ik!,917
A je mirë?,910
Mire.,903
Mos lëviz!,892
Merre.,891
Pra...,891
Ej!,890
Forca!,885
Ashtu është.,880
Çfarë ka?,871
Pse jo?,869
Kush është?,868
Kuptova.,849
Largohu!,839
"Oh, jo.",838
Kjo është.,819
Prit pak.,818
"Po, po.",814
Mbylle!,813
Ec!,810
Ah!,807
Ke të drejtë.,800
Qepe!,795
Dhe?,791
Apo jo?,787
Ndoshta.,785
Vrapo!,776
Shkëlqyeshëm.,771
Çfarë është?,768
Edhe unë.,766
Ku je?,724
Zjarr!,721
Po ti?,721
Saktë.,720
Nxito!,712
Mos u shqetëso.,710
Kthehu.,708
O Zoti im!,708
Për çfarë?,699
Me të vërtetë?,669
Këtej.,667
Ja.,662
Ndaloni!,661
Bëje.,660
Atje.,657
Në rregull është.,656
Natyrisht.,651
Në dreq.,637
Mirë je?,635
Më vjen shumë keq.,630
Zemër.,625
Por...,624
Urime.,624
"Po, sigurisht.",604
Çfarë është ajo?,603
"Oh, dreq.",603
"Jo, faleminderit.",603
Po tallesh?,602
Ngrihu!,597
Znj.,595
Çfarë do?,594
Jezus!,593
Çkemi.,593
Dreqi e mori!,588
"Oh, Zoti im.",587
"Po, e di.",575
Dil jashtë!,572
Kuptove?,571
Është në rregull.,570
OK.,570
Mrekulli.,568
Ç'është kjo?,567
Shihemi.,566
Kurrë.,561
Seriozisht?,559
Hmm.,549
Zoti im.,545
Çfarë ke?,542
Ku është ai?,538
Çfarë do të thuash?,536
Faleminderit shumë.,534
Më dëgjo.,534
Pusho!,533
Gëzuar!,524
Pikërisht.,523
"Mirë, mirë.",521
Pirdhu!,514
Djema.,514
Më ndihmo!,513
Hape.,512
Ju faleminderit.,506
Më shiko.,505
Mama!,502
E shikon?,499
Xhek!,497
Mut!,495
E pabesueshme.,494
Nisu!,491
Fantastike.,488
Krisht!,484
Të shkojmë.,481
E kuptoj.,477
Hey.,477
Gjithçka në rregull.,475
Ngadalë.,466
S'e di.,465
Qetësi!,462
Atëherë...,460
Marrje.,458
Tungjatjeta.,457
Tjeta.,456
Zgjohu!,456
Më dëgjon?,454
Të premtoj.,453
Kështu.,447
Epo...,446
Mbahu!,446
Dy.,446
Duhet të shkoj.,446
Harroje.,445
Ndalu!,443
Eja me mua.,442
Jam unë.,442
Huh?,438
Policia!,438
E kuptova.,438
Kuptoj.,437
Shikoni!,434
