sentence,count
Dobro.,539069
Hvala.,487893
Šta?,471637
U redu.,456024
Ne!,354672
Hajde.,353065
Da?,318715
Ne znam.,280715
Zašto?,267681
Zdravo.,245113
Hej!,234975
Naravno.,227631
Idemo.,226215
Stvarno?,214799
Znam.,184646
Žao mi je.,162972
Sranje!,157690
Tako je.,149924
Molim?,132633
U redu je.,131747
Što?,129503
Ok.,124959
Halo?,116932
Izvini.,116546
Ništa.,110963
Pa...,104952
Èekaj.,102239
Æao.,101300
Jesam.,99221
Ja...,97859
Oh.,95129
Molim te.,93817
Hvala ti.,92355
Bože!,90788
Šta je to?,87736
"Ne, ne.",85099
Stani!,83645
Izvinite.,82729
Tata!,81734
Mama!,78655
Jesi li dobro?,77874
Odlièno.,73957
Jeste.,73559
Aha.,71813
Šta je?,71756
OK.,71630
Hvala vam.,71152
Nisam.,69544
Šta to radiš?,68354
Ne mogu.,67760
"Da, gospodine.",65516
Nije.,65228
Да.,62945
Kako si?,59064
Super.,58480
Doði.,58089
Šta se dešava?,57896
Kako?,57783
Volim te.,57268
Šta je bilo?,56357
Ti?,56070
To je to.,55401
Evo.,55211
Laku noæ.,53920
Prestani!,53158
Šta je ovo?,51627
"O, Bože.",51516
Dobro sam.,51315
Važi.,50311
Idi.,49568
Dobro je.,49418
I?,49005
Kako to misliš?,48623
Možda.,48599
Dobro jutro.,48293
Molim vas.,47761
Odmah!,47749
Isuse!,47699
Razumem.,47647
Sjajno.,47519
Oprostite.,47175
Šta se desilo?,47006
Taèno.,46993
Oprosti.,45611
Не.,44478
"Ne, ne, ne.",43687
Zaista?,43573
DA.,43414
Vidiš?,43318
Gospodine?,42972
Prokletstvo!,42761
Nemoj.,41650
Ko?,41147
Gde?,41011
Bok.,40864
Znaš šta?,40484
To!,40445
Vidimo se.,39556
Slušaj.,38726
Ne brini.,38672
U pravu si.,37271
Sve je u redu.,37241
Drago mi je.,37193
Ali...,36901
"Da, da.",36748
Polako.,36183
Dobro si?,36143
Smiri se.,36101
"Ne, hvala.",35914
Brzo!,35265
Doði ovamo.,35128
Evo ga.,34966
Ko je to?,34910
Ja sam.,34882
A ti?,34723
Hajdemo.,34611
"O, da.",34352
NE.,34249
"O, ne.",33945
Neæu.,32918
To je sve.,32676
Upomoæ!,32638
Ko si ti?,32588
Može.,32586
Hoæu.,32362
Nema šanse.,32246
Požuri!,32235
Jebi se!,32041
Èekaj malo.,31894
Moram da idem.,31878
Nema na èemu.,31811
"Da, naravno.",31777
Ozbiljno?,31132
Dosta!,31086
Pusti me!,30384
Nema problema.,30202
Zar ne?,30127
Izvoli.,30039
Šta radiš?,29832
Što je?,29780
Pogledaj.,29682
Umukni!,29681
Sada?,29628
Vidi.,29495
Zašto ne?,29178
Ovde.,29174
Sedi.,29146
Pazi!,28728
Gde je?,28653
Jasno?,28344
Dobar dan.,28277
Svakako.,28036
I ja.,27865
Èekajte!,27722
Izvolite.,27523
Okej.,27374
Ma daj.,26888
Kako ste?,26700
Ne razumem.,26188
Znaš?,26040
Je li?,25945
Samo...,25828
Stanite!,25655
Tako.,25538
Nemam pojma.,25532
Kreni!,25424
Èestitam.,25334
Samo malo.,25202
Šališ se?,24997
Шта?,24884
A?,24643
Tamo.,24639
Divno.,24626
"Oh, Bože.",24525
Što je to?,24392
