sentence,count
Ja.,320342
Nej.,267018
Okej.,159000
Tack.,130952
Hej.,92719
Kom igen.,70969
Jag vet inte.,60262
Vad är det?,58210
Bra.,57759
Hallå?,57706
Vad?,55358
Va?,53403
Herregud.,52212
Visst.,43250
Vänta.,43004
Förlåt.,42146
Jag vet.,38481
Vad gör du?,31370
Kom.,31336
Varför?,30843
Sluta!,27590
Ursäkta.,27397
Fan!,26172
Snälla.,24905
Jaså?,23040
Jag är ledsen.,22125
Jag...,21869
Pappa!,21564
Här.,21225
Ursäkta mig.,21055
Mamma!,20932
Vad menar du?,20732
Hej då.,20313
Nu!,20050
Verkligen?,19134
Du...,18666
Just det.,17964
Vänta lite.,17388
Helvete!,16625
"Ja, sir.",16531
Vadå?,16323
Varför inte?,16061
Jag älskar dig.,15842
Är du okej?,15772
Vad hände?,15511
Det är okej.,15497
Tack så mycket.,15191
Varsågod.,15078
Kom hit.,15069
Jag förstår.,14951
Självklart.,14881
Vad gör du här?,14734
Jo.,14123
"Nej, nej.",13868
Titta.,13794
Kom nu.,13460
Uppfattat.,12793
Vem är det?,12780
Jaha.,12589
Hjälp!,12585
Vad är det här?,12550
Vad då?,12321
Ingenting.,12196
Stanna!,11968
Och?,11962
Hur är det?,11945
Jag kan inte.,11766
Vem är du?,11753
Mår du bra?,11409
Kom in.,11302
Inget.,11247
God morgon.,11132
Vad händer?,11098
Vem?,11058
Javisst.,10940
Vart ska du?,10894
Ta det lugnt.,10812
Håll käften!,10719
Spring!,10207
Gå.,10201
Lägg av.,10149
Vet du vad?,10138
Varför det?,9945
Det är jag.,9716
Det stämmer.,9714
Oroa dig inte.,9690
Vad pratar du om?,9635
Absolut.,9618
Mr.,9522
Så...,9390
Fortsätt.,9307
Precis.,9278
Jösses.,9225
Hur mår du?,9191
Förlåt mig.,9085
Vi ses.,9061
Vad vill du?,9009
Hjälp mig!,8965
Gör det.,8919
Sätt fart!,8883
Är du säker?,8829
Det är lugnt.,8739
Det är bra.,8737
Du har rätt.,8723
Eller hur?,8664
Kanske.,8646
Fan också!,8528
Dra åt helvete!,8512
Lycka till.,8493
Glöm det.,8362
Jag lovar.,8226
Toppen.,8091
Vad heter du?,8076
Sir?,8062
Var är han?,8047
Släpp mig!,8034
God natt.,8028
Var är du?,7877
Förstår du?,7814
Inte?,7761
Varför då?,7737
Vad har hänt?,7719
Jag förstår inte.,7696
Det är ingen fara.,7635
Aldrig.,7562
Då så.,7560
Åh.,7457
Vad sa du?,7335
Oj!,7220
Var?,7165
Vad är det där?,7121
Vad är det som händer?,7097
Kör!,7051
Men...,7051
"Nej, nej, nej.",7009
Jag måste gå.,6980
Säkert?,6930
Tyst!,6906
Ingen fara.,6897
Det är sant.,6858
Jag kommer.,6754
Stick!,6634
Jag mår bra.,6612
Jävlar!,6541
Skit!,6467
Stopp!,6421
Se upp!,6417
Hur då?,6405
Vad fan?,6362
Hur vet du det?,6173
Ok.,6153
Jag med.,6129
Lugn.,6123
Perfekt.,6118
Vet inte.,6090
Lyssna.,6057
Älskling?,6050
Sätt dig.,6024
"Ja, ja.",5984
Vad var det?,5967
Försvinn!,5936
Vad är det med dig?,5930
Trevligt att träffas.,5923
Där.,5915
Den här vägen.,5873
Ett ögonblick.,5823
"Nej, tack.",5795
Hur?,5782
Naturligtvis.,5770
Grattis.,5709
Skynda dig!,5698
Skynda på!,5672
Inga problem.,5636
Nå?,5601
Inte än.,5592
Ut!,5547
Det räcker.,5540
Är det sant?,5536
Jag också.,5475
Wow.,5449
Kom igen nu.,5435
Gud!,5411
Hejsan.,5388
Vad tror du?,5357
Skitsnack.,5357
Nej tack.,5308
"Åh, nej.",5305
Skål.,5292
Vad i helvete?,5282
Otroligt.,5280
Vad håller du på med?,5267
Jack!,5146
Din jävel!,5137
Hur så?,5133
