sentence,count
అవును.,379
సరే.,131
ధన్యవాదాలు.,110
హే!,97
ఏమిటి?,85
అన్ని కుడి.,81
న కమ్.,78
నం,75
ఓహ్.,56
సంఖ్య!,55
అయ్యో.,46
"ఓహ్, నా దేవుని.",39
"అవును, సర్.",38
నేను విచారిస్తున్నాను.,37
హలో.,35
దయచేసి.,33
నేను.,30
ఫక్!,29
ఆహ్!,28
ఎందుకు?,28
రైట్.,27
అహ్?,27
గుడ్.,26
రియల్లీ?,26
ఎక్కువ.,26
మీరు.,24
నాకు తెలీదు.,24
వేచి.,23
సరేనా?,23
ఇక్కడ.,22
సర్?,22
ఏం?,21
జాక్.,21
వావ్.,21
యొక్క వెళ్ళి తెలపండి!,20
షిట్!,20
నాకు తెలుసు.,20
ఇది ఓకే.,18
మీరు ఏం చేస్తున్నారు?,17
సో...,17
ఖచ్చితంగా.,16
మీరు ఏమి?,16
చింతించకండి.,16
ఏమి జరిగింది?,15
వెళ్ళండి!,15
జుడిత్!,14
పొందండి.,13
గో!,13
మైక్?,12
ఇప్పుడు!,12
"ఓహ్, అవును.",12
క్షమించాలి.,11
కమ్.,11
మీరు ఇక్కడ ఏం చేస్తున్నారు?,11
మీరు ఓకే ఉన్నాయా?,11
ఇక్కడ మీరు వెళ్ళండి.,11
బై.,11
ఏం జరుగుతుందో?,11
సమస్య.,10
కిల్!,10
బాగా...,10
ప్రతికూల.,10
మీరు దేని గురించి మాట్లాడుతున్నారు?,10
ఇది ఏమిటి?,10
"వెళ్ళి, వెళ్ళి, గో!",9
వద్దు.,9
జిమ్...,9
"అవును, అవును.",9
ఈ ఏమిటి?,9
కావలసినంత!,9
నేను కాదు.,9
ఆపు!,8
డౌన్ పొందండి!,8
"ఆమెన్,ఆమెన్",8
ఉండండి.,8
చెడు లేదు.,8
వాస్తవానికి.,8
ఆ ఏమిటి?,8
గ్రేట్.,8
గుడ్ మార్నింగ్.,8
ఆ అంటే ఏమిటి?,8
ఇక్కడ వస్తాయి.,8
కోల్ట్స్ వెళ్ళండి!,8
ఇక్కడ మేము వెళ్ళి.,8
మీరు ఏమిటి?,8
చాలా మంచి.,8
స్ప్రింగ్బ్రేక్,7
నేను అర్థం.,7
నేను పక్క లోకల్,7
నాకు సహాయం చెయ్యండి!,7
"సరే, ఓకే.",7
మీరు ఏమి ఆలోచిస్తాడు?,7
ఫైన్.,7
"సంఖ్య, మీరు కాదు.",7
మోగ్లీ!,7
మరియు...,7
మెర్రీ క్రిస్మస్.,7
"సంఖ్య, సర్.",7
"సంఖ్య, లేదు, లేదు.",7
మీరు అన్ని కుడి?,7
బూమ్!,7
"♪బేబీ,లైఫ్ఈస్ టూషార్ట్",7
న వస్తాయి.,7
ఏమి?,7
"దేవుని, ఓహ్.",7
ఇక్కడ కమ్.,7
ఎలా మీరు?,7
ఆహా!,7
ఓకే మీరు?,7
చాలా కృతజ్ఞతలు.,7
ఎవరు?,7
కాబట్టి క్షమించండి నేను.,7
ఉన్నాయి.,7
ఉహ్...,7
జాగ్రత్తగా.,6
మంచి.,6
ఒక',6
ఆమెన్.,6
బహుశా.,6
అతను ఎక్కడ ఉంది?,6
"సంఖ్య, ఏ.",6
ఒక నిమిషం ఆగండి.,6
మీరు తెలుసా?,6
ఈజ్.,6
మీరు ఎవరు?,6
కాపీ.,6
ఎందుకు కాదు?,6
ఒక సీటు కలవారు.,6
తరలించు!,6
లేదు నిజంగా.,6
"ఓహ్, ఒంటి.",6
నాకు సహాయం.,6
నా ఒంటి చూడండి.,6
హెన్రీ!,6
నథింగ్.,6
అన్నీ ఊరామాసు లెక్కలు...,6
హక్కు ఆ.,6
రెడీ.,6
నేను తెలియదు.,6
నేను తెలుసు.,6
నేను నిన్ను ప్రేమిస్తున్నాను.,6
నేను పక్క లోకలు..,6
నేను వాగ్దానం.,6
నేను వాడే గాజులు కోక రైకాల్,6
నోరు ముయ్యి.,6
పక్క లోకల్,6
పట్టుకో.,6
ఎక్స్క్యూజ్.,6
లేదు.,5
లెన్ని!,5
"ఆమెన్,ఆమెన్,ఆమెన్",5
ఈ చూడండి.,5
ఇది నాకు ఉంది.,5
ఇది జరిమానా ఉంది.,5
లెట్ మీ సీ.,5
ఆగండి.,5
ఆ అర్థం ఏమిటి?,5
"అవును, మీరు.",5
సహాయం!,5
అర్థమైంది.,5
అభినందనలు.,5
"హా, హా.",5
అది ఆపు!,5
లెట్స్ గో.,5
నాకు అది ఇష్టం.,5
లుక్.,5
రోజర్ ఆ.,5
నాథన్?,5
నిజంగా?,5
అది అంటే.,5
నేను అలా అనుకుంటున్నాను.,5
నేను క్షమించండి రెడీ!,5
నేను గుర్తుంచుకోవాలి.,5
నేను వచ్చింది.,5
దాని గురించి చింతించకండి.,5
డవిడే...,5
డడ్లీ?,5
జెంటిల్మెన్.,5
జాగ్రత్తగా ఉండండి.,5
చూడండి.,5
బేర్ అవసరాలు కోసం  లుక్,5
మీ పేరు ఏమిటి?,5
గుడ్ రాత్రి.,5
క్షమించండి.,5
మీరు అన్ని కుడి భావిస్తున్నారా?,5
కొనసాగి.,5
మీరు ఉన్నాయి.,5
మీరు ఏమి అనుకుంటున్నారు?,5
కానీ...,5
నాకు వినండి.,5
కట్టా మూర్తి.,5
మీరు విడిచి?,5
యేసు.,5
ఏది.,5
మీరు ఏమి తప్పు?,5
